run_key,rs_method,sell_confirm_bars,max_positions,st_period,st_multiplier,fee_rate,slippage_rate,kind,asset_filter,rs_period,hurdle,start,end,initial_equity,final_equity,total_return,cagr,qqq_return,alpha,mdd,sharpe,calmar,sortino,win_rate,payoff_ratio,trade_count,corporate_action_cash,data_quality,data_version,price_mode,worst_year_return,median_year_return,positive_year_ratio
ablation_sell1_pos1,dual_momentum,1,1,10,3.0,0.001,0.0005,ablation_sell1_pos1,ichimoku_cloud+ema_trend,150,2.0,2015-10-19 00:00:00,2026-07-15 00:00:00,10000.0,2797714.7275515734,278.77147275515733,0.6899238977330155,6.145455415200001,272.62601733995734,-0.44065115177598024,1.3442300213937273,1.5656918062108265,2.241129486599958,0.6756756756756757,2.2472240379651334,74,2075.3476,degraded,adjustment_factors=release-exact-factors-20260715-da009d5f18a94da6b137a488279a51be-adjustment_factors;corporate_actions=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-corporate_actions;daily_price_raw=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-daily_price_raw;release=20260715-20260719T130946573430Z;symbol_history=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-symbol_history,total_return_adjusted,-0.12742891672169376,0.3896001343469383,0.75
ablation_sell5_pos3,dual_momentum,5,3,10,3.0,0.001,0.0005,ablation_sell5_pos3,ichimoku_cloud+ema_trend,150,2.0,2015-10-19 00:00:00,2026-07-15 00:00:00,10000.0,270376.6899262529,26.03766899262529,0.35943095995360475,6.145455415200001,19.892213577425288,-0.41942611692531795,1.012594470427634,0.856958938533635,1.5675100401080593,0.5662100456621004,1.8043453192979937,219,1452.4444000000003,degraded,adjustment_factors=release-exact-factors-20260715-da009d5f18a94da6b137a488279a51be-adjustment_factors;corporate_actions=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-corporate_actions;daily_price_raw=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-daily_price_raw;release=20260715-20260719T130946573430Z;symbol_history=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-symbol_history,total_return_adjusted,-0.16779416232265276,0.1878606552209644,0.6666666666666666
filter-ema_trend_rs-100_h-1p0_pos-3_sell-1,dual_momentum,1,3,10,3.0,0.001,0.0005,simplified_grid,ema_trend,100,1.0,2015-10-19 00:00:00,2026-07-15 00:00:00,10000.0,151913.7439018228,14.19137439018228,0.2883693051367049,6.145455415200001,8.04591897498228,-0.47058812617946144,0.9097246266989659,0.6127849155011056,1.3492109319160734,0.5214007782101168,1.807707141501317,257,698.9662000000001,degraded,adjustment_factors=release-exact-factors-20260715-da009d5f18a94da6b137a488279a51be-adjustment_factors;corporate_actions=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-corporate_actions;daily_price_raw=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-daily_price_raw;release=20260715-20260719T130946573430Z;symbol_history=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-symbol_history,total_return_adjusted,-0.15148033818570372,0.21738903911966456,0.5833333333333334
filter-ema_trend_rs-100_h-1p5_pos-3_sell-1,dual_momentum,1,3,10,3.0,0.001,0.0005,simplified_grid,ema_trend,100,1.5,2015-10-19 00:00:00,2026-07-15 00:00:00,10000.0,130422.73334136166,12.042273334136166,0.2701973025825237,6.145455415200001,5.896817918936165,-0.49150431744121426,0.8673196488689571,0.5497353593742141,1.293341871202557,0.49794238683127573,2.0571869523739794,243,639.6182000000001,degraded,adjustment_factors=release-exact-factors-20260715-da009d5f18a94da6b137a488279a51be-adjustment_factors;corporate_actions=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-corporate_actions;daily_price_raw=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-daily_price_raw;release=20260715-20260719T130946573430Z;symbol_history=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-symbol_history,total_return_adjusted,-0.1717273833389411,0.27817451610508925,0.5833333333333334
filter-ema_trend_rs-100_h-2p0_pos-3_sell-1,dual_momentum,1,3,10,3.0,0.001,0.0005,simplified_grid,ema_trend,100,2.0,2015-10-19 00:00:00,2026-07-15 00:00:00,10000.0,136712.69177625253,12.671269177625252,0.27578114601089987,6.145455415200001,6.525813762425251,-0.520267553240239,0.8704474003920207,0.5300756203098351,1.2952626264854243,0.5059288537549407,1.8515695311662335,253,564.8372000000002,degraded,adjustment_factors=release-exact-factors-20260715-da009d5f18a94da6b137a488279a51be-adjustment_factors;corporate_actions=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-corporate_actions;daily_price_raw=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-daily_price_raw;release=20260715-20260719T130946573430Z;symbol_history=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-symbol_history,total_return_adjusted,-0.17506958588177035,0.1829818432240392,0.5833333333333334
filter-ema_trend_rs-125_h-1p0_pos-3_sell-1,dual_momentum,1,3,10,3.0,0.001,0.0005,simplified_grid,ema_trend,125,1.0,2015-10-19 00:00:00,2026-07-15 00:00:00,10000.0,226777.82842172158,21.67778284217216,0.3373499250718106,6.145455415200001,15.53232742697216,-0.4475158500643659,0.9772557137456287,0.7538278812321169,1.520817343165489,0.5371900826446281,1.6143009800653978,242,23366.498,degraded,adjustment_factors=release-exact-factors-20260715-da009d5f18a94da6b137a488279a51be-adjustment_factors;corporate_actions=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-corporate_actions;daily_price_raw=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-daily_price_raw;release=20260715-20260719T130946573430Z;symbol_history=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-symbol_history,total_return_adjusted,-0.17502965471212562,0.09041967876006107,0.5833333333333334
filter-ema_trend_rs-125_h-1p5_pos-3_sell-1,dual_momentum,1,3,10,3.0,0.001,0.0005,simplified_grid,ema_trend,125,1.5,2015-10-19 00:00:00,2026-07-15 00:00:00,10000.0,262974.91703863506,25.297491703863507,0.3559213519602995,6.145455415200001,19.152036288663506,-0.3943982256891395,1.0156782420725619,0.9024415648381565,1.5833920541247617,0.5327868852459017,1.73827860807046,244,23612.422969999996,degraded,adjustment_factors=release-exact-factors-20260715-da009d5f18a94da6b137a488279a51be-adjustment_factors;corporate_actions=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-corporate_actions;daily_price_raw=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-daily_price_raw;release=20260715-20260719T130946573430Z;symbol_history=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-symbol_history,total_return_adjusted,-0.13706259086374373,0.16052610492872366,0.6666666666666666
filter-ema_trend_rs-125_h-2p0_pos-3_sell-1,dual_momentum,1,3,10,3.0,0.001,0.0005,simplified_grid,ema_trend,125,2.0,2015-10-19 00:00:00,2026-07-15 00:00:00,10000.0,254275.09839397782,24.427509839397782,0.3516798699793702,6.145455415200001,18.28205442419778,-0.43155889286045346,1.0010333106002356,0.8149058582673848,1.554598834431629,0.5122950819672131,1.8371997374479145,244,15716.190999999999,degraded,adjustment_factors=release-exact-factors-20260715-da009d5f18a94da6b137a488279a51be-adjustment_factors;corporate_actions=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-corporate_actions;daily_price_raw=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-daily_price_raw;release=20260715-20260719T130946573430Z;symbol_history=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-symbol_history,total_return_adjusted,-0.13999442319378408,0.20460652955918257,0.6666666666666666
filter-ema_trend_rs-150_h-1p0_pos-3_sell-1,dual_momentum,1,3,10,3.0,0.001,0.0005,simplified_grid,ema_trend,150,1.0,2015-10-19 00:00:00,2026-07-15 00:00:00,10000.0,138043.32133727527,12.804332133727527,0.27693247133642007,6.145455415200001,6.658876718527527,-0.42250211131355364,0.8541329898406939,0.6554581951683994,1.357264461685277,0.5258620689655172,1.7726046647562168,232,966.5507999999996,degraded,adjustment_factors=release-exact-factors-20260715-da009d5f18a94da6b137a488279a51be-adjustment_factors;corporate_actions=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-corporate_actions;daily_price_raw=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-daily_price_raw;release=20260715-20260719T130946573430Z;symbol_history=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-symbol_history,total_return_adjusted,-0.19006945659697028,0.023696958559826564,0.5
filter-ema_trend_rs-150_h-1p5_pos-3_sell-1,dual_momentum,1,3,10,3.0,0.001,0.0005,simplified_grid,ema_trend,150,1.5,2015-10-19 00:00:00,2026-07-15 00:00:00,10000.0,179515.1212073892,16.95151212073892,0.30855673104504455,6.145455415200001,10.806056705538918,-0.4226366006841191,0.9158178353874656,0.7300757448493239,1.4565686626582672,0.5169491525423728,1.8514341002572337,236,1015.3597999999998,degraded,adjustment_factors=release-exact-factors-20260715-da009d5f18a94da6b137a488279a51be-adjustment_factors;corporate_actions=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-corporate_actions;daily_price_raw=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-daily_price_raw;release=20260715-20260719T130946573430Z;symbol_history=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-symbol_history,total_return_adjusted,-0.19674449172992958,0.09987631135228692,0.5833333333333334
