,equity
2015-10-19,10000.0
2015-10-20,9796.434539840002
2015-10-21,9709.284539840002
2015-10-22,9854.454539840002
2015-10-23,10452.544539840002
2015-10-26,10615.264539840004
2015-10-27,10656.064539840003
2015-10-28,10762.394539840003
2015-10-29,10921.014539840002
2015-10-30,10908.354539840002
2015-11-02,10948.674539840003
2015-11-03,10905.744539840001
2015-11-04,11179.814539840005
2015-11-05,11432.304539840003
2015-11-06,11479.026239840003
2015-11-09,11406.416239840002
2015-11-10,11476.316239840004
2015-11-11,11711.976239840002
2015-11-12,11585.004539840003
2015-11-13,11186.814539840003
2015-11-16,11282.154539840001
2015-11-17,11213.676239840004
2015-11-18,11563.004539840003
2015-11-19,11525.396239840002
2015-11-20,11650.954539840004
2015-11-23,11829.014539840004
2015-11-24,11692.164539840001
2015-11-25,11766.124539840004
2015-11-27,11730.834539840003
2015-11-30,11589.954539840002
2015-12-01,11838.744539840001
2015-12-02,11785.566239840002
2015-12-03,11614.324539840003
2015-12-04,11731.844539840002
2015-12-07,11682.674539840003
2015-12-08,11814.864539840004
2015-12-09,11596.294539840002
2015-12-10,11552.834539840003
2015-12-11,11167.826239840004
2015-12-14,11474.926239840004
2015-12-15,11492.586239840002
2015-12-16,11787.294539840002
2015-12-17,11697.874539840002
2015-12-18,11584.404539840001
2015-12-21,11592.584539840003
2015-12-22,11572.754539840002
2015-12-23,11579.514539840004
2015-12-24,11564.604539840004
2015-12-28,11776.346239840004
2015-12-29,12099.284539840002
2015-12-30,12014.936239840004
2015-12-31,11785.834539840002
2016-01-04,11116.904539840003
2016-01-05,11059.144539840003
2016-01-06,11037.314539840003
2016-01-07,10613.604539840004
2016-01-08,10594.55453984
2016-01-11,10674.751505920001
2016-01-12,10681.121505920002
2016-01-13,10665.301505920002
2016-01-14,10665.354968140002
2016-01-15,10665.354968140002
2016-01-19,10665.354968140002
2016-01-20,10665.354968140002
2016-01-21,10665.354968140002
2016-01-22,10665.354968140002
2016-01-25,10665.354968140002
2016-01-26,10665.354968140002
2016-01-27,10665.354968140002
2016-01-28,10665.354968140002
2016-01-29,10665.354968140002
2016-02-01,10665.354968140002
2016-02-02,10665.354968140002
2016-02-03,10665.354968140002
2016-02-04,10665.354968140002
2016-02-05,10665.354968140002
2016-02-08,10665.354968140002
2016-02-09,10665.354968140002
2016-02-10,10665.354968140002
2016-02-11,10665.354968140002
2016-02-12,10665.354968140002
2016-02-16,10665.354968140002
2016-02-17,10665.354968140002
2016-02-18,10665.354968140002
2016-02-19,10665.354968140002
2016-02-22,10665.354968140002
2016-02-23,10665.354968140002
2016-02-24,10665.354968140002
2016-02-25,10665.354968140002
2016-02-26,10665.354968140002
2016-02-29,10665.354968140002
2016-03-01,10665.354968140002
2016-03-02,10770.042929230001
2016-03-03,10675.523819530003
2016-03-04,10642.863819530001
2016-03-07,10574.453819530005
2016-03-08,10381.453819530003
2016-03-09,10375.323819530002
2016-03-10,10359.423819530002
2016-03-11,10535.933819530002
2016-03-14,10561.883819530001
2016-03-15,10509.713819530001
2016-03-16,10822.823819530002
2016-03-17,10731.773819530003
2016-03-18,11054.723819530003
2016-03-21,11087.56381953
2016-03-22,11068.053819530003
2016-03-23,11256.633819530003
2016-03-24,11272.803819530001
2016-03-28,11386.953819530003
2016-03-29,11569.903819530002
2016-03-30,11690.973819530003
2016-03-31,11648.733819530004
2016-04-01,11818.493819530002
2016-04-04,11704.143819530002
2016-04-05,11687.623819530003
2016-04-06,11704.033819530001
2016-04-07,11583.153819530002
2016-04-08,11658.123819530001
2016-04-11,11729.993819530004
2016-04-12,11716.943819530004
2016-04-13,12010.723819530001
2016-04-14,12043.493819530004
2016-04-15,12138.023819530003
2016-04-18,12085.953819530001
2016-04-19,11870.433819530004
2016-04-20,11916.013819530002
2016-04-21,11902.783819530001
2016-04-22,11857.293819530003
2016-04-25,11915.813819530003
2016-04-26,11925.923819530002
2016-04-27,12196.653819530004
2016-04-28,11834.183819530002
2016-04-29,11615.423819530002
2016-05-02,11768.483819530002
2016-05-03,11628.093819530002
2016-05-04,11363.783819530003
2016-05-05,11432.243819530002
2016-05-06,11549.623819530003
2016-05-09,11533.343819530002
2016-05-10,11755.003979480003
2016-05-11,11787.603979480004
2016-05-12,11627.863979480002
2016-05-13,13391.523979480002
2016-05-16,13785.983979480001
2016-05-17,13815.323979480003
2016-05-18,14167.403979480003
2016-05-19,14229.343979480002
2016-05-20,14483.623979480002
2016-05-23,14506.443979480002
2016-05-24,14856.959179480004
2016-05-25,14795.019179480003
2016-05-26,14951.499179480003
2016-05-27,15032.999179480003
2016-05-31,15300.319179480002
2016-06-01,15329.659179480004
2016-06-02,15437.239179480002
2016-06-03,15222.079179480002
2016-06-06,15143.839179480003
2016-06-07,15173.179179480003
2016-06-08,15124.279179480003
2016-06-09,15515.479179480004
2016-06-10,15130.799179480004
2016-06-13,15323.139179480002
2016-06-14,15353.081960410005
2016-06-15,15509.781960410004
2016-06-16,15572.511960410004
2016-06-17,15302.121960410002
2016-06-20,15576.461960410003
2016-06-21,15482.371960410002
2016-06-22,15469.191960410002
2016-06-23,15880.411960410001
2016-06-24,14979.841960410002
2016-06-27,14819.621960410002
2016-06-28,15034.96196041
2016-06-29,15279.681960410002
2016-06-30,15397.231960410003
2016-07-01,15283.051960409999
2016-07-05,15507.645421570003
2016-07-06,15605.485421570002
2016-07-07,16009.795421570003
2016-07-08,16649.235421570007
2016-07-11,17030.97542157
2016-07-12,17285.40542157
2016-07-13,17278.71542157
2016-07-14,17454.91542157
2016-07-15,17252.555421570003
2016-07-18,17340.665421570004
2016-07-19,17520.07542157
2016-07-20,17748.458032465005
2016-07-21,17421.618032465
2016-07-22,17894.668032465004
2016-07-25,18223.908032465002
2016-07-26,18533.948032465003
2016-07-27,18348.138032465005
2016-07-28,18387.138032465
2016-07-29,18686.708032465005
2016-08-01,18566.188032465
2016-08-02,18341.078032465004
2016-08-03,18390.428032465003
2016-08-04,18729.768032465
2016-08-05,19047.283032465002
2016-08-08,19223.238032465004
2016-08-09,19271.978032465002
2016-08-10,19147.788032465
2016-08-11,19536.518032465003
2016-08-12,20626.148032465004
2016-08-15,20607.218032465003
2016-08-16,20483.188032465005
2016-08-17,20010.498032465
2016-08-18,20320.853032465006
2016-08-19,20375.583032465
2016-08-22,20459.873032465006
2016-08-23,20625.598232465003
2016-08-24,20309.018232465
2016-08-25,20175.278232465003
2016-08-26,20338.588232465005
2016-08-29,20326.038232465005
2016-08-30,20208.468232465006
2016-08-31,20113.928232465005
2016-09-01,20704.458232465004
2016-09-02,20502.198232465
2016-09-06,20695.028232465003
2016-09-07,20391.888232465
2016-09-08,20538.498232465005
2016-09-09,19519.988232465006
2016-09-12,19922.058232465002
2016-09-13,19634.808232465002
2016-09-14,19807.528232465003
2016-09-15,20555.078232465
2016-09-16,20604.218232465002
2016-09-19,20874.678232465005
2016-09-20,20685.558232465002
2016-09-21,21263.128232465006
2016-09-22,21315.008232465007
2016-09-23,21291.518232465005
2016-09-26,21092.268232465
2016-09-27,21809.958232465004
2016-09-28,21888.408232465004
2016-09-29,22090.108232465005
2016-09-30,22455.888232465004
2016-10-03,22433.062977555004
2016-10-04,22384.302977555002
2016-10-05,22361.622977555002
2016-10-06,22071.392977555002
2016-10-07,21911.562977555
2016-10-10,21993.102977555
2016-10-11,21676.692977555
2016-10-12,21774.372977555005
2016-10-13,21421.632977555
2016-10-14,21630.082977555
2016-10-17,21506.302977555002
2016-10-18,21832.332977555005
2016-10-19,21786.702977555004
2016-10-20,22197.720014055
2016-10-21,22135.000014055004
2016-10-24,23168.780014055003
2016-10-25,23548.380014055005
2016-10-26,23643.220014055
2016-10-27,23160.410014055007
2016-10-28,23120.300014055003
2016-10-31,23315.780014055003
2016-11-01,22627.380014055
2016-11-02,22531.940014055006
2016-11-03,22270.960014055003
2016-11-04,22144.000014055
2016-11-07,23352.300014055003
2016-11-08,23316.530014055003
2016-11-09,22924.700014055
2016-11-10,22210.549007175054
2016-11-11,28797.839107175052
2016-11-14,27386.578907175055
2016-11-15,28218.79900717505
2016-11-16,29991.99900717505
2016-11-17,30242.669007175053
2016-11-18,30559.018907175054
2016-11-21,30436.589107175056
2016-11-22,30656.168907175055
2016-11-23,30806.548907175053
2016-11-25,30869.40900717505
2016-11-28,30852.349107175054
2016-11-29,30570.40900717505
2016-11-30,30229.449107175053
2016-12-01,28740.54910717505
2016-12-02,29005.399007175052
2016-12-05,30123.089107175052
2016-12-06,30616.219107175053
2016-12-07,31169.119107175047
2016-12-08,30651.52910717505
2016-12-09,30109.93890717505
2016-12-12,29381.269007175055
2016-12-13,29896.699107175053
2016-12-14,31617.089007175055
2016-12-15,32354.848907175052
2016-12-16,32908.358907175054
2016-12-19,33306.50910717505
2016-12-20,34461.839107175045
2016-12-21,34676.66910717505
2016-12-22,35101.96900717505
2016-12-23,35972.559107175046
2016-12-27,38430.92910717505
2016-12-28,35798.208907175045
2016-12-29,36507.06910717505
2016-12-30,34976.77910717505
2017-01-03,33436.648907175055
2017-01-04,34212.69900717505
2017-01-05,33348.40900717505
2017-01-06,33792.08910717505
2017-01-09,35155.13900717504
2017-01-10,35257.089304405046
2017-01-11,35231.279404405046
2017-01-12,35225.85930440504
2017-01-13,35231.28930440504
2017-01-17,35233.57950440505
2017-01-18,35242.02930440504
2017-01-19,35216.42940440504
2017-01-20,35220.67950440504
2017-01-23,35218.52940440504
2017-01-24,35260.62930440504
2017-01-25,35452.13940440505
2017-01-26,35497.109504405045
2017-01-27,35519.51950440505
2017-01-30,35533.97940440504
2017-01-31,35541.66930440505
2017-02-01,35530.969504405046
2017-02-02,35547.94950440505
2017-02-03,35584.57950440505
2017-02-06,36483.25608420005
2017-02-07,37046.15608420005
2017-02-08,36881.71628420005
2017-02-09,36241.94628420004
2017-02-10,35428.24608420005
2017-02-13,33925.58618420005
2017-02-14,34045.87628420005
2017-02-15,34121.13618420005
2017-02-16,33582.60628420005
2017-02-17,33562.05628420005
2017-02-21,33825.066735270055
2017-02-22,33820.92683527005
2017-02-23,33811.89673527006
2017-02-24,33816.72683527005
2017-02-27,33834.03693527006
2017-02-28,33840.04693527005
2017-03-01,33928.206735270054
2017-03-02,33912.946935270054
2017-03-03,33947.49673527005
2017-03-06,33936.78693527005
2017-03-07,33924.56693527006
2017-03-08,33908.03663527005
2017-03-09,33847.97673527006
2017-03-10,33870.90663527006
2017-03-13,33900.86693527005
2017-03-14,33864.85663527005
2017-03-15,33897.916635270056
2017-03-16,33900.726835270056
2017-03-17,33878.16683527005
2017-03-20,33887.57683527005
2017-03-21,33804.26683527005
2017-03-22,33843.07663527005
2017-03-23,33862.22673527005
2017-03-24,33938.91673527006
2017-03-27,33939.13663527006
2017-03-28,34010.96692497501
2017-03-29,34131.73692497501
2017-03-30,34159.91692497502
2017-03-31,33656.82692497501
2017-04-03,34101.71692497501
2017-04-04,34283.59692497501
2017-04-05,33873.83433552502
2017-04-06,34172.143835525014
2017-04-07,34305.96383552502
2017-04-10,34283.19383552502
2017-04-11,34571.823835525014
2017-04-12,34134.57383552502
2017-04-13,33892.41383552502
2017-04-17,34537.82383552502
2017-04-18,33835.38433552502
2017-04-19,33408.59383552502
2017-04-20,33913.16383552502
2017-04-21,33832.04333552502
2017-04-24,34434.333835525016
2017-04-25,35634.25571975902
2017-04-26,34957.76571975902
2017-04-27,35519.02371975902
2017-04-28,36063.94771975902
2017-05-01,36175.793719759014
2017-05-02,36222.843719759025
2017-05-03,36500.01421975902
2017-05-04,36686.82621975902
2017-05-05,36929.29571975902
2017-05-08,36730.075719759014
2017-05-09,36656.436219759016
2017-05-10,37110.47571975902
2017-05-11,36944.33571975902
2017-05-12,37201.82521975902
2017-05-15,36971.31371975902
2017-05-16,36884.45571975902
2017-05-17,35401.795719759015
2017-05-18,35880.543719759014
2017-05-19,36143.894219759015
2017-05-22,36439.15371975902
2017-05-23,36547.34771975901
2017-05-24,36849.25823825902
2017-05-25,37380.18873825902
2017-05-26,37478.489990504015
