symbol,entry_time,exit_time,entry_price,exit_price,quantity,corporate_action_cash,pnl_pct,exit_reason
AMZN,2015-10-20,2016-01-11,572.286,612.17376,17.0,0.0,0.06756173592294012,Supertrend down
ATVI,2015-10-20,2016-01-14,33.77688,34.90254,7.0,0.0,0.031261758201013956,Supertrend down
AMAT,2016-03-03,2016-05-10,19.409699999999997,19.89005,1.0,0.0,0.02270048688849613,Supertrend down
YHOO,2016-07-05,2016-07-20,37.69884,38.34082,1.0,0.0,0.014997144873289736,Leader rotation
AMAT,2016-07-20,2016-10-03,26.583285,30.164910000000003,1.0,0.1,0.136223026967907,Leader rotation
SYMC,2016-06-14,2016-10-20,18.14907,24.137925,1.0,0.075,0.33145238034496827,Supertrend down
NVDA,2016-03-02,2017-01-10,32.586285,107.756095,326.0,120.75040000000001,2.3115412842219683,Supertrend down
MU,2016-10-20,2017-02-06,17.058525,24.517735000000002,3.0,0.0,0.4344000150355043,Leader rotation
NVDA,2017-02-06,2017-02-21,114.05699999999999,108.17588500000001,296.0,0.0,-0.05345792572455532,Supertrend down
CSX,2016-11-10,2017-03-28,34.07692995,46.18679505,1.0,0.36,0.363214179475964,Supertrend down
STX,2017-01-10,2017-03-28,38.11905,44.87755,36.0,22.68,0.19145821301436405,Supertrend down
INCY,2017-03-28,2017-04-05,139.52973,141.479225,115.0,0.0,0.01194597900945027,Leader rotation
MU,2017-02-21,2017-04-25,23.631809999999998,26.696645000000004,37.0,0.0,0.12743395660129542,Leader rotation
CSX,2017-04-25,2017-05-24,50.21519505,51.82407500000001,20.0,0.0,0.029977685899786444,Supertrend down
NFLX,2017-03-28,2017-06-16,144.17204999999998,151.37427499999998,116.0,0.0,0.04785795094197476,Supertrend down
NVDA,2017-05-26,2017-07-11,137.998965,153.773075,7.0,0.0,0.11207961660372678,Supertrend down
WDC,2017-04-05,2017-08-04,83.411685,84.74760500000001,195.0,97.5,0.019974355096466834,Supertrend down
MELI,2017-08-04,2017-08-11,262.43115,234.052915,19.0,0.0,-0.10991787061790548,Supertrend down
NVDA,2017-07-18,2017-08-18,161.86088999999998,163.588165,116.0,0.0,0.008652031503598945,Supertrend down
PYPL,2017-09-01,2017-09-20,62.01098999999999,63.95800500000001,227.0,0.0,0.029337167141208376,Leader rotation
NVDA,2017-09-20,2017-10-02,187.59375,180.70960000000002,77.0,0.0,-0.03862179919031483,Supertrend down
ATVI,2017-09-01,2017-10-16,65.69282999999999,61.08944,232.0,0.0,-0.0719324593441445,Supertrend down
MU,2017-10-02,2017-10-23,39.6198,41.829075,10.0,0.0,0.053652477412188704,Leader rotation
VRTX,2017-08-04,2017-11-01,154.75734,147.276325,36.0,0.0,-0.050241709967413284,Supertrend down
PYPL,2017-10-23,2017-11-27,71.05551,78.590685,6.0,0.0,0.10383643230969208,Leader rotation
NVDA,2017-10-16,2017-12-06,195.8979,185.60715,141.0,21.15,-0.05365929551410842,Supertrend down
MU,2017-11-27,2017-12-06,47.983979999999995,40.79959,14.0,0.0,-0.15142361392985026,Supertrend down
ALGN,2017-11-01,2017-12-11,243.1215,237.30129,21.0,0.0,-0.02588968253136159,Supertrend down
DLTR,2017-12-19,2018-01-08,109.57475999999998,110.70462,96.0,0.0,0.008292712190763663,Leader rotation
INTC,2017-12-20,2018-01-17,47.493734999999994,43.523227500000004,1.0,0.0,-0.0854316257818949,Supertrend down
TTWO,2018-01-08,2018-01-22,116.55824999999999,117.711115,91.0,0.0,0.007873127445230166,Leader rotation
MNST,2017-12-19,2018-02-12,64.09203,63.118425,330.0,0.0,-0.017158385204224857,Supertrend down
ALGN,2018-01-22,2018-02-12,269.77482,233.133375,19.0,0.0,-0.13754896008845785,Supertrend down
ASML,2018-01-22,2018-02-12,204.60225,183.23833500000003,27.0,0.0,-0.10620619059389869,Supertrend down
QRTEA,2018-02-26,2018-03-26,20.353871849999997,18.11303895,1.0,0.0,-0.11187172665686129,Supertrend down
NVDA,2018-02-16,2018-04-04,245.5227,214.90249500000002,123.0,18.45,-0.12585284564130084,Supertrend down
NFLX,2018-05-11,2018-07-24,329.814825,366.75653,80.0,0.0,0.10978561900690731,Supertrend down
IDXX,2018-07-24,2018-08-30,249.9249,253.62312500000002,4.0,0.0,0.012769777999353193,Leader rotation
AMZN,2018-07-24,2018-09-24,1829.924505,1902.838105,13.0,0.0,0.03776752837371067,Supertrend down
ALGN,2018-07-24,2018-10-11,379.14948,312.14385000000004,2.0,0.0,-0.17837105839091205,Supertrend down
ILMN,2018-08-30,2018-10-11,350.024925,304.60762,13.0,0.0,-0.13149324046956545,Supertrend down
ILMN,2018-12-04,2018-12-24,350.11496999999997,275.931965,28.0,0.0,-0.2134565043516493,Supertrend down
XLNX,2018-12-04,2018-12-27,93.96696,83.59818,107.0,0.0,-0.11212248784752987,Supertrend down
FOX,2018-12-04,2018-12-31,49.354665,47.83607,195.0,0.0,-0.032705552016948136,Supertrend down
VRTX,2019-01-10,2019-01-22,181.940925,193.38326,48.0,0.0,0.06076672887169199,Leader rotation
REGN,2019-01-10,2019-01-28,399.5996999999999,414.90244500000006,21.0,0.0,0.03622067055083966,Leader rotation
TMUS,2019-01-10,2019-02-19,67.47372,71.973995,131.0,0.0,0.06456544583855517,Leader rotation
WDAY,2019-01-22,2019-02-19,170.32512,190.094905,54.0,0.0,0.11384095898479352,Leader rotation
AMD,2019-02-19,2019-03-14,23.641814999999998,23.358315,356.0,0.0,-0.013965508149012762,Supertrend down
MELI,2019-03-14,2019-04-03,503.61168,522.288725,16.0,0.0,0.03501410269896077,Leader rotation
XLNX,2019-01-28,2019-05-02,107.54374499999999,116.58168,81.0,29.16,0.08521783326468646,Supertrend down
AVGO,2019-04-03,2019-05-15,306.37311,300.119865,28.0,0.0,-0.022367775977173987,Supertrend down
CDNS,2019-05-02,2019-05-28,68.57427,64.12792,134.0,0.0,-0.06670836907615207,Supertrend down
SBUX,2019-02-19,2019-06-14,70.49522999999999,83.49823,160.0,57.599999999999994,0.1871872852854124,Leader rotation
AMD,2019-06-10,2019-06-24,33.546765,29.30534,254.0,0.0,-0.12817859271593313,Supertrend down
WDAY,2019-06-24,2019-07-12,217.60875,223.64812,43.0,0.0,0.025699888489735256,Leader rotation
