,equity
2015-10-19,10000.0
2015-10-20,9782.297914299998
2015-10-21,9681.277914299999
2015-10-22,9620.497914299998
2015-10-23,9339.369143810003
2015-10-26,9487.569143810002
2015-10-27,9534.269143810003
2015-10-28,9631.859143810001
2015-10-29,9766.369143810001
2015-10-30,9757.159143810002
2015-11-02,9799.769143810001
2015-11-03,9755.34914381
2015-11-04,9986.589143810002
2015-11-05,10206.756297260003
2015-11-06,10258.957797260004
2015-11-09,10190.457797260002
2015-11-10,10258.607797260003
2015-11-11,10463.897797260002
2015-11-12,10342.146297260002
2015-11-13,9982.016297260001
2015-11-16,10080.036297260003
2015-11-17,10026.227797260004
2015-11-18,10338.386297260002
2015-11-19,10303.797797260002
2015-11-20,10419.736297260002
2015-11-23,10579.896297260002
2015-11-24,10457.836297260003
2015-11-25,10523.166297260002
2015-11-27,10494.546297260002
2015-11-30,10364.266297260003
2015-12-01,10584.066297260002
2015-12-02,10545.057797260004
2015-12-03,10392.896297260004
2015-12-04,10499.526297260003
2015-12-07,10445.836297260003
2015-12-08,10562.916297260002
2015-12-09,10367.71629726
2015-12-10,10327.666297260002
2015-12-11,9984.79779726
2015-12-14,10256.197797260003
2015-12-15,10264.507797260003
2015-12-16,10530.536297260003
2015-12-17,10452.796297260003
2015-12-18,10345.366297260003
2015-12-21,10348.676297260003
2015-12-22,10328.436297260003
2015-12-23,10339.786297260001
2015-12-24,10324.636297260002
2015-12-28,10510.567797260002
2015-12-29,10797.236297260004
2015-12-30,10718.617797260002
2015-12-31,10514.816297260004
2016-01-04,9918.049406260003
2016-01-05,10050.589907710004
2016-01-06,10049.889907710003
2016-01-07,10048.849907710004
2016-01-08,10049.779574500004
2016-01-11,10049.779574500004
2016-01-12,10049.779574500004
2016-01-13,10049.779574500004
2016-01-14,10049.779574500004
2016-01-15,10049.779574500004
2016-01-19,10049.779574500004
2016-01-20,10049.779574500004
2016-01-21,10049.779574500004
2016-01-22,10049.779574500004
2016-01-25,10049.779574500004
2016-01-26,10049.779574500004
2016-01-27,10049.779574500004
2016-01-28,10049.779574500004
2016-01-29,10049.779574500004
2016-02-01,10049.779574500004
2016-02-02,10049.779574500004
2016-02-03,10049.779574500004
2016-02-04,10049.779574500004
2016-02-05,10049.779574500004
2016-02-08,10049.779574500004
2016-02-09,10049.779574500004
2016-02-10,10049.779574500004
2016-02-11,10049.779574500004
2016-02-12,10049.779574500004
2016-02-16,10049.779574500004
2016-02-17,10049.779574500004
2016-02-18,10049.779574500004
2016-02-19,10049.779574500004
2016-02-22,10049.779574500004
2016-02-23,10049.779574500004
2016-02-24,10049.779574500004
2016-02-25,10049.779574500004
2016-02-26,10049.779574500004
2016-02-29,10049.779574500004
2016-03-01,10049.779574500004
2016-03-02,10148.687218720004
2016-03-03,10059.367218720005
2016-03-04,10028.567218720005
2016-03-07,9963.887218720007
2016-03-08,9782.167218720006
2016-03-09,9776.007218720006
2016-03-10,9760.607218720006
2016-03-11,9926.927218720006
2016-03-14,9951.567218720005
2016-03-15,9902.287218720006
2016-03-16,10197.967218720007
2016-03-17,10111.727218720005
2016-03-18,10416.647218720007
2016-03-21,10447.447218720004
2016-03-22,10428.967218720007
2016-03-23,10607.607218720006
2016-03-24,10623.007218720004
2016-03-28,10730.807218720005
2016-03-29,10903.287218720006
2016-03-30,11017.247218720006
2016-03-31,10977.207218720006
2016-04-01,11137.367218720005
2016-04-04,11029.567218720005
2016-04-05,11014.167218720006
2016-04-06,11029.567218720005
2016-04-07,10915.607218720006
2016-04-08,10986.447218720004
2016-04-11,11054.207218720006
2016-04-12,11041.887218720007
2016-04-13,11319.087218720006
2016-04-14,11349.887218720007
2016-04-15,11439.207218720006
2016-04-18,11389.927218720006
2016-04-19,11186.647218720007
2016-04-20,11229.767218720006
