symbol,entry_time,exit_time,entry_price,exit_price,quantity,corporate_action_cash,pnl_pct,exit_reason,stop_level,stop_trigger
AMZN,2015-10-20,2015-11-16,572.286,628.0164456393236,17.0,0.0,0.09518958619668894,Intraday protective stop,628.3306109447959,intraday
ATVI,2015-12-02,2016-01-06,38.589285,36.301840000000006,224.0,0.0,-0.06115625487362952,Intraday protective stop,36.49800488110682,gap_open
NVDA,2016-03-02,2016-05-04,32.586285,34.6518875845929,318.0,0.0,0.061264057684524476,Intraday protective stop,34.66922219569074,intraday
NVDA,2016-05-26,2016-06-27,45.272625,44.919607315537085,243.0,0.0,-0.009780019374375115,Intraday protective stop,44.94207835471444,intraday
NVDA,2016-07-05,2016-09-09,46.423199999999994,59.19247329133442,235.0,27.072,0.2749937860060614,Intraday protective stop,59.22208433350117,intraday
NVDA,2016-09-23,2016-10-13,65.13255,64.25518417561882,213.0,0.0,-0.015441554349492459,Intraday protective stop,64.28732783953859,intraday
NVDA,2016-10-14,2016-11-03,66.183075,67.04748674412262,207.0,0.0,0.011036820692402971,Intraday protective stop,67.0810272577515,intraday
NVDA,2016-11-10,2016-11-10,71.52574499999999,67.04748674412262,193.0,0.0,-0.06448334468034023,Intraday protective stop,67.0810272577515,intraday
NVDA,2016-11-11,2017-01-03,79.549755,102.57922238753363,162.0,22.680000000000003,0.2886793810503878,Intraday protective stop,102.63053765636181,intraday
STX,2017-01-04,2017-01-11,39.74986499999999,36.212135633104566,419.0,0.0,-0.09081996344496479,Intraday protective stop,36.230250758483805,intraday
MU,2017-01-12,2017-01-30,22.47123,23.80809,511.0,0.0,0.05737520325373335,Leader rotation,,
STX,2017-01-30,2017-03-09,44.4222,45.85935248634033,356.0,0.0,0.030289481575553445,Intraday protective stop,45.882293633156905,intraday
MU,2017-03-10,2017-03-21,25.29264,26.28685,498.0,0.0,0.03723173307249983,Leader rotation,,
INCY,2017-03-21,2017-03-31,148.43418,135.85327275482948,82.0,0.0,-0.08658613774515933,Intraday protective stop,135.92123337151523,intraday
WDC,2017-04-03,2017-06-09,82.64129999999999,85.35652852247937,190.0,0.0,0.0307919406876338,Intraday protective stop,85.39922813654763,intraday
NVDA,2017-07-18,2017-08-11,161.86088999999998,156.66980912619735,100.0,0.0,-0.034005172376497916,Intraday protective stop,156.74818321780626,intraday
VRTX,2017-09-01,2017-09-27,160.84037999999998,147.57703288496856,73.0,0.0,-0.08429603512249095,Intraday protective stop,147.65085831412563,intraday
MU,2017-09-28,2017-10-09,37.168575,39.70014,303.0,0.0,0.06597627272390838,Leader rotation,,
VRTX,2017-10-09,2017-10-25,155.927925,147.57703288496856,72.0,0.0,-0.055447100457437504,Intraday protective stop,147.65085831412563,intraday
