,equity
2015-10-19,10000.0
2015-10-20,9796.369138000002
2015-10-21,9709.499138000003
2015-10-22,9847.879138000002
2015-10-23,10444.919138000003
2015-10-26,10607.779138000004
2015-10-27,10648.579138000003
2015-10-28,10752.109138000003
2015-10-29,10912.759138000001
2015-10-30,10901.709138000002
2015-11-02,10943.359138000003
2015-11-03,10891.679138000001
2015-11-04,11157.559138000004
2015-11-05,11407.459138000002
2015-11-06,11470.700838000002
2015-11-09,11404.740838000002
2015-11-10,11475.970838000003
2015-11-11,11706.660838000002
2015-11-12,11576.609138000003
2015-11-13,11181.359138000003
2015-11-16,10927.012434292636
2015-11-17,10927.012434292636
2015-11-18,10927.012434292636
2015-11-19,10927.012434292636
2015-11-20,10927.012434292636
2015-11-23,10927.012434292636
2015-11-24,10927.012434292636
2015-11-25,10927.012434292636
2015-11-27,10927.012434292636
2015-11-30,10927.012434292636
2015-12-01,10927.012434292636
2015-12-02,10867.770480177638
2015-12-03,10686.130480177639
2015-12-04,10989.66048017764
2015-12-07,10941.860480177638
2015-12-08,11101.990480177637
2015-12-09,10917.960480177639
2015-12-10,10867.770480177638
2015-12-11,10590.530480177638
2015-12-14,10767.390480177639
2015-12-15,10946.640480177639
2015-12-16,11066.140480177639
2015-12-17,10984.880480177639
2015-12-18,10889.280480177638
2015-12-21,10953.810480177639
2015-12-22,11066.140480177639
2015-12-23,10977.710480177639
2015-12-24,10996.83048017764
2015-12-28,11023.120480177638
2015-12-29,11154.570480177637
2015-12-30,11118.720480177639
2015-12-31,10946.640480177639
2016-01-04,10686.130480177639
2016-01-05,10571.41048017764
2016-01-06,10362.41410041764
2016-01-07,10362.41410041764
2016-01-08,10362.41410041764
2016-01-11,10362.41410041764
2016-01-12,10362.41410041764
2016-01-13,10362.41410041764
2016-01-14,10362.41410041764
2016-01-15,10362.41410041764
2016-01-19,10362.41410041764
2016-01-20,10362.41410041764
2016-01-21,10362.41410041764
2016-01-22,10362.41410041764
2016-01-25,10362.41410041764
2016-01-26,10362.41410041764
2016-01-27,10362.41410041764
2016-01-28,10362.41410041764
2016-01-29,10362.41410041764
2016-02-01,10362.41410041764
2016-02-02,10362.41410041764
2016-02-03,10362.41410041764
2016-02-04,10362.41410041764
2016-02-05,10362.41410041764
2016-02-08,10362.41410041764
2016-02-09,10362.41410041764
2016-02-10,10362.41410041764
2016-02-11,10362.41410041764
2016-02-12,10362.41410041764
2016-02-16,10362.41410041764
2016-02-17,10362.41410041764
2016-02-18,10362.41410041764
2016-02-19,10362.41410041764
2016-02-22,10362.41410041764
2016-02-23,10362.41410041764
2016-02-24,10362.41410041764
2016-02-25,10362.41410041764
2016-02-26,10362.41410041764
2016-02-29,10362.41410041764
2016-03-01,10362.41410041764
2016-03-02,10464.21190307264
2016-03-03,10372.28190307264
2016-03-04,10340.58190307264
2016-03-07,10274.011903072642
2016-03-08,10086.981903072641
2016-03-09,10080.641903072641
2016-03-10,10064.79190307264
2016-03-11,10235.971903072641
2016-03-14,10261.33190307264
2016-03-15,10210.611903072642
2016-03-16,10514.931903072642
2016-03-17,10426.171903072642
2016-03-18,10740.001903072642
2016-03-21,10771.70190307264
2016-03-22,10752.681903072642
2016-03-23,10936.54190307264
2016-03-24,10952.391903072641
2016-03-28,11063.34190307264
2016-03-29,11240.861903072642
2016-03-30,11358.151903072641
2016-03-31,11316.941903072642
2016-04-01,11481.78190307264
2016-04-04,11370.83190307264
2016-04-05,11354.981903072641
2016-04-06,11370.83190307264
2016-04-07,11253.54190307264
2016-04-08,11326.45190307264
2016-04-11,11396.191903072642
2016-04-12,11383.511903072642
2016-04-13,11668.811903072641
2016-04-14,11700.511903072642
2016-04-15,11792.441903072642
2016-04-18,11741.721903072641
2016-04-19,11532.501903072642
2016-04-20,11576.881903072643
2016-04-21,11564.20190307264
2016-04-22,11519.821903072641
2016-04-25,11576.881903072643
2016-04-26,11586.391903072641
2016-04-27,11849.501903072642
2016-04-28,11497.631903072643
2016-04-29,11285.241903072641
2016-05-02,11434.231903072641
2016-05-03,11297.921903072642
2016-05-04,10995.895619024273
2016-05-05,10995.895619024273
2016-05-06,10995.895619024273
2016-05-09,10995.895619024273
2016-05-10,10995.895619024273
2016-05-11,10995.895619024273
2016-05-12,10995.895619024273
2016-05-13,10995.895619024273
2016-05-16,10995.895619024273
2016-05-17,10995.895619024273
2016-05-18,10995.895619024273
2016-05-19,10995.895619024273
2016-05-20,10995.895619024273
2016-05-23,10995.895619024273
2016-05-24,10995.895619024273
2016-05-25,10995.895619024273
2016-05-26,11076.264393774274
2016-05-27,11136.764393774274
2016-05-31,11335.204393774275
2016-06-01,11356.984393774275
2016-06-02,11436.844393774276
2016-06-03,11277.124393774275
2016-06-06,11219.044393774275
2016-06-07,11240.824393774274
2016-06-08,11204.524393774274
2016-06-09,11494.924393774276
2016-06-10,11209.364393774276
2016-06-13,11352.144393774275
2016-06-14,11373.924393774276
