,equity
2015-10-19,10000.0
2015-10-20,9796.369138000002
2015-10-21,9709.499138000003
2015-10-22,9847.879138000002
2015-10-23,10444.919138000003
2015-10-26,10607.779138000004
2015-10-27,10648.579138000003
2015-10-28,10752.109138000003
2015-10-29,10912.759138000001
2015-10-30,10901.709138000002
2015-11-02,10943.359138000003
2015-11-03,10891.679138000001
2015-11-04,11157.559138000004
2015-11-05,11407.459138000002
2015-11-06,11470.700838000002
2015-11-09,11404.740838000002
2015-11-10,11475.970838000003
2015-11-11,11706.660838000002
2015-11-12,11576.609138000003
2015-11-13,11181.359138000003
2015-11-16,11274.179138000001
2015-11-17,11197.510838000004
2015-11-18,11541.589138000003
2015-11-19,11503.000838000002
2015-11-20,11625.059138000004
2015-11-23,11804.239138000003
2015-11-24,11670.959138000002
2015-11-25,11742.189138000003
2015-11-27,11706.829138000003
2015-11-30,11563.009138000001
2015-12-01,11805.429138000001
2015-12-02,11753.580838000002
2015-12-03,11587.659138000003
2015-12-04,11696.289138000002
2015-12-07,11648.519138000003
2015-12-08,11776.019138000003
2015-12-09,11562.839138000003
2015-12-10,11520.849138000003
2015-12-11,11143.960838000003
2015-12-14,11445.880838000005
2015-12-15,11458.290838000003
2015-12-16,11749.499138000003
2015-12-17,11662.459138000002
2015-12-18,11551.789138000002
2015-12-21,11558.079138000003
2015-12-22,11534.959138000002
2015-12-23,11544.309138000004
2015-12-24,11528.839138000003
2015-12-28,11739.810838000003
2015-12-29,12058.899138000002
2015-12-30,11975.600838000004
2015-12-31,11751.539138000002
2016-01-04,11090.239138000003
2016-01-05,11241.539706310004
2016-01-06,11241.539706310004
2016-01-07,11241.539706310004
2016-01-08,11241.539706310004
2016-01-11,11241.539706310004
2016-01-12,11241.539706310004
2016-01-13,11241.539706310004
2016-01-14,11241.539706310004
2016-01-15,11241.539706310004
2016-01-19,11241.539706310004
2016-01-20,11241.539706310004
2016-01-21,11241.539706310004
2016-01-22,11241.539706310004
2016-01-25,11241.539706310004
2016-01-26,11241.539706310004
2016-01-27,11241.539706310004
2016-01-28,11241.539706310004
2016-01-29,11241.539706310004
2016-02-01,11241.539706310004
2016-02-02,11241.539706310004
2016-02-03,11241.539706310004
2016-02-04,11241.539706310004
2016-02-05,11241.539706310004
2016-02-08,11241.539706310004
2016-02-09,11241.539706310004
2016-02-10,11241.539706310004
2016-02-11,11241.539706310004
2016-02-12,11241.539706310004
2016-02-16,11241.539706310004
2016-02-17,11241.539706310004
2016-02-18,11241.539706310004
2016-02-19,11241.539706310004
2016-02-22,11241.539706310004
2016-02-23,11241.539706310004
2016-02-24,11241.539706310004
2016-02-25,11241.539706310004
2016-02-26,11241.539706310004
2016-02-29,11241.539706310004
2016-03-01,11241.539706310004
2016-03-02,11352.007984270005
2016-03-03,11252.247984270007
2016-03-04,11217.847984270005
2016-03-07,11145.607984270007
2016-03-08,10942.647984270006
2016-03-09,10935.767984270007
2016-03-10,10918.567984270006
2016-03-11,11104.327984270007
2016-03-14,11131.847984270005
2016-03-15,11076.807984270006
2016-03-16,11407.047984270006
2016-03-17,11310.727984270006
2016-03-18,11651.287984270008
2016-03-21,11685.687984270005
2016-03-22,11665.047984270006
2016-03-23,11864.567984270006
2016-03-24,11881.767984270005
2016-03-28,12002.167984270005
2016-03-29,12194.807984270006
2016-03-30,12322.087984270005
2016-03-31,12277.367984270008
2016-04-01,12456.247984270007
2016-04-04,12335.847984270005
2016-04-05,12318.647984270006
2016-04-06,12335.847984270005
2016-04-07,12208.567984270006
2016-04-08,12287.687984270005
2016-04-11,12363.367984270008
2016-04-12,12349.607984270007
2016-04-13,12659.207984270008
2016-04-14,12693.607984270007
2016-04-15,12793.367984270008
2016-04-18,12738.327984270007
2016-04-19,12511.287984270008
2016-04-20,12559.447984270008
2016-04-21,12545.687984270005
2016-04-22,12497.527984270007
2016-04-25,12559.447984270008
2016-04-26,12569.767984270005
2016-04-27,12855.287984270008
2016-04-28,12473.447984270008
2016-04-29,12242.967984270006
2016-05-02,12404.647984270006
2016-05-03,12256.727984270006
2016-05-04,11978.087984270005
2016-05-05,12050.327984270007
2016-05-06,12174.167984270005
2016-05-09,12156.967984270006
2016-05-10,12390.887984270006
2016-05-11,12425.287984270008
2016-05-12,12256.727984270006
2016-05-13,14117.767984270005
2016-05-16,14534.007984270005
2016-05-17,14564.967984270006
2016-05-18,14936.487984270007
2016-05-19,15001.847984270005
2016-05-20,15270.167984270005
2016-05-23,15294.247984270007
2016-05-24,15664.116784270007
2016-05-25,15598.756784270008
2016-05-26,15763.876784270007
2016-05-27,15849.876784270007
2016-05-31,16131.956784270007
2016-06-01,16162.916784270008
2016-06-02,16276.436784270007
2016-06-03,16049.396784270006
2016-06-06,15966.836784270008
2016-06-07,15997.796784270005
2016-06-08,15946.196784270007
2016-06-09,16358.996784270008
2016-06-10,15953.076784270008
2016-06-13,16156.036784270007
2016-06-14,16186.996784270008
