,equity
2015-10-19,10000.0
2015-10-20,9796.369138000002
2015-10-21,9709.499138000003
2015-10-22,9847.879138000002
2015-10-23,10444.919138000003
2015-10-26,10607.779138000004
2015-10-27,10648.579138000003
2015-10-28,10752.109138000003
2015-10-29,10912.759138000001
2015-10-30,10901.709138000002
2015-11-02,10943.359138000003
2015-11-03,10891.679138000001
2015-11-04,11157.559138000004
2015-11-05,11216.165857100004
2015-11-06,11255.365857100005
2015-11-09,10961.365857100005
2015-11-10,11160.165857100004
2015-11-11,11171.365857100005
2015-11-12,10895.565857100006
2015-11-13,10488.142960440007
2015-11-16,10575.502960440006
2015-11-17,10503.344560440008
2015-11-18,10827.182960440006
2015-11-19,10790.864560440006
2015-11-20,10905.742960440008
2015-11-23,11074.382960440007
2015-11-24,10948.942960440007
2015-11-25,11015.982960440007
2015-11-27,10982.702960440007
2015-11-30,10847.342960440006
2015-12-01,11075.502960440006
2015-12-02,11085.246922740009
2015-12-03,11070.046922740008
2015-12-04,11095.446922740008
2015-12-07,11091.446922740008
2015-12-08,11104.84692274001
2015-12-09,11089.446922740008
2015-12-10,11085.246922740009
2015-12-11,11001.075432490014
2015-12-14,11028.115432490013
2015-12-15,11163.315432490012
2015-12-16,11230.915432490014
2015-12-17,11061.915432490014
2015-12-18,10882.775432490012
2015-12-21,11137.965432490013
2015-12-22,11149.795432490013
2015-12-23,11192.045432490013
2015-12-24,11230.915432490014
2015-12-28,11220.775432490012
2015-12-29,11403.295432490013
2015-12-30,11305.275432490012
2015-12-31,11159.935432490012
2016-01-04,10960.515432490012
2016-01-05,11136.275432490012
2016-01-06,10676.595432490014
2016-01-07,10393.995447550014
2016-01-08,10393.995447550014
2016-01-11,10393.995447550014
2016-01-12,10393.995447550014
2016-01-13,10393.995447550014
2016-01-14,10393.995447550014
2016-01-15,10393.995447550014
2016-01-19,10393.995447550014
2016-01-20,10393.995447550014
2016-01-21,10393.995447550014
2016-01-22,10393.995447550014
2016-01-25,10393.995447550014
2016-01-26,10393.995447550014
2016-01-27,10393.995447550014
2016-01-28,10393.995447550014
2016-01-29,10393.995447550014
2016-02-01,10393.995447550014
2016-02-02,10393.995447550014
2016-02-03,10393.995447550014
2016-02-04,10393.995447550014
2016-02-05,10393.995447550014
2016-02-08,10393.995447550014
2016-02-09,10393.995447550014
2016-02-10,10393.995447550014
2016-02-11,10393.995447550014
2016-02-12,10393.995447550014
2016-02-16,10393.995447550014
2016-02-17,10393.995447550014
2016-02-18,10393.995447550014
2016-02-19,10393.995447550014
2016-02-22,10393.995447550014
2016-02-23,10393.995447550014
2016-02-24,10393.995447550014
2016-02-25,10393.995447550014
2016-02-26,10393.995447550014
2016-02-29,10393.995447550014
2016-03-01,10393.995447550014
2016-03-02,10496.114378920018
2016-03-03,10403.894378920017
2016-03-04,10372.094378920017
2016-03-07,10305.314378920018
2016-03-08,10117.694378920018
2016-03-09,10111.334378920017
2016-03-10,10095.434378920017
2016-03-11,10267.154378920017
2016-03-14,10292.594378920017
2016-03-15,10221.14394779002
2016-03-16,10220.58394779002
2016-03-17,10225.70394779002
2016-03-18,10225.46394779002
2016-03-21,10751.31126583002
2016-03-22,10683.451265830021
2016-03-23,10566.451265830021
2016-03-24,10517.31126583002
2016-03-28,10327.77126583002
2016-03-29,10599.211265830021
2016-03-30,10718.551265830021
2016-03-31,10540.711265830021
2016-04-01,10676.431265830022
2016-04-04,10571.131265830021
2016-04-05,10412.01126583002
2016-04-06,10414.35126583002
2016-04-07,10330.11126583002
2016-04-08,10580.491265830022
2016-04-11,10872.991265830022
2016-04-12,11151.451265830021
2016-04-13,11582.01126583002
2016-04-14,11584.35126583002
2016-04-15,11429.911265830022
2016-04-18,11560.951265830021
2016-04-19,11362.051265830021
2016-04-20,11507.131265830021
2016-04-21,11231.01126583002
2016-04-22,11209.951265830021
2016-04-25,10952.551265830021
2016-04-26,10812.151265830022
2016-04-27,10734.931265830022
2016-04-28,10730.25126583002
2016-04-29,10388.61126583002
2016-05-02,10361.626802350022
2016-05-03,10361.626802350022
2016-05-04,10361.626802350022
2016-05-05,10361.626802350022
2016-05-06,10361.626802350022
2016-05-09,10361.626802350022
2016-05-10,10361.626802350022
2016-05-11,10361.626802350022
2016-05-12,10361.626802350022
2016-05-13,10361.626802350022
2016-05-16,10361.626802350022
2016-05-17,10361.626802350022
2016-05-18,10361.626802350022
2016-05-19,10361.626802350022
2016-05-20,10361.626802350022
2016-05-23,10361.626802350022
2016-05-24,10361.626802350022
2016-05-25,10361.626802350022
2016-05-26,10437.346143850022
2016-05-27,10494.346143850022
2016-05-31,10681.306143850023
2016-06-01,10701.826143850023
2016-06-02,10777.066143850023
2016-06-03,10626.586143850021
2016-06-06,10571.866143850024
2016-06-07,10592.386143850023
2016-06-08,10558.186143850022
2016-06-09,10831.786143850024
2016-06-10,10562.746143850023
2016-06-13,10697.266143850022
2016-06-14,10717.786143850024
