,equity
2015-10-19,10000.0
2015-10-20,9796.369138000002
2015-10-21,9709.499138000003
2015-10-22,9847.879138000002
2015-10-23,10444.919138000003
2015-10-26,10607.779138000004
2015-10-27,10648.579138000003
2015-10-28,10752.109138000003
2015-10-29,10912.759138000001
2015-10-30,10901.709138000002
2015-11-02,10943.359138000003
2015-11-03,10891.679138000001
2015-11-04,11157.559138000004
2015-11-05,11204.807446475004
2015-11-06,11259.127446475004
2015-11-09,10851.727446475004
2015-11-10,11127.207446475004
2015-11-11,11142.727446475004
2015-11-12,10760.547446475004
2015-11-13,10249.357446475005
2015-11-16,10996.257446475003
2015-11-17,11554.007446475003
2015-11-18,11896.417446475003
2015-11-19,11856.647446475004
2015-11-20,12207.787446475004
2015-11-23,12323.217446475004
2015-11-24,12156.377446475004
2015-11-25,12238.827446475005
2015-11-27,12362.987446475005
2015-11-30,12158.317446475005
2015-12-01,12356.197446475006
2015-12-02,12274.387022765008
2015-12-03,12031.947022765005
2015-12-04,12437.077022765006
2015-12-07,12373.277022765005
2015-12-08,12587.007022765007
2015-12-09,12341.377022765007
2015-12-10,12274.387022765008
2015-12-11,11904.347022765007
2015-12-14,12140.407022765006
2015-12-15,12379.657022765006
2015-12-16,12539.157022765006
2015-12-17,12430.697022765005
2015-12-18,12303.097022765007
2015-12-21,12389.227022765008
2015-12-22,12539.157022765006
2015-12-23,12421.127022765007
2015-12-24,12446.647022765008
2015-12-28,12481.737022765006
2015-12-29,12657.187022765005
2015-12-30,12609.337022765007
2015-12-31,12379.657022765006
2016-01-04,12031.947022765005
2016-01-05,11878.827022765006
2016-01-06,11767.177022765007
2016-01-07,11601.297022765008
2016-01-08,11749.578875770007
2016-01-11,11749.578875770007
2016-01-12,11749.578875770007
2016-01-13,11749.578875770007
2016-01-14,11749.578875770007
2016-01-15,11749.578875770007
2016-01-19,11749.578875770007
2016-01-20,11749.578875770007
2016-01-21,11749.578875770007
2016-01-22,11749.578875770007
2016-01-25,11749.578875770007
2016-01-26,11749.578875770007
2016-01-27,11749.578875770007
2016-01-28,11749.578875770007
2016-01-29,11749.578875770007
2016-02-01,11749.578875770007
2016-02-02,11749.578875770007
2016-02-03,11749.578875770007
2016-02-04,11749.578875770007
2016-02-05,11749.578875770007
2016-02-08,11749.578875770007
2016-02-09,11749.578875770007
2016-02-10,11749.578875770007
2016-02-11,11749.578875770007
2016-02-12,11749.578875770007
2016-02-16,11749.578875770007
2016-02-17,11749.578875770007
2016-02-18,11749.578875770007
2016-02-19,11749.578875770007
2016-02-22,11749.578875770007
2016-02-23,11749.578875770007
2016-02-24,11749.578875770007
2016-02-25,11749.578875770007
2016-02-26,11749.578875770007
2016-02-29,11749.578875770007
2016-03-01,11749.578875770007
2016-03-02,11864.542955740008
2016-03-03,11760.722955740008
2016-03-04,11724.922955740009
2016-03-07,11649.74295574001
2016-03-08,11438.522955740009
2016-03-09,11431.362955740009
2016-03-10,11413.46295574001
2016-03-11,11606.78295574001
2016-03-14,11635.422955740009
2016-03-15,11578.14295574001
2016-03-16,11921.82295574001
2016-03-17,11821.582955740008
2016-03-18,11871.786414395014
2016-03-21,11807.166414395013
2016-03-22,11670.746414395013
2016-03-23,11760.496414395013
2016-03-24,11717.416414395013
2016-03-28,11728.186414395013
2016-03-29,11871.786414395014
2016-03-30,12162.576414395015
2016-03-31,11885.981157740018
2016-04-01,12041.421157740018
2016-04-04,11920.821157740018
2016-04-05,11738.581157740018
2016-04-06,11741.261157740017
2016-04-07,11644.781157740017
2016-04-08,11931.541157740017
2016-04-11,12266.541157740017
2016-04-12,12585.461157740017
2016-04-13,13078.581157740018
2016-04-14,13081.261157740017
2016-04-15,12904.381157740017
2016-04-18,13054.461157740017
2016-04-19,12826.661157740018
2016-04-20,12992.821157740018
2016-04-21,12676.581157740018
2016-04-22,12652.461157740017
2016-04-25,12357.661157740018
2016-04-26,12196.861157740019
2016-04-27,12108.421157740018
2016-04-28,12103.061157740018
2016-04-29,11711.781157740017
2016-05-02,11680.875874780018
2016-05-03,11680.875874780018
2016-05-04,11680.875874780018
2016-05-05,11680.875874780018
2016-05-06,11680.875874780018
2016-05-09,11680.875874780018
2016-05-10,11680.875874780018
2016-05-11,11680.875874780018
2016-05-12,11680.875874780018
2016-05-13,11680.875874780018
2016-05-16,11680.875874780018
2016-05-17,11680.875874780018
2016-05-18,11680.875874780018
2016-05-19,11680.875874780018
2016-05-20,11680.875874780018
2016-05-23,11680.875874780018
2016-05-24,11680.875874780018
2016-05-25,11680.875874780018
2016-05-26,11766.22618515502
2016-05-27,11830.47618515502
2016-05-31,12041.216185155019
2016-06-01,12064.34618515502
2016-06-02,12149.15618515502
2016-06-03,11979.536185155019
2016-06-06,11917.85618515502
2016-06-07,11940.98618515502
2016-06-08,11902.43618515502
2016-06-09,12210.83618515502
2016-06-10,11907.576185155021
2016-06-13,12059.20618515502
2016-06-14,12082.33618515502
