symbol,entry_time,exit_time,entry_price,exit_price,quantity,corporate_action_cash,pnl_pct,exit_reason
AMZN,2015-10-20,2015-11-05,572.286,646.7764500000001,17.0,0.0,0.12790491006356874,Leader rotation
NFLX,2015-11-05,2015-12-02,113.80687499999999,125.467235,97.0,0.0,0.10025471847624523,Leader rotation
ATVI,2015-12-02,2016-01-08,38.589285,36.771605,319.0,0.0,-0.04900712050663114,Supertrend down
NVDA,2016-03-02,2016-03-18,32.586285,33.193395,358.0,0.0,0.01659561777200258,Leader rotation
MAT,2016-03-18,2016-03-31,32.946464999999996,33.493245,359.0,0.0,0.014564853302788006,Leader rotation
CTRP,2016-03-31,2016-05-02,45.07252499999999,43.53822,268.0,0.0,-0.03597079264029324,Supertrend down
NVDA,2016-05-26,2017-01-04,45.272625,103.34830000000001,257.0,65.5864,1.2838692243945422,Supertrend down
STX,2017-01-04,2017-02-02,39.74986499999999,44.267855000000004,662.0,0.0,0.11143541587531813,Leader rotation
NVDA,2017-02-02,2017-02-14,113.35664999999999,107.936005,260.0,0.0,-0.04972184122983814,Supertrend down
STX,2017-02-14,2017-02-15,47.673824999999994,47.906035,588.0,0.0,0.0028630731088530315,Leader rotation
CSX,2017-02-15,2017-02-17,47.01339495,47.50613505,585.0,0.0,0.008461902138227728,Leader rotation
MU,2017-02-17,2017-03-01,23.021505,24.147920000000003,1233.0,0.0,0.04683305490203238,Leader rotation
CSX,2017-03-01,2017-03-06,49.224700049999996,49.09544,593.0,0.0,-0.004618673897084924,Leader rotation
MU,2017-03-06,2017-03-21,25.512749999999997,26.28685,1159.0,0.0,0.02828306714010953,Leader rotation
INCY,2017-03-21,2017-04-03,148.43418,134.9325,204.0,0.0,-0.0927769830681544,Supertrend down
WDC,2017-04-03,2017-04-21,82.64129999999999,84.60767500000001,331.0,0.0,0.02174855303950607,Leader rotation
CSX,2017-04-21,2017-05-12,49.85501505,52.044164900000006,565.0,0.0,0.04182458880925499,Leader rotation
NVDA,2017-05-12,2017-07-05,126.69331499999998,141.82905000000002,231.0,32.34,0.11833473940267081,Supertrend down
NVDA,2017-07-18,2017-07-20,161.86088999999998,165.847035,199.0,0.0,0.02257977385832577,Leader rotation
VRTX,2017-07-20,2017-10-26,160.01997,144.80756,209.0,0.0,-0.09687375765790851,Supertrend down
NVDA,2017-10-26,2017-10-30,194.87739,201.75907000000004,155.0,0.0,0.03324431312952747,Leader rotation
ALGN,2017-10-30,2017-12-05,234.46717499999997,224.90749000000002,132.0,0.0,-0.04268849409042241,Supertrend down
DLTR,2017-12-19,2018-01-08,109.57475999999998,110.70462,273.0,0.0,0.00829271219076344,Leader rotation
TTWO,2018-01-08,2018-01-09,116.55824999999999,117.711115,259.0,0.0,0.007873127445230166,Leader rotation
ALGN,2018-01-09,2018-02-06,250.125,232.593645,121.0,0.0,-0.07194833610167928,Supertrend down
NVDA,2018-02-16,2018-02-26,245.5227,247.67610000000002,114.0,17.099999999999998,0.007365481102940219,Leader rotation
ALGN,2018-02-26,2018-03-09,266.9334,269.865,106.0,0.0,0.008962569655237118,Leader rotation
MU,2018-03-09,2018-03-26,55.787879999999994,56.23187,515.0,0.0,0.005944635490515493,Supertrend down
NFLX,2018-05-11,2018-07-18,329.814825,381.04938000000004,87.0,0.0,0.15303501768734207,Supertrend down
AMZN,2018-07-18,2018-07-26,1848.924,1838.0805,17.0,0.0,-0.007851046614943735,Leader rotation
ALGN,2018-07-26,2018-08-30,377.798805,382.88846,87.0,0.0,0.011446947514585526,Leader rotation
AMZN,2018-08-30,2018-09-04,1998.41871,2025.48675,16.0,0.0,0.011519664678566688,Leader rotation
ILMN,2018-09-04,2018-10-05,354.35708999999997,333.833,94.0,0.0,-0.059801509830095134,Supertrend down
XLNX,2018-12-04,2018-12-20,93.96696,84.70762500000001,336.0,0.0,-0.1003393214380458,Supertrend down
REGN,2019-01-10,2019-01-25,399.5996999999999,410.64457500000003,71.0,0.0,0.02558662160827807,Leader rotation
XLNX,2019-01-25,2019-04-26,105.97296,115.46224000000001,275.0,99.0,0.09076113919462658,Supertrend down
MELI,2019-04-26,2019-08-06,491.435595,588.235735,65.0,0.0,0.19458265701362953,Supertrend down
QCOM,2019-09-06,2019-10-09,78.99947999999999,73.873045,484.0,300.08,-0.05892004443735399,Supertrend down
ASML,2019-10-16,2019-10-25,260.39013,262.318775,134.0,0.0,0.005393950851503515,Leader rotation
LRCX,2019-10-25,2019-11-08,265.1325,271.16435,136.0,0.0,0.020706865763017168,Leader rotation
QCOM,2019-11-08,2019-11-19,90.02499,91.204375,410.0,0.0,0.011076463063461217,Leader rotation
LRCX,2019-11-19,2019-11-25,284.71228499999995,263.937965,130.0,0.0,-0.07481822774671798,Supertrend down
AMD,2019-11-25,2019-12-17,39.519749999999995,42.488745,875.0,0.0,0.07297876131800995,Leader rotation
TSLA,2019-12-17,2020-02-06,379.179495,699.56954025,96.0,0.0,0.8412699212831622,Supertrend down
LRCX,2020-02-06,2020-02-20,326.16299999999995,331.784025,207.0,0.0,0.015201355932907612,Leader rotation
SGEN,2020-02-20,2020-02-28,119.54974499999999,104.46774,575.0,0.0,-0.12790267142139633,Supertrend down
