,equity
2015-10-19,10000.0
2015-10-20,9796.369138000002
2015-10-21,9709.499138000003
2015-10-22,9847.879138000002
2015-10-23,10444.919138000003
2015-10-26,10607.779138000004
2015-10-27,10648.579138000003
2015-10-28,10752.109138000003
2015-10-29,10912.759138000001
2015-10-30,10901.709138000002
2015-11-02,10943.359138000003
2015-11-03,10891.679138000001
2015-11-04,11157.559138000004
2015-11-05,11204.807446475004
2015-11-06,11259.127446475004
2015-11-09,10851.727446475004
2015-11-10,11127.207446475004
2015-11-11,11142.727446475004
2015-11-12,10760.547446475004
2015-11-13,10249.357446475005
2015-11-16,10996.257446475003
2015-11-17,11554.007446475003
2015-11-18,11896.417446475003
2015-11-19,11856.647446475004
2015-11-20,12207.787446475004
2015-11-23,12323.217446475004
2015-11-24,12156.377446475004
2015-11-25,12238.827446475005
2015-11-27,12362.987446475005
2015-11-30,12158.317446475005
2015-12-01,12356.197446475006
2015-12-02,12274.387022765008
2015-12-03,12031.947022765005
2015-12-04,12437.077022765006
2015-12-07,12373.277022765005
2015-12-08,12587.007022765007
2015-12-09,12341.377022765007
2015-12-10,12274.387022765008
2015-12-11,11904.347022765007
2015-12-14,12140.407022765006
2015-12-15,12379.657022765006
2015-12-16,12539.157022765006
2015-12-17,12430.697022765005
2015-12-18,12303.097022765007
2015-12-21,12389.227022765008
2015-12-22,12539.157022765006
2015-12-23,12421.127022765007
2015-12-24,12446.647022765008
2015-12-28,12481.737022765006
2015-12-29,12657.187022765005
2015-12-30,12609.337022765007
2015-12-31,12379.657022765006
2016-01-04,12031.947022765005
2016-01-05,11878.827022765006
2016-01-06,11767.177022765007
2016-01-07,11601.297022765008
2016-01-08,11749.578875770007
2016-01-11,11749.578875770007
2016-01-12,11749.578875770007
2016-01-13,11749.578875770007
2016-01-14,11749.578875770007
2016-01-15,11749.578875770007
2016-01-19,11749.578875770007
2016-01-20,11749.578875770007
2016-01-21,11749.578875770007
2016-01-22,11749.578875770007
2016-01-25,11749.578875770007
2016-01-26,11749.578875770007
2016-01-27,11749.578875770007
2016-01-28,11749.578875770007
2016-01-29,11749.578875770007
2016-02-01,11749.578875770007
2016-02-02,11749.578875770007
2016-02-03,11749.578875770007
2016-02-04,11749.578875770007
2016-02-05,11749.578875770007
2016-02-08,11749.578875770007
2016-02-09,11749.578875770007
2016-02-10,11749.578875770007
2016-02-11,11749.578875770007
2016-02-12,11749.578875770007
2016-02-16,11749.578875770007
2016-02-17,11749.578875770007
2016-02-18,11749.578875770007
2016-02-19,11749.578875770007
2016-02-22,11749.578875770007
2016-02-23,11749.578875770007
2016-02-24,11749.578875770007
2016-02-25,11749.578875770007
2016-02-26,11749.578875770007
2016-02-29,11749.578875770007
2016-03-01,11749.578875770007
2016-03-02,11864.542955740008
2016-03-03,11760.722955740008
2016-03-04,11724.922955740009
2016-03-07,11649.74295574001
2016-03-08,11438.522955740009
2016-03-09,11431.362955740009
2016-03-10,11413.46295574001
2016-03-11,11606.78295574001
2016-03-14,11635.422955740009
2016-03-15,11578.14295574001
2016-03-16,11921.82295574001
2016-03-17,11821.582955740008
2016-03-18,12176.00295574001
2016-03-21,12677.703849270009
2016-03-22,12597.083849270008
2016-03-23,12458.083849270008
2016-03-24,12399.703849270009
2016-03-28,12174.52384927001
2016-03-29,12497.003849270008
2016-03-30,12638.78384927001
2016-03-31,12427.503849270008
2016-04-01,12588.74384927001
2016-04-04,12463.643849270009
2016-04-05,12274.60384927001
2016-04-06,12277.383849270009
2016-04-07,12177.303849270009
2016-04-08,12474.763849270008
2016-04-11,12822.263849270008
2016-04-12,13153.083849270008
2016-04-13,13664.60384927001
2016-04-14,13667.383849270009
2016-04-15,13483.90384927001
2016-04-18,13639.583849270008
2016-04-19,13403.28384927001
2016-04-20,13575.643849270009
2016-04-21,13247.60384927001
2016-04-22,13222.583849270008
2016-04-25,12916.78384927001
2016-04-26,12749.98384927001
2016-04-27,12658.24384927001
2016-04-28,12652.68384927001
2016-04-29,12246.803849270009
2016-05-02,12214.74538411001
2016-05-03,12214.74538411001
2016-05-04,12214.74538411001
2016-05-05,12214.74538411001
2016-05-06,12214.74538411001
2016-05-09,12214.74538411001
2016-05-10,12214.74538411001
2016-05-11,12214.74538411001
2016-05-12,12214.74538411001
2016-05-13,12214.74538411001
2016-05-16,12214.74538411001
2016-05-17,12214.74538411001
2016-05-18,12214.74538411001
2016-05-19,12214.74538411001
2016-05-20,12214.74538411001
2016-05-23,12214.74538411001
2016-05-24,12214.74538411001
2016-05-25,12214.74538411001
2016-05-26,12304.080922985013
2016-05-27,12371.330922985013
2016-05-31,12591.910922985013
2016-06-01,12616.120922985014
2016-06-02,12704.890922985012
2016-06-03,12527.350922985011
2016-06-06,12462.790922985014
2016-06-07,12487.000922985013
2016-06-08,12446.650922985013
2016-06-09,12769.450922985014
2016-06-10,12452.030922985014
2016-06-13,12610.740922985013
2016-06-14,12634.950922985014
