symbol,entry_time,exit_time,entry_price,exit_price,quantity,corporate_action_cash,pnl_pct,exit_reason
AMZN,2015-10-20,2015-11-05,572.286,646.7764500000001,17.0,0.0,0.12790491006356874,Leader rotation
NFLX,2015-11-05,2015-12-02,113.80687499999999,125.467235,97.0,0.0,0.10025471847624523,Leader rotation
ATVI,2015-12-02,2016-01-08,38.589285,36.771605,319.0,0.0,-0.04900712050663114,Supertrend down
NVDA,2016-03-02,2016-03-21,32.586285,33.493245,358.0,0.0,0.025778956685931886,Leader rotation
CTRP,2016-03-21,2016-05-02,42.86142,43.53822,278.0,0.0,0.013760872818739056,Supertrend down
NVDA,2016-05-26,2017-01-04,45.272625,103.34830000000001,269.0,68.6488,1.2838692243945427,Supertrend down
STX,2017-01-04,2017-02-02,39.74986499999999,44.267855000000004,692.0,0.0,0.11143541587531813,Leader rotation
NVDA,2017-02-02,2017-02-14,113.35664999999999,107.936005,272.0,0.0,-0.04972184122983814,Supertrend down
STX,2017-02-14,2017-03-01,47.673824999999994,48.625675,616.0,0.0,0.017927988874310463,Leader rotation
CSX,2017-03-01,2017-03-07,49.224700049999996,49.67534990000001,607.0,0.0,0.007138660089171411,Leader rotation
MU,2017-03-07,2017-03-21,25.572779999999998,26.28685,1172.0,0.0,0.025869257123348532,Leader rotation
INCY,2017-03-21,2017-04-03,148.43418,134.9325,207.0,0.0,-0.0927769830681544,Supertrend down
WDC,2017-04-03,2017-04-21,82.64129999999999,84.60767500000001,336.0,0.0,0.02174855303950607,Leader rotation
CSX,2017-04-21,2017-05-12,49.85501505,52.044164900000006,574.0,0.0,0.04182458880925499,Leader rotation
NVDA,2017-05-12,2017-07-05,126.69331499999998,141.82905000000002,235.0,32.900000000000006,0.11833473940267081,Supertrend down
NVDA,2017-07-18,2017-07-20,161.86088999999998,165.847035,202.0,0.0,0.02257977385832577,Leader rotation
VRTX,2017-07-20,2017-10-26,160.01997,144.80756,212.0,0.0,-0.09687375765790851,Supertrend down
NVDA,2017-10-26,2017-10-30,194.87739,201.75907000000004,158.0,0.0,0.03324431312952747,Leader rotation
ALGN,2017-10-30,2017-12-05,234.46717499999997,224.90749000000002,134.0,0.0,-0.04268849409042241,Supertrend down
DLTR,2017-12-19,2018-01-08,109.57475999999998,110.70462,278.0,0.0,0.00829271219076344,Leader rotation
TTWO,2018-01-08,2018-01-22,116.55824999999999,117.711115,263.0,0.0,0.007873127445230166,Leader rotation
ALGN,2018-01-22,2018-02-06,269.77482,232.593645,114.0,0.0,-0.13954563130625952,Supertrend down
NVDA,2018-02-16,2018-03-13,245.5227,251.364255,108.0,16.2,0.022357113481294988,Leader rotation
MU,2018-03-13,2018-03-26,62.201085,56.23187,438.0,0.0,-0.09777267371801268,Supertrend down
NFLX,2018-05-11,2018-07-18,329.814825,381.04938000000004,74.0,0.0,0.1530350176873423,Supertrend down
AMZN,2018-07-18,2018-09-04,1848.924,2025.48675,15.0,0.0,0.0933060652717872,Leader rotation
ILMN,2018-09-04,2018-10-05,354.35708999999997,333.833,86.0,0.0,-0.059801509830095134,Supertrend down
XLNX,2018-12-04,2018-12-20,93.96696,84.70762500000001,307.0,0.0,-0.1003393214380458,Supertrend down
REGN,2019-01-10,2019-01-25,399.5996999999999,410.64457500000003,65.0,0.0,0.025586621608278293,Leader rotation
XLNX,2019-01-25,2019-04-26,105.97296,115.46224000000001,251.0,90.36,0.09076113919462658,Supertrend down
MELI,2019-04-26,2019-08-06,491.435595,588.235735,59.0,0.0,0.1945826570136293,Supertrend down
QCOM,2019-09-06,2019-10-09,78.99947999999999,73.873045,442.0,274.04,-0.05892004443735399,Supertrend down
ASML,2019-10-16,2019-10-25,260.39013,262.318775,122.0,0.0,0.005393950851503515,Leader rotation
LRCX,2019-10-25,2019-11-08,265.1325,271.16435,124.0,0.0,0.02070686576301739,Leader rotation
QCOM,2019-11-08,2019-11-27,90.02499,85.11742,374.0,0.0,-0.05640250307414374,Supertrend down
AMD,2019-11-27,2019-12-17,39.479729999999996,42.488745,806.0,0.0,0.07406642351904158,Leader rotation
TSLA,2019-12-17,2020-02-06,379.179495,699.56954025,89.0,0.0,0.8412699212831629,Supertrend down
LRCX,2020-02-06,2020-02-20,326.16299999999995,331.784025,191.0,0.0,0.015201355932907612,Leader rotation
SGEN,2020-02-20,2020-02-28,119.54974499999999,104.46774,531.0,0.0,-0.12790267142139633,Supertrend down
REGN,2020-04-15,2020-04-20,525.56265,566.4266450000001,105.0,0.0,0.07559949975815172,Leader rotation
TSLA,2020-04-20,2020-06-02,733.06685025,894.25314975,79.0,0.0,0.2174420789396212,Leader rotation
ZM,2020-06-02,2020-07-06,210.44517,264.74756,343.0,0.0,0.2555222524050036,Leader rotation
TSLA,2020-07-06,2020-07-23,1277.3288452499999,1678.110525,70.0,0.0,0.3111405594934302,Leader rotation
MRNA,2020-07-23,2020-08-14,82.62128999999999,68.02597,1349.0,0.0,-0.17829830572696226,Supertrend down
TSLA,2020-08-14,2020-08-19,1665.8219947499997,1864.06700025,59.0,0.0,0.11677153772860627,Leader rotation
ZM,2020-08-19,2020-08-24,274.81734,292.8535,400.0,0.0,0.06350049862893714,Leader rotation
