,equity
2015-10-19,10000.0
2015-10-20,9796.369138000002
2015-10-21,9709.499138000003
2015-10-22,9847.879138000002
2015-10-23,10444.919138000003
2015-10-26,10607.779138000004
2015-10-27,10648.579138000003
2015-10-28,10752.109138000003
2015-10-29,10912.759138000001
2015-10-30,10901.709138000002
2015-11-02,10943.359138000003
2015-11-03,10891.679138000001
2015-11-04,11157.559138000004
2015-11-05,11204.807446475004
2015-11-06,11259.127446475004
2015-11-09,10851.727446475004
2015-11-10,11127.207446475004
2015-11-11,11142.727446475004
2015-11-12,10760.547446475004
2015-11-13,10249.357446475005
2015-11-16,10996.257446475003
2015-11-17,11554.007446475003
2015-11-18,11896.417446475003
2015-11-19,11856.647446475004
2015-11-20,12207.787446475004
2015-11-23,12323.217446475004
2015-11-24,12156.377446475004
2015-11-25,12238.827446475005
2015-11-27,12362.987446475005
2015-11-30,12158.317446475005
2015-12-01,12356.197446475006
2015-12-02,12274.387022765008
2015-12-03,12031.947022765005
2015-12-04,12437.077022765006
2015-12-07,12373.277022765005
2015-12-08,12587.007022765007
2015-12-09,12341.377022765007
2015-12-10,12274.387022765008
2015-12-11,11981.636077885012
2015-12-14,12011.07607788501
2015-12-15,12158.27607788501
2015-12-16,12231.876077885012
2015-12-17,12047.876077885012
2015-12-18,11852.836077885011
2015-12-21,12130.676077885011
2015-12-22,12143.55607788501
2015-12-23,12189.55607788501
2015-12-24,12231.876077885012
2015-12-28,12220.836077885011
2015-12-29,12419.55607788501
2015-12-30,12312.836077885011
2015-12-31,12154.596077885011
2016-01-04,11937.47607788501
2016-01-05,12128.836077885011
2016-01-06,11628.356077885011
2016-01-07,11320.673254045012
2016-01-08,11320.673254045012
2016-01-11,11320.673254045012
2016-01-12,11320.673254045012
2016-01-13,11320.673254045012
2016-01-14,11320.673254045012
2016-01-15,11320.673254045012
2016-01-19,11320.673254045012
2016-01-20,11320.673254045012
2016-01-21,11320.673254045012
2016-01-22,11320.673254045012
2016-01-25,11320.673254045012
2016-01-26,11320.673254045012
2016-01-27,11320.673254045012
2016-01-28,11320.673254045012
2016-01-29,11320.673254045012
2016-02-01,11320.673254045012
2016-02-02,11320.673254045012
2016-02-03,11320.673254045012
2016-02-04,11320.673254045012
2016-02-05,11320.673254045012
2016-02-08,11320.673254045012
2016-02-09,11320.673254045012
2016-02-10,11320.673254045012
2016-02-11,11320.673254045012
2016-02-12,11320.673254045012
2016-02-16,11320.673254045012
2016-02-17,11320.673254045012
2016-02-18,11320.673254045012
2016-02-19,11320.673254045012
2016-02-22,11320.673254045012
2016-02-23,11320.673254045012
2016-02-24,11320.673254045012
2016-02-25,11320.673254045012
2016-02-26,11320.673254045012
2016-02-29,11320.673254045012
2016-03-01,11320.673254045012
2016-03-02,11431.462660720013
2016-03-03,11331.412660720014
2016-03-04,11296.912660720012
2016-03-07,11224.462660720015
2016-03-08,11020.912660720014
2016-03-09,11014.012660720015
2016-03-10,10996.762660720015
2016-03-11,11183.062660720014
2016-03-14,11210.662660720012
2016-03-15,11047.435911645018
2016-03-16,11023.635911645018
2016-03-17,11241.235911645019
2016-03-18,11231.035911645018
2016-03-21,11726.145325305019
2016-03-22,11651.61532530502
2016-03-23,11523.11532530502
2016-03-24,11469.145325305019
2016-03-28,11260.97532530502
2016-03-29,11559.09532530502
2016-03-30,11690.16532530502
2016-03-31,11494.84532530502
2016-04-01,11643.90532530502
2016-04-04,11528.25532530502
2016-04-05,11353.495325305019
2016-04-06,11356.065325305019
2016-04-07,11263.54532530502
2016-04-08,11538.53532530502
2016-04-11,11859.78532530502
2016-04-12,12165.61532530502
2016-04-13,12638.495325305019
2016-04-14,12641.065325305019
2016-04-15,12471.44532530502
2016-04-18,12615.36532530502
2016-04-19,12396.91532530502
2016-04-20,12556.25532530502
2016-04-21,12252.995325305019
2016-04-22,12229.86532530502
2016-04-25,11947.16532530502
2016-04-26,11792.96532530502
2016-04-27,11708.15532530502
2016-04-28,11703.01532530502
2016-04-29,11327.79532530502
2016-05-02,11298.15854276502
2016-05-03,11298.15854276502
2016-05-04,11298.15854276502
2016-05-05,11298.15854276502
2016-05-06,11298.15854276502
2016-05-09,11298.15854276502
2016-05-10,11298.15854276502
2016-05-11,11298.15854276502
2016-05-12,11298.15854276502
2016-05-13,11298.15854276502
2016-05-16,11298.15854276502
2016-05-17,11298.15854276502
2016-05-18,11298.15854276502
2016-05-19,11298.15854276502
2016-05-20,11298.15854276502
2016-05-23,11298.15854276502
2016-05-24,11298.15854276502
2016-05-25,11298.15854276502
2016-05-26,11380.852034140024
2016-05-27,11443.102034140024
2016-05-31,11647.282034140022
2016-06-01,11669.692034140024
2016-06-02,11751.862034140024
2016-06-03,11587.522034140022
2016-06-06,11527.762034140023
2016-06-07,11550.172034140023
2016-06-08,11512.822034140023
2016-06-09,11811.622034140024
2016-06-10,11517.802034140024
2016-06-13,11664.712034140022
2016-06-14,11687.122034140024
