param_entry,param_market_filter,param_asset_filter,param_rs_period,param_st_period,param_st_multiplier,param_sell_confirm_bars,param_max_positions,start,end,total_return,qqq_return,alpha,mdd,cagr,calmar,sharpe,sortino,win_rate,payoff_ratio,trade_count,score
single,none,none,50,10.0,3.0,1,3,2010-03-18 00:00:00,2026-07-16 00:00:00,3.340343026480107,13.743779643059835,-10.403436616579729,-0.7303066900111255,0.09406604089111936,0.12880347691965735,0.4417485961474769,0.6285642253427884,0.6164383561643836,0.7910458563701319,803,2.7693501323556307
single,none,none,50,10.0,3.0,1,4,2010-03-18 00:00:00,2026-07-16 00:00:00,5.057927283714892,13.743779643059835,-8.685852359344942,-0.6060031592286086,0.11663553801840298,0.1924668811411318,0.5192709985846804,0.7363825312165844,0.6234855545200373,0.7878721664949543,1073,4.588702886289545
single,none,none,50,10.0,3.0,1,5,2010-03-18 00:00:00,2026-07-16 00:00:00,6.440092831219264,13.743779643059835,-7.303686811840571,-0.5015875140739889,0.1307786443712542,0.2607294653510117,0.5753789618484755,0.8132622216992398,0.625,0.8208368082965241,1312,6.056084188815527
single,none,none,50,10.0,3.0,1,6,2010-03-18 00:00:00,2026-07-16 00:00:00,5.356381764196355,13.743779643059835,-8.38739787886348,-0.476128397834243,0.11992915416112915,0.251884060490088,0.5548355941838177,0.7881778659792353,0.6227154046997389,0.810747563567052,1532,4.992124113754475
single,none,none,50,10.0,3.0,1,7,2010-03-18 00:00:00,2026-07-16 00:00:00,3.5000999358645117,13.743779643059835,-10.243679707195323,-0.48129631825881636,0.09649063928493762,0.20048073426784438,0.48477755918683446,0.6803606754847348,0.6112692088787707,0.8178333762070827,1757,3.1296062080330636
single,none,none,50,10.0,3.0,1,8,2010-03-18 00:00:00,2026-07-16 00:00:00,2.1553579496857687,13.743779643059835,-11.588421693374066,-0.5050902440006289,0.07290918528749879,0.14434882905282964,0.40830625544687044,0.5713468143383479,0.5941443715295306,0.848607614725186,1981,1.7635349421486717
single,none,none,50,10.0,3.0,1,9,2010-03-18 00:00:00,2026-07-16 00:00:00,4.069723303236876,13.743779643059835,-9.674056339822958,-0.45492675086685186,0.10452351531630044,0.22975899992061014,0.531787284700473,0.7487856702784171,0.5986175115207373,0.8770106860854847,2170,3.7217355210844087
single,none,none,50,10.0,3.0,1,10,2010-03-18 00:00:00,2026-07-16 00:00:00,3.2926474451403704,13.743779643059835,-10.451132197919463,-0.4198981941263401,0.09332592370425785,0.2222584545723902,0.49953809256189174,0.698945043797448,0.5843170320404721,0.9187368241584348,2372,2.971715032616155
single,none,none,100,10.0,3.0,1,3,2010-05-28 00:00:00,2026-07-16 00:00:00,12.973556674204735,14.464803309684998,-1.4912466354802625,-0.5695091428138489,0.17756933284834187,0.3117936473697361,0.6604367501554258,0.9641920340071751,0.5937090432503277,0.9548044260400181,763,12.53776246245832
single,none,none,100,10.0,3.0,1,4,2010-05-28 00:00:00,2026-07-16 00:00:00,8.791335447487024,14.464803309684998,-5.673467862197974,-0.5824429986052811,0.151894475854492,0.2607885685263944,0.6176968474004411,0.8895599585540653,0.5745526838966203,1.0553455793484925,1006,8.343911954024811
