,equity
2015-10-19,10000.0
2015-10-20,9791.5778236
2015-10-21,9702.6638236
2015-10-22,9844.2998236
2015-10-23,10455.3878236
2015-10-26,10622.079823600001
2015-10-27,10663.839823600001
2015-10-28,10769.805823600002
2015-10-29,10934.2358236
2015-10-30,10922.9258236
2015-11-02,10965.555823600002
2015-11-03,10912.6598236
2015-11-04,11184.795823600003
2015-11-05,11233.821524182506
2015-11-06,11288.533524182505
2015-11-09,10878.193524182505
2015-11-10,11155.661524182506
2015-11-11,11171.293524182505
2015-11-12,10786.355524182505
2015-11-13,10271.476524182506
2015-11-16,11023.766524182505
2015-11-17,11585.541524182505
2015-11-18,11930.422524182506
2015-11-19,11890.365524182505
2015-11-20,12244.039524182504
2015-11-23,12360.302524182505
2015-11-24,12192.258524182505
2015-11-25,12275.303524182505
2015-11-27,12400.359524182506
2015-11-30,12194.212524182505
2015-12-01,12393.520524182506
2015-12-02,12311.495412358097
2015-12-03,12068.457756905724
2015-12-04,12474.58647062219
2015-12-07,12410.629192871564
2015-12-08,12624.886073336158
2015-12-09,12378.650553996253
2015-12-10,12311.495412358097
2015-12-11,11940.543201404473
2015-12-14,12177.185129081783
2015-12-15,12417.024920646627
2015-12-16,12576.918115023189
2015-12-17,12468.190742847126
2015-12-18,12340.276187345875
2015-12-21,12426.61851230922
2015-12-22,12576.918115023189
2015-12-23,12458.597151184535
2015-12-24,12484.180062284782
2015-12-28,12519.356565047627
2015-12-29,12695.239078861843
2015-12-30,12647.271120548874
2015-12-31,12417.024920646627
2016-01-04,12068.457756905724
2016-01-05,11914.960290304225
2016-01-06,11803.03505424063
2016-01-07,11636.746132089009
2016-01-08,11457.665754387257
2016-01-11,11617.558948763819
2016-01-12,11908.564562529162
2016-01-13,11185.847323947104
2016-01-14,11188.289679699752
2016-01-15,11188.289679699752
2016-01-19,11188.289679699752
2016-01-20,11188.289679699752
2016-01-21,11188.289679699752
2016-01-22,11188.289679699752
2016-01-25,11188.289679699752
2016-01-26,11188.289679699752
2016-01-27,11188.289679699752
2016-01-28,11188.289679699752
2016-01-29,11188.289679699752
2016-02-01,11188.289679699752
2016-02-02,11188.289679699752
2016-02-03,11188.289679699752
2016-02-04,11188.289679699752
2016-02-05,11188.289679699752
2016-02-08,11188.289679699752
2016-02-09,11188.289679699752
2016-02-10,11188.289679699752
2016-02-11,11188.289679699752
2016-02-12,11188.289679699752
2016-02-16,11188.289679699752
2016-02-17,11188.289679699752
2016-02-18,11188.289679699752
2016-02-19,11188.289679699752
2016-02-22,11188.289679699752
2016-02-23,11188.289679699752
2016-02-24,11188.289679699752
2016-02-25,11188.289679699752
2016-02-26,11188.289679699752
2016-02-29,11188.289679699752
2016-03-01,11188.289679699752
2016-03-02,11297.825890448423
2016-03-03,11198.907607425635
2016-03-04,11164.797854659157
2016-03-07,11093.167373849554
2016-03-08,10891.919832527332
2016-03-09,10885.097881974036
2016-03-10,10868.043005590796
2016-03-11,11052.235670529779
2016-03-14,11079.52347274296
2016-03-15,11024.947868316598
2016-03-16,11352.401494874788
2016-03-17,11256.894187128648
2016-03-18,11594.580739516785
2016-03-21,12072.877352778352
2016-03-22,11996.027352778352
2016-03-23,11863.527352778352
2016-03-24,11807.877352778352
2016-03-28,11593.227352778353
2016-03-29,11900.627352778352
2016-03-30,12035.777352778354
2016-03-31,11834.377352778352
2016-04-01,11988.077352778353
2016-04-04,11868.827352778353
2016-04-05,11688.627352778352
2016-04-06,11691.277352778352
2016-04-07,11595.877352778352
2016-04-08,11879.427352778353
2016-04-11,12210.677352778353
2016-04-12,12526.027352778352
2016-04-13,13013.627352778352
2016-04-14,13016.277352778352
2016-04-15,12841.377352778354
2016-04-18,12989.777352778352
2016-04-19,12764.527352778354
2016-04-20,12928.827352778353
2016-04-21,12616.127352778352
2016-04-22,12592.277352778352
2016-04-25,12300.777352778354
2016-04-26,12141.777352778354
2016-04-27,12054.327352778353
2016-04-28,12049.027352778352
2016-04-29,11662.127352778352
2016-05-02,11908.577352778353
2016-05-03,11765.477352778353
2016-05-04,11664.777352778352
2016-05-05,11725.727352778353
2016-05-06,11610.399813878354
2016-05-09,11610.399813878354
2016-05-10,11610.399813878354
2016-05-11,11610.399813878354
2016-05-12,11610.399813878354
2016-05-13,11610.399813878354
2016-05-16,11610.399813878354
2016-05-17,11610.399813878354
2016-05-18,11610.399813878354
2016-05-19,11610.399813878354
2016-05-20,11610.399813878354
2016-05-23,11610.399813878354
2016-05-24,11610.399813878354
2016-05-25,11610.399813878354
2016-05-26,11695.47852818544
2016-05-27,11759.524076118578
2016-05-31,11969.593473339271
2016-06-01,11992.649870595202
2016-06-02,12077.189993866943
2016-06-03,11908.109747323459
2016-06-06,11846.626021307648
2016-06-07,11869.682418563576
2016-06-08,11831.255089803693
2016-06-09,12138.673719882758
2016-06-10,11836.378733638347
2016-06-13,11987.52622676055
2016-06-14,12010.58262401648
2016-06-15,12133.550076048105
2016-06-16,12182.224692477288
2016-06-17,11969.593473339271
2016-06-20,12184.786514394616
2016-06-21,12110.493678792176
2016-06-22,12100.246391122872
2016-06-23,12423.035952705888
2016-06-24,11715.973103524046
2016-06-27,11590.443829575095
2016-06-28,11759.524076118578
2016-06-29,11951.660719917993
2016-06-30,12043.886308941712
2016-07-01,11954.222541835317
2016-07-05,12130.988254130778
2016-07-06,12207.842911650545
2016-07-07,12525.50882939891
2016-07-08,13027.625925194712
2016-07-11,13327.359089521797
2016-07-12,13527.181199073188
2016-07-13,13522.057555238536
2016-07-14,13660.395938774112
2016-07-15,13501.56297989993
2016-07-18,13570.73217166772
2016-07-19,13711.632377120624
2016-07-20,13890.959911333408
2016-07-21,13634.77771960086
2016-07-22,14006.24189761306
2016-07-25,14264.985911262936
2016-07-26,14508.35899340886
2016-07-27,14362.335144121307
2016-07-28,14393.077007129212
2016-07-29,14628.76462352316
2016-08-01,14533.977212582115
2016-08-02,14357.211500286654
2016-08-03,14395.638829046537
2016-08-04,14662.06830844839
2016-08-05,14910.565034428966
2016-08-08,15048.903417964544
2016-08-09,15087.330746724427
2016-08-10,14989.981513866056
2016-08-11,15294.838322027796
2016-08-12,16150.486842414515
2016-08-15,16135.115910910563
2016-08-16,16037.766678052196
2016-08-17,15666.302500039992
2016-08-18,15909.675582185917
2016-08-19,15950.664732863126
2016-08-22,16017.27210271359
2016-08-23,16146.934262816989
2016-08-24,15897.97880893675
2016-08-25,15792.75021502861
2016-08-26,15921.077768575124
2016-08-29,15910.811564291402
2016-08-30,15818.415725737912
2016-08-31,15743.985744680935
2016-09-01,16208.531488519317
2016-09-02,16049.405322121638
2016-09-06,16200.831835306526
2016-09-07,15962.14258571001
2016-09-08,16077.637383901872
2016-09-09,15276.873449771618
2016-09-12,15592.559231496045
2016-09-13,15366.702737254176
2016-09-14,15502.729944013483
2016-09-15,16090.470139256522
2016-09-16,16128.96840532048
2016-09-19,16341.992144207694
2016-09-20,16193.132182093737
2016-09-21,16647.4117216484
2016-09-22,16688.47653878328
2016-09-23,16670.510681286774
2016-09-26,16513.951065960027
2016-09-27,17078.59230156469
2016-09-28,17140.189527267015
2016-09-29,17299.3156936647
2016-09-30,17586.76941360889
2016-10-03,17568.803556112376
2016-10-04,17530.305290048425
2016-10-05,17512.33943255191
2016-10-06,17283.916387239115
2016-10-07,17158.15538476353
2016-10-10,17222.319161536783
2016-10-11,16973.363707656543
2016-10-12,17050.36023978446
2016-10-13,16773.17272412398
2016-10-14,16937.43199266352
2016-10-17,16839.90305196817
2016-10-18,17096.558159061206
2016-10-19,17060.626444068177
2016-10-20,17384.011879005397
2016-10-21,17335.24740865772
2016-10-24,18148.844098142625
2016-10-25,18446.56402237054
2016-10-26,18520.99400342752
2016-10-27,18141.144444929836
2016-10-28,18110.345832078674
2016-10-31,18264.33889633449
2016-11-01,17722.796620368194
2016-11-02,17648.36663931122
2016-11-03,17443.04255363679
2016-11-04,17342.94706187051
2016-11-07,18292.570958114724
2016-11-08,18264.33889633449
2016-11-09,17956.35276782285
2016-11-10,17394.278083289115
2016-11-11,22578.711246568324
2016-11-14,21467.39463285551
2016-11-15,22121.86515594273
2016-11-16,23518.06893852882
2016-11-17,23713.12681991952
2016-11-18,23962.082273799766
2016-11-21,23864.553333104413
2016-11-22,24036.512254856738
2016-11-23,24154.750361566832
2016-11-25,24203.587840425345
2016-11-28,24190.735872304685
2016-11-29,23969.682020629298
2016-11-30,23699.790690095397
2016-12-01,22527.69119749101
2016-12-02,22735.89308104574
2016-12-05,23617.538094123156
2016-12-06,24005.66753136715
2016-12-07,24437.4936602214
2016-12-08,24028.801073984345
2016-12-09,23602.115732378363
2016-12-12,23028.917954196833
2016-12-13,23435.040146809755
2016-12-14,24792.207980351675
2016-12-15,25373.116939405605
2016-12-16,25810.083855508114
2016-12-19,26123.67187765227
2016-12-20,27033.591220595146
2016-12-21,27203.237199787887
2016-12-22,27532.247583676835
2016-12-23,28218.5426813202
2016-12-27,30156.619473916042
2016-12-28,28082.31181924117
2016-12-29,28642.657629302048
2016-12-30,27437.143019583935
2017-01-03,26221.346835369302
2017-01-04,26833.10051791282
2017-01-05,26151.94620751773
2017-01-06,26501.519740399737
2017-01-09,27575.94427528709
2017-01-10,27777.007798101688
2017-01-11,28158.5009973337
2017-01-12,27567.801850135744
2017-01-13,27407.820831102963
2017-01-17,26866.346612838166
2017-01-18,27580.108082369035
2017-01-19,26829.4279161383
2017-01-20,27137.083721970568
2017-01-23,27050.94009633753
2017-01-24,28232.338390733446
2017-01-25,29106.08087929709
2017-01-26,29056.85595036393
2017-01-27,29610.636400862015
2017-01-30,29668.28672018142
2017-01-31,29833.38476735049
2017-02-01,29589.039657540263
2017-02-02,29912.63182999165
2017-02-03,29572.876123489812
2017-02-06,30330.109411716276
2017-02-07,30800.472751160694
2017-02-08,30666.083225605144
2017-02-09,30089.75891408808
2017-02-10,29376.460663062473
2017-02-13,28022.227751695016
2017-02-14,28125.60430981467
2017-02-15,28182.46141678048
2017-02-16,27730.188975006997
2017-02-17,27725.020147101015
2017-02-21,28076.799620732498
2017-02-22,28053.181796272096
2017-02-23,27734.341166056634
2017-02-24,27450.92727253178
2017-02-27,28064.9907085023
2017-02-28,27687.105517135828
2017-03-01,28997.89477468827
2017-03-02,28918.410667270182
2017-03-03,29458.77254144042
2017-03-06,29641.008085436515
2017-03-07,29592.193721592877
2017-03-08,29293.52868130664
2017-03-09,29029.32499182266
2017-03-10,29063.786342624924
2017-03-13,29661.116423197393
2017-03-14,29523.271019988362
2017-03-15,30143.575334429006
2017-03-16,30051.67839895632
2017-03-17,29775.98759253826
2017-03-20,30246.95938683578
2017-03-21,28710.961189956357
2017-03-22,28822.61118995636
2017-03-23,28353.681189956358
