trade_no,symbol,entry_time,exit_time,entry_price,exit_price,quantity,entry_value,exit_value,pnl_value,pnl_pct,exit_reason,pnl_pct_display,cumulative_pnl_value,realized_equity_after_trade,cumulative_return,cumulative_return_display,holding_days
1,AMZN,2015-10-20,2015-11-05,28.6143,32.338822500000006,348,9967.7341764,11242.656319770002,1274.9221433700022,0.12790491006356874,Leader rotation,+12.79%,1274.9221433700022,11274.922143370002,0.1274922143370003,+12.75%,16
2,NFLX,2015-11-05,2015-12-02,11.380687499999999,12.546723500000002,977,11130.050619187497,12245.890710640502,1115.8400914530048,0.10025471847624545,Leader rotation,+10.03%,2390.762234823007,12390.762234823007,0.23907622348230073,+23.91%,27
3,ATVI,2015-12-02,2016-01-14,36.5098464340682,33.02176693760776,338,12352.668422809766,11150.19586768651,-1202.472555123255,-0.0973451657540515,Supertrend down,-9.73%,1188.289679699752,11188.289679699752,0.11882896796997522,+11.88%,43
4,NVDA,2016-03-02,2016-03-21,0.7967814515612904,0.8189579256609931,13950,11126.216350529281,11413.038599907883,286.82224937860155,0.025778956685931886,Leader rotation,+2.58%,1475.1119290783536,11475.111929078354,0.14751119290783543,+14.75%,19
5,CTRP,2016-03-21,2016-05-06,42.86142,43.45826,265,11369.6345763,11504.9224611,135.28788480000003,0.011899053033947782,Supertrend down,+1.19%,1610.3998138783536,11610.399813878354,0.16103998138783537,+16.10%,46
6,NVDA,2016-05-26,2017-01-10,1.1098603155967384,2.650484014826868,10450,11609.6383382839,27669.860396985827,16060.222058701927,1.3833524861615887,Supertrend down,+138.34%,17670.621872580283,27670.621872580283,1.7670621872580283,+176.71%,229
7,MU,2017-01-10,2017-01-30,21.814971189599845,23.216155671243104,1262,27558.024134916275,29269.489668651688,1711.4655337354125,0.06210407267794538,Leader rotation,+6.21%,19382.087406315695,29382.087406315695,1.9382087406315693,+193.82%,20
8,STX,2017-01-30,2017-02-03,30.305861450223347,30.896083557736112,968,29365.409957700012,29877.50147500467,512.091517304656,0.01743859588687191,Leader rotation,+1.74%,19894.17892362035,29894.17892362035,1.989417892362035,+198.94%,4
9,NVDA,2017-02-03,2017-02-21,2.8411513863927396,2.660809618075428,10507,29881.82959444534,27929.169530461404,-1952.6600639839344,-0.06534606784408237,Supertrend down,-6.53%,17941.518859636417,27941.518859636417,1.7941518859636418,+179.42%,18
10,MU,2017-02-21,2017-03-02,23.044258474881417,24.249284345110343,1211,27934.503610094474,29336.5174585867,1402.0138484922245,0.050189323857739554,Leader rotation,+5.02%,19343.53270812864,29343.53270812864,1.9343532708128643,+193.44%,9
11,CSX,2017-03-02,2017-03-07,14.476589783864936,14.606183250018075,1998,28953.150614550304,29153.970979402577,200.82036485227218,0.006936045321138673,Leader rotation,+0.69%,19544.353072980914,29544.353072980914,1.9544353072980916,+195.44%,5
12,MU,2017-03-07,2017-03-21,24.93697064428319,25.633286908215517,1178,29405.12717038456,30165.8159659,760.6887955154416,0.025869257123348532,Leader rotation,+2.59%,20305.041868496355,30305.041868496355,2.0305041868496354,+203.05%,14
13,INCY,2017-03-21,2017-04-07,148.43418,139.41026,203,30162.270678539997,28271.982497219997,-1890.2881813200001,-0.0626706192470089,Supertrend down,-6.27%,18414.753687176355,28414.753687176355,1.8414753687176355,+184.15%,17
14,WDC,2017-04-07,2017-04-25,57.050268905953786,58.986586983935716,483,27582.835161457253,28462.030991727708,879.1958302704552,0.03187474475064089,Leader rotation,+3.19%,19293.94951744681,29293.94951744681,1.9293949517446811,+192.94%,18
15,CSX,2017-04-25,2017-05-12,14.76491544221011,15.302692606168408,1957,28923.83445992559,29917.4220608413,993.5876009157109,0.03435186307307703,Leader rotation,+3.44%,20287.53711836252,30287.53711836252,2.028753711836252,+202.88%,17
16,NVDA,2017-05-12,2017-07-11,3.1202170348312253,3.7911289349065638,9697,30287.001331345145,36725.81470450716,6438.813373162015,0.21259329382662417,Supertrend down,+21.26%,26726.350491524536,36726.350491524536,2.6726350491524538,+267.26%,60
17,NVDA,2017-07-18,2017-07-20,3.990526322691592,4.088800937075374,9055,36170.350067824336,36987.06839273229,816.7183249079535,0.02257977385832577,Leader rotation,+2.26%,27543.06881643249,37543.06881643249,2.7543068816432488,+275.43%,2
18,VRTX,2017-07-20,2017-11-01,160.01997,147.276325,233,37321.937663009994,34281.068341275,-3040.8693217349937,-0.0814767268835781,Supertrend down,-8.15%,24502.199494697496,34502.199494697496,2.4502199494697496,+245.02%,104
19,ALGN,2017-11-01,2017-12-11,243.1215,237.30129,141,34314.4116315,33426.02240811,-888.3892233899969,-0.02588968253136159,Supertrend down,-2.59%,23613.8102713075,33613.8102713075,2.36138102713075,+236.14%,40
20,DLTR,2017-12-19,2018-01-08,109.57475999999998,110.70462,306,33563.40643655999,33841.73810628,278.3316697200062,0.00829271219076344,Leader rotation,+0.83%,23892.141941027505,33892.141941027505,2.3892141941027503,+238.92%,20
21,TTWO,2018-01-08,2018-01-22,116.55824999999999,117.711115,290,33835.694392499994,34102.08712665,266.39273415000935,0.007873127445230166,Leader rotation,+0.79%,24158.534675177514,34158.534675177514,2.4158534675177514,+241.59%,14
22,ALGN,2018-01-22,2018-02-12,269.77482,233.133375,126,34025.61894732,29345.43044475,-4680.188502569999,-0.13754896008845796,Supertrend down,-13.75%,19478.346172607515,29478.346172607515,1.9478346172607517,+194.78%,21
23,NVDA,2018-02-16,2018-03-13,6.062667365720675,6.2107697577273315,4835,29342.30970997272,29999.042706833035,656.7329968603153,0.02238177578219447,Leader rotation,+2.24%,20135.07916946783,30135.07916946783,2.013507916946783,+201.35%,25
24,MU,2018-03-13,2018-04-02,60.65459565551979,50.23344514256379,496,30114.76412458295,24890.873001920925,-5223.891122662026,-0.1734661145294416,Supertrend down,-17.35%,14911.188046805804,24911.188046805804,1.4911188046805806,+149.11%,20
25,NFLX,2018-05-11,2018-07-24,32.98148249999999,36.675653000000004,754,24892.90584280499,27625.788919638002,2732.8830768330117,0.10978561900690753,Supertrend down,+10.98%,17644.071123638816,27644.071123638816,1.7644071123638816,+176.44%,74
26,ALGN,2018-07-24,2018-08-30,379.14948,382.88846,72,27326.061322559995,27540.401150880003,214.33982832000765,0.007843787869386443,Leader rotation,+0.78%,17858.410951958824,27858.410951958824,1.7858410951958823,+178.58%,37
27,AMZN,2018-08-30,2018-09-05,99.9209355,101.85454725000001,278,27805.798089068994,28287.248571364504,481.4504822955096,0.017314751432535802,Leader rotation,+1.73%,18339.861434254333,28339.861434254333,1.8339861434254332,+183.40%,6
28,ILMN,2018-09-05,2018-10-11,343.45958171206223,296.31091439688714,82,28191.84938608949,24273.197485564204,-3918.651900525285,-0.13899946210903202,Supertrend down,-13.90%,14421.209533729048,24421.20953372905,1.4421209533729047,+144.21%,36
29,XLNX,2018-12-04,2018-12-27,90.93691991099345,80.90248954914382,266,24213.409917020577,21498.542157852185,-2714.867759168392,-0.11212248784752954,Supertrend down,-11.21%,11706.341774560657,21706.341774560657,1.1706341774560656,+117.06%,23
30,REGN,2019-01-10,2019-01-25,396.32627344278626,407.28067143005063,54,21423.020384676365,21971.16310096551,548.142716289145,0.025586621608278293,Leader rotation,+2.56%,12254.484490849802,22254.4844908498,1.22544844908498,+122.54%,15
31,XLNX,2019-01-25,2019-05-02,102.55577679911018,113.1921849357878,214,21968.883171244583,24198.90444868233,2230.021277437747,0.1015081768178665,Supertrend down,+10.15%,14484.505768287549,24484.50576828755,1.4484505768287548,+144.85%,97
32,CDNS,2019-05-02,2019-05-06,68.57427,68.58569000000001,356,24436.852560119998,24392.089134360005,-44.76342575999297,-0.0018317999689143605,Leader rotation,-0.18%,14439.742342527556,24439.742342527556,1.4439742342527557,+144.40%,4
33,MELI,2019-05-06,2019-09-04,565.86279,585.707,43,24356.432069969997,25160.215599,803.7835290300027,0.033000873310217615,Supertrend down,+3.30%,15243.525871557558,25243.52587155756,1.524352587155756,+152.44%,121
34,QCOM,2019-09-06,2019-10-15,67.40641990857166,66.08572997726863,373,25167.737220523122,24625.327304239676,-542.4099162834464,-0.02155179512288996,Supertrend down,-2.16%,14701.115955274112,24701.115955274112,1.470111595527411,+147.01%,39
35,ASML,2019-10-16,2019-10-25,244.77055484216868,246.58350952959702,98,24011.50188890706,24141.01874996661,129.51686105955014,0.005393950851503515,Leader rotation,+0.54%,14830.632816333662,24830.632816333662,1.4830632816333664,+148.31%,9
36,LRCX,2019-10-25,2019-11-08,24.544832066179744,25.10323492248136,1010,24815.07066722838,25328.913004434467,513.8423372060861,0.02070686576301739,Leader rotation,+2.07%,15344.475153539748,25344.475153539748,1.5344475153539747,+153.44%,14
