,equity
2010-10-19,10000.0
2010-10-20,9803.721738306383
2010-10-21,10045.78185793529
2010-10-22,10516.181409326891
2010-10-25,10758.241528955798
2010-10-26,11039.501798120837
2010-10-27,11064.001798120837
2010-10-28,10995.401349512438
2010-10-29,10783.721738306383
2010-11-01,10503.44167849193
2010-11-02,10738.641828028063
2010-11-03,10846.44167849193
2010-11-04,10788.621289697985
2010-11-05,10665.141828028063
2010-11-08,10821.94167849193
2010-11-09,10703.36176821361
2010-11-10,10948.36176821361
2010-11-11,11184.541379419665
2010-11-12,10845.461469141344
2010-11-15,10665.141828028063
2010-11-16,10155.541379419665
2010-11-17,10480.901349512438
2010-11-18,10600.461469141344
2010-11-19,10644.561170069079
2010-11-22,10672.001798120837
2010-11-23,10421.121289697985
2010-11-24,10684.741528955798
2010-11-26,10721.001798120837
2010-11-29,10525.981259790758
2010-11-30,10297.641828028063
2010-12-01,10470.121289697985
2010-12-02,10427.001798120837
2010-12-03,10707.28185793529
2010-12-06,10805.28185793529
2010-12-07,10751.381558863024
2010-12-08,10593.601499048571
2010-12-09,10472.920422999112
2010-12-10,10594.383550135342
2010-12-13,10393.53956743881
2010-12-14,10097.187657801358
2010-12-15,10062.915978876797
2010-12-16,10098.195825068204
2010-12-17,10107.268128840176
2010-12-20,10225.455613581387
2010-12-21,10267.540288416592
2010-12-22,10498.623280970303
2010-12-23,10423.527436701504
2010-12-27,10298.787465540616
2010-12-28,10212.09950014755
2010-12-29,10234.780259577481
2010-12-30,10198.743386713712
2010-12-31,10079.800076929776
2011-01-03,10494.088330713956
2011-01-04,10327.516026941983
2011-01-05,10937.859769312588
2011-01-06,11031.603703943936
2011-01-07,11114.007859675137
2011-01-10,11113.252034632413
2011-01-11,10877.631688563077
2011-01-12,10953.988042322842
2011-01-13,11086.792149988858
2011-01-14,11048.487801996915
2011-01-18,11122.071996180264
2011-01-19,10898.296113459317
2011-01-20,10701.483598200528
2011-01-21,10736.25996157333
2011-01-24,10690.899644343106
2011-01-25,10818.41177508041
