trade_no,symbol,entry_time,exit_time,entry_price,exit_price,quantity,entry_value,exit_value,pnl_value,pnl_pct,exit_reason,pnl_pct_display,cumulative_pnl_value,realized_equity_after_trade,cumulative_return,cumulative_return_display,holding_days
1,BIDU,2010-10-20,2010-12-09,101.91093061065672,108.34580152511596,98,9997.258471044202,10607.270660911903,610.0121898677025,0.0610179472336867,Leader rotation,+6.10%,610.0121898677025,10610.012189867703,0.061001218986770356,+6.10%,50
2,BKNG,2010-12-09,2011-02-17,16.806800079345702,18.302443931579592,630,10598.87233403778,11519.009137218249,920.1368031804686,0.0868145944380793,Leader rotation,+8.68%,1530.1489930481712,11530.148993048171,0.15301489930481704,+15.30%,70
3,NVDA,2011-02-17,2011-03-02,0.5682840186059475,0.5402297352254392,19707,11210.372327822071,10635.66108469564,-574.7112431264322,-0.0512660263477694,Supertrend down,-5.13%,955.4377499217389,10955.437749921739,0.09554377499217392,+9.55%,13
4,NFLX,2011-04-21,2011-06-23,3.489457909226417,3.500249093413353,3132,10939.911153868836,10951.817380410052,11.9062265412158,0.0010883293633519,Supertrend down,+0.11%,967.3439764629547,10967.343976462955,0.09673439764629554,+9.67%,63
5,BIIB,2011-06-30,2011-08-09,109.21458366394042,86.86654866027833,100,10932.379824760434,8677.968211161806,-2254.411613598628,-0.2062141683453657,Supertrend down,-20.62%,-1287.067637135673,8712.932362864327,-0.12870676371356726,-12.87%,40
6,DLTR,2011-09-16,2011-10-24,37.77887832069397,40.09494417762757,230,8697.83115577337,9212.615323693486,514.7841679201156,0.0591853484737303,Leader rotation,+5.92%,-772.2834692155575,9227.716530784443,-0.07722834692155578,-7.72%,38
7,BIIB,2011-10-24,2011-12-02,108.68431225204468,117.00146755981446,84,9138.611711400925,9818.29515174939,679.6834403484645,0.0743749118370487,Leader rotation,+7.44%,-92.60002886709299,9907.399971132907,-0.009260002886709251,-0.93%,39
8,DLTR,2011-12-02,2012-01-18,41.350666831970216,41.86405582237244,239,9892.69218221372,9995.503832205466,102.81164999174509,0.0103926866517278,Leader rotation,+1.04%,10.211621124652098,10010.211621124652,0.0010211621124651682,+0.10%,47
9,FAST,2012-01-18,2012-01-26,11.35567538166046,11.774109733104709,856,9730.178584828054,10068.559293606091,338.38070877803693,0.0347764129741321,Leader rotation,+3.48%,348.592329902689,10348.592329902689,0.03485923299026883,+3.49%,8
10,MNST,2012-01-26,2012-02-15,9.032013902664184,9.186237675189972,1133,10243.505023470238,10397.599278704249,154.09425523400932,0.0150431180422077,Leader rotation,+1.50%,502.68658513669834,10502.686585136698,0.050268658513669795,+5.03%,20
11,STX,2012-02-15,2012-04-17,26.623305610656736,28.88554961872101,394,10500.071993009353,11369.525643226303,869.4536502169522,0.0828045417970286,Supertrend down,+8.28%,1372.1402353536505,11372.14023535365,0.13721402353536516,+13.72%,62
12,MNST,2012-06-20,2012-07-05,12.714687181949614,12.450438612937928,893,11365.569869134486,11107.123439672216,-258.4464294622703,-0.0227394167154023,Supertrend down,-2.27%,1113.6938058913802,11113.69380589138,0.11136938058913803,+11.14%,15
