,equity
2015-10-19,10000.0
2015-10-20,9791.577908361747
2015-10-21,9702.6636322387
2015-10-22,9844.299488867118
2015-10-23,10455.38766940911
2015-10-26,10622.079701269462
2015-10-27,10663.839993322685
2015-10-28,10769.805531347587
2015-10-29,10934.235478247001
2015-10-30,10922.925717199638
2015-11-02,10965.555531347587
2015-11-03,10912.659382665946
2015-11-04,11184.795903051689
2015-11-05,11233.821604864885
2015-11-06,11288.533366339494
2015-11-09,10878.19329180031
2015-11-10,11155.66167940407
2015-11-11,11171.29347814827
2015-11-12,10786.355425970842
2015-11-13,10271.476008551408
2015-11-16,11023.766455786516
2015-11-17,11585.541269438554
2015-11-18,11930.421963827897
2015-11-19,11890.365537779619
2015-11-20,12244.039060728837
2015-11-23,12360.30248560219
2015-11-24,12192.258552687455
2015-11-25,12275.303589957048
2015-11-27,12400.358911650468
2015-11-30,12194.212411063005
2015-12-01,12393.519941466142
2015-12-02,12741.331889288713
2015-12-03,12534.207993643571
2015-12-04,12936.732634680558
2015-12-07,12392.54347814827
2015-12-08,12550.817187445451
2015-12-09,12279.211306708146
2015-12-10,12153.178589957048
2015-12-11,11916.096426126476
2015-12-14,11945.436048385616
2015-12-15,12092.135908481594
2015-12-16,12165.485838529583
2015-12-17,11982.11101340961
2015-12-18,11787.733611342426
2015-12-21,12066.463520404812
2015-12-22,12077.466097352024
2015-12-23,12125.14363932323
2015-12-24,12165.485838529583
2015-12-28,12154.48326158237
2015-12-29,12352.528772232052
2015-12-30,12246.171111342426
2015-12-31,12088.468674299236
2016-01-04,11872.086118337627
2016-01-05,12062.796286222454
2016-01-06,11564.016587016102
2016-01-07,11105.579087016102
2016-01-08,10867.191377160068
2016-01-11,10885.528422471996
2016-01-12,11068.903247591968
2016-01-13,11136.5320303793
2016-01-14,11136.5320303793
2016-01-15,11136.5320303793
2016-01-19,11136.5320303793
2016-01-20,11136.5320303793
2016-01-21,11136.5320303793
2016-01-22,11136.5320303793
2016-01-25,11136.5320303793
2016-01-26,11136.5320303793
2016-01-27,11136.5320303793
2016-01-28,11136.5320303793
2016-01-29,11136.5320303793
