trade_no,symbol,entry_time,exit_time,entry_price,exit_price,quantity,entry_value,exit_value,pnl_value,pnl_pct,exit_reason,pnl_pct_display,cumulative_pnl_value,realized_equity_after_trade,cumulative_return,cumulative_return_display,holding_days
1,AMZN,2015-10-20,2015-11-05,28.61430038166046,32.33882204246521,348,9967.734309350655,11242.656160707114,1274.9218513564592,0.12790487906168058,Leader rotation,+12.79%,1274.9218513564592,11274.92185135646,0.12749218513564586,+12.75%,16
2,NFLX,2015-11-05,2015-12-11,11.380687499999999,12.13892795753479,977,11130.050619187497,11847.872881896978,717.8222627094801,0.06449406990764261,Leader rotation,+6.45%,1992.7441140659394,11992.74411406594,0.19927441140659385,+19.93%,36
3,NVDA,2015-12-11,2016-01-13,0.8166581512391566,0.7598698473572731,14670,11992.355453757105,11136.143370070466,-856.2120836866397,-0.07139648978786695,Supertrend down,-7.14%,1136.5320303792996,11136.5320303793,0.11365320303793003,+11.37%,33
4,NVDA,2016-03-02,2017-01-10,0.8146571173667907,2.6939024093151094,13581,11074.922169269343,36549.30273228759,25474.38056301825,2.3001859673293668,Supertrend down,+230.02%,26610.912593397552,36610.91259339755,2.6610912593397553,+266.11%,314
5,MU,2017-01-10,2017-01-30,22.371180610656737,23.808089694976807,1628,36456.70231618331,38720.81045339882,2264.1081372155095,0.06210403007872878,Leader rotation,+6.21%,28875.02073061306,38875.02073061306,2.8875020730613064,+288.75%,20
6,STX,2017-01-30,2017-02-03,44.42220152664184,45.287346372604375,874,38863.829138419256,39541.55958892657,677.7304505073116,0.01743859175825091,Leader rotation,+1.74%,29552.751181120373,39552.75118112037,2.9552751181120374,+295.53%,4
7,NVDA,2017-02-03,2017-02-21,2.887693144083023,2.7043971135616305,13678,39537.36469159235,36953.75297557669,-2583.6117160156646,-0.06534607797380765,Supertrend down,-6.53%,26969.13946510471,36969.13946510471,2.696913946510471,+269.69%,18
8,MU,2017-02-21,2017-03-21,23.631810839653014,26.286849237442016,1562,36949.80142006955,41018.99845037555,4069.1970303060007,0.11012771040484637,Leader rotation,+11.01%,31038.33649541071,41038.33649541071,3.1038336495410705,+310.38%,28
9,INCY,2017-03-21,2017-04-07,148.43418061065674,139.4102557296753,274,40711.63645280726,38160.211659861096,-2551.4247929461635,-0.06267065181483833,Supertrend down,-6.27%,28486.911702464546,38486.911702464546,2.8486911702464544,+284.87%,17
10,WDC,2017-04-07,2017-04-25,63.56918325805664,65.72675610733033,587,37352.425683051726,38543.0242291679,1190.5985461161763,0.03187473167656685,Leader rotation,+3.19%,29677.510248580722,39677.51024858072,2.9677510248580723,+296.78%,18
11,CSX,2017-04-25,2017-05-12,16.738364542007446,17.347988231658938,2338,39173.43059551261,40519.03688913298,1345.606293620367,0.03434997326413658,Leader rotation,+3.43%,31023.11654220109,41023.11654220109,3.1023116542201086,+310.23%,17
12,NVDA,2017-05-12,2017-07-11,3.167332901716232,3.844326932191849,12939,41023.10253572163,49692.00442945471,8668.901893733084,0.21131755907989835,Supertrend down,+21.13%,39692.01843593417,49692.01843593417,3.9692018435934173,+396.92%,60
13,NVDA,2017-07-18,2017-07-20,4.046522124052047,4.146175977945328,12083,48943.020951745806,50048.146097171884,1105.1251454260782,0.02257983107572481,Leader rotation,+2.26%,40797.14358136025,50797.14358136025,4.079714358136025,+407.97%,2
