,equity
2015-10-19,10000.0
2015-10-20,9796.369138000002
2015-10-21,9709.499138000003
2015-10-22,9847.879138000002
2015-10-23,10444.919138000003
2015-10-26,10607.779138000004
2015-10-27,10648.579138000003
2015-10-28,10752.109138000003
2015-10-29,10912.759138000001
2015-10-30,10901.709138000002
2015-11-02,10943.359138000003
2015-11-03,10891.679138000001
2015-11-04,11157.559138000004
2015-11-05,11407.459138000002
2015-11-06,11470.700838000002
2015-11-09,11404.740838000002
2015-11-10,11475.970838000003
2015-11-11,11706.660838000002
2015-11-12,11576.609138000003
2015-11-13,11181.359138000003
2015-11-16,11274.179138000001
2015-11-17,11197.510838000004
2015-11-18,11541.589138000003
2015-11-19,11503.000838000002
2015-11-20,11625.059138000004
2015-11-23,11804.239138000003
2015-11-24,11670.959138000002
2015-11-25,11742.189138000003
2015-11-27,11706.829138000003
2015-11-30,11563.009138000001
2015-12-01,11805.429138000001
2015-12-02,11753.580838000002
2015-12-03,11587.659138000003
2015-12-04,11696.289138000002
2015-12-07,11648.519138000003
2015-12-08,11776.019138000003
2015-12-09,11562.839138000003
2015-12-10,11520.849138000003
2015-12-11,11143.960838000003
2015-12-14,11445.880838000005
2015-12-15,11458.290838000003
2015-12-16,11749.499138000003
2015-12-17,11662.459138000002
2015-12-18,11551.789138000002
2015-12-21,11558.079138000003
2015-12-22,11534.959138000002
2015-12-23,11544.309138000004
2015-12-24,11528.839138000003
2015-12-28,11739.810838000003
2015-12-29,12058.899138000002
2015-12-30,11975.600838000004
2015-12-31,11751.539138000002
2016-01-04,11090.239138000003
2016-01-05,11035.839138000003
2016-01-06,11016.459138000002
2016-01-07,10596.389138000004
2016-01-08,10581.259138000001
2016-01-11,10657.956104080002
2016-01-12,10657.956104080002
2016-01-13,10657.956104080002
2016-01-14,10657.956104080002
2016-01-15,10657.956104080002
2016-01-19,10657.956104080002
2016-01-20,10657.956104080002
2016-01-21,10657.956104080002
2016-01-22,10657.956104080002
2016-01-25,10657.956104080002
2016-01-26,10657.956104080002
2016-01-27,10657.956104080002
2016-01-28,10657.956104080002
2016-01-29,10657.956104080002
2016-02-01,10657.956104080002
2016-02-02,10657.956104080002
2016-02-03,10657.956104080002
2016-02-04,10657.956104080002
2016-02-05,10657.956104080002
2016-02-08,10657.956104080002
2016-02-09,10657.956104080002
2016-02-10,10657.956104080002
2016-02-11,10657.956104080002
2016-02-12,10657.956104080002
2016-02-16,10657.956104080002
2016-02-17,10657.956104080002
2016-02-18,10657.956104080002
2016-02-19,10657.956104080002
2016-02-22,10657.956104080002
2016-02-23,10657.956104080002
2016-02-24,10657.956104080002
2016-02-25,10657.956104080002
2016-02-26,10657.956104080002
2016-02-29,10657.956104080002
2016-03-01,10657.956104080002
2016-03-02,10762.644065170001
2016-03-03,10668.104065170002
2016-03-04,10635.504065170002
2016-03-07,10567.044065170005
2016-03-08,10374.704065170003
2016-03-09,10368.184065170002
2016-03-10,10351.884065170003
2016-03-11,10527.924065170002
2016-03-14,10554.004065170002
2016-03-15,10501.844065170002
2016-03-16,10814.804065170003
2016-03-17,10723.524065170002
2016-03-18,11046.264065170004
2016-03-21,11078.86406517
2016-03-22,11059.304065170003
2016-03-23,11248.384065170003
2016-03-24,11264.684065170002
2016-03-28,11378.784065170003
2016-03-29,11561.344065170002
2016-03-30,11681.964065170003
2016-03-31,11639.584065170004
2016-04-01,11809.104065170002
2016-04-04,11695.004065170002
2016-04-05,11678.704065170003
2016-04-06,11695.004065170002
2016-04-07,11574.384065170003
2016-04-08,11649.36406517
2016-04-11,11721.084065170004
2016-04-12,11708.044065170005
2016-04-13,12001.444065170002
2016-04-14,12034.044065170005
2016-04-15,12128.584065170004
2016-04-18,12076.424065170002
2016-04-19,11861.264065170004
2016-04-20,11906.904065170003
2016-04-21,11893.86406517
2016-04-22,11848.224065170003
2016-04-25,11906.904065170003
2016-04-26,11916.684065170002
2016-04-27,12187.264065170004
2016-04-28,11825.404065170003
2016-04-29,11606.984065170003
2016-05-02,11760.204065170003
2016-05-03,11620.024065170002
2016-05-04,11355.964065170003
2016-05-05,11424.424065170002
2016-05-06,11541.784065170003
2016-05-09,11525.484065170003
2016-05-10,11747.164065170004
2016-05-11,11779.764065170004
2016-05-12,11620.024065170002
2016-05-13,13383.684065170002
2016-05-16,13778.144065170001
2016-05-17,13807.484065170003
2016-05-18,14159.564065170003
2016-05-19,14221.504065170002
2016-05-20,14475.784065170003
2016-05-23,14498.604065170002
2016-05-24,14849.119265170004
2016-05-25,14787.179265170003
2016-05-26,14943.659265170003
2016-05-27,15025.159265170003
2016-05-31,15292.479265170003
2016-06-01,15321.819265170005
2016-06-02,15429.399265170003
2016-06-03,15214.239265170003
2016-06-06,15135.999265170003
2016-06-07,15165.339265170003
2016-06-08,15116.439265170004
2016-06-09,15507.639265170004
2016-06-10,15122.959265170004
2016-06-13,15315.299265170002
2016-06-14,15344.639265170004
