date,index_events_count,wikipedia_count,common_count,only_index_events_count,only_wikipedia_count,only_index_events,only_wikipedia
2015-10-19,107,105,102,5,3,"BRCM,FB,FISV,INCY,SYMC","ALTR,META,NLOK"
2015-10-20,107,105,102,5,3,"BRCM,FB,FISV,INCY,SYMC","ALTR,META,NLOK"
2015-10-21,107,105,102,5,3,"BRCM,FB,FISV,INCY,SYMC","ALTR,META,NLOK"
2015-10-22,107,105,102,5,3,"BRCM,FB,FISV,INCY,SYMC","ALTR,META,NLOK"
2015-10-23,107,105,102,5,3,"BRCM,FB,FISV,INCY,SYMC","ALTR,META,NLOK"
2015-10-26,107,105,102,5,3,"BRCM,FB,FISV,INCY,SYMC","ALTR,META,NLOK"
2015-10-27,107,105,102,5,3,"BRCM,FB,FISV,INCY,SYMC","ALTR,META,NLOK"
2015-10-28,107,105,102,5,3,"BRCM,FB,FISV,INCY,SYMC","ALTR,META,NLOK"
2015-10-29,107,105,102,5,3,"BRCM,FB,FISV,INCY,SYMC","ALTR,META,NLOK"
2015-10-30,107,105,102,5,3,"BRCM,FB,FISV,INCY,SYMC","ALTR,META,NLOK"
2015-11-02,107,105,102,5,3,"BRCM,FB,FISV,INCY,SYMC","ALTR,META,NLOK"
2015-11-03,107,105,102,5,3,"BRCM,FB,FISV,INCY,SYMC","ALTR,META,NLOK"
2015-11-04,107,105,102,5,3,"BRCM,FB,FISV,INCY,SYMC","ALTR,META,NLOK"
2015-11-05,107,105,102,5,3,"BRCM,FB,FISV,INCY,SYMC","ALTR,META,NLOK"
2015-11-06,107,105,102,5,3,"BRCM,FB,FISV,INCY,SYMC","ALTR,META,NLOK"
2015-11-09,107,105,102,5,3,"BRCM,FB,FISV,INCY,SYMC","ALTR,META,NLOK"
2015-11-10,107,105,102,5,3,"BRCM,FB,FISV,INCY,SYMC","ALTR,META,NLOK"
2015-11-11,107,105,102,5,3,"FB,FISV,INCY,PYPL,SYMC","ALTR,META,NLOK"
2015-11-12,107,105,102,5,3,"FB,FISV,INCY,PYPL,SYMC","ALTR,META,NLOK"
2015-11-13,107,105,102,5,3,"FB,FISV,INCY,PYPL,SYMC","ALTR,META,NLOK"
2015-11-16,107,105,102,5,3,"FB,FISV,INCY,PYPL,SYMC","ALTR,META,NLOK"
2015-11-17,107,105,102,5,3,"FB,FISV,INCY,PYPL,SYMC","ALTR,META,NLOK"
2015-11-18,107,105,102,5,3,"FB,FISV,INCY,PYPL,SYMC","ALTR,META,NLOK"
2015-11-19,107,105,102,5,3,"FB,FISV,INCY,PYPL,SYMC","ALTR,META,NLOK"
2015-11-20,107,105,102,5,3,"FB,FISV,INCY,PYPL,SYMC","ALTR,META,NLOK"
2015-11-23,107,105,102,5,3,"FB,FISV,INCY,PYPL,SYMC","ALTR,META,NLOK"
2015-11-24,107,105,102,5,3,"FB,FISV,INCY,PYPL,SYMC","ALTR,META,NLOK"
2015-11-25,107,105,102,5,3,"FB,FISV,INCY,PYPL,SYMC","ALTR,META,NLOK"
2015-11-27,107,105,102,5,3,"FB,FISV,INCY,PYPL,SYMC","ALTR,META,NLOK"
2015-11-30,107,105,102,5,3,"FB,FISV,INCY,PYPL,SYMC","ALTR,META,NLOK"
2015-12-01,107,105,102,5,3,"FB,FISV,INCY,PYPL,SYMC","ALTR,META,NLOK"
2015-12-02,107,105,102,5,3,"FB,FISV,INCY,PYPL,SYMC","ALTR,META,NLOK"
2015-12-03,107,105,102,5,3,"FB,FISV,INCY,PYPL,SYMC","ALTR,META,NLOK"
2015-12-04,107,105,102,5,3,"FB,FISV,INCY,PYPL,SYMC","ALTR,META,NLOK"
2015-12-07,107,105,102,5,3,"FB,FISV,INCY,PYPL,SYMC","ALTR,META,NLOK"
2015-12-08,107,105,102,5,3,"FB,FISV,INCY,PYPL,SYMC","ALTR,META,NLOK"
2015-12-09,107,105,102,5,3,"FB,FISV,INCY,PYPL,SYMC","ALTR,META,NLOK"
2015-12-10,107,105,102,5,3,"FB,FISV,INCY,PYPL,SYMC","ALTR,META,NLOK"
2015-12-11,107,105,102,5,3,"FB,FISV,INCY,PYPL,SYMC","ALTR,META,NLOK"
2015-12-14,107,105,102,5,3,"FB,FISV,INCY,PYPL,SYMC","ALTR,META,NLOK"
2015-12-15,107,105,102,5,3,"FB,FISV,INCY,PYPL,SYMC","ALTR,META,NLOK"
2015-12-16,107,105,102,5,3,"FB,FISV,INCY,PYPL,SYMC","ALTR,META,NLOK"
2015-12-17,107,105,102,5,3,"FB,FISV,INCY,PYPL,SYMC","ALTR,META,NLOK"
2015-12-18,107,105,102,5,3,"FB,FISV,INCY,PYPL,SYMC","ALTR,META,NLOK"
2015-12-21,105,105,93,12,12,"CTRP,ENDP,EXPE,FB,FISV,INCY,MXIM,NCLH,PYPL,SYMC,TMUS,ULTA","ALTR,CHRW,EXPD,GMCR,GRMN,LILA,LILAK,META,NLOK,SPLS,VIP,WYNN"
2015-12-22,105,105,93,12,12,"CTRP,ENDP,EXPE,FB,FISV,INCY,MXIM,NCLH,PYPL,SYMC,TMUS,ULTA","ALTR,CHRW,EXPD,GMCR,GRMN,LILA,LILAK,META,NLOK,SPLS,VIP,WYNN"
2015-12-23,105,105,93,12,12,"CTRP,ENDP,EXPE,FB,FISV,INCY,MXIM,NCLH,PYPL,SYMC,TMUS,ULTA","ALTR,CHRW,EXPD,GMCR,GRMN,LILA,LILAK,META,NLOK,SPLS,VIP,WYNN"
2015-12-24,105,105,93,12,12,"CTRP,ENDP,EXPE,FB,FISV,INCY,MXIM,NCLH,PYPL,SYMC,TMUS,ULTA","ALTR,CHRW,EXPD,GMCR,GRMN,LILA,LILAK,META,NLOK,SPLS,VIP,WYNN"
2015-12-28,105,105,93,12,12,"CTRP,ENDP,EXPE,FB,FISV,INCY,MXIM,NCLH,PYPL,SYMC,TMUS,ULTA","ALTR,CHRW,EXPD,GMCR,GRMN,LILA,LILAK,META,NLOK,SPLS,VIP,WYNN"
2015-12-29,105,105,93,12,12,"CTRP,ENDP,EXPE,FB,FISV,INCY,MXIM,NCLH,PYPL,SYMC,TMUS,ULTA","ALTR,CHRW,EXPD,GMCR,GRMN,LILA,LILAK,META,NLOK,SPLS,VIP,WYNN"
2015-12-30,105,105,93,12,12,"CTRP,ENDP,EXPE,FB,FISV,INCY,MXIM,NCLH,PYPL,SYMC,TMUS,ULTA","ALTR,CHRW,EXPD,GMCR,GRMN,LILA,LILAK,META,NLOK,SPLS,VIP,WYNN"
2015-12-31,105,105,93,12,12,"CTRP,ENDP,EXPE,FB,FISV,INCY,MXIM,NCLH,PYPL,SYMC,TMUS,ULTA","ALTR,CHRW,EXPD,GMCR,GRMN,LILA,LILAK,META,NLOK,SPLS,VIP,WYNN"
2016-01-04,105,103,100,5,3,"AVGO,CTRP,FB,FISV,SYMC","META,NLOK,TCOM"
2016-01-05,105,103,100,5,3,"AVGO,CTRP,FB,FISV,SYMC","META,NLOK,TCOM"
2016-01-06,105,103,100,5,3,"AVGO,CTRP,FB,FISV,SYMC","META,NLOK,TCOM"
2016-01-07,105,103,100,5,3,"AVGO,CTRP,FB,FISV,SYMC","META,NLOK,TCOM"
2016-01-08,105,103,100,5,3,"AVGO,CTRP,FB,FISV,SYMC","META,NLOK,TCOM"
2016-01-11,105,103,100,5,3,"AVGO,CTRP,FB,FISV,SYMC","META,NLOK,TCOM"
2016-01-12,105,103,100,5,3,"AVGO,CTRP,FB,FISV,SYMC","META,NLOK,TCOM"
2016-01-13,105,103,100,5,3,"AVGO,CTRP,FB,FISV,SYMC","META,NLOK,TCOM"
2016-01-14,105,103,100,5,3,"AVGO,CTRP,FB,FISV,SYMC","META,NLOK,TCOM"
2016-01-15,105,103,100,5,3,"AVGO,CTRP,FB,FISV,SYMC","META,NLOK,TCOM"
2016-01-19,105,103,100,5,3,"AVGO,CTRP,FB,FISV,SYMC","META,NLOK,TCOM"
2016-01-20,105,103,100,5,3,"AVGO,CTRP,FB,FISV,SYMC","META,NLOK,TCOM"
2016-01-21,105,103,100,5,3,"AVGO,CTRP,FB,FISV,SYMC","META,NLOK,TCOM"
2016-01-22,105,103,100,5,3,"AVGO,CTRP,FB,FISV,SYMC","META,NLOK,TCOM"
2016-01-25,105,103,100,5,3,"AVGO,CTRP,FB,FISV,SYMC","META,NLOK,TCOM"
2016-01-26,105,103,100,5,3,"AVGO,CTRP,FB,FISV,SYMC","META,NLOK,TCOM"
2016-01-27,105,103,100,5,3,"AVGO,CTRP,FB,FISV,SYMC","META,NLOK,TCOM"
2016-01-28,105,103,100,5,3,"AVGO,CTRP,FB,FISV,SYMC","META,NLOK,TCOM"
2016-01-29,105,103,100,5,3,"AVGO,CTRP,FB,FISV,SYMC","META,NLOK,TCOM"
2016-02-01,105,103,100,5,3,"AVGO,CTRP,FB,FISV,SYMC","META,NLOK,TCOM"
2016-02-02,105,103,100,5,3,"AVGO,CTRP,FB,FISV,SYMC","META,NLOK,TCOM"
2016-02-03,105,103,100,5,3,"AVGO,CTRP,FB,FISV,SYMC","META,NLOK,TCOM"
2016-02-04,105,103,100,5,3,"AVGO,CTRP,FB,FISV,SYMC","META,NLOK,TCOM"
2016-02-05,105,103,100,5,3,"AVGO,CTRP,FB,FISV,SYMC","META,NLOK,TCOM"
