,equity
2026-06-29 12:00:00-04:00,10000.0
2026-06-29 12:30:00-04:00,9979.710386182045
2026-06-29 13:00:00-04:00,10010.601545239662
2026-06-29 13:30:00-04:00,9990.821912671303
2026-06-29 14:00:00-04:00,9995.121518994545
2026-06-29 14:30:00-04:00,10081.981702710365
2026-06-29 15:00:00-04:00,10303.861860181069
2026-06-29 15:30:00-04:00,10315.901807690834
2026-06-30 09:30:00-04:00,10958.321912671303
2026-06-30 10:00:00-04:00,11916.361860181069
2026-06-30 10:30:00-04:00,11717.702070142006
2026-06-30 11:00:00-04:00,11549.141492749428
2026-06-30 11:30:00-04:00,11427.021650220131
2026-06-30 12:00:00-04:00,11624.838971997475
2026-06-30 12:30:00-04:00,11636.861860181069
2026-06-30 13:00:00-04:00,11655.781965161537
2026-06-30 13:30:00-04:00,11642.021650220131
2026-06-30 14:00:00-04:00,11525.061597729897
2026-06-30 14:30:00-04:00,11568.061597729897
2026-06-30 15:00:00-04:00,11745.222043896889
2026-06-30 15:30:00-04:00,11765.861860181069
2026-07-01 09:30:00-04:00,11788.222043896889
2026-07-01 10:00:00-04:00,11710.821912671303
2026-07-01 10:30:00-04:00,11239.761801544062
2026-07-01 11:00:00-04:00,11337.202231231562
2026-07-01 11:30:00-04:00,11352.482504669062
2026-07-01 12:00:00-04:00,11305.170004669062
2026-07-01 12:30:00-04:00,11224.162192169062
2026-07-01 13:00:00-04:00,11264.322348419062
2026-07-01 13:30:00-04:00,11256.002035919062
2026-07-01 14:00:00-04:00,11264.162192169062
2026-07-01 14:30:00-04:00,11040.721762481562
2026-07-01 15:00:00-04:00,11038.961996856562
2026-07-01 15:30:00-04:00,11095.522543731562
2026-07-02 09:30:00-04:00,11229.122153106562
2026-07-02 10:00:00-04:00,11062.562582794062
2026-07-02 10:30:00-04:00,10956.642660919062
2026-07-02 11:00:00-04:00,11024.162192169062
2026-07-02 11:30:00-04:00,11066.002035919062
2026-07-02 12:00:00-04:00,11096.315512481562
2026-07-02 12:30:00-04:00,11120.642660919062
2026-07-02 13:00:00-04:00,11169.122153106562
2026-07-02 13:30:00-04:00,11141.122153106562
2026-07-02 14:00:00-04:00,11211.042074981562
2026-07-02 14:30:00-04:00,11190.002035919062
2026-07-02 15:00:00-04:00,11193.122153106562
2026-07-02 15:30:00-04:00,11138.402426544062
2026-07-06 09:30:00-04:00,11235.202231231562
2026-07-06 10:00:00-04:00,11213.442465606562
2026-07-06 10:30:00-04:00,11266.322348419062
2026-07-06 11:00:00-04:00,11319.282309356562
2026-07-06 11:30:00-04:00,11409.682699981562
2026-07-06 12:00:00-04:00,11364.642660919062
2026-07-06 12:30:00-04:00,11472.642660919062
2026-07-06 13:00:00-04:00,11454.362387481562
2026-07-06 13:30:00-04:00,11422.402426544062
2026-07-06 14:00:00-04:00,11448.961996856562
2026-07-06 14:30:00-04:00,11504.801840606562
2026-07-06 15:00:00-04:00,11566.322348419062
2026-07-06 15:30:00-04:00,11549.122153106562
2026-07-07 09:30:00-04:00,11806.880942169062
2026-07-07 10:00:00-04:00,11850.242270294062
2026-07-07 10:30:00-04:00,11832.801840606562
2026-07-07 11:00:00-04:00,11836.162192169062
2026-07-07 11:30:00-04:00,11863.042074981562
2026-07-07 12:00:00-04:00,11877.602621856562
2026-07-07 12:30:00-04:00,11938.961996856562
2026-07-07 13:00:00-04:00,11871.204184356562
2026-07-07 13:30:00-04:00,11859.367966733029
