,equity
2015-05-29,10000.0
2015-06-01,10000.0
2015-06-02,10000.0
2015-06-03,10000.0
2015-06-04,10000.0
2015-06-05,10000.0
2015-06-08,10000.0
2015-06-09,10000.0
2015-06-10,10000.0
2015-06-11,10000.0
2015-06-12,10000.0
2015-06-15,10000.0
2015-06-16,10000.0
2015-06-17,10000.0
2015-06-18,10000.0
2015-06-19,10000.0
2015-06-22,10000.0
2015-06-23,10000.0
2015-06-24,10000.0
2015-06-25,10000.0
2015-06-26,10000.0
2015-06-29,10000.0
2015-06-30,10000.0
2015-07-01,10000.0
2015-07-02,10000.0
2015-07-06,10000.0
2015-07-07,10000.0
2015-07-08,10000.0
2015-07-09,10000.0
2015-07-10,10000.0
2015-07-13,10000.0
2015-07-14,10000.0
2015-07-15,10000.0
2015-07-16,10000.0
2015-07-17,9754.399861491533
2015-07-20,9396.121919787736
2015-07-21,9562.526003993364
2015-07-22,9476.7763368257
2015-07-23,9357.916855014177
2015-07-24,9293.39267364821
2015-07-27,9046.333362735124
2015-07-28,9086.23630443892
2015-07-29,9101.518816150041
2015-07-30,9481.870777285905
2015-07-31,9715.345453418107
2015-08-03,9566.770291484208
2015-08-04,10296.06146637282
2015-08-05,10513.405906833024
2015-08-06,10746.032049334855
2015-08-07,10497.274861491533
2015-08-10,10455.6740428575
2015-08-11,10431.052803195329
2015-08-12,10241.725356257768
2015-08-13,10515.103783763261
2015-08-14,10486.237446940751
2015-08-17,10653.490874446245
2015-08-18,10542.27143398604
2015-08-19,10373.320939219804
2015-08-20,9560.827317393632
2015-08-21,8836.630582965226
2015-08-24,7524.589231177873
2015-08-25,7524.589231177873
2015-08-26,7524.589231177873
2015-08-27,7524.589231177873
2015-08-28,7511.385972697526
2015-08-31,7437.40237398842
2015-09-01,7201.144565303117
2015-09-02,7403.589206416398
2015-09-03,7319.345679957658
2015-09-04,7236.691882808
2015-09-08,7504.59489603737
2015-09-09,7495.202043254167
2015-09-10,7572.5095212052165
2015-09-11,7676.549697596818
2015-09-14,7560.082732875138
2015-09-15,7574.388091761857
2015-09-16,7646.926933009416
2015-09-17,7812.813312251359
2015-09-18,7832.898803431779
2015-09-21,7950.377263743669
2015-09-22,7806.021684367448
2015-09-23,7772.352937419206
2015-09-24,7738.829162318498
2015-09-25,7601.554052073747
2015-09-28,7309.8084065506755
2015-09-29,7194.352937419206
2015-09-30,7309.67277217544
2015-10-01,7309.67277217544
2015-10-02,7309.67277217544
2015-10-05,7309.67277217544
2015-10-06,7309.67277217544
2015-10-07,7309.67277217544
2015-10-08,7309.67277217544
2015-10-09,7309.67277217544
2015-10-12,7309.67277217544
2015-10-13,7309.67277217544
2015-10-14,7309.67277217544
