,equity
2026-06-29 12:00:00-04:00,10000.0
2026-06-29 12:30:00-04:00,10000.0
2026-06-29 13:00:00-04:00,10000.0
2026-06-29 13:30:00-04:00,10000.0
2026-06-29 14:00:00-04:00,10000.0
2026-06-29 14:30:00-04:00,10000.0
2026-06-29 15:00:00-04:00,10000.0
2026-06-29 15:30:00-04:00,10000.0
2026-06-30 09:30:00-04:00,9985.445107233707
2026-06-30 10:00:00-04:00,10848.79505993146
2026-06-30 10:30:00-04:00,10669.770249140445
2026-06-30 11:00:00-04:00,10517.869728815738
2026-06-30 11:30:00-04:00,10407.819870722476
2026-06-30 12:00:00-04:00,10586.085480463687
2026-06-30 12:30:00-04:00,10596.92005993146
2026-06-30 13:00:00-04:00,10613.970154535953
2026-06-30 13:30:00-04:00,10601.569870722476
2026-06-30 14:00:00-04:00,10496.16982342023
2026-06-30 14:30:00-04:00,10534.91982342023
2026-06-30 15:00:00-04:00,10694.570225489322
2026-06-30 15:30:00-04:00,10713.17005993146
2026-07-01 09:30:00-04:00,10733.320225489322
2026-07-01 10:00:00-04:00,10663.570107233707
2026-07-01 10:30:00-04:00,10238.103313850586
2026-07-01 11:00:00-04:00,10329.453716682618
2026-07-01 11:30:00-04:00,10343.778973030274
2026-07-01 12:00:00-04:00,10299.423504280274
2026-07-01 12:30:00-04:00,10223.478680061524
2026-07-01 13:00:00-04:00,10261.128826545899
2026-07-01 13:30:00-04:00,10253.328533577149
2026-07-01 14:00:00-04:00,10260.978680061524
2026-07-01 14:30:00-04:00,10051.503277229493
2026-07-01 15:00:00-04:00,10049.853496956055
2026-07-01 15:30:00-04:00,10102.879009651368
2026-07-02 09:30:00-04:00,10228.12864344043
2026-07-02 10:00:00-04:00,10071.979046272461
2026-07-02 10:30:00-04:00,9972.679119514649
2026-07-02 11:00:00-04:00,10035.978680061524
2026-07-02 11:30:00-04:00,10075.203533577149
2026-07-02 12:00:00-04:00,10103.622417854493
2026-07-02 12:30:00-04:00,10126.429119514649
2026-07-02 13:00:00-04:00,10171.87864344043
2026-07-02 13:30:00-04:00,10145.62864344043
2026-07-02 14:00:00-04:00,10211.178570198243
2026-07-02 14:30:00-04:00,10191.453533577149
2026-07-02 15:00:00-04:00,10194.37864344043
2026-07-02 15:30:00-04:00,10143.078899788086
2026-07-06 09:30:00-04:00,10233.828716682618
2026-07-06 10:00:00-04:00,10213.42893640918
2026-07-06 10:30:00-04:00,10263.003826545899
2026-07-06 11:00:00-04:00,10312.653789924805
2026-07-06 11:30:00-04:00,10397.404156135743
2026-07-06 12:00:00-04:00,10355.179119514649
2026-07-06 12:30:00-04:00,10456.429119514649
2026-07-06 13:00:00-04:00,10439.291363166993
2026-07-06 13:30:00-04:00,10409.328899788086
2026-07-06 14:00:00-04:00,10434.228496956055
2026-07-06 14:30:00-04:00,10486.57835047168
2026-07-06 15:00:00-04:00,10544.253826545899
2026-07-06 15:30:00-04:00,10528.12864344043
2026-07-07 09:30:00-04:00,10769.777508186524
2026-07-07 10:00:00-04:00,10810.428753303711
2026-07-07 10:30:00-04:00,10794.07835047168
2026-07-07 11:00:00-04:00,10797.228680061524
2026-07-07 11:30:00-04:00,10822.428570198243
2026-07-07 12:00:00-04:00,10836.079082893555
2026-07-07 12:30:00-04:00,10893.603496956055
2026-07-07 13:00:00-04:00,10844.263533243746
