,equity
2026-06-29 12:00:00-04:00,10000.0
2026-06-29 12:30:00-04:00,10000.0
2026-06-29 13:00:00-04:00,10000.0
2026-06-29 13:30:00-04:00,10000.0
2026-06-29 14:00:00-04:00,10000.0
2026-06-29 14:30:00-04:00,10000.0
2026-06-29 15:00:00-04:00,10000.0
2026-06-29 15:30:00-04:00,10000.0
2026-06-30 09:30:00-04:00,9985.445107233707
2026-06-30 10:00:00-04:00,10848.79505993146
2026-06-30 10:30:00-04:00,10669.770249140445
2026-06-30 11:00:00-04:00,10517.869728815738
2026-06-30 11:30:00-04:00,10407.819870722476
2026-06-30 12:00:00-04:00,10586.085480463687
2026-06-30 12:30:00-04:00,10596.92005993146
2026-06-30 13:00:00-04:00,10613.970154535953
2026-06-30 13:30:00-04:00,10601.569870722476
2026-06-30 14:00:00-04:00,10496.16982342023
2026-06-30 14:30:00-04:00,10534.91982342023
2026-06-30 15:00:00-04:00,10694.570225489322
2026-06-30 15:30:00-04:00,10713.17005993146
2026-07-01 09:30:00-04:00,10733.320225489322
2026-07-01 10:00:00-04:00,10663.570107233707
2026-07-01 10:30:00-04:00,10274.519776117984
2026-07-01 11:00:00-04:00,10595.369728815738
2026-07-01 11:30:00-04:00,10654.579724085514
2026-07-01 12:00:00-04:00,10655.820225489322
2026-07-01 12:30:00-04:00,10544.220036280338
2026-07-01 13:00:00-04:00,10565.919941675846
2026-07-01 13:30:00-04:00,10493.844918024723
2026-07-01 14:00:00-04:00,10318.418892292048
2026-07-01 14:30:00-04:00,10108.943489460016
2026-07-01 15:00:00-04:00,10107.293709186579
2026-07-01 15:30:00-04:00,10160.319221881891
2026-07-02 09:30:00-04:00,10285.568855670954
2026-07-02 10:00:00-04:00,10129.419258502985
2026-07-02 10:30:00-04:00,10030.119331745173
2026-07-02 11:00:00-04:00,10093.418892292048
2026-07-02 11:30:00-04:00,10132.643745807673
2026-07-02 12:00:00-04:00,10161.062630085016
2026-07-02 12:30:00-04:00,10183.869331745173
2026-07-02 13:00:00-04:00,10229.318855670954
2026-07-02 13:30:00-04:00,10203.068855670954
2026-07-02 14:00:00-04:00,10268.618782428766
2026-07-02 14:30:00-04:00,10248.893745807673
2026-07-02 15:00:00-04:00,10251.818855670954
2026-07-02 15:30:00-04:00,10200.51911201861
2026-07-06 09:30:00-04:00,10291.268928913141
2026-07-06 10:00:00-04:00,10270.869148639704
2026-07-06 10:30:00-04:00,10320.444038776423
2026-07-06 11:00:00-04:00,10370.094002155329
2026-07-06 11:30:00-04:00,10454.844368366266
2026-07-06 12:00:00-04:00,10412.619331745173
2026-07-06 12:30:00-04:00,10513.869331745173
2026-07-06 13:00:00-04:00,10496.731575397516
2026-07-06 13:30:00-04:00,10466.76911201861
2026-07-06 14:00:00-04:00,10491.668709186579
2026-07-06 14:30:00-04:00,10544.018562702204
2026-07-06 15:00:00-04:00,10601.694038776423
2026-07-06 15:30:00-04:00,10585.568855670954
2026-07-07 09:30:00-04:00,10827.217720417048
2026-07-07 10:00:00-04:00,10867.868965534235
2026-07-07 10:30:00-04:00,10851.518562702204
2026-07-07 11:00:00-04:00,10854.668892292048
2026-07-07 11:30:00-04:00,10879.868782428766
2026-07-07 12:00:00-04:00,10893.519295124079
2026-07-07 12:30:00-04:00,10951.043709186579
2026-07-07 13:00:00-04:00,10901.70374547427
