,equity
2026-06-29 12:00:00-04:00,10000.0
2026-06-29 12:30:00-04:00,9979.710386182045
2026-06-29 13:00:00-04:00,10010.601545239662
2026-06-29 13:30:00-04:00,9990.821912671303
2026-06-29 14:00:00-04:00,9995.121518994545
2026-06-29 14:30:00-04:00,10081.981702710365
2026-06-29 15:00:00-04:00,10303.861860181069
2026-06-29 15:30:00-04:00,10315.901807690834
2026-06-30 09:30:00-04:00,10958.321912671303
2026-06-30 10:00:00-04:00,11916.361860181069
2026-06-30 10:30:00-04:00,11717.702070142006
2026-06-30 11:00:00-04:00,11549.141492749428
2026-06-30 11:30:00-04:00,11427.021650220131
2026-06-30 12:00:00-04:00,11624.838971997475
2026-06-30 12:30:00-04:00,11636.861860181069
2026-06-30 13:00:00-04:00,11655.781965161537
2026-06-30 13:30:00-04:00,11642.021650220131
2026-06-30 14:00:00-04:00,11525.061597729897
2026-06-30 14:30:00-04:00,11568.061597729897
2026-06-30 15:00:00-04:00,11745.222043896889
2026-06-30 15:30:00-04:00,11765.861860181069
2026-07-01 09:30:00-04:00,11788.222043896889
2026-07-01 10:00:00-04:00,11710.821912671303
2026-07-01 10:30:00-04:00,11279.101545239662
2026-07-01 11:00:00-04:00,11635.141492749428
2026-07-01 11:30:00-04:00,11700.845487500404
2026-07-01 12:00:00-04:00,11702.222043896889
2026-07-01 12:30:00-04:00,11578.381833935951
2026-07-01 13:00:00-04:00,11602.461728955483
2026-07-01 13:30:00-04:00,11522.481702710365
2026-07-01 14:00:00-04:00,11370.279050732826
2026-07-01 14:30:00-04:00,11190.521650220131
2026-07-01 15:00:00-04:00,11275.66146650431
2026-07-01 15:30:00-04:00,11332.421781445717
2026-07-02 09:30:00-04:00,10451.563030366937
2026-07-02 10:00:00-04:00,10451.563030366937
2026-07-02 10:30:00-04:00,10451.563030366937
2026-07-02 11:00:00-04:00,10451.563030366937
2026-07-02 11:30:00-04:00,10451.563030366937
2026-07-02 12:00:00-04:00,10451.563030366937
2026-07-02 12:30:00-04:00,10451.563030366937
2026-07-02 13:00:00-04:00,10451.563030366937
2026-07-02 13:30:00-04:00,10451.563030366937
2026-07-02 14:00:00-04:00,10451.563030366937
2026-07-02 14:30:00-04:00,10451.563030366937
2026-07-02 15:00:00-04:00,10451.563030366937
2026-07-02 15:30:00-04:00,10451.563030366937
2026-07-06 09:30:00-04:00,10412.134500792923
2026-07-06 10:00:00-04:00,10391.734720519486
2026-07-06 10:30:00-04:00,10441.309610656204
2026-07-06 11:00:00-04:00,10490.95957403511
2026-07-06 11:30:00-04:00,10575.709940246048
2026-07-06 12:00:00-04:00,10533.484903624954
2026-07-06 12:30:00-04:00,10634.734903624954
2026-07-06 13:00:00-04:00,10617.597147277298
2026-07-06 13:30:00-04:00,10587.634683898392
2026-07-06 14:00:00-04:00,10612.53428106636
2026-07-06 14:30:00-04:00,10664.884134581986
2026-07-06 15:00:00-04:00,10722.559610656204
2026-07-06 15:30:00-04:00,10706.434427550736
2026-07-07 09:30:00-04:00,10948.08329229683
2026-07-07 10:00:00-04:00,10988.734537414017
2026-07-07 10:30:00-04:00,10972.384134581986
2026-07-07 11:00:00-04:00,10975.53446417183
2026-07-07 11:30:00-04:00,11000.734354308548
2026-07-07 12:00:00-04:00,11014.38486700386
2026-07-07 12:30:00-04:00,11071.90928106636
2026-07-07 13:00:00-04:00,11022.569317354051
