,equity
2025-01-14,10000.0
2025-01-15,10000.0
2025-01-16,10000.0
2025-01-17,10000.0
2025-01-21,10000.0
2025-01-22,9961.376553986729
2025-01-23,10118.506223176182
2025-01-24,10287.766782258213
2025-01-27,8810.546491120518
2025-01-28,9073.673649602111
2025-01-29,9125.901499367736
2025-01-30,9339.081553078673
2025-01-31,9514.531382180236
2025-02-03,9545.121348000548
2025-02-04,9770.72126255133
2025-02-05,9772.35145053961
2025-02-06,9641.391428566954
2025-02-07,9531.711435891173
2025-02-10,9841.141245461486
2025-02-11,9623.371531106017
2025-02-12,9559.631601906798
2025-02-13,9641.691355324767
2025-02-14,9582.621348000548
2025-02-18,9745.621531106017
2025-02-19,8986.722671808026
2025-02-20,8794.071229484784
2025-02-21,8356.671098259198
2025-02-24,8061.77150109123
2025-02-25,7939.987353512685
2025-02-26,8074.687289425771
2025-02-27,7897.987307736318
2025-02-28,7952.287234494131
2025-03-03,7859.587344357412
2025-03-04,7841.948769840525
2025-03-05,7841.948769840525
2025-03-06,7841.948769840525
2025-03-07,7841.948769840525
2025-03-10,7841.948769840525
2025-03-11,7841.948769840525
2025-03-12,7841.948769840525
2025-03-13,7841.948769840525
2025-03-14,7841.948769840525
2025-03-17,7841.948769840525
2025-03-18,7841.948769840525
2025-03-19,7841.948769840525
2025-03-20,7841.948769840525
2025-03-21,7841.948769840525
2025-03-24,7776.932657005413
2025-03-25,7651.319404894755
2025-03-26,7253.799526507304
2025-03-27,6993.719429308818
2025-03-28,6795.349399859355
2025-03-31,6706.779304797099
2025-04-01,6771.280536308666
2025-04-02,6926.000354423901
2025-04-03,6400.820392265698
2025-04-04,6137.225331367127
2025-04-07,6031.059566802434
2025-04-08,6031.059566802434
2025-04-09,6031.059566802434
2025-04-10,5999.546162793975
2025-04-11,6049.946171949248
2025-04-14,6046.646153638701
2025-04-15,6068.996121595244
2025-04-16,5953.346135328155
2025-04-17,5908.346135328155
2025-04-21,5839.646222303252
2025-04-22,5869.346158216338
2025-04-23,5926.646153638701
2025-04-24,5982.446171949248
2025-04-25,6149.410217920512
2025-04-28,6085.010262171
2025-04-29,6095.930206934184
2025-04-30,6073.9501349126995
2025-05-01,6336.560310999125
2025-05-02,6506.4102255499065
2025-05-05,6516.200256983012
2025-05-06,6481.600334802836
2025-05-07,6609.220062891215
2025-05-08,6554.880180994242
2025-05-09,6531.740204492778
2025-05-12,6874.610283533305
2025-05-13,7166.250054041117
2025-05-14,7334.650192896098
2025-05-15,7203.350159326762
2025-05-16,7232.530106226176
2025-05-19,7336.060364404887
2025-05-20,7335.180290857524
2025-05-21,7247.49024263975
2025-05-22,7305.460182825297
2025-05-23,7308.8301474249065
2025-05-27,7537.530258814067
2025-05-28,7581.570229212016
2025-05-29,7560.82032076475
2025-05-30,7496.550324121684
2025-06-02,7621.10035769102
2025-06-03,7789.28012911436
2025-06-04,7787.31015078184
2025-06-05,7724.770287195414
2025-06-06,7826.390221277446
2025-06-09,7737.760262171
2025-06-10,7603.070305505961
2025-06-11,7725.680138269633
2025-06-12,7869.160256067485
2025-06-13,7696.420296350688
2025-06-16,7910.410179773539
2025-06-17,7909.440148035258
2025-06-18,7994.300179163188
2025-06-20,7941.280258814067
2025-06-23,7964.680206934184
2025-06-24,8208.370072046488
2025-06-25,8248.030205408304
2025-06-26,8329.060310999124
2025-06-27,8511.540138879984
2025-06-30,8591.3404776251
2025-07-01,8270.230255762308
2025-07-02,8366.000267664163
2025-07-03,8537.929939905374
2025-07-07,8551.290466943949
2025-07-08,8567.780174890726
2025-07-09,8696.870247522562
2025-07-10,8557.17023531553
2025-07-11,8627.810097376077
2025-07-14,8727.120217004984
2025-07-15,8910.370133081644
2025-07-16,8882.91006533262
2025-07-17,9083.919991174906
2025-07-18,9049.840065637796
2025-07-21,8925.390106836527
2025-07-22,8754.380142847269
2025-07-23,9323.530373254984
2025-07-24,9358.27001253721
2025-07-25,9609.570351282327
2025-07-28,9790.510124841898
2025-07-29,9700.409950891702
2025-07-30,9902.270210901468
2025-07-31,9940.610146204202
2025-08-01,9767.180123010843
2025-08-04,9860.760216394632
2025-08-05,9736.289833704202
2025-08-06,9850.610100427835
2025-08-07,9769.130165735452
