,equity
2025-01-14,10000.0
2025-01-15,10000.0
2025-01-16,10000.0
2025-01-17,10000.0
2025-01-21,10000.0
2025-01-22,10000.0
2025-01-23,10233.356084507832
2025-01-24,9878.671483677754
2025-01-27,8134.646245640644
2025-01-28,8331.331399601826
2025-01-29,8394.246328038105
2025-01-30,8600.744400191581
2025-01-31,8703.796559822244
2025-02-03,8612.846609604043
2025-02-04,9021.686459076089
2025-02-05,8936.15670062272
2025-02-06,8781.956696998757
2025-02-07,8658.70671321122
2025-02-10,9127.226559173745
2025-02-11,8711.000576496554
2025-02-12,8825.700605869722
2025-02-13,8977.590350628328
2025-02-14,8738.570492268038
2025-02-18,8786.890596867037
2025-02-19,8090.610473156404
2025-02-20,7774.730500698518
2025-02-21,7390.760279179048
2025-02-24,7200.693383361617
2025-02-25,6990.049715943655
2025-02-26,7038.065056347736
2025-02-27,7013.884949231036
2025-02-28,7056.7850384949525
2025-03-03,6941.345074200519
2025-03-04,6935.105080151447
2025-03-05,7185.485008740314
2025-03-06,7087.204990887531
2025-03-07,7132.444984936603
2025-03-10,7088.765026593097
2025-03-11,7056.7850384949525
2025-03-12,7082.525032544025
2025-03-13,7085.644955181964
2025-03-14,7276.7450146912415
2025-03-17,7265.825062298663
2025-03-18,7276.7450146912415
2025-03-19,7275.184978985675
2025-03-20,7231.505020642169
2025-03-21,7204.204990887531
2025-03-24,7247.884949231036
2025-03-25,7284.54504444588
2025-03-26,7216.684978985675
2025-03-27,7225.265026593097
2025-03-28,7209.66496708382
2025-03-31,7087.985008740314
2025-04-01,7147.265026593097
2025-04-02,7146.485008740314
2025-04-03,7119.964996838458
2025-04-04,6982.684978985675
2025-04-07,7055.225002789386
2025-04-08,6895.325062298663
2025-04-09,6923.290810208724
2025-04-10,6923.290810208724
2025-04-11,6923.290810208724
2025-04-14,6923.290810208724
2025-04-15,6923.290810208724
2025-04-16,6923.290810208724
2025-04-17,6923.290810208724
2025-04-21,6923.290810208724
2025-04-22,6923.290810208724
2025-04-23,6923.290810208724
2025-04-24,6923.290810208724
2025-04-25,6923.290810208724
2025-04-28,6907.676405828521
2025-04-29,6928.406386297271
2025-04-30,6931.636366766021
2025-05-01,6981.646346014068
2025-05-02,7037.856337469146
2025-05-05,7038.676436346099
2025-05-06,6999.606367986724
2025-05-07,7016.646376531646
2025-05-08,7148.2364033871145
2025-05-09,7159.5364522152395
2025-05-12,7262.870198762982
2025-05-13,7367.730171716778
2025-05-14,7399.57689605043
2025-05-15,7362.216951706863
2025-05-16,7377.161726334549
2025-05-19,7436.996932366348
2025-05-20,7324.581920006729
2025-05-21,7171.237033226944
2025-05-22,7259.991964676834
2025-05-23,7214.056840279556
2025-05-27,7487.696997025467
2025-05-28,7669.611808159805
2025-05-29,7619.2819360284575
2025-05-30,7676.586883881546
2025-06-02,7868.991978981949
2025-06-03,8055.936913826919
2025-06-04,8188.031983712173
2025-06-05,8105.051981308914
2025-06-06,8296.111858704544
2025-06-09,8367.202000954605
2025-06-10,8447.277075150467
2025-06-11,9123.14690814302
2025-06-12,9037.991943695999
2025-06-13,8724.741947510696
2025-06-16,9109.88694796846
2025-06-17,8920.096720078445
2025-06-18,9117.04681048677
2025-06-20,9250.941980698562
2025-06-23,9663.746910431839
2025-06-24,9872.816715577103
2025-06-25,9844.277090409256
2025-06-26,10247.36201701448
2025-06-27,10144.866777756668
2025-06-30,10250.077030518509
2025-07-01,9605.321834900833
2025-07-02,9644.616834977127
2025-07-03,9985.231628754593
2025-07-07,9941.246958115555
2025-07-08,10042.641752579666
2025-07-09,10371.53185496614
2025-07-10,10217.286777832962
2025-07-11,10045.046829560257
2025-07-14,10341.091841080643
2025-07-15,10945.223348908828
2025-07-16,11086.448603656649
2025-07-17,11134.128489520906
2025-07-18,11422.458487537264
2025-07-21,11232.598502185701
2025-07-22,10762.21333411014
2025-07-23,10934.003558185457
2025-07-24,11191.003449466585
2025-07-25,10976.733597782015
2025-07-28,11055.028515842318
2025-07-29,10607.608468082308
2025-07-30,10650.848679569124
2025-07-31,10560.128347108872
2025-08-01,10426.384590145455
2025-08-04,10631.90467261921
2025-08-05,10522.061220607506
2025-08-06,10604.391977060059
