,equity
2025-01-14,10000.0
2025-01-15,10000.0
2025-01-16,10000.0
2025-01-17,10000.0
2025-01-21,10000.0
2025-01-22,10000.0
2025-01-23,10836.712935460937
2025-01-24,10430.153243078124
2025-01-27,10117.673140539062
2025-01-28,9966.472884191406
2025-01-29,9929.513319982421
2025-01-30,9815.27326871289
2025-01-31,9989.992781652343
2025-02-03,9764.872756017578
2025-02-04,9865.673140539062
2025-02-05,9838.793166173828
2025-02-06,9529.673140539062
2025-02-07,9438.952986730468
2025-02-10,10510.793166173828
2025-02-11,9711.112807287109
2025-02-12,9509.513319982421
2025-02-13,9737.992781652343
2025-02-14,9643.913191808593
2025-02-18,9549.832961095703
2025-02-19,8941.673140539062
2025-02-20,8716.553114904296
2025-02-21,8141.992781652343
2025-02-24,7785.832961095703
2025-02-25,7285.116504192631
2025-02-26,7350.006810665409
2025-02-27,7254.216386318485
2025-02-28,7424.166739940922
2025-03-03,6966.846881389896
2025-03-04,6942.126904964725
2025-03-05,7934.016622066776
2025-03-06,7544.676551342289
2025-03-07,7723.89652776746
2025-03-10,7550.856692791263
2025-03-11,7424.166739940922
2025-03-12,7526.1367163660925
2025-03-13,7538.496409893314
2025-03-14,8295.546645641605
2025-03-17,8252.286834240238
2025-03-18,8295.546645641605
2025-03-19,8289.36650419263
2025-03-20,8116.326669216434
2025-03-21,8008.176551342289
2025-03-24,8181.216386318485
2025-03-25,8326.44676351575
2025-03-26,8057.616504192631
2025-03-27,8091.606692791263
2025-03-28,8029.806457042972
2025-03-31,7547.766622066776
2025-04-01,7782.606692791263
2025-04-02,7779.516622066776
2025-04-03,7674.456574917118
2025-04-04,7130.616504192631
2025-04-07,7417.986598491947
2025-04-08,6784.536834240238
2025-04-09,6895.324220191634
2025-04-10,6895.324220191634
2025-04-11,6895.324220191634
2025-04-14,6895.324220191634
2025-04-15,6895.324220191634
2025-04-16,6895.324220191634
2025-04-17,6895.324220191634
2025-04-21,6895.324220191634
2025-04-22,6895.324220191634
2025-04-23,6895.324220191634
2025-04-24,6895.324220191634
2025-04-25,6895.324220191634
2025-04-28,6860.032163496321
2025-04-29,6880.372251386946
2025-04-30,6873.712339277571
2025-05-01,7080.172361250227
2025-05-02,7332.712339277571
2025-05-05,7418.752317304915
2025-05-06,7421.09240519554
2025-05-07,7521.532163496321
2025-05-08,7290.952207441634
2025-05-09,7385.632383222884
2025-05-12,7698.292295332259
2025-05-13,7998.891965742415
2025-05-14,7990.072141523665
2025-05-15,7884.41222941429
2025-05-16,7904.032163496321
2025-05-19,8237.752317304916
2025-05-20,8299.672361250228
2025-05-21,8353.492185468978
2025-05-22,8457.712339277572
2025-05-23,8557.97247111351
2025-05-27,8686.132383222885
2025-05-28,8929.132383222885
2025-05-29,8680.012449140853
2025-05-30,8712.59240519554
2025-06-02,8931.832273359603
2025-06-03,9072.41222941429
2025-06-04,8985.29229533226
2025-06-05,8916.532163496322
2025-06-06,8823.550072558559
2025-06-09,8808.679732211269
2025-06-10,8451.800072558559
2025-06-11,8213.879590399898
2025-06-12,8258.489902384914
2025-06-13,8124.6596754867205
2025-06-16,8080.050072558559
2025-06-17,7723.169703848995
2025-06-18,7738.040044196285
2025-06-20,7619.080157645381
2025-06-23,8020.570129283107
2025-06-24,8422.060100920833
2025-06-25,8199.009959109462
2025-06-26,9150.689760573543
2025-06-27,8491.967726701912
2025-06-30,8544.767592424569
2025-07-01,7626.047377580819
2025-07-02,7541.567458147225
2025-07-03,8009.727431291756
2025-07-07,7900.607619280037
2025-07-08,8157.567458147225
2025-07-09,8678.527297014412
2025-07-10,8618.687270158944
2025-07-11,8224.447646135506
2025-07-14,8710.20735072535
2025-07-15,9970.367323869881
2025-07-16,10227.327834123787
2025-07-17,10090.047377580819
2025-07-18,10797.567458147225
2025-07-21,10329.407485002694
2025-07-22,9646.527297014412
2025-07-23,9389.567458147225
2025-07-24,9970.367323869881
2025-07-25,9273.407485002694
2025-07-28,9136.127699846444
2025-07-29,8180.447646135506
2025-07-30,8269.457872892013
2025-07-31,8357.208078885666
2025-08-01,8652.857893491378
2025-08-04,8886.407831693283
2025-08-05,9287.357996488205
2025-08-06,9168.558367276779
2025-08-07,9649.158037686935
