,equity
2021-12-07,10000.0
2021-12-08,9801.884118766251
2021-12-09,9639.651696418749
2021-12-10,9974.44169641875
2021-12-13,9713.471696418752
2021-12-14,9553.89169641875
2021-12-15,9582.661696418752
2021-12-16,9607.891696418752
2021-12-17,9347.52169641875
2021-12-20,9165.42169641875
2021-12-21,9438.49169641875
2021-12-22,9493.944350595002
2021-12-23,9566.762233345002
2021-12-27,9814.632233345
2021-12-28,9789.972233345
2021-12-29,9754.252233345002
2021-12-30,9604.172233345003
2021-12-31,9604.552233345003
2022-01-03,9708.682233345002
2022-01-04,10029.612233345002
2022-01-05,9734.082233345003
2022-01-06,9840.592233345003
2022-01-07,9772.362233345004
2022-01-10,9637.036705648754
2022-01-11,9896.317365316254
2022-01-12,9961.757365316253
2022-01-13,9971.777365316255
2022-01-14,10127.477365316254
2022-01-18,9978.047365316253
2022-01-19,9554.827365316252
2022-01-20,9345.102365316254
2022-01-21,8925.712365316253
2022-01-24,8996.915436513755
2022-01-25,9562.545922115005
2022-01-26,9600.631747693755
2022-01-27,9607.591747693754
2022-01-28,9647.001747693754
2022-01-31,9555.200534483754
2022-02-01,9946.160534483755
2022-02-02,9997.010534483754
2022-02-03,9932.080534483754
2022-02-04,10001.270534483754
2022-02-07,10010.180534483754
2022-02-08,9731.130534483753
2022-02-09,9885.960534483753
2022-02-10,9863.540534483753
2022-02-11,10158.990534483753
2022-02-14,9784.940534483754
2022-02-15,9720.920534483754
2022-02-16,9980.430534483754
2022-02-17,10037.880534483753
2022-02-18,9924.400534483753
2022-02-22,9624.860534483754
2022-02-23,9693.630534483755
2022-02-24,9707.940534483752
2022-02-25,9974.957766666254
2022-02-28,10376.464434066254
2022-03-01,10237.237327507504
2022-03-02,10241.177446507505
2022-03-03,10405.367446507504
2022-03-04,10511.717446507504
2022-03-07,10559.007446507503
2022-03-08,10688.917446507503
2022-03-09,10545.617446507506
2022-03-10,10935.762446507504
2022-03-11,10763.342446507504
2022-03-14,10273.142446507503
2022-03-15,10156.952446507505
2022-03-16,10089.842446507504
2022-03-17,10490.685376187505
2022-03-18,10463.939729018752
2022-03-21,10727.643263658752
2022-03-22,10643.563035598752
2022-03-23,10702.793035598752
2022-03-24,10747.823035598754
2022-03-25,10893.813035598752
2022-03-28,10686.483035598754
2022-03-29,10612.323035598754
2022-03-30,10721.183035598753
2022-03-31,10729.443035598755
2022-04-01,10732.823035598754
2022-04-04,10750.613035598753
2022-04-05,10646.583035598753
2022-04-06,10677.443035598755
2022-04-07,10897.653035598756
2022-04-08,11290.173035598753
2022-04-11,11025.423035598753
2022-04-12,11182.763035598755
2022-04-13,11228.833035598753
2022-04-14,11276.353035598755
2022-04-18,11374.415749853755
2022-04-19,11287.966016273755
2022-04-20,11285.156016273753
2022-04-21,10767.366016273754
2022-04-22,10419.386016273753
2022-04-25,10190.326016273753
2022-04-26,10191.474680723755
2022-04-27,10269.904246862503
2022-04-28,10402.376969336254
2022-04-29,10057.949770343754
2022-05-02,10128.680704343753
2022-05-03,10206.889630583753
2022-05-04,10461.757387293754
2022-05-05,10294.676126658755
2022-05-06,10530.036126658753
2022-05-09,9835.336126658754
2022-05-10,9794.436126658755
2022-05-11,9839.826126658754
2022-05-12,9794.954235627503
2022-05-13,9976.104288815004
2022-05-16,10255.017265952501
2022-05-17,10361.757265952503
2022-05-18,10074.197265952504
2022-05-19,10016.737265952504
2022-05-20,10023.557265952502
2022-05-23,10152.227265952504
2022-05-24,10156.467265952502
2022-05-25,10277.677265952503
2022-05-26,10386.447265952504
2022-05-27,10546.997265952505
2022-05-31,10398.587265952503
2022-06-01,10495.557265952504
2022-06-02,10458.677265952503
2022-06-03,10539.207265952504
2022-06-06,10581.067395246253
2022-06-07,10902.088924060005
2022-06-08,10802.665817615005
2022-06-09,10618.045817615004
2022-06-10,10356.075817615007
2022-06-13,9705.115817615006
2022-06-14,9871.445817615004
2022-06-15,9611.655803153755
2022-06-16,9330.350952255005
2022-06-17,9362.216197548756
2022-06-21,9462.176197548757
2022-06-22,9473.593166620007
2022-06-23,9559.624266620005
2022-06-24,9805.913166620005
2022-06-27,9797.522066620006
2022-06-28,9676.254266620006
2022-06-29,9634.013166620005
2022-06-30,9526.333166620005
2022-07-01,9571.313166620006
2022-07-05,9675.722066620005
2022-07-06,9694.793166620006
2022-07-07,9763.612767721255
2022-07-08,9727.396706958754
2022-07-11,9710.161928118756
2022-07-12,9512.801928118755
2022-07-13,9563.791928118757
2022-07-14,9624.691928118757
2022-07-15,9663.331928118756
2022-07-18,9583.431928118756
2022-07-19,9708.201928118757
2022-07-20,9725.851928118756
2022-07-21,9742.271928118755
2022-07-22,9732.671928118754
2022-07-25,9678.001928118756
2022-07-26,9537.171928118754
2022-07-27,9604.971928118755
2022-07-28,9803.289084962506
2022-07-29,9738.490515836256
2022-08-01,9645.159898748754
2022-08-02,9597.059898748756
2022-08-03,9464.479898748754
2022-08-04,9316.159898748756
2022-08-05,9213.739898748754
2022-08-08,9212.008304598756
2022-08-09,9165.357975317505
2022-08-10,9426.382977652505
2022-08-11,9518.925991010005
2022-08-12,9782.336991010005
2022-08-15,9776.806991010004
2022-08-16,9772.696991010005
2022-08-17,9704.226991010004
2022-08-18,9797.556991010004
2022-08-19,9669.206991010004
2022-08-22,9637.936991010003
2022-08-23,9718.046991010004
2022-08-24,9873.696991010003
2022-08-25,10035.978638095004
2022-08-26,9806.628369611251
2022-08-29,9815.088369611254
2022-08-30,9598.428369611252
2022-08-31,9615.278369611253
2022-09-01,9525.998369611252
2022-09-02,9532.795740866253
2022-09-06,9510.044461428753
2022-09-07,9625.701663476255
2022-09-08,9701.857220412505
2022-09-09,9747.317717123753
2022-09-12,9728.356433613753
2022-09-13,9521.446433613752
2022-09-14,9584.666433613753
2022-09-15,9359.826433613753
2022-09-16,9287.967530913753
2022-09-19,9559.027986173754
2022-09-20,9364.927986173752
2022-09-21,9280.537986173753
2022-09-22,9060.797986173753
2022-09-23,8765.077986173754
2022-09-26,8660.679490923754
2022-09-27,8695.494940883755
2022-09-28,8709.524333993755
2022-09-29,8606.042676158755
2022-09-30,8420.582676158756
2022-10-03,8538.292676158755
2022-10-04,8706.182676158754
2022-10-05,8656.756833872507
2022-10-06,8633.835476466256
2022-10-07,8475.225476466258
2022-10-10,8277.385476466257
2022-10-11,8054.395476466256
2022-10-12,8033.195476466257
2022-10-13,8170.3740594675055
2022-10-14,7939.814662859181
2022-10-17,7989.345828421681
2022-10-18,8027.346080270432
2022-10-19,7937.058564231682
2022-10-20,7855.756104844181
2022-10-21,8102.956304844181
2022-10-24,8286.14650484418
2022-10-25,8384.246704844181
2022-10-26,8470.046704844182
2022-10-27,8612.336904844182
2022-10-28,8720.50730484418
2022-10-31,8696.937304844181
2022-11-01,8612.027104844183
2022-11-02,8450.34710484418
2022-11-03,8475.227104844182
2022-11-04,8404.027104844183
2022-11-07,8506.547104844181
2022-11-08,8520.844666894182
2022-11-09,8348.032237009182
2022-11-10,8554.05243700918
2022-11-11,8431.632037009182
2022-11-14,8556.012237009183
2022-11-15,8550.412237009183
2022-11-16,8472.291997749182
2022-11-17,8403.885505269182
2022-11-18,8367.345705269181
2022-11-21,8330.845705269181
2022-11-22,8387.295705269182
2022-11-23,8419.40570526918
2022-11-25,8405.065982234182
2022-11-28,8271.914912504182
2022-11-29,8296.93491250418
2022-11-30,8620.435112504181
2022-12-01,8700.015112504181
2022-12-02,8723.924912504182
2022-12-05,8553.044912504181
2022-12-06,8419.354712504182
2022-12-07,8432.544512504182
2022-12-08,8459.084912504182
2022-12-09,8446.287917138407
2022-12-12,8485.475876844657
2022-12-13,8479.628466688408
2022-12-14,8502.59944141091
2022-12-15,8200.90944141091
2022-12-16,8172.528615727157
2022-12-19,8105.958845927157
2022-12-20,8057.104097087157
2022-12-21,8143.136119837157
2022-12-22,8124.926119837156
2022-12-23,8162.925196414657
2022-12-27,8175.713396414657
2022-12-28,8097.903396414657
2022-12-29,8109.243396414657
2022-12-30,8086.003396414657
2023-01-03,8023.263396414658
2023-01-04,8064.703396414658
2023-01-05,8054.523396414657
2023-01-06,8175.593396414658
2023-01-09,7994.463396414658
2023-01-10,8032.083396414657
2023-01-11,8014.583396414657
2023-01-12,8024.255292114658
2023-01-13,8052.703320303408
2023-01-17,8039.925446503408
2023-01-18,7860.343691503408
2023-01-19,7813.403691503408
2023-01-20,7846.163691503409
2023-01-23,7816.602541248409
2023-01-24,7820.818537217157
2023-01-25,7882.070644652158
2023-01-26,7977.130644652158
2023-01-27,7926.510644652158
2023-01-30,7799.880644652158
2023-01-31,7941.280644652157
2023-02-01,7985.9206446521575
2023-02-02,7846.570644652158
2023-02-03,7832.860644652157
2023-02-06,7866.0510446521575
2023-02-07,8000.321295007159
2023-02-08,7994.858774054659
2023-02-09,8038.525918789659
2023-02-10,7784.225718789659
2023-02-13,7970.425718789657
2023-02-14,8173.645718789659
2023-02-15,8153.405718789659
2023-02-16,7958.1857187896585
2023-02-17,7845.885518789659
2023-02-21,7643.34571878966
2023-02-22,7649.865918789657
2023-02-23,7991.025718789659
2023-02-24,7877.114855639659
2023-02-27,7944.479868045909
2023-02-28,7949.439668045909
2023-03-01,7961.069868045908
2023-03-02,8082.659868045908
2023-03-03,8260.199668045909
2023-03-06,8196.519668045908
2023-03-07,8144.789868045908
2023-03-08,8257.119868045907
2023-03-09,7958.939868045909
2023-03-10,7811.7098680459085
2023-03-13,7661.429868045909
2023-03-14,7832.8846427359085
2023-03-15,7766.3969910059095
2023-03-16,8140.798529660909
2023-03-17,8121.648929660909
2023-03-20,8162.90872966091
2023-03-21,8175.748729660909
2023-03-22,8197.208729660908
2023-03-23,8418.008729660909
2023-03-24,8295.398729660908
2023-03-27,8218.198729660908
2023-03-28,8127.14872966091
2023-03-29,8303.638729660908
2023-03-30,8428.85892966091
2023-03-31,8522.898729660908
2023-04-03,8531.708929660908
2023-04-04,8427.928529660909
2023-04-05,8244.068729660909
2023-04-06,8253.758729660909
2023-04-10,8391.84872966091
2023-04-11,8306.28872966091
2023-04-12,8202.751603962159
2023-04-13,8253.68250090216
2023-04-14,8288.102500902158
2023-04-17,8276.98230090216
2023-04-18,8364.76250090216
2023-04-19,8414.26250090216
2023-04-20,8240.283944974659
2023-04-21,8260.792313594658
2023-04-24,8306.732313594659
2023-04-25,8054.45211359466
2023-04-26,8174.23231359466
2023-04-27,8235.372313594658
2023-04-28,8375.33231359466
2023-05-01,8543.20534244716
