,equity
2021-12-07,10000.0
2021-12-08,9801.884118766251
2021-12-09,9639.651696418749
2021-12-10,9974.44169641875
2021-12-13,9713.471696418752
2021-12-14,9553.89169641875
2021-12-15,9582.661696418752
2021-12-16,9607.891696418752
2021-12-17,9347.52169641875
2021-12-20,9165.42169641875
2021-12-21,9438.49169641875
2021-12-22,9493.944350595002
2021-12-23,9566.762233345002
2021-12-27,9814.632233345
2021-12-28,9789.972233345
2021-12-29,9754.252233345002
2021-12-30,9604.172233345003
2021-12-31,9604.552233345003
2022-01-03,9708.682233345002
2022-01-04,10029.612233345002
2022-01-05,9734.082233345003
2022-01-06,9840.592233345003
2022-01-07,9772.362233345004
2022-01-10,9637.036705648754
2022-01-11,9896.317365316254
2022-01-12,9961.757365316253
2022-01-13,9971.777365316255
2022-01-14,10127.477365316254
2022-01-18,9978.047365316253
2022-01-19,9554.827365316252
2022-01-20,9345.102365316254
2022-01-21,8925.712365316253
2022-01-24,8996.915436513755
2022-01-25,9562.545922115005
2022-01-26,9600.631747693755
2022-01-27,9607.286450081254
2022-01-28,9646.686450081253
2022-01-31,9554.176450081251
2022-02-01,9945.736450081255
2022-02-02,9996.746450081253
2022-02-03,9932.056450081254
2022-02-04,10001.636450081254
2022-02-07,10010.526450081255
2022-02-08,9731.276450081255
2022-02-09,9886.466450081254
2022-02-10,9864.256450081251
2022-02-11,10159.936450081253
2022-02-14,9785.516450081253
2022-02-15,9721.116450081256
2022-02-16,9981.006450081253
2022-02-17,10039.596450081253
2022-02-18,9926.166450081253
2022-02-22,9626.466450081254
2022-02-23,9694.766450081253
2022-02-24,9708.926450081253
2022-02-25,9975.663682263752
2022-02-28,10377.260349663755
2022-03-01,10237.973243105005
2022-03-02,10241.003362105004
2022-03-03,10404.973362105004
2022-03-04,10511.573362105006
2022-03-07,10559.453362105003
2022-03-08,10689.663362105004
2022-03-09,10546.033362105005
2022-03-10,10936.243362105006
2022-03-11,10763.703362105003
2022-03-14,10273.343362105006
2022-03-15,10156.653362105004
2022-03-16,10089.263362105004
2022-03-17,10490.461966277506
2022-03-18,10463.716319108753
2022-03-21,10727.419853748754
2022-03-22,10643.339625688754
2022-03-23,10702.569625688753
2022-03-24,10747.599625688756
2022-03-25,10893.589625688754
2022-03-28,10686.259625688755
2022-03-29,10612.099625688756
2022-03-30,10720.959625688754
2022-03-31,10729.219625688756
2022-04-01,10732.599625688756
2022-04-04,10750.389625688755
2022-04-05,10646.359625688754
2022-04-06,10677.219625688755
2022-04-07,10897.429625688754
2022-04-08,11289.949625688754
2022-04-11,11025.199625688754
2022-04-12,11182.539625688754
2022-04-13,11228.609625688754
2022-04-14,11276.129625688754
2022-04-18,11374.192339943756
2022-04-19,11287.742606363756
2022-04-20,11284.932606363755
2022-04-21,10767.142606363755
2022-04-22,10419.162606363754
2022-04-25,10190.102606363755
2022-04-26,10191.251270813755
2022-04-27,10204.659519603754
2022-04-28,10342.553376913756
2022-04-29,10047.996092628757
2022-05-02,10138.127026628756
2022-05-03,10368.447665353755
2022-05-04,10693.537665353755
2022-05-05,10516.877665353755
2022-05-06,10712.327665353756
2022-05-09,10004.217665353757
2022-05-10,10140.437665353757
2022-05-11,10173.027665353757
2022-05-12,10082.034849268757
2022-05-13,10120.086118617508
2022-05-16,10299.916118617508
2022-05-17,10389.106118617507
2022-05-18,10186.106118617507
2022-05-19,10139.936118617507
2022-05-20,10168.436118617507
2022-05-23,10233.666118617508
2022-05-24,10285.076118617506
2022-05-25,10339.206118617507
2022-05-26,10346.886118617507
2022-05-27,10417.586118617508
2022-05-31,10306.75611861751
2022-06-01,10311.046118617507
2022-06-02,10308.136118617507
2022-06-03,10299.736118617508
2022-06-06,10390.726637436257
2022-06-07,10617.937538836259
2022-06-08,10485.015750361259
2022-06-09,10270.217013251258
2022-06-10,10074.077013251259
2022-06-13,9548.75701325126
2022-06-14,9656.677013251257
2022-06-15,9438.39736326876
2022-06-16,9221.706729223759
2022-06-17,9212.955215300008
2022-06-21,9361.52521530001
2022-06-22,9421.52521530001
2022-06-23,9517.256215300007
2022-06-24,9785.305215300008
2022-06-27,9705.804215300008
2022-06-28,9630.216215300006
2022-06-29,9588.60521530001
2022-06-30,9489.915215300007
2022-07-01,9557.715215300008
2022-07-05,9656.044215300008
2022-07-06,9677.555215300008
2022-07-07,9752.957579937509
2022-07-08,9733.238920856258
2022-07-11,9736.158920856256
2022-07-12,9590.198920856257
2022-07-13,9601.468920856258
2022-07-14,9599.158920856258
2022-07-15,9661.338920856257
2022-07-18,9564.358920856257
2022-07-19,9709.798920856258
2022-07-20,9682.048920856258
2022-07-21,9724.078920856258
2022-07-22,9746.538920856257
2022-07-25,9742.958920856256
2022-07-26,9680.088920856257
2022-07-27,9708.008920856257
2022-07-28,9810.715214962507
2022-07-29,9887.531252100007
2022-08-01,9952.975180953757
2022-08-02,9943.40518095376
2022-08-03,9948.72518095376
2022-08-04,10239.855180953758
2022-08-05,10330.595180953758
2022-08-08,10253.30003607251
2022-08-09,10213.813492801259
2022-08-10,10479.573492801257
2022-08-11,10378.073492801257
2022-08-12,10561.67349280126
2022-08-15,10655.683492801258
2022-08-16,10571.603492801256
2022-08-17,10637.293492801258
2022-08-18,10567.703492801258
2022-08-19,10428.063492801259
2022-08-22,10327.883492801258
2022-08-23,10278.373492801258
2022-08-24,10379.28349280126
2022-08-25,10501.818302716258
2022-08-26,10177.277600653757
2022-08-29,10108.587600653758
2022-08-30,10124.277600653757
2022-08-31,10180.907600653758
2022-09-01,10134.386666028759
2022-09-02,10032.364351388758
2022-09-06,10135.925142041258
2022-09-07,10382.940827181259
2022-09-08,10479.710827181258
2022-09-09,10455.940827181259
2022-09-12,10479.01082718126
2022-09-13,10229.29082718126
2022-09-14,10278.000827181259
2022-09-15,10168.430827181259
2022-09-16,10125.26414394126
2022-09-19,10294.42650482876
2022-09-20,10082.246504828761
2022-09-21,10001.42650482876
2022-09-22,9705.41650482876
2022-09-23,9334.20650482876
2022-09-26,9176.69650482876
2022-09-27,9283.74720670001
2022-09-28,9269.90613186251
2022-09-29,9188.73656895501
2022-09-30,9169.35656895501
2022-10-03,9145.80656895501
2022-10-04,9223.99656895501
2022-10-05,9188.07656895501
2022-10-06,9201.426568955008
2022-10-07,9130.49656895501
2022-10-10,9089.58656895501
2022-10-11,9106.75656895501
2022-10-12,9085.37656895501
2022-10-13,9260.716568955011
2022-10-14,9213.97656895501
2022-10-17,9261.55656895501
2022-10-18,9281.01656895501
2022-10-19,9199.93656895501
2022-10-20,9184.21656895501
2022-10-21,9294.17656895501
2022-10-24,9392.95656895501
2022-10-25,9404.93656895501
2022-10-26,9499.19656895501
2022-10-27,9469.53656895501
2022-10-28,9542.31656895501
2022-10-31,9548.656568955012
2022-11-01,9464.39656895501
2022-11-02,9465.31656895501
2022-11-03,9520.67656895501
2022-11-04,9507.61656895501
2022-11-07,9575.976568955011
2022-11-08,9597.836568955012
2022-11-09,9546.696568955009
2022-11-10,9646.51656895501
2022-11-11,9537.996568955012
2022-11-14,9643.31656895501
2022-11-15,9612.416568955008
2022-11-16,9632.13656895501
2022-11-17,9695.49656895501
2022-11-18,9707.616568955009
2022-11-21,9694.536568955009
2022-11-22,9733.51656895501
2022-11-23,9712.39656895501
2022-11-25,9747.17656895501
2022-11-28,9644.29656895501
2022-11-29,9629.456568955009
2022-11-30,9782.31656895501
2022-12-01,9751.25656895501
2022-12-02,9754.23656895501
2022-12-05,9672.21656895501
2022-12-06,9657.47656895501
2022-12-07,9683.49656895501
2022-12-08,9658.01656895501
2022-12-09,9563.37656895501
2022-12-12,9642.696568955009
2022-12-13,9609.97671270501
2022-12-14,9689.00977429751
2022-12-15,9632.579774297512
2022-12-16,9613.149774297512
2022-12-19,9560.04977429751
2022-12-20,9577.969774297511
2022-12-21,9640.01977429751
2022-12-22,9623.81977429751
2022-12-23,9657.94977429751
2022-12-27,9705.73977429751
2022-12-28,9658.76977429751
2022-12-29,9699.989774297512
2022-12-30,9679.389774297511
2023-01-03,9576.26977429751
2023-01-04,9598.729774297512
2023-01-05,9536.469774297511
2023-01-06,9599.459774297511
2023-01-09,9532.629774297511
2023-01-10,9546.76977429751
2023-01-11,9562.309774297511
2023-01-12,9590.059774297511
2023-01-13,9591.539774297511
2023-01-17,9564.879774297511
2023-01-18,9486.559774297511
2023-01-19,9452.249774297512
2023-01-20,9457.67977429751
2023-01-23,9468.72304891501
2023-01-24,9447.686468657512
2023-01-25,9481.13265666876
2023-01-26,9548.962656668762
2023-01-27,9523.202656668762
2023-01-30,9393.352656668761
2023-01-31,9488.482656668763
2023-02-01,9559.672656668761
2023-02-02,9565.412656668761
2023-02-03,9558.48265666876
2023-02-06,9527.123356668762
2023-02-07,9550.012656668761
2023-02-08,9578.852656668761
2023-02-09,9652.912656668761
2023-02-10,9547.982656668763
2023-02-13,9639.892656668762
2023-02-14,9645.422656668761
2023-02-15,9642.622656668762
2023-02-16,9567.862656668762
2023-02-17,9559.952656668762
2023-02-21,9447.672656668761
2023-02-22,9440.252656668761
2023-02-23,9323.21265666876
2023-02-24,9280.108646156263
2023-02-27,9250.847924568763
2023-02-28,9293.027924568763
2023-03-01,9327.257924568763
2023-03-02,9407.687924568763
2023-03-03,9510.347924568763
2023-03-06,9471.077924568763
2023-03-07,9400.457924568764
2023-03-08,9488.807924568762
2023-03-09,9339.647924568762
2023-03-10,9270.167924568763
2023-03-13,9226.367924568764
2023-03-14,9368.777924568763
2023-03-15,9323.343360412513
2023-03-16,9483.235018050013
2023-03-17,9508.315018050012
2023-03-20,9504.985018050013
2023-03-21,9519.355018050013
2023-03-22,9501.325018050013
2023-03-23,9600.895018050012
2023-03-24,9580.495018050013
2023-03-27,9528.775018050012
2023-03-28,9526.585018050013
2023-03-29,9590.12501805001
2023-03-30,9646.07501805001
2023-03-31,9702.115018050012
2023-04-03,9706.255018050011
2023-04-04,9678.955018050012
2023-04-05,9300.175018050011
2023-04-06,9347.515018050011
2023-04-10,9350.755018050011
2023-04-11,9308.318234025011
2023-04-12,9234.778768770011
2023-04-13,9289.048768770012
2023-04-14,9325.858768770011
2023-04-17,9324.148768770012
2023-04-18,9375.268768770013
2023-04-19,9379.318768770012
2023-04-20,9281.218768770012
2023-04-21,9280.948768770011
2023-04-24,9273.118768770013
2023-04-25,9153.868768770013
2023-04-26,9234.868768770011
2023-04-27,9521.608768770013
2023-04-28,9584.518768770013
2023-05-01,9714.748768770012
2023-05-02,9616.288768770011
