,equity
2015-05-29,10000.0
2015-06-01,9990.71526187675
2015-06-02,10005.435261876752
2015-06-03,9969.675261876751
2015-06-04,10028.95526187675
2015-06-05,10152.281261876751
2015-06-08,10055.691261876751
2015-06-09,10374.12526187675
2015-06-10,10757.4316372305
2015-06-11,10670.3916372305
2015-06-12,10594.711637230499
2015-06-15,10484.1516372305
2015-06-16,10690.3916372305
2015-06-17,10578.2316372305
2015-06-18,10631.031637230499
2015-06-19,10533.4316372305
2015-06-22,10818.2316372305
2015-06-23,10918.871637230499
2015-06-24,10877.5916372305
2015-06-25,10647.6716372305
2015-06-26,10445.7516372305
2015-06-29,10349.7676372305
2015-06-30,10530.871637230499
2015-07-01,10608.8834667325
2015-07-02,10573.184996770002
2015-07-06,10566.624996770002
2015-07-07,10215.264996770002
2015-07-08,9815.739996770002
2015-07-09,9833.169996770004
2015-07-10,9882.039996770003
2015-07-13,9973.94326394063
2015-07-14,9867.257644134002
2015-07-15,9664.015644134002
2015-07-16,11281.610644134003
2015-07-17,11187.890644134
2015-07-20,10814.380644134002
2015-07-21,10990.430644134003
2015-07-22,10894.310644134004
2015-07-23,10765.950644134004
2015-07-24,10680.517997624005
2015-07-27,10412.507997624003
2015-07-28,10468.791542502751
2015-07-29,10480.041542502755
2015-07-30,10394.727888714004
2015-07-31,10389.055790934004
2015-08-03,10436.625790934002
2015-08-04,10364.365790934004
2015-08-05,10430.465790934002
2015-08-06,10045.555790934002
2015-08-07,9982.255790934003
2015-08-10,10118.135790934002
2015-08-11,9984.902521390253
2015-08-12,10027.787892701504
2015-08-13,10165.779293060254
2015-08-14,10203.709293060254
2015-08-17,10289.549293060252
2015-08-18,10256.259293060253
2015-08-19,10150.609293060254
2015-08-20,9659.409293060253
2015-08-21,9197.969293060252
2015-08-24,8469.196259320253
2015-08-25,8823.990001240254
2015-08-26,8930.418100840256
2015-08-27,8935.943628701505
2015-08-28,8897.383628701506
2015-08-31,8777.423628701505
2015-09-01,8598.703628701503
2015-09-02,8793.803628701506
2015-09-03,8708.973628701504
2015-09-04,8655.203628701505
2015-09-08,8820.703628701505
2015-09-09,8734.893628701506
2015-09-10,8872.043628701505
2015-09-11,9002.223628701504
2015-09-14,8986.043628701505
2015-09-15,9090.163628701504
2015-09-16,9122.393628701506
2015-09-17,9136.992318704004
2015-09-18,9027.812318704006
