,equity
2015-05-29,10000.0
2015-06-01,10000.0
2015-06-02,10000.0
2015-06-03,10000.0
2015-06-04,10000.0
2015-06-05,10000.0
2015-06-08,10000.0
2015-06-09,10000.0
2015-06-10,10000.0
2015-06-11,10000.0
2015-06-12,10000.0
2015-06-15,10000.0
2015-06-16,10000.0
2015-06-17,10000.0
2015-06-18,10000.0
2015-06-19,10000.0
2015-06-22,10000.0
2015-06-23,10000.0
2015-06-24,10000.0
2015-06-25,10000.0
2015-06-26,10000.0
2015-06-29,10000.0
2015-06-30,10000.0
2015-07-01,10000.0
2015-07-02,10000.0
2015-07-06,10000.0
2015-07-07,10000.0
2015-07-08,10000.0
2015-07-09,10000.0
2015-07-10,10000.0
2015-07-13,10000.0
2015-07-14,10000.0
2015-07-15,10000.0
2015-07-16,10000.0
2015-07-17,9757.00337137
2015-07-20,9402.523371369998
2015-07-21,9567.16337137
2015-07-22,9482.32337137
2015-07-23,9364.723371369999
2015-07-24,9300.883371369999
2015-07-27,9056.44337137
2015-07-28,9095.92337137
2015-07-29,9111.043371369999
2015-07-30,9487.36337137
2015-07-31,9718.36337137
2015-08-03,9571.36337137
2015-08-04,10292.92337137
2015-08-05,10507.963371369999
2015-08-06,10738.12337137
2015-08-07,10492.00337137
2015-08-10,10450.84337137
2015-08-11,10426.483371369999
2015-08-12,10239.16337137
2015-08-13,10509.643371369999
2015-08-14,10481.08337137
2015-08-17,10646.563371369999
2015-08-18,10536.523371369998
2015-08-19,10369.36337137
2015-08-20,9565.483371369999
2015-08-21,8848.963371369999
2015-08-24,7550.830508245001
2015-08-25,7550.830508245001
2015-08-26,7550.830508245001
2015-08-27,7550.830508245001
2015-08-28,7538.03860762
2015-08-31,7466.358607620001
2015-09-01,7237.458607620001
2015-09-02,7433.598607620001
2015-09-03,7351.978607620001
2015-09-04,7271.898607620001
2015-09-08,7531.45860762
2015-09-09,7522.358607620001
2015-09-10,7597.258607620001
2015-09-11,7698.058607620002
2015-09-14,7585.2186076200005
2015-09-15,7599.078607620001
2015-09-16,7669.358607620001
2015-09-17,7830.078607620001
2015-09-18,7849.53860762
2015-09-21,7963.358607620001
2015-09-22,7823.49860762
2015-09-23,7790.878607620001
2015-09-24,7758.398607620001
2015-09-25,7625.398607620001
2015-09-28,7342.738607620001
2015-09-29,7230.87860762
2015-09-30,7342.607128300002
2015-10-01,7342.607128300002
2015-10-02,7342.607128300002
2015-10-05,7342.607128300002
2015-10-06,7342.607128300002
2015-10-07,7342.607128300002
2015-10-08,7342.607128300002
2015-10-09,7342.607128300002
2015-10-12,7342.607128300002
2015-10-13,7342.607128300002
2015-10-14,7342.607128300002
2015-10-15,7342.607128300002
