label,start,end,initial_equity,final_equity,total_return,total_return_display,qqq_return,qqq_return_display,alpha,alpha_display,cagr,cagr_display,mdd,mdd_display,sharpe,sharpe_display,calmar,calmar_display,win_rate,win_rate_display,payoff_ratio,payoff_display,trade_count,data_quality,data_version,price_mode,unresolved_corporate_action_count,stress_scenario,stress_description,scenario,description,param_entry,param_market_filter,param_asset_filter,param_rs_method,param_rs_period,param_sell_confirm_bars,param_hurdle,param_max_positions,param_st_period,param_st_multiplier,param_min_rotation_profit_pct,stress_cost_multiplier,stress_entry_delay_bars,stress_exit_delay_bars,stress_entry_price_penalty,stress_exit_price_penalty
baseline,2015-10-19 00:00:00,2026-07-15 00:00:00,10000.0,2867338.442308837,285.73384423088373,+28573.38%,6.145455415200001,+614.55%,279.58838881568374,+27958.84%,0.6937969382439999,+69.38%,-0.40802394666584685,-40.80%,1.3041111915556405,1.30,1.7003828915271686,1.70,0.7232142857142857,+72.32%,1.4340797930451792,1.43,112,degraded,adjustment_factors=release-exact-factors-20260715-da009d5f18a94da6b137a488279a51be-adjustment_factors;corporate_actions=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-corporate_actions;daily_price_raw=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-daily_price_raw;release=20260715-20260719T130946573430Z;symbol_history=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-symbol_history,total_return_adjusted,0,baseline,Current fee/slippage,baseline,Current fee/slippage,single,1d,ichimoku_cloud+ema_trend,dual_momentum,150,1,2.0,1,10,3.0,0.0,,,,,
cost_2x,2015-10-19 00:00:00,2026-07-15 00:00:00,10000.0,1892020.3062260565,188.20203062260566,+18820.20%,6.145455415200001,+614.55%,182.05657520740567,+18205.66%,0.6294712304975789,+62.95%,-0.4132150603838628,-41.32%,1.2273412999466593,1.23,1.5233501651968384,1.52,0.7155963302752294,+71.56%,1.372227032330709,1.37,109,degraded,adjustment_factors=release-exact-factors-20260715-da009d5f18a94da6b137a488279a51be-adjustment_factors;corporate_actions=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-corporate_actions;daily_price_raw=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-daily_price_raw;release=20260715-20260719T130946573430Z;symbol_history=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-symbol_history,total_return_adjusted,0,cost_2x,Fee/slippage multiplied by 2,cost_2x,Fee/slippage multiplied by 2,single,1d,ichimoku_cloud+ema_trend,dual_momentum,150,1,2.0,1,10,3.0,0.0,2.0,,,,
cost_3x,2015-10-19 00:00:00,2026-07-15 00:00:00,10000.0,1449692.314792498,143.9692314792498,+14396.92%,6.145455415200001,+614.55%,137.8237760640498,+13782.38%,0.5895580376616396,+58.96%,-0.4185791971560999,-41.86%,1.1776732434869657,1.18,1.4084742903307181,1.41,0.7169811320754716,+71.70%,1.2955338203706341,1.30,106,degraded,adjustment_factors=release-exact-factors-20260715-da009d5f18a94da6b137a488279a51be-adjustment_factors;corporate_actions=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-corporate_actions;daily_price_raw=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-daily_price_raw;release=20260715-20260719T130946573430Z;symbol_history=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-symbol_history,total_return_adjusted,0,cost_3x,Fee/slippage multiplied by 3,cost_3x,Fee/slippage multiplied by 3,single,1d,ichimoku_cloud+ema_trend,dual_momentum,150,1,2.0,1,10,3.0,0.0,3.0,,,,
cost_5x,2015-10-19 00:00:00,2026-07-15 00:00:00,10000.0,741697.8426111251,73.16978426111251,+7316.98%,6.145455415200001,+614.55%,67.0243288459125,+6702.43%,0.4933838403998927,+49.34%,-0.42873322410983994,-42.87%,1.0555096025673276,1.06,1.1507945096260828,1.15,0.6796116504854369,+67.96%,1.3916221472883652,1.39,103,degraded,adjustment_factors=release-exact-factors-20260715-da009d5f18a94da6b137a488279a51be-adjustment_factors;corporate_actions=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-corporate_actions;daily_price_raw=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-daily_price_raw;release=20260715-20260719T130946573430Z;symbol_history=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-symbol_history,total_return_adjusted,0,cost_5x,Fee/slippage multiplied by 5,cost_5x,Fee/slippage multiplied by 5,single,1d,ichimoku_cloud+ema_trend,dual_momentum,150,1,2.0,1,10,3.0,0.0,5.0,,,,
entry_delay_1d,2015-10-19 00:00:00,2026-07-15 00:00:00,10000.0,579109.655462144,56.91096554621439,+5691.10%,6.145455415200001,+614.55%,50.765510131014395,+5076.55%,0.4593628282756923,+45.94%,-0.4702980545256067,-47.03%,1.0225987424992187,1.02,0.9767483064310253,0.98,0.6371681415929203,+63.72%,1.709703915463636,1.71,113,degraded,adjustment_factors=release-exact-factors-20260715-da009d5f18a94da6b137a488279a51be-adjustment_factors;corporate_actions=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-corporate_actions;daily_price_raw=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-daily_price_raw;release=20260715-20260719T130946573430Z;symbol_history=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-symbol_history,total_return_adjusted,0,entry_delay_1d,Buy execution delayed by one extra trading session,entry_delay_1d,Buy execution delayed by one extra trading session,single,1d,ichimoku_cloud+ema_trend,dual_momentum,150,1,2.0,1,10,3.0,0.0,,1.0,,,
exit_delay_1d,2015-10-19 00:00:00,2026-07-15 00:00:00,10000.0,1127771.268223104,111.77712682231041,+11177.71%,6.145455415200001,+614.55%,105.6316714071104,+10563.17%,0.5528170030895487,+55.28%,-0.5111242974001522,-51.11%,1.1430661975188647,1.14,1.0815705805837594,1.08,0.6486486486486487,+64.86%,1.7425296647200568,1.74,111,degraded,adjustment_factors=release-exact-factors-20260715-da009d5f18a94da6b137a488279a51be-adjustment_factors;corporate_actions=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-corporate_actions;daily_price_raw=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-daily_price_raw;release=20260715-20260719T130946573430Z;symbol_history=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-symbol_history,total_return_adjusted,0,exit_delay_1d,Sell execution delayed by one extra trading session,exit_delay_1d,Sell execution delayed by one extra trading session,single,1d,ichimoku_cloud+ema_trend,dual_momentum,150,1,2.0,1,10,3.0,0.0,,,1.0,,
entry_exit_delay_1d,2015-10-19 00:00:00,2026-07-15 00:00:00,10000.0,363882.8565557642,35.388285655576425,+3538.83%,6.145455415200001,+614.55%,29.242830240376424,+2924.28%,0.3975585809003175,+39.76%,-0.5015123477058792,-50.15%,0.9427937857512938,0.94,0.7927194269870157,0.79,0.5963302752293578,+59.63%,1.6848673240969554,1.68,109,degraded,adjustment_factors=release-exact-factors-20260715-da009d5f18a94da6b137a488279a51be-adjustment_factors;corporate_actions=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-corporate_actions;daily_price_raw=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-daily_price_raw;release=20260715-20260719T130946573430Z;symbol_history=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-symbol_history,total_return_adjusted,0,entry_exit_delay_1d,Buy and sell execution delayed by one extra trading session,entry_exit_delay_1d,Buy and sell execution delayed by one extra trading session,single,1d,ichimoku_cloud+ema_trend,dual_momentum,150,1,2.0,1,10,3.0,0.0,,1.0,1.0,,
entry_exit_open_worse_0p5pct,2015-10-19 00:00:00,2026-07-15 00:00:00,10000.0,856061.2659418856,84.60612659418857,+8460.61%,6.145455415200001,+614.55%,78.46067117898856,+7846.07%,0.5134611908691662,+51.35%,-0.4252552292392451,-42.53%,1.0820337682125956,1.08,1.2074188759247384,1.21,0.6601941747572816,+66.02%,1.541268829837359,1.54,103,degraded,adjustment_factors=release-exact-factors-20260715-da009d5f18a94da6b137a488279a51be-adjustment_factors;corporate_actions=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-corporate_actions;daily_price_raw=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-daily_price_raw;release=20260715-20260719T130946573430Z;symbol_history=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-symbol_history,total_return_adjusted,0,entry_exit_open_worse_0p5pct,Buy and sell fills 0.5% worse than open,entry_exit_open_worse_0p5pct,Buy and sell fills 0.5% worse than open,single,1d,ichimoku_cloud+ema_trend,dual_momentum,150,1,2.0,1,10,3.0,0.0,,,,0.005,0.005
execution_full_stress,2015-10-19 00:00:00,2026-07-15 00:00:00,10000.0,142675.37464332394,13.267537464332394,+1326.75%,6.145455415200001,+614.55%,7.122082049132393,+712.21%,0.28086335144586716,+28.09%,-0.5934806268972543,-59.35%,0.7494371459397197,0.75,0.4732477164658844,0.47,0.5196078431372549,+51.96%,2.0189462158200375,2.02,102,degraded,adjustment_factors=release-exact-factors-20260715-da009d5f18a94da6b137a488279a51be-adjustment_factors;corporate_actions=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-corporate_actions;daily_price_raw=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-daily_price_raw;release=20260715-20260719T130946573430Z;symbol_history=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-symbol_history,total_return_adjusted,0,execution_full_stress,One-day buy/sell delay and 0.5% worse open fills,execution_full_stress,One-day buy/sell delay and 0.5% worse open fills,single,1d,ichimoku_cloud+ema_trend,dual_momentum,150,1,2.0,1,10,3.0,0.0,,1.0,1.0,0.005,0.005
cost_2x_execution_full_stress,2015-10-19 00:00:00,2026-07-15 00:00:00,10000.0,110436.9540780617,10.043695407806169,+1004.37%,6.145455415200001,+614.55%,3.898239992606168,+389.82%,0.25067274988263755,+25.07%,-0.6073718022643818,-60.74%,0.7002805968363097,0.70,0.41271713462509846,0.41,0.5047619047619047,+50.48%,2.0038479812979464,2.00,105,degraded,adjustment_factors=release-exact-factors-20260715-da009d5f18a94da6b137a488279a51be-adjustment_factors;corporate_actions=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-corporate_actions;daily_price_raw=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-daily_price_raw;release=20260715-20260719T130946573430Z;symbol_history=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-symbol_history,total_return_adjusted,0,cost_2x_execution_full_stress,2x costs plus full execution stress,cost_2x_execution_full_stress,2x costs plus full execution stress,single,1d,ichimoku_cloud+ema_trend,dual_momentum,150,1,2.0,1,10,3.0,0.0,2.0,1.0,1.0,0.005,0.005
