,equity
2015-10-19,10000.0
2015-10-20,9796.369138000002
2015-10-21,9709.499138000003
2015-10-22,9847.879138000002
2015-10-23,10444.919138000003
2015-10-26,10607.779138000004
2015-10-27,10648.579138000003
2015-10-28,10752.109138000003
2015-10-29,10912.759138000001
2015-10-30,10901.709138000002
2015-11-02,10943.359138000003
2015-11-03,10891.679138000001
2015-11-04,11157.559138000004
2015-11-05,11204.386764600005
2015-11-06,11259.266764600006
2015-11-09,10847.666764600006
2015-11-10,11125.986764600006
2015-11-11,11141.666764600006
2015-11-12,10755.546764600005
2015-11-13,10239.086764600006
2015-11-16,10993.686764600005
2015-11-17,11557.186764600005
2015-11-18,11903.126764600005
2015-11-19,11862.946764600005
2015-11-20,12217.706764600005
2015-11-23,12334.326764600006
2015-11-24,12165.766764600006
2015-11-25,12249.066764600006
2015-11-27,12374.506764600004
2015-11-30,12167.726764600005
2015-12-01,12367.646764600006
2015-12-02,12285.560234370008
2015-12-03,12042.360234370008
2015-12-04,12448.760234370007
2015-12-07,12384.760234370007
2015-12-08,12599.160234370009
2015-12-09,12352.76023437001
2015-12-10,12285.560234370008
2015-12-11,11914.360234370008
2015-12-14,12151.160234370009
2015-12-15,12391.160234370009
2015-12-16,12551.160234370009
2015-12-17,12442.360234370008
2015-12-18,12314.360234370008
2015-12-21,12400.76023437001
2015-12-22,12551.160234370009
2015-12-23,12432.76023437001
2015-12-24,12458.36023437001
2015-12-28,12493.560234370008
2015-12-29,12669.560234370007
2015-12-30,12621.560234370008
2015-12-31,12391.160234370009
2016-01-04,12042.360234370008
2016-01-05,11888.760234370007
2016-01-06,11776.760234370007
2016-01-07,11610.36023437001
2016-01-08,11759.106920770007
2016-01-11,11759.106920770007
2016-01-12,11759.106920770007
2016-01-13,11759.106920770007
2016-01-14,11759.106920770007
2016-01-15,11759.106920770007
2016-01-19,11759.106920770007
2016-01-20,11759.106920770007
2016-01-21,11759.106920770007
2016-01-22,11759.106920770007
2016-01-25,11759.106920770007
2016-01-26,11759.106920770007
2016-01-27,11759.106920770007
2016-01-28,11759.106920770007
2016-01-29,11759.106920770007
2016-02-01,11759.106920770007
2016-02-02,11759.106920770007
2016-02-03,11759.106920770007
2016-02-04,11759.106920770007
2016-02-05,11759.106920770007
2016-02-08,11759.106920770007
2016-02-09,11759.106920770007
2016-02-10,11759.106920770007
2016-02-11,11759.106920770007
2016-02-12,11759.106920770007
2016-02-16,11759.106920770007
2016-02-17,11759.106920770007
2016-02-18,11759.106920770007
2016-02-19,11759.106920770007
2016-02-22,11759.106920770007
2016-02-23,11759.106920770007
2016-02-24,11759.106920770007
2016-02-25,11759.106920770007
2016-02-26,11759.106920770007
2016-02-29,11759.106920770007
2016-03-01,11759.106920770007
2016-03-02,11874.71325817001
2016-03-03,11770.31325817001
2016-03-04,11734.313258170008
2016-03-07,11658.713258170012
2016-03-08,11446.31325817001
2016-03-09,11439.11325817001
2016-03-10,11421.11325817001
2016-03-11,11615.513258170009
2016-03-14,11644.313258170008
2016-03-15,11586.71325817001
2016-03-16,11932.31325817001
2016-03-17,11831.51325817001
2016-03-18,11881.798885640015
2016-03-21,11816.638885640015
2016-03-22,11679.078885640014
2016-03-23,11769.578885640014
2016-03-24,11726.138885640015
2016-03-28,11736.998885640016
2016-03-29,11881.798885640015
2016-03-30,12175.018885640016
2016-03-31,11898.032884250018
2016-04-01,12053.472884250019
2016-04-04,11932.872884250019
2016-04-05,11750.632884250019
2016-04-06,11753.312884250017
2016-04-07,11656.832884250018
2016-04-08,11943.592884250018
2016-04-11,12278.592884250018
2016-04-12,12597.512884250018
2016-04-13,13090.632884250019
2016-04-14,13093.312884250017
2016-04-15,12916.432884250018
2016-04-18,13066.512884250018
2016-04-19,12838.712884250019
2016-04-20,13004.872884250019
2016-04-21,12688.632884250019
2016-04-22,12664.512884250018
2016-04-25,12369.712884250019
2016-04-26,12208.91288425002
2016-04-27,12120.472884250019
2016-04-28,12115.112884250018
2016-04-29,11723.832884250018
2016-05-02,11692.927601290019
2016-05-03,11692.927601290019
2016-05-04,11692.927601290019
2016-05-05,11692.927601290019
2016-05-06,11692.927601290019
2016-05-09,11692.927601290019
2016-05-10,11692.927601290019
2016-05-11,11692.927601290019
2016-05-12,11692.927601290019
2016-05-13,11692.927601290019
2016-05-16,11692.927601290019
2016-05-17,11692.927601290019
2016-05-18,11692.927601290019
2016-05-19,11692.927601290019
2016-05-20,11692.927601290019
2016-05-23,11692.927601290019
2016-05-24,11692.927601290019
2016-05-25,11692.927601290019
2016-05-26,11778.610014040021
2016-05-27,11843.110014040021
2016-05-31,12054.670014040023
2016-06-01,12077.890014040024
2016-06-02,12163.030014040023
2016-06-03,11992.75001404002
2016-06-06,11930.830014040022
2016-06-07,11954.050014040022
2016-06-08,11915.350014040023
2016-06-09,12224.950014040023
2016-06-10,11920.510014040023
2016-06-13,12072.730014040022
2016-06-14,12095.950014040023
