,equity
2015-10-19,10000.0
2015-10-20,9781.768552000001
2015-10-21,9694.898552000002
2015-10-22,9833.278552000002
2015-10-23,10430.318552000002
2015-10-26,10593.178552000003
2015-10-27,10633.978552000002
2015-10-28,10737.508552000003
2015-10-29,10898.158552
2015-10-30,10887.108552000002
2015-11-02,10928.758552000003
2015-11-03,10877.078552
2015-11-04,11142.958552000004
2015-11-05,11156.563658400002
2015-11-06,11211.443658400003
2015-11-09,10799.843658400003
2015-11-10,11078.163658400003
2015-11-11,11093.843658400003
2015-11-12,10707.723658400002
2015-11-13,10191.263658400003
2015-11-16,10945.863658400001
2015-11-17,11509.363658400001
2015-11-18,11855.303658400002
2015-11-19,11815.123658400002
2015-11-20,12169.883658400002
2015-11-23,12286.503658400003
2015-11-24,12117.943658400003
2015-11-25,12201.243658400002
2015-11-27,12326.683658400001
2015-11-30,12119.903658400002
2015-12-01,12319.823658400002
2015-12-02,12201.687918900006
2015-12-03,11960.767918900005
2015-12-04,12363.357918900007
2015-12-07,12299.957918900005
2015-12-08,12512.347918900005
2015-12-09,12268.257918900006
2015-12-10,12201.687918900006
2015-12-11,11833.967918900005
2015-12-14,12068.547918900005
2015-12-15,12306.297918900005
2015-12-16,12464.797918900005
2015-12-17,12357.017918900005
2015-12-18,12230.217918900005
2015-12-21,12315.807918900005
2015-12-22,12464.797918900005
2015-12-23,12347.507918900006
2015-12-24,12372.867918900007
2015-12-28,12407.737918900006
2015-12-29,12582.087918900004
2015-12-30,12534.537918900005
2015-12-31,12306.297918900005
2016-01-04,11960.767918900005
2016-01-05,11808.607918900007
2016-01-06,11697.657918900006
2016-01-07,11532.817918900006
2016-01-08,11662.693953760003
2016-01-11,11662.693953760003
2016-01-12,11662.693953760003
2016-01-13,11662.693953760003
2016-01-14,11662.693953760003
2016-01-15,11662.693953760003
2016-01-19,11662.693953760003
2016-01-20,11662.693953760003
2016-01-21,11662.693953760003
2016-01-22,11662.693953760003
2016-01-25,11662.693953760003
2016-01-26,11662.693953760003
2016-01-27,11662.693953760003
2016-01-28,11662.693953760003
2016-01-29,11662.693953760003
2016-02-01,11662.693953760003
2016-02-02,11662.693953760003
2016-02-03,11662.693953760003
2016-02-04,11662.693953760003
2016-02-05,11662.693953760003
2016-02-08,11662.693953760003
2016-02-09,11662.693953760003
2016-02-10,11662.693953760003
2016-02-11,11662.693953760003
2016-02-12,11662.693953760003
2016-02-16,11662.693953760003
2016-02-17,11662.693953760003
2016-02-18,11662.693953760003
2016-02-19,11662.693953760003
2016-02-22,11662.693953760003
2016-02-23,11662.693953760003
2016-02-24,11662.693953760003
2016-02-25,11662.693953760003
2016-02-26,11662.693953760003
2016-02-29,11662.693953760003
2016-03-01,11662.693953760003
2016-03-02,11759.878228780002
2016-03-03,11656.348228780002
2016-03-04,11620.64822878
2016-03-07,11545.678228780003
2016-03-08,11335.048228780002
2016-03-09,11327.908228780003
2016-03-10,11310.058228780003
2016-03-11,11502.838228780001
2016-03-14,11531.39822878
2016-03-15,11474.278228780002
2016-03-16,11816.998228780003
2016-03-17,11717.038228780002
2016-03-18,11731.882488700006
2016-03-21,11667.622488700006
2016-03-22,11531.962488700005
2016-03-23,11621.212488700005
2016-03-24,11578.372488700006
2016-03-28,11589.082488700007
2016-03-29,11731.882488700006
