,equity
2015-10-19,10000.0
2015-10-20,10000.0
2015-10-21,9771.048072095002
2015-10-22,9909.428072095001
2015-10-23,10506.468072095002
2015-10-26,10669.328072095002
2015-10-27,10710.128072095002
2015-10-28,10813.658072095002
2015-10-29,10974.308072095
2015-10-30,10963.258072095
2015-11-02,11004.908072095002
2015-11-03,10953.228072095
2015-11-04,11219.108072095003
2015-11-05,11469.008072095
2015-11-06,11352.392704595002
2015-11-09,10899.058783115004
2015-11-10,11180.218783115006
2015-11-11,11196.058783115004
2015-11-12,10805.998783115005
2015-11-13,10284.268783115005
2015-11-16,11046.568783115004
2015-11-17,11615.818783115004
2015-11-18,11965.288783115004
2015-11-19,11924.698783115005
2015-11-20,12283.078783115005
2015-11-23,12400.888783115004
2015-11-24,12230.608783115005
2015-11-25,12314.758783115005
2015-11-27,12441.478783115004
2015-11-30,12232.588783115005
2015-12-01,12434.548783115006
2015-12-02,12786.988783115006
2015-12-03,12733.641404525008
2015-12-04,13059.411343825008
2015-12-07,12992.411343825008
2015-12-08,13216.861343825009
2015-12-09,12958.91134382501
2015-12-10,12888.56134382501
2015-12-11,12499.961343825007
2015-12-14,12398.34303510001
2015-12-15,12292.854128340014
2015-12-16,12367.254128340013
2015-12-17,12181.254128340013
2015-12-18,11984.094128340013
2015-12-21,12264.954128340014
2015-12-22,12277.974128340013
2015-12-23,12324.474128340013
2015-12-24,12367.254128340013
2015-12-28,12356.094128340013
2015-12-29,12556.974128340013
2015-12-30,12449.094128340013
2015-12-31,12289.134128340014
2016-01-04,12069.654128340013
2016-01-05,12263.094128340013
2016-01-06,11757.174128340013
2016-01-07,11292.174128340013
2016-01-08,11329.088828520014
2016-01-11,11329.088828520014
2016-01-12,11329.088828520014
2016-01-13,11329.088828520014
2016-01-14,11329.088828520014
2016-01-15,11329.088828520014
2016-01-19,11329.088828520014
2016-01-20,11329.088828520014
2016-01-21,11329.088828520014
2016-01-22,11329.088828520014
2016-01-25,11329.088828520014
2016-01-26,11329.088828520014
2016-01-27,11329.088828520014
2016-01-28,11329.088828520014
2016-01-29,11329.088828520014
2016-02-01,11329.088828520014
2016-02-02,11329.088828520014
2016-02-03,11329.088828520014
2016-02-04,11329.088828520014
2016-02-05,11329.088828520014
2016-02-08,11329.088828520014
2016-02-09,11329.088828520014
2016-02-10,11329.088828520014
2016-02-11,11329.088828520014
2016-02-12,11329.088828520014
2016-02-16,11329.088828520014
2016-02-17,11329.088828520014
2016-02-18,11329.088828520014
2016-02-19,11329.088828520014
2016-02-22,11329.088828520014
2016-02-23,11329.088828520014
2016-02-24,11329.088828520014
2016-02-25,11329.088828520014
2016-02-26,11329.088828520014
2016-02-29,11329.088828520014
2016-03-01,11329.088828520014
2016-03-02,11329.088828520014
2016-03-03,11137.040509970015
2016-03-04,11102.940509970014
2016-03-07,11031.330509970016
2016-03-08,10830.140509970015
2016-03-09,10823.320509970015
2016-03-10,10806.270509970014
2016-03-11,10990.410509970015
2016-03-14,11017.690509970014
2016-03-15,10963.130509970015
2016-03-16,11290.490509970015
2016-03-17,11195.010509970016
2016-03-18,11532.600509970016
2016-03-21,11566.700509970015
2016-03-22,11419.920163070015
2016-03-23,11186.280891890017
2016-03-24,11133.360891890017
2016-03-28,10929.240891890018
2016-03-29,11221.560891890016
2016-03-30,11350.080891890018
2016-03-31,11158.560891890016
2016-04-01,11304.720891890018
2016-04-04,11191.320891890018
2016-04-05,11019.960891890018
2016-04-06,11022.480891890018
2016-04-07,10931.760891890017
2016-04-08,11201.400891890018
2016-04-11,11516.400891890018
2016-04-12,11816.280891890017
2016-04-13,12279.960891890018
2016-04-14,12282.480891890018
2016-04-15,12116.160891890018
2016-04-18,12257.280891890017
2016-04-19,12043.080891890018
2016-04-20,12199.320891890018
2016-04-21,11901.960891890018
2016-04-22,11879.280891890017
2016-04-25,11602.080891890018
2016-04-26,11450.880891890018
2016-04-27,11367.720891890018
2016-04-28,11362.680891890017
2016-04-29,10994.760891890017
2016-05-02,11229.120891890017
2016-05-03,11045.331618110016
2016-05-04,11045.331618110016
2016-05-05,11045.331618110016
2016-05-06,11045.331618110016
2016-05-09,11045.331618110016
2016-05-10,11045.331618110016
2016-05-11,11045.331618110016
2016-05-12,11045.331618110016
2016-05-13,11045.331618110016
2016-05-16,11045.331618110016
2016-05-17,11045.331618110016
2016-05-18,11045.331618110016
2016-05-19,11045.331618110016
2016-05-20,11045.331618110016
2016-05-23,11045.331618110016
2016-05-24,11045.331618110016
2016-05-25,11045.331618110016
2016-05-26,11045.331618110016
2016-05-27,10989.156783260018
2016-05-31,11185.136783260017
2016-06-01,11206.646783260017
2016-06-02,11285.516783260018
2016-06-03,11127.776783260017
2016-06-06,11070.416783260018
2016-06-07,11091.926783260016
2016-06-08,11056.076783260018
2016-06-09,11342.876783260017
2016-06-10,11060.856783260018
2016-06-13,11201.866783260017
2016-06-14,11223.376783260017
2016-06-15,11338.096783260016
2016-06-16,11383.506783260016
2016-06-17,11185.136783260017
2016-06-20,11385.896783260017
2016-06-21,11316.586783260018
2016-06-22,11307.026783260017
2016-06-23,11608.166783260018
2016-06-24,10948.526783260017
2016-06-27,10831.416783260018
2016-06-28,10989.156783260018
2016-06-29,11168.406783260018
2016-06-30,11254.446783260017
2016-07-01,11170.796783260017
2016-07-05,11335.706783260017
2016-07-06,11407.406783260018
2016-07-07,11703.766783260018
2016-07-08,12172.206783260017
2016-07-11,12451.836783260018
2016-07-12,12638.256783260016
2016-07-13,12633.476783260017
2016-07-14,12762.536783260017
2016-07-15,12614.356783260018
2016-07-18,12678.886783260017
2016-07-19,12810.336783260018
2016-07-20,12977.636783260017
2016-07-21,12738.636783260017
2016-07-22,13085.186783260018
2016-07-25,13326.576783260018
2016-07-26,13553.626783260017
2016-07-27,13417.396783260017
2016-07-28,13446.076783260018
2016-07-29,13665.956783260017
2016-08-01,13577.526783260017
2016-08-02,13412.616783260017
2016-08-03,13448.466783260017
2016-08-04,13697.026783260017
2016-08-05,13928.856783260018
2016-08-08,14057.916783260018
2016-08-09,14093.766783260018
2016-08-10,14002.946783260017
2016-08-11,14287.356783260018
2016-08-12,15085.616783260017
2016-08-15,15071.276783260017
2016-08-16,14980.456783260017
2016-08-17,14633.906783260018
2016-08-18,14860.956783260017
2016-08-19,14899.196783260017
2016-08-22,14961.336783260018
2016-08-23,15082.079583260018
2016-08-24,14850.249583260018
2016-08-25,14752.259583260018
2016-08-26,14871.759583260018
2016-08-29,14862.199583260019
2016-08-30,14776.159583260018
2016-08-31,14706.849583260018
2016-09-01,15139.439583260018
2016-09-02,14991.259583260018
2016-09-06,15132.269583260018
2016-09-07,14909.999583260018
2016-09-08,15017.549583260019
2016-09-09,14271.869583260019
2016-09-12,14565.839583260018
2016-09-13,14355.519583260018
2016-09-14,14482.189583260018
2016-09-15,15029.499583260018
2016-09-16,15065.349583260018
2016-09-19,15263.71958326002
2016-09-20,15125.099583260018
2016-09-21,15548.129583260017
2016-09-22,15586.369583260017
2016-09-23,15569.63958326002
2016-09-26,15423.849583260018
2016-09-27,15949.64958326002
2016-09-28,16007.009583260018
2016-09-29,16155.18958326002
2016-09-30,16422.869583260017
2016-10-03,16406.139583260017
2016-10-04,16370.289583260017
2016-10-05,16353.55958326002
2016-10-06,16140.849583260018
2016-10-07,16023.739583260016
2016-10-10,16083.489583260016
2016-10-11,15851.659583260018
2016-10-12,15923.35958326002
2016-10-13,15665.239583260016
2016-10-14,15818.199583260017
2016-10-17,15727.379583260017
2016-10-18,15966.379583260017
2016-10-19,15932.919583260018
2016-10-20,16234.05958326002
2016-10-21,16188.64958326002
2016-10-24,16946.279583260017
2016-10-25,17223.51958326002
2016-10-26,17292.829583260016
2016-10-27,16939.10958326002
2016-10-28,16910.42958326002
2016-10-31,17053.829583260016
2016-11-01,16549.53958326002
2016-11-02,16480.229583260018
2016-11-03,16289.029583260017
2016-11-04,16195.819583260016
2016-11-07,17080.119583260017
2016-11-08,17053.829583260016
2016-11-09,16767.029583260017
2016-11-10,16243.619583260017
2016-11-11,21071.419583260016
2016-11-14,20036.549583260017
2016-11-15,20645.999583260018
2016-11-16,21946.159583260018
2016-11-17,22127.799583260017
2016-11-18,22359.62958326002
2016-11-21,22268.80958326002
2016-11-22,22428.93958326002
2016-11-23,22538.879583260015
2016-11-25,22584.289583260015
2016-11-28,22572.339583260018
2016-11-29,22366.799583260017
2016-11-30,22115.849583260017
2016-12-01,21026.009583260016
2016-12-02,21219.599583260017
2016-12-05,22039.369583260017
2016-12-06,22400.259583260016
2016-12-07,22801.779583260017
2016-12-08,22421.76958326002
2016-12-09,22025.029583260017
2016-12-12,21492.05958326002
2016-12-13,21869.67958326002
2016-12-14,23131.599583260017
2016-12-15,23671.739583260016
2016-12-16,24078.039583260015
2016-12-19,24369.619583260017
2016-12-20,25215.67958326002
2016-12-21,25373.419583260016
2016-12-22,25679.339583260018
2016-12-23,26317.46958326002
2016-12-27,28119.529583260017
2016-12-28,26190.799583260017
2016-12-29,26711.819583260018
2016-12-30,25590.909583260018
2017-01-03,24460.439583260017
2017-01-04,25029.259583260016
2017-01-05,24825.871380325018
2017-01-06,24233.459259895022
2017-01-09,23956.699259895016
2017-01-10,23692.51925989502
2017-01-11,23214.47925989502
2017-01-12,23138.99925989502
2017-01-13,23233.349259895018
2017-01-17,23308.82925989502
2017-01-18,23447.209259895022
2017-01-19,22881.10925989502
2017-01-20,22962.87925989502
2017-01-23,22899.97925989502
2017-01-24,23573.009259895018
2017-01-25,26862.67925989502
2017-01-26,27636.349259895018
2017-01-27,28013.74925989502
2017-01-30,28265.349259895018
2017-01-31,28422.599259895018
2017-02-01,28189.86925989502
2017-02-02,28498.07925989502
2017-02-03,28253.04510470002
2017-02-06,28798.115469700027
2017-02-07,29244.015469700025
2017-02-08,29116.615469700027
2017-02-09,28570.265469700025
2017-02-10,27894.06546970003
2017-02-13,26610.265469700025
2017-02-14,26708.265469700025
2017-02-15,26484.72098945003
2017-02-16,25838.664014900034
2017-02-17,25605.174014900036
2017-02-21,25762.644014900037
2017-02-22,25719.204014900035
2017-02-23,25740.924014900036
2017-02-24,25936.404014900036
2017-02-27,25903.824014900034
2017-02-28,26175.324014900034
2017-03-01,26875.794014900035
2017-03-02,26571.714014900037
2017-03-03,26373.663393170038
2017-03-06,26481.245140130042
2017-03-07,25764.23182171004
2017-03-08,25344.322521710044
2017-03-09,25306.975621710044
2017-03-10,25423.772521710045
2017-03-13,25573.13182171004
2017-03-14,25440.102521710047
2017-03-15,25504.36252171004
2017-03-16,25318.538721710043
2017-03-17,24935.978721710042
2017-03-20,24936.388721710042
2017-03-21,24266.638721710046
2017-03-22,24707.228588445043
2017-03-23,24447.199933830496
2017-03-24,24333.5909986205
2017-03-27,24377.0909986205
2017-03-28,24305.7509986205
2017-03-29,24270.950998620505
2017-03-30,24008.210998620507
2017-03-31,23294.8109986205
2017-04-03,24138.710998620507
2017-04-04,23822.3087365505
2017-04-05,23408.070114205504
2017-04-06,23801.468414205505
2017-04-07,24107.108414205504
2017-04-10,23996.738414205505
2017-04-11,24356.1484142055
2017-04-12,23835.4284142055
2017-04-13,23634.498414205504
2017-04-17,23821.278414205502
2017-04-18,23456.180114205505
2017-04-19,23436.3984142055
2017-04-20,23892.028414205502
2017-04-21,23524.156714205503
2017-04-24,24276.908414205504
2017-04-25,24591.0384142055
2017-04-26,23690.786477455502
2017-04-27,23679.88496054461
2017-04-28,23490.55736054461
2017-05-01,23804.62496054461
2017-05-02,23790.76496054461
2017-05-03,23804.62496054461
2017-05-04,23897.07116054461
2017-05-05,24257.43116054461
2017-05-08,23938.651160544607
2017-05-09,23938.651160544607
2017-05-10,23897.07116054461
2017-05-11,24091.111160544606
2017-05-12,24091.111160544606
2017-05-15,23849.00939153551
2017-05-16,23698.79878360551
2017-05-17,22126.22878360551
2017-05-18,23051.77878360551
2017-05-19,23582.88878360551
2017-05-22,24084.58878360551
2017-05-23,23761.07878360551
2017-05-24,24027.49878360551
2017-05-25,23973.86878360551
2017-05-26,24593.20878360551
2017-05-30,25117.398783605513
2017-05-31,25027.43878360551
2017-06-01,25029.168783605513
2017-06-02,24904.60878360551
2017-06-05,25660.61878360551
2017-06-06,25544.70878360551
2017-06-07,25852.648783605513
2017-06-08,27724.50878360551
2017-06-09,25935.68878360551
2017-06-12,25999.698783605512
2017-06-13,26247.08878360551
2017-06-14,26302.448783605512
2017-06-15,26414.898783605513
2017-06-16,26285.148783605513
2017-06-19,27271.24878360551
2017-06-20,27231.45878360551
2017-06-21,27643.198783605512
2017-06-22,27452.898783605513
2017-06-23,26667.478783605515
2017-06-26,26376.83878360551
2017-06-27,25413.228783605515
2017-06-28,26307.63878360551
2017-06-29,25430.52878360551
2017-06-30,25063.768783605512
2017-07-03,24158.978783605515
2017-07-05,24802.538783605512
2017-07-06,24365.71403705051
2017-07-07,24365.71403705051
2017-07-10,24365.71403705051
2017-07-11,24365.71403705051
2017-07-12,24365.71403705051
2017-07-13,24365.71403705051
2017-07-14,24365.71403705051
2017-07-17,24365.71403705051
2017-07-18,24365.71403705051
2017-07-19,23957.774163975515
2017-07-20,24305.774163975515
2017-07-21,24392.774163975515
2017-07-24,24110.024163975515
2017-07-25,23994.024163975515
2017-07-26,24270.974163975512
2017-07-27,23470.574163975518
2017-07-28,23854.824163975514
2017-07-31,23582.224163975512
2017-08-01,23869.324163975518
2017-08-02,23854.824163975514
2017-08-03,24157.874163975514
2017-08-04,24263.724163975516
2017-08-07,25009.024163975515
2017-08-08,24711.774163975515
2017-08-09,24209.088074800515
2017-08-10,23437.109781185514
2017-08-11,24259.789781185515
2017-08-14,24371.259781185516
2017-08-15,24093.369781185516
2017-08-16,23881.419781185516
2017-08-17,23437.109781185514
2017-08-18,23372.739781185515
2017-08-21,23510.899781185515
2017-08-22,24526.689781185512
2017-08-23,24176.579781185515
2017-08-24,24620.889781185517
2017-08-25,24179.71978118552
2017-08-28,24200.129781185515
2017-08-29,24120.059781185515
2017-08-30,24653.859781185514
2017-08-31,25321.109781185514
2017-09-01,25588.009781185516
2017-09-05,25090.319781185513
2017-09-06,24777.889781185517
2017-09-07,25143.699781185514
2017-09-08,25052.639781185517
2017-09-11,24892.499781185517
2017-09-12,24737.069781185513
2017-09-13,24733.929781185518
2017-09-14,24196.989781185515
2017-09-15,24233.099781185516
2017-09-18,24168.729781185513
