trade_no,trade_id,symbol,entry_time,exit_time,entry_price,exit_price,quantity,corporate_action_cash,entry_cost,exit_proceeds,pnl_cash,pnl_pct,exit_reason,pnl_pct_display
1,1,AMZN,2015-10-21,2015-11-06,567.535155,650.7425000000001,17.0,0.0,9677.041927904998,11029.4346325,1352.3927045950022,0.13975269660609846,Leader rotation,+13.98%
2,2,NFLX,2015-11-09,2015-12-03,114.09684,128.77747000000002,99.0,0.0,11329.473921479997,12710.722621410003,1381.2486999300054,0.12191640225335099,Leader rotation,+12.19%
3,3,ATVI,2015-12-04,2015-12-14,37.804140000000004,37.027745,335.0,0.0,12702.3800607,12367.081691275002,-335.2983694249979,-0.02639649953967138,Leader rotation,-2.64%
4,4,NVDA,2015-12-15,2016-01-08,33.154109999999996,30.470645000000005,372.0,0.0,12370.328906759996,11301.074700180001,-1069.2542065799953,-0.08643700702215618,Supertrend down,-8.64%
5,5,NVDA,2016-03-03,2016-03-22,33.11385,33.5803,341.0,0.0,11325.69831855,11416.5296531,90.83133455000097,0.008019932369311977,Leader rotation,+0.80%
6,6,CTRP,2016-03-23,2016-05-03,45.161654999999996,43.942505,252.0,0.0,11414.879271179998,11040.290726219999,-374.5885449599991,-0.032815813120840476,Supertrend down,-3.28%
7,7,NVDA,2016-05-27,2017-01-05,45.99705,103.850555,239.0,60.9928,11026.274834849999,24745.821797065,13780.539762215001,1.2497910644000805,Supertrend down,+124.98%
8,8,STX,2017-01-06,2017-02-03,39.31389,45.015485000000005,629.0,0.0,24802.622120429998,28229.795844805,3427.173724375003,0.13817787924737313,Leader rotation,+13.82%
9,9,NVDA,2017-02-06,2017-02-15,114.741,108.19215000000001,245.0,0.0,28195.879634999994,26427.555519750003,-1768.3241152499904,-0.06271569243950603,Supertrend down,-6.27%
10,10,STX,2017-02-16,2017-03-03,48.613949999999996,48.701370000000004,543.0,0.0,26476.566974549994,26365.509378270002,-111.05759627999214,-0.004194561794463203,Leader rotation,-0.42%
11,11,MU,2017-03-07,2017-03-22,25.726139999999997,25.562755000000003,1.0,0.0,25.803318419999993,25.486066735,-0.31725168499999157,-0.012294995544220089,Leader rotation,-1.23%
12,12,CSX,2017-03-06,2017-03-23,49.43928,46.098499350000004,531.0,0.0,26331.014453039996,24404.868245385453,-1926.146207654543,-0.07315123430165316,Supertrend down,-7.32%
13,13,INCY,2017-03-24,2017-04-04,139.873305,137.112935,174.0,0.0,24410.968935209992,23786.077737929998,-624.8911972799942,-0.025598787124695432,Supertrend down,-2.56%
14,14,WDC,2017-04-05,2017-04-26,83.911905,83.95075,283.0,0.0,23818.310322344998,23686.78806325,-131.52225909499975,-0.005521897116757768,Leader rotation,-0.55%
15,15,CSX,2017-04-27,2017-05-15,51.12023565,51.771384350000005,462.0,0.0,23688.401516910893,23846.6244309909,158.2229140800082,0.006679341109912196,Leader rotation,+0.67%
16,16,NVDA,2017-05-16,2017-07-06,137.26647,140.947845,173.0,24.220000000000002,23818.34060793,24310.825253445,516.7046455150012,0.021693561865639532,Supertrend down,+2.17%
17,17,NVDA,2017-07-19,2017-08-09,167.411145,167.335205,145.0,0.0,24347.439873074996,24190.813910825,-156.62596224999652,-0.006432954062788543,Leader rotation,-0.64%
18,18,VRTX,2017-08-10,2017-10-19,152.998065,153.565295,157.0,0.0,24092.758293615,24037.422061054996,-55.33623256000283,-0.0022967993903242334,Leader rotation,-0.23%
19,19,NVDA,2017-10-20,2017-11-01,199.780185,207.989225,120.0,0.0,24045.543066599996,24883.830879,838.2878124000054,0.034862502796387806,Leader rotation,+3.49%
20,20,ALGN,2017-11-02,2017-12-06,236.90997,226.67696,105.0,0.0,24950.173490549994,23729.6775576,-1220.4959329499943,-0.048917332515233336,Supertrend down,-4.89%
