trade_no,trade_id,symbol,entry_time,exit_time,entry_price,exit_price,quantity,corporate_action_cash,entry_cost,exit_proceeds,pnl_cash,pnl_pct,exit_reason,pnl_pct_display
1,1,AMZN,2015-10-20,2015-11-05,572.8580000000001,646.12935,17.0,0.0,9767.801758,10951.24635315,1183.4445951500002,0.12115772048513773,Leader rotation,+12.12%
2,2,NFLX,2015-11-05,2015-12-02,113.920625,125.341705,97.0,0.0,11083.451526874998,12121.670948845,1038.2194219700013,0.09367293387376141,Leader rotation,+9.37%
3,3,ATVI,2015-12-02,2016-01-08,38.627855000000004,36.734815000000005,315.0,0.0,12204.277647975,11536.752324825002,-667.5253231499973,-0.05469601252973433,Supertrend down,-5.47%
4,4,NVDA,2016-03-02,2016-03-21,32.618855,33.459735,353.0,0.0,11548.999182445,11775.852595635,226.85341318999963,0.019642690211185254,Leader rotation,+1.96%
5,5,CTRP,2016-03-21,2016-05-02,42.90426000000001,43.49466,273.0,0.0,11748.00156894,11838.42005346,90.41848451999977,0.007696499186640615,Supertrend down,+0.77%
6,6,NVDA,2016-05-26,2017-01-04,45.317875,103.24490000000002,261.0,66.6072,11863.449271124999,26866.078143300005,15069.236072175005,1.270223838597491,Supertrend down,+127.02%
7,7,STX,2017-01-04,2017-02-02,39.789595,44.223565,675.0,0.0,26938.550554874997,29761.353655875,2822.8031010000013,0.10478674772237007,Leader rotation,+10.48%
8,8,NVDA,2017-02-02,2017-02-14,113.46995,107.82801500000001,261.0,0.0,29704.50392085,28058.682579255,-1645.8213415949976,-0.05540645775403008,Supertrend down,-5.54%
9,9,STX,2017-02-14,2017-02-16,47.721475,48.22755,587.0,0.0,28096.543342474997,28224.64313445,128.09979197500434,0.004559272306688067,Leader rotation,+0.46%
10,10,MU,2017-02-16,2017-03-01,23.07456,24.12376,1220.0,0.0,28235.4160896,29342.6942384,1107.2781488,0.03921593169678306,Leader rotation,+3.92%
