,equity
2015-10-19,10000.0
2015-10-20,10000.0
2015-10-21,9847.916522105003
2015-10-22,9986.296522105002
2015-10-23,10583.336522105003
2015-10-26,10746.196522105003
2015-10-27,10786.996522105002
2015-10-28,10890.526522105003
2015-10-29,11051.176522105001
2015-10-30,11040.126522105002
2015-11-02,11081.776522105003
2015-11-03,11030.096522105001
2015-11-04,11295.976522105004
2015-11-05,11384.030972455002
2015-11-06,11434.016802955004
2015-11-09,11014.016802955004
2015-11-10,11298.016802955004
2015-11-11,11314.016802955004
2015-11-12,10920.016802955004
2015-11-13,10393.016802955004
2015-11-16,11163.016802955004
2015-11-17,11738.016802955004
2015-11-18,12091.016802955004
2015-11-19,12050.016802955004
2015-11-20,12412.016802955004
2015-11-23,12531.016802955004
2015-11-24,12359.016802955004
2015-11-25,12444.016802955004
2015-11-27,12572.016802955004
2015-11-30,12361.016802955004
2015-12-01,12565.016802955004
2015-12-02,12562.193579455005
2015-12-03,12216.173141395004
2015-12-04,12627.653141395005
2015-12-07,12562.853141395004
2015-12-08,12779.933141395004
2015-12-09,12530.453141395006
2015-12-10,12462.413141395005
2015-12-11,12086.573141395003
2015-12-14,12326.333141395005
2015-12-15,12569.333141395005
2015-12-16,12731.333141395005
2015-12-17,12621.173141395004
2015-12-18,12491.573141395003
2015-12-21,12579.053141395005
2015-12-22,12731.333141395005
2015-12-23,12611.453141395006
2015-12-24,12637.373141395004
2015-12-28,12673.013141395006
2015-12-29,12851.213141395005
2015-12-30,12802.613141395004
2015-12-31,12569.333141395005
2016-01-04,12216.173141395004
2016-01-05,12060.653141395005
2016-01-06,11947.253141395004
2016-01-07,11778.773141395006
2016-01-08,11929.379161375004
2016-01-11,11929.379161375004
2016-01-12,11929.379161375004
2016-01-13,11929.379161375004
2016-01-14,11929.379161375004
2016-01-15,11929.379161375004
2016-01-19,11929.379161375004
2016-01-20,11929.379161375004
2016-01-21,11929.379161375004
2016-01-22,11929.379161375004
2016-01-25,11929.379161375004
2016-01-26,11929.379161375004
2016-01-27,11929.379161375004
2016-01-28,11929.379161375004
2016-01-29,11929.379161375004
2016-02-01,11929.379161375004
2016-02-02,11929.379161375004
2016-02-03,11929.379161375004
2016-02-04,11929.379161375004
2016-02-05,11929.379161375004
2016-02-08,11929.379161375004
2016-02-09,11929.379161375004
2016-02-10,11929.379161375004
2016-02-11,11929.379161375004
2016-02-12,11929.379161375004
2016-02-16,11929.379161375004
2016-02-17,11929.379161375004
2016-02-18,11929.379161375004
2016-02-19,11929.379161375004
2016-02-22,11929.379161375004
2016-02-23,11929.379161375004
2016-02-24,11929.379161375004
2016-02-25,11929.379161375004
2016-02-26,11929.379161375004
2016-02-29,11929.379161375004
2016-03-01,11929.379161375004
2016-03-02,11929.379161375004
2016-03-03,11821.008506475004
2016-03-04,11784.808506475003
2016-03-07,11708.788506475006
2016-03-08,11495.208506475004
2016-03-09,11487.968506475005
2016-03-10,11469.868506475004
2016-03-11,11665.348506475004
2016-03-14,11694.308506475003
2016-03-15,11636.388506475005
2016-03-16,11983.908506475005
2016-03-17,11882.548506475005
2016-03-18,12240.928506475006
2016-03-21,12114.138641785004
2016-03-22,12270.740419390006
2016-03-23,12134.240419390006
2016-03-24,12076.910419390006
2016-03-28,11855.780419390008
2016-03-29,12172.460419390007
2016-03-30,12311.690419390008
2016-03-31,12104.210419390007
2016-04-01,12262.550419390009
2016-04-04,12139.700419390007
2016-04-05,11954.060419390007
2016-04-06,11956.790419390007
2016-04-07,11858.510419390008
2016-04-08,12150.620419390007
2016-04-11,12491.870419390007
2016-04-12,12816.740419390006
2016-04-13,13319.060419390007
2016-04-14,13321.790419390007
2016-04-15,13141.610419390008
2016-04-18,13294.490419390006
2016-04-19,13062.440419390008
2016-04-20,13231.700419390007
2016-04-21,12909.560419390007
2016-04-22,12884.990419390006
2016-04-25,12584.690419390008
2016-04-26,12420.890419390007
2016-04-27,12330.800419390009
2016-04-28,12325.340419390008
2016-04-29,11926.760419390008
2016-05-02,11895.27854533001
2016-05-03,11895.27854533001
2016-05-04,11895.27854533001
2016-05-05,11895.27854533001
2016-05-06,11895.27854533001
2016-05-09,11895.27854533001
2016-05-10,11895.27854533001
2016-05-11,11895.27854533001
2016-05-12,11895.27854533001
2016-05-13,11895.27854533001
2016-05-16,11895.27854533001
2016-05-17,11895.27854533001
2016-05-18,11895.27854533001
2016-05-19,11895.27854533001
2016-05-20,11895.27854533001
2016-05-23,11895.27854533001
2016-05-24,11895.27854533001
2016-05-25,11895.27854533001
2016-05-26,11895.27854533001
2016-05-27,11929.31817718001
2016-05-31,12141.69817718001
2016-06-01,12165.00817718001
2016-06-02,12250.47817718001
2016-06-03,12079.53817718001
2016-06-06,12017.37817718001
2016-06-07,12040.688177180009
2016-06-08,12001.83817718001
2016-06-09,12312.63817718001
2016-06-10,12007.01817718001
2016-06-13,12159.82817718001
2016-06-14,12183.13817718001
2016-06-15,12307.45817718001
2016-06-16,12356.668177180009
2016-06-17,12141.69817718001
2016-06-20,12359.25817718001
2016-06-21,12284.14817718001
2016-06-22,12273.78817718001
2016-06-23,12600.12817718001
2016-06-24,11885.28817718001
2016-06-27,11758.37817718001
2016-06-28,11929.31817718001
2016-06-29,12123.56817718001
2016-06-30,12216.80817718001
2016-07-01,12126.158177180008
2016-07-05,12304.86817718001
2016-07-06,12382.56817718001
2016-07-07,12703.72817718001
2016-07-08,13211.36817718001
2016-07-11,13514.39817718001
2016-07-12,13716.418177180009
2016-07-13,13711.23817718001
2016-07-14,13851.098177180009
2016-07-15,13690.51817718001
2016-07-18,13760.44817718001
2016-07-19,13902.89817718001
2016-07-20,14084.19817718001
2016-07-21,13825.19817718001
2016-07-22,14200.74817718001
2016-07-25,14462.33817718001
2016-07-26,14708.38817718001
2016-07-27,14560.75817718001
2016-07-28,14591.83817718001
2016-07-29,14830.11817718001
2016-08-01,14734.28817718001
2016-08-02,14555.57817718001
2016-08-03,14594.428177180009
2016-08-04,14863.78817718001
2016-08-05,15115.01817718001
2016-08-08,15254.87817718001
2016-08-09,15293.72817718001
2016-08-10,15195.30817718001
2016-08-11,15503.51817718001
2016-08-12,16368.57817718001
2016-08-15,16353.03817718001
2016-08-16,16254.61817718001
2016-08-17,15879.06817718001
2016-08-18,16125.11817718001
2016-08-19,16166.55817718001
2016-08-22,16233.89817718001
2016-08-23,16364.744977180007
2016-08-24,16113.514977180008
2016-08-25,16007.32497718001
2016-08-26,16136.82497718001
2016-08-29,16126.464977180009
2016-08-30,16033.224977180009
2016-08-31,15958.11497718001
2016-09-01,16426.90497718001
2016-09-02,16266.32497718001
2016-09-06,16419.134977180012
2016-09-07,16178.264977180008
2016-09-08,16294.814977180009
2016-09-09,15486.734977180009
2016-09-12,15805.304977180009
2016-09-13,15577.384977180009
2016-09-14,15714.65497718001
2016-09-15,16307.764977180008
2016-09-16,16346.61497718001
2016-09-19,16561.58497718001
2016-09-20,16411.364977180012
2016-09-21,16869.794977180012
2016-09-22,16911.23497718001
2016-09-23,16893.10497718001
2016-09-26,16735.114977180012
2016-09-27,17304.91497718001
2016-09-28,17367.07497718001
2016-09-29,17527.654977180013
2016-09-30,17817.73497718001
2016-10-03,17799.60497718001
2016-10-04,17760.75497718001
2016-10-05,17742.62497718001
2016-10-06,17512.114977180012
2016-10-07,17385.20497718001
2016-10-10,17449.95497718001
2016-10-11,17198.72497718001
2016-10-12,17276.424977180013
2016-10-13,16996.70497718001
2016-10-14,17162.46497718001
2016-10-17,17064.044977180012
2016-10-18,17323.044977180012
2016-10-19,17286.78497718001
2016-10-20,17613.12497718001
2016-10-21,17563.91497718001
2016-10-24,18384.94497718001
2016-10-25,18685.384977180012
2016-10-26,18760.49497718001
2016-10-27,18377.174977180013
2016-10-28,18346.09497718001
2016-10-31,18501.49497718001
2016-11-01,17955.00497718001
2016-11-02,17879.89497718001
2016-11-03,17672.69497718001
2016-11-04,17571.684977180008
2016-11-07,18529.98497718001
2016-11-08,18501.49497718001
2016-11-09,18190.69497718001
2016-11-10,17623.48497718001
2016-11-11,22855.28497718001
2016-11-14,21733.81497718001
2016-11-15,22394.26497718001
2016-11-16,23803.22497718001
2016-11-17,24000.06497718001
2016-11-18,24251.294977180012
2016-11-21,24152.87497718001
2016-11-22,24326.404977180013
2016-11-23,24445.54497718001
2016-11-25,24494.754977180008
2016-11-28,24481.80497718001
2016-11-29,24259.06497718001
2016-11-30,23987.11497718001
2016-12-01,22806.074977180007
2016-12-02,23015.86497718001
2016-12-05,23904.234977180007
2016-12-06,24295.324977180007
2016-12-07,24730.444977180006
2016-12-08,24318.63497718001
2016-12-09,23888.694977180006
2016-12-12,23311.12497718001
2016-12-13,23720.344977180008
2016-12-14,25087.86497718001
2016-12-15,25673.20497718001
2016-12-16,26113.504977180008
2016-12-19,26429.484977180007
2016-12-20,27346.344977180008
2016-12-21,27517.28497718001
2016-12-22,27848.80497718001
2016-12-23,28540.33497718001
2016-12-27,30493.194977180006
2016-12-28,28403.06497718001
2016-12-29,28967.68497718001
2016-12-30,27752.97497718001
2017-01-03,26527.90497718001
2017-01-04,26847.757467480013
2017-01-05,26793.821036470017
2017-01-06,26409.66103647002
2017-01-09,26107.821036470017
2017-01-10,25819.701036470018
2017-01-11,25298.341036470018
2017-01-12,25216.021036470018
2017-01-13,25318.921036470016
2017-01-17,25401.24103647002
2017-01-18,25552.16103647002
2017-01-19,24934.76103647002
2017-01-20,25023.941036470016
2017-01-23,24955.341036470018
2017-01-24,25689.361036470018
2017-01-25,29277.14103647002
2017-01-26,30120.921036470016
2017-01-27,30532.521036470018
2017-01-30,30806.921036470016
2017-01-31,30978.421036470016
2017-02-01,30724.60103647002
2017-02-02,30342.901817940023
2017-02-03,30017.174843990026
2017-02-06,30784.83484399003
2017-02-07,31261.674843990026
2017-02-08,31125.434843990028
2017-02-09,30541.174843990026
2017-02-10,29818.05484399003
2017-02-13,28445.174843990026
2017-02-14,28300.568920680027
2017-02-15,28387.78865029503
2017-02-16,28492.461179925038
2017-02-17,28730.00534100019
2017-02-21,29246.605341000188
2017-02-22,29222.00534100019
2017-02-23,28889.90534100019
2017-02-24,28594.705341000186
2017-02-27,29234.305341000192
2017-02-28,28840.70534100019
2017-03-01,29681.74499940019
2017-03-02,29246.1139571902
2017-03-03,29799.833557190195
2017-03-06,29538.772982310198
2017-03-07,29586.792226970203
2017-03-08,29287.0122269702
2017-03-09,29021.8222269702
2017-03-10,29056.412226970202
2017-03-13,29655.9722269702
2017-03-14,29517.6122269702
2017-03-15,30140.2322269702
2017-03-16,30047.9922269702
2017-03-17,29771.272226970203
2017-03-20,30244.002226970202
2017-03-21,30302.3015389202
2017-03-22,30156.887317545203
2017-03-23,29664.857317545204
2017-03-24,29807.5673175452
2017-03-27,29860.8173175452
2017-03-28,29773.4873175452
2017-03-29,29730.887317545203
2017-03-30,29409.257317545205
2017-03-31,28535.957317545202
2017-04-03,28776.129195045203
2017-04-04,29125.098117795213
2017-04-05,29023.59811779521
2017-04-06,29510.13311779521
2017-04-07,29888.13311779521
2017-04-10,29751.63311779521
2017-04-11,30196.13311779521
2017-04-12,29552.133117795205
2017-04-13,29303.63311779521
2017-04-17,29534.63311779521
2017-04-18,29083.09811779521
2017-04-19,29058.63311779521
2017-04-20,29622.13311779521
2017-04-21,29661.706681545216
2017-04-24,28841.04029476647
2017-04-25,29306.79029476647
2017-04-26,29220.540294766473
2017-04-27,29484.98279476647
2017-04-28,29249.347794766472
2017-05-01,29640.23279476647
2017-05-02,29622.98279476647
2017-05-03,29640.23279476647
2017-05-04,29755.290294766473
2017-05-05,30203.790294766473
2017-05-08,29807.04029476647
2017-05-09,29807.04029476647
2017-05-10,29755.290294766473
2017-05-11,29996.79029476647
2017-05-12,29911.702217448976
2017-05-15,30959.48911804898
2017-05-16,31534.48911804898
2017-05-17,29443.78911804898
2017-05-18,30674.28911804898
2017-05-19,31380.38911804898
2017-05-22,32047.38911804898
2017-05-23,31617.289118048982
2017-05-24,31971.48911804898
2017-05-25,31900.18911804898
2017-05-26,32723.58911804898
2017-05-30,33420.48911804898
2017-05-31,33300.88911804897
2017-06-01,33303.18911804898
2017-06-02,33137.58911804897
2017-06-05,34142.68911804898
2017-06-06,33988.589118048985
2017-06-07,34397.98911804898
2017-06-08,36886.58911804897
2017-06-09,34508.38911804897
2017-06-12,34593.48911804898
2017-06-13,34922.38911804897
2017-06-14,34995.98911804898
2017-06-15,35145.48911804898
2017-06-16,34972.98911804898
2017-06-19,36283.98911804898
2017-06-20,36231.089118048985
2017-06-21,36778.48911804898
2017-06-22,36525.48911804898
2017-06-23,35481.28911804898
2017-06-26,35094.88911804898
2017-06-27,33813.78911804898
2017-06-28,35002.88911804898
2017-06-29,33836.78911804898
2017-06-30,33349.189118048984
2017-07-03,32146.289118048982
2017-07-05,32688.449936548986
2017-07-06,32688.449936548986
2017-07-07,32688.449936548986
2017-07-10,32688.449936548986
2017-07-11,32688.449936548986
2017-07-12,32688.449936548986
2017-07-13,32688.449936548986
2017-07-14,32688.449936548986
2017-07-17,32688.449936548986
2017-07-18,32688.449936548986
2017-07-19,32398.45261620899
2017-07-20,32868.85261620899
2017-07-21,32657.187969868995
2017-07-24,33364.47273686899
2017-07-25,32536.472736868996
2017-07-26,32826.47273686899
2017-07-27,31380.472736868996
2017-07-28,30972.472736868996
2017-07-31,30506.472736868996
2017-08-01,30782.472736868993
2017-08-02,31652.472736869
2017-08-03,30948.472736868996
2017-08-04,31050.472736868996
2017-08-07,31436.472736868996
2017-08-08,30794.472736868996
2017-08-09,30658.472736869
2017-08-10,29850.472736868996
2017-08-11,30898.472736868996
2017-08-14,31040.472736868996
2017-08-15,30686.472736868996
2017-08-16,30416.472736868996
2017-08-17,29850.472736868996
2017-08-18,29768.472736868996
2017-08-21,29944.472736868996
2017-08-22,31238.472736868993
2017-08-23,30792.472736868996
2017-08-24,31358.472736869
2017-08-25,30796.472736869
2017-08-28,30822.472736868996
2017-08-29,30720.472736868993
2017-08-30,31400.472736868996
2017-08-31,32250.472736868996
2017-09-01,32590.472736868996
2017-09-05,31956.472736868996
2017-09-06,31558.472736869
2017-09-07,32024.472736868996
2017-09-08,31908.472736869
2017-09-11,31704.472736868996
2017-09-12,31506.472736868996
2017-09-13,31502.472736869
2017-09-14,30818.472736868996
2017-09-15,30864.472736869
2017-09-18,30782.472736868993
