trade_no,trade_id,symbol,entry_time,exit_time,entry_price,exit_price,quantity,corporate_action_cash,entry_cost,exit_proceeds,pnl_cash,pnl_pct,exit_reason,pnl_pct_display
1,1,AMZN,2015-10-21,2015-11-05,564.151935,646.7764500000001,17.0,0.0,9600.173477894998,10984.20445035,1384.0309724550025,0.14416728777264498,Leader rotation,+14.42%
2,2,NFLX,2015-11-06,2015-12-02,113.44669499999999,125.467235,100.0,0.0,11356.014169499998,12534.1767765,1178.162607000002,0.10374789863897083,Leader rotation,+10.37%
3,3,ATVI,2015-12-03,2016-01-08,38.649315,36.771605,324.0,0.0,12534.90043806,11902.086019979999,-632.8144180800009,-0.05048419979137386,Supertrend down,-5.05%
4,4,NVDA,2016-03-03,2016-03-21,32.91645,33.493245,362.0,0.0,11927.6706549,12112.43013531,184.75948041000083,0.01548998842738003,Leader rotation,+1.55%
5,5,CTRP,2016-03-22,2016-05-02,44.252114999999996,43.53822,273.0,0.0,12092.908222394997,11874.048125940002,-218.86009645499507,-0.018098218594736815,Supertrend down,-1.81%
6,6,NVDA,2016-05-27,2017-01-04,45.72285,103.34830000000001,259.0,66.0968,11854.06036815,26740.442490300004,14952.478922150003,1.261380358946456,Supertrend down,+126.14%
7,7,STX,2017-01-05,2017-02-02,39.089535,44.267855000000004,686.0,0.0,26842.236431009995,30337.380781470005,3495.14435046001,0.13021062382202175,Leader rotation,+13.02%
8,8,NVDA,2017-02-03,2017-02-14,115.507725,107.936005,262.0,0.0,30293.286973949995,28250.95407669,-2042.3328972599957,-0.06741866272274288,Supertrend down,-6.74%
9,9,STX,2017-02-15,2017-02-16,47.953965,48.27585,589.0,0.0,28273.130270384994,28406.04117435,132.91090396500658,0.004700961750394805,Leader rotation,+0.47%
10,10,CSX,2017-02-16,2017-02-17,47.54376,47.50613505,597.0,0.0,28412.008344719998,28332.80146222515,-79.20688249484738,-0.0027877959746399616,Leader rotation,-0.28%
11,11,MU,2017-02-17,2017-03-01,23.021505,24.147920000000003,1230.0,0.0,28344.767601149997,29672.2396584,1327.4720572500046,0.04683305490203238,Leader rotation,+4.68%
12,12,CSX,2017-03-02,2017-03-06,49.234604999999995,49.09544,602.0,0.0,29668.871442209995,29525.899425120002,-142.97201708999273,-0.004818923340865089,Leader rotation,-0.48%
13,13,MU,2017-03-07,2017-03-21,25.572779999999998,26.28685,1153.0,0.0,29514.900755339997,30278.42931195,763.5285566100029,0.025869257123348532,Leader rotation,+2.59%
14,14,INCY,2017-03-22,2017-04-03,141.820875,134.9325,213.0,0.0,30238.054221374998,28711.8818775,-1526.1723438749978,-0.050471909756553024,Supertrend down,-5.05%
15,15,WDC,2017-04-04,2017-04-21,81.910935,84.60767500000001,350.0,0.0,28697.496077249994,29583.073563750007,885.577486500013,0.030859050703105018,Leader rotation,+3.09%
16,16,CSX,2017-04-24,2017-05-12,51.505840049999996,52.044164900000006,575.0,0.0,29645.473886778746,29895.469422682505,249.99553590375945,0.008432839928905755,Leader rotation,+0.84%
17,17,NVDA,2017-05-15,2017-07-05,129.62478,141.82905000000002,230.0,32.2,29843.513099399996,32588.060818500006,2776.7477191000107,0.09304359409200513,Supertrend down,+9.30%
18,18,NVDA,2017-07-19,2017-07-21,166.413165,166.586665,196.0,0.0,32649.597320339995,32618.335353660004,-31.26196667999102,-0.0009574993030776469,Leader rotation,-0.10%
19,19,VRTX,2017-07-24,2017-10-26,162.411165,144.80756,200.0,0.0,32514.715233,28932.550487999997,-3582.164745000002,-0.1101705710577583,Supertrend down,-11.02%
20,20,NVDA,2017-10-27,2017-10-30,197.8989,201.75907000000004,146.0,0.0,28922.132639399995,29427.367395780006,505.23475638001037,0.01746879328295936,Leader rotation,+1.75%
21,21,ALGN,2017-10-31,2017-12-05,235.21755,224.90749000000002,125.0,0.0,29431.595943749995,28085.32281375,-1346.2731299999941,-0.04574244402420469,Supertrend down,-4.57%
22,22,DLTR,2017-12-20,2018-01-08,109.68481499999999,110.70462,257.0,0.0,28217.186452454993,28422.636252660002,205.44980020500952,0.007281016502165727,Leader rotation,+0.73%
23,23,TTWO,2018-01-09,2018-01-23,117.82888499999999,118.270835,241.0,0.0,28425.158046284992,28474.767963765,49.609917480007425,0.0017452820279566517,Leader rotation,+0.17%
24,24,ALGN,2018-01-24,2018-02-06,273.65675999999996,232.593645,104.0,0.0,28488.76334303999,24165.54934092,-4323.214002119992,-0.1517515502538015,Supertrend down,-15.18%
25,25,NVDA,2018-02-20,2018-02-26,244.87237499999998,247.67610000000002,98.0,14.7,24021.490242749995,24247.985542200004,241.19529945000977,0.010040813330588705,Leader rotation,+1.00%
26,26,ALGN,2018-02-27,2018-03-09,265.61274000000003,269.865,91.0,0.0,24194.930099340003,24533.157285,338.2271856599982,0.01397925864101679,Leader rotation,+1.40%
