,equity
2015-10-19,10000.0
2015-10-20,10000.0
2015-10-21,9847.916522105003
2015-10-22,9986.296522105002
2015-10-23,10583.336522105003
2015-10-26,10746.196522105003
2015-10-27,10786.996522105002
2015-10-28,10890.526522105003
2015-10-29,11051.176522105001
2015-10-30,11040.126522105002
2015-11-02,11081.776522105003
2015-11-03,11030.096522105001
2015-11-04,11295.976522105004
2015-11-05,11545.876522105002
2015-11-06,11518.129589605003
2015-11-09,11147.449824925005
2015-11-10,11434.289824925005
2015-11-11,11450.449824925005
2015-11-12,11052.509824925004
2015-11-13,10520.239824925005
2015-11-16,11297.939824925003
2015-11-17,11878.689824925003
2015-11-18,12235.219824925003
2015-11-19,12193.809824925003
2015-11-20,12559.429824925004
2015-11-23,12679.619824925005
2015-11-24,12505.899824925003
2015-11-25,12591.749824925004
2015-11-27,12721.029824925005
2015-11-30,12507.919824925004
2015-12-01,12713.959824925005
2015-12-02,13073.519824925004
2015-12-03,13123.578940735006
2015-12-04,13566.806085295006
2015-12-07,13497.206085295005
2015-12-08,13730.366085295007
2015-12-09,13462.406085295008
2015-12-10,13389.326085295008
2015-12-11,12985.646085295006
2015-12-14,12983.597630275008
2015-12-15,12975.96302756501
2015-12-16,13054.563027565013
2015-12-17,12858.063027565013
2015-12-18,12649.773027565012
2015-12-21,12946.488027565012
2015-12-22,12960.243027565011
2015-12-23,13009.368027565011
2015-12-24,13054.563027565013
2015-12-28,13042.773027565012
2015-12-29,13254.993027565011
2015-12-30,13141.023027565012
2015-12-31,12972.033027565012
2016-01-04,12740.163027565011
2016-01-05,12944.523027565012
2016-01-06,12410.043027565012
2016-01-07,11918.793027565012
2016-01-08,12053.989089220013
2016-01-11,12053.989089220013
2016-01-12,12053.989089220013
2016-01-13,12053.989089220013
2016-01-14,12053.989089220013
2016-01-15,12053.989089220013
2016-01-19,12053.989089220013
2016-01-20,12053.989089220013
2016-01-21,12053.989089220013
2016-01-22,12053.989089220013
2016-01-25,12053.989089220013
2016-01-26,12053.989089220013
2016-01-27,12053.989089220013
2016-01-28,12053.989089220013
2016-01-29,12053.989089220013
2016-02-01,12053.989089220013
2016-02-02,12053.989089220013
2016-02-03,12053.989089220013
2016-02-04,12053.989089220013
2016-02-05,12053.989089220013
2016-02-08,12053.989089220013
2016-02-09,12053.989089220013
2016-02-10,12053.989089220013
2016-02-11,12053.989089220013
2016-02-12,12053.989089220013
2016-02-16,12053.989089220013
2016-02-17,12053.989089220013
2016-02-18,12053.989089220013
2016-02-19,12053.989089220013
2016-02-22,12053.989089220013
2016-02-23,12053.989089220013
2016-02-24,12053.989089220013
2016-02-25,12053.989089220013
2016-02-26,12053.989089220013
2016-02-29,12053.989089220013
2016-03-01,12053.989089220013
2016-03-02,12053.989089220013
2016-03-03,11944.720334970014
2016-03-04,11908.220334970012
2016-03-07,11831.570334970014
2016-03-08,11616.220334970014
2016-03-09,11608.920334970015
2016-03-10,11590.670334970015
2016-03-11,11787.770334970013
2016-03-14,11816.970334970012
2016-03-15,11758.570334970014
2016-03-16,12108.970334970014
2016-03-17,12006.770334970013
2016-03-18,12368.120334970015
2016-03-21,12404.620334970014
2016-03-22,12345.971003470013
2016-03-23,12190.523286280017
2016-03-24,12132.983286280016
2016-03-28,11911.043286280017
2016-03-29,12228.883286280017
2016-03-30,12368.623286280019
2016-03-31,12160.383286280017
2016-04-01,12319.30328628002
2016-04-04,12196.003286280018
2016-04-05,12009.683286280018
2016-04-06,12012.423286280016
2016-04-07,11913.783286280017
2016-04-08,12206.963286280017
2016-04-11,12549.463286280017
2016-04-12,12875.523286280017
2016-04-13,13379.683286280018
2016-04-14,13382.423286280016
2016-04-15,13201.583286280018
2016-04-18,13355.023286280017
2016-04-19,13122.123286280019
2016-04-20,13292.003286280018
2016-04-21,12968.683286280018
2016-04-22,12944.023286280017
2016-04-25,12642.623286280019
2016-04-26,12478.223286280017
2016-04-27,12387.80328628002
2016-04-28,12382.323286280018
2016-04-29,11982.283286280017
2016-05-02,12237.103286280017
2016-05-03,12133.990815790017
2016-05-04,12133.990815790017
2016-05-05,12133.990815790017
2016-05-06,12133.990815790017
2016-05-09,12133.990815790017
2016-05-10,12133.990815790017
2016-05-11,12133.990815790017
2016-05-12,12133.990815790017
2016-05-13,12133.990815790017
2016-05-16,12133.990815790017
2016-05-17,12133.990815790017
2016-05-18,12133.990815790017
2016-05-19,12133.990815790017
2016-05-20,12133.990815790017
2016-05-23,12133.990815790017
2016-05-24,12133.990815790017
2016-05-25,12133.990815790017
2016-05-26,12133.990815790017
2016-05-27,12168.819010540019
2016-05-31,12386.119010540018
2016-06-01,12409.96901054002
2016-06-02,12497.41901054002
2016-06-03,12322.519010540018
2016-06-06,12258.91901054002
2016-06-07,12282.769010540018
2016-06-08,12243.01901054002
2016-06-09,12561.01901054002
2016-06-10,12248.319010540019
2016-06-13,12404.66901054002
2016-06-14,12428.51901054002
2016-06-15,12555.719010540019
2016-06-16,12606.069010540019
2016-06-17,12386.119010540018
2016-06-20,12608.71901054002
2016-06-21,12531.86901054002
2016-06-22,12521.269010540018
2016-06-23,12855.16901054002
2016-06-24,12123.769010540018
2016-06-27,11993.91901054002
2016-06-28,12168.819010540019
2016-06-29,12367.569010540019
2016-06-30,12462.969010540019
2016-07-01,12370.219010540019
2016-07-05,12553.069010540019
2016-07-06,12632.569010540019
2016-07-07,12961.16901054002
2016-07-08,13480.569010540019
2016-07-11,13790.61901054002
2016-07-12,13997.319010540019
2016-07-13,13992.01901054002
2016-07-14,14135.119010540018
2016-07-15,13970.819010540019
2016-07-18,14042.369010540018
2016-07-19,14188.11901054002
2016-07-20,14373.619010540018
2016-07-21,14108.619010540018
2016-07-22,14492.86901054002
2016-07-25,14760.51901054002
2016-07-26,15012.26901054002
2016-07-27,14861.21901054002
2016-07-28,14893.01901054002
2016-07-29,15136.819010540019
2016-08-01,15038.769010540018
2016-08-02,14855.91901054002
2016-08-03,14895.669010540018
2016-08-04,15171.269010540018
2016-08-05,15428.319010540019
2016-08-08,15571.41901054002
2016-08-09,15611.16901054002
2016-08-10,15510.469010540019
2016-08-11,15825.819010540019
2016-08-12,16710.91901054002
2016-08-15,16695.019010540018
2016-08-16,16594.31901054002
2016-08-17,16210.069010540019
2016-08-18,16461.81901054002
2016-08-19,16504.219010540015
2016-08-22,16573.119010540016
2016-08-23,16706.997010540013
2016-08-24,16449.947010540018
2016-08-25,16341.29701054002
2016-08-26,16473.797010540016
2016-08-29,16463.197010540018
2016-08-30,16367.79701054002
2016-08-31,16290.94701054002
2016-09-01,16770.59701054002
2016-09-02,16606.297010540016
2016-09-06,16762.647010540015
2016-09-07,16516.197010540018
2016-09-08,16635.447010540018
2016-09-09,15808.64701054002
2016-09-12,16134.59701054002
2016-09-13,15901.397010540019
2016-09-14,16041.84701054002
2016-09-15,16648.697010540018
2016-09-16,16688.44701054002
2016-09-19,16908.39701054002
2016-09-20,16754.69701054002
2016-09-21,17223.74701054002
2016-09-22,17266.14701054002
2016-09-23,17247.59701054002
2016-09-26,17085.94701054002
2016-09-27,17668.94701054002
2016-09-28,17732.54701054002
2016-09-29,17896.84701054002
2016-09-30,18193.64701054002
2016-10-03,18175.09701054002
2016-10-04,18135.34701054002
2016-10-05,18116.79701054002
2016-10-06,17880.94701054002
2016-10-07,17751.09701054002
2016-10-10,17817.34701054002
2016-10-11,17560.297010540016
2016-10-12,17639.79701054002
2016-10-13,17353.59701054002
2016-10-14,17523.197010540018
2016-10-17,17422.49701054002
2016-10-18,17687.49701054002
2016-10-19,17650.39701054002
2016-10-20,17984.29701054002
2016-10-21,17933.94701054002
2016-10-24,18773.997010540017
2016-10-25,19081.397010540022
2016-10-26,19158.247010540017
2016-10-27,18766.04701054002
2016-10-28,18734.24701054002
2016-10-31,18893.247010540017
2016-11-01,18334.09701054002
2016-11-02,18257.24701054002
2016-11-03,18045.247010540017
2016-11-04,17941.89701054002
2016-11-07,18922.39701054002
2016-11-08,18893.247010540017
2016-11-09,18575.247010540017
2016-11-10,17994.89701054002
2016-11-11,23347.89701054002
2016-11-14,22200.447010540018
2016-11-15,22876.197010540018
2016-11-16,24317.797010540016
2016-11-17,24519.197010540018
2016-11-18,24776.24701054002
2016-11-21,24675.54701054002
2016-11-22,24853.09701054002
2016-11-23,24974.997010540017
2016-11-25,25025.347010540016
2016-11-28,25012.09701054002
2016-11-29,24784.197010540018
2016-11-30,24505.947010540018
2016-12-01,23297.547010540016
2016-12-02,23512.197010540018
2016-12-05,24421.147010540015
2016-12-06,24821.297010540016
2016-12-07,25266.497010540017
2016-12-08,24845.14701054002
2016-12-09,24405.247010540017
2016-12-12,23814.29701054002
2016-12-13,24232.997010540017
2016-12-14,25632.197010540018
2016-12-15,26231.097010540016
2016-12-16,26681.597010540016
2016-12-19,27004.897010540015
2016-12-20,27942.997010540017
2016-12-21,28117.89701054002
2016-12-22,28457.09701054002
2016-12-23,29164.64701054002
2016-12-27,31162.747010540017
2016-12-28,29024.197010540018
2016-12-29,29601.89701054002
2016-12-30,28359.047010540016
2017-01-03,27105.59701054002
2017-01-04,27736.297010540016
2017-01-05,27731.86018576502
2017-01-06,27286.804638525027
2017-01-09,26975.284638525023
2017-01-10,26677.924638525026
2017-01-11,26139.844638525024
2017-01-12,26054.884638525025
2017-01-13,26161.084638525026
2017-01-17,26246.04463852503
2017-01-18,26401.804638525027
2017-01-19,25764.604638525027
2017-01-20,25856.644638525024
2017-01-23,25785.844638525024
2017-01-24,26543.404638525022
2017-01-25,30246.244638525026
2017-01-26,31117.084638525026
2017-01-27,31541.884638525025
2017-01-30,31825.084638525026
2017-01-31,32002.084638525026
2017-02-01,31740.124638525027
2017-02-02,32087.04463852503
2017-02-03,32067.261458265028
2017-02-06,32946.165498265036
2017-02-07,33455.76549826504
2017-02-08,33310.165498265036
2017-02-09,32685.765498265035
2017-02-10,31912.96549826504
2017-02-13,30445.765498265035
2017-02-14,30557.76549826504
2017-02-15,30545.642744265042
2017-02-16,30039.28155561505
2017-02-17,29767.951555615047
2017-02-21,29950.941555615045
2017-02-22,29900.46155561505
2017-02-23,29925.701555615047
2017-02-24,30152.861555615047
2017-02-27,30115.001555615047
2017-02-28,30430.501555615047
2017-03-01,31244.491555615044
2017-03-02,30891.131555615048
2017-03-03,30907.84959142505
2017-03-06,31282.448727745057
2017-03-07,30434.648727745058
2017-03-08,30307.39027708506
2017-03-09,30307.39027708506
2017-03-10,30142.28490700506
2017-03-13,30764.72490700506
2017-03-14,30621.08490700506
2017-03-15,31267.464907005062
2017-03-16,31171.70490700506
2017-03-17,30884.424907005065
2017-03-20,31375.194907005065
2017-03-21,30549.26490700506
2017-03-22,30754.45209141007
2017-03-23,30239.778963805074
2017-03-24,30385.168963805074
2017-03-27,30439.418963805074
2017-03-28,30350.448963805073
2017-03-29,30307.04896380508
2017-03-30,29979.37896380508
2017-03-31,29089.678963805072
2017-04-03,30142.12896380508
2017-04-04,29986.551682890073
2017-04-05,29701.076072975073
2017-04-06,30200.121972975074
2017-04-07,30587.84197297507
2017-04-10,30447.831972975073
2017-04-11,30903.761972975073
2017-04-12,30243.201972975072
2017-04-13,29988.311972975072
2017-04-17,30225.25197297507
2017-04-18,29762.10607297507
2017-04-19,29737.011972975073
2017-04-20,30315.00197297507
2017-04-21,29848.337872975073
2017-04-24,30323.295745327126
2017-04-25,30730.13366756198
2017-04-26,30639.683667561978
2017-04-27,30917.003367561978
2017-04-28,30669.89396756198
2017-05-01,31079.81336756198
2017-05-02,31061.72336756198
2017-05-03,31079.81336756198
2017-05-04,31200.47366756198
2017-05-05,31670.81366756198
2017-05-08,31254.743667561976
2017-05-09,31254.743667561976
2017-05-10,31200.47366756198
2017-05-11,31453.733667561977
2017-05-12,31453.733667561977
2017-05-15,31388.525793307133
2017-05-16,31440.13364779714
2017-05-17,29358.52364779714
2017-05-18,30583.67364779714
2017-05-19,31286.70364779714
2017-05-22,31950.803647797144
2017-05-23,31522.57364779714
2017-05-24,31875.23364779714
2017-05-25,31804.24364779714
2017-05-26,32624.063647797142
2017-05-30,33317.93364779714
2017-05-31,33198.853647797136
2017-06-01,33201.143647797144
2017-06-02,33036.26364779714
2017-06-05,34036.993647797135
2017-06-06,33883.56364779714
2017-06-07,34291.18364779714
2017-06-08,36768.963647797136
2017-06-09,34401.103647797136
2017-06-12,34485.83364779713
2017-06-13,34813.30364779713
2017-06-14,34886.58364779714
2017-06-15,35035.433647797145
2017-06-16,34863.683647797145
2017-06-19,36168.98364779714
2017-06-20,36116.31364779714
2017-06-21,36661.33364779714
2017-06-22,36409.433647797145
2017-06-23,35369.77364779714
2017-06-26,34985.05364779714
2017-06-27,33709.52364779714
2017-06-28,34893.45364779714
2017-06-29,33732.42364779714
2017-06-30,33246.94364779714
2017-07-03,32049.273647797145
2017-07-05,32901.153647797146
2017-07-06,32582.217546912143
2017-07-07,32582.217546912143
2017-07-10,32582.217546912143
2017-07-11,32582.217546912143
2017-07-12,32582.217546912143
2017-07-13,32582.217546912143
2017-07-14,32582.217546912143
2017-07-17,32582.217546912143
2017-07-18,32582.217546912143
2017-07-19,32293.699804737145
2017-07-20,32761.699804737145
2017-07-21,32878.699804737145
2017-07-24,32886.01214776214
2017-07-25,31862.795427642148
2017-07-26,32146.995427642145
2017-07-27,30729.915427642147
2017-07-28,30330.07542764215
2017-07-31,29873.395427642146
2017-08-01,30143.875427642146
2017-08-02,30996.47542764215
2017-08-03,30306.55542764215
2017-08-04,30406.51542764215
2017-08-07,30784.795427642148
2017-08-08,30155.635427642148
2017-08-09,30022.355427642153
2017-08-10,29230.51542764215
2017-08-11,30257.55542764215
2017-08-14,30396.71542764215
2017-08-15,30049.795427642148
2017-08-16,29785.19542764215
2017-08-17,29230.51542764215
2017-08-18,29150.15542764215
2017-08-21,29322.635427642148
2017-08-22,30590.755427642147
2017-08-23,30153.67542764215
2017-08-24,30708.355427642153
2017-08-25,30157.59542764215
2017-08-28,30183.07542764215
2017-08-29,30083.115427642148
2017-08-30,30749.51542764215
2017-08-31,31582.51542764215
2017-09-01,31915.71542764215
2017-09-05,31294.395427642146
2017-09-06,30904.355427642153
2017-09-07,31361.03542764215
2017-09-08,31247.355427642153
2017-09-11,31047.43542764215
2017-09-12,30853.395427642146
2017-09-13,30849.47542764215
2017-09-14,30179.15542764215
2017-09-15,30224.23542764215
2017-09-18,30143.875427642146
