trade_no,trade_id,symbol,entry_time,exit_time,entry_price,exit_price,quantity,corporate_action_cash,entry_cost,exit_proceeds,pnl_cash,pnl_pct,exit_reason,pnl_pct_display
1,1,AMZN,2015-10-21,2015-11-06,564.151935,654.6725,17.0,0.0,9600.173477894998,11118.3030675,1518.1295896050033,0.15813564130904423,Leader rotation,+15.81%
2,2,NFLX,2015-11-09,2015-12-03,113.41668,129.55519,101.0,0.0,11466.53976468,13071.989115810002,1605.4493511300025,0.14001166734494874,Leader rotation,+14.00%
3,3,ATVI,2015-12-04,2015-12-14,37.57878,37.25136500000001,348.0,0.0,13090.49285544,12950.511544980001,-139.98131045999799,-0.01069335677470895,Leader rotation,-1.07%
4,4,NVDA,2015-12-15,2016-01-08,32.956469999999996,30.654665000000005,393.0,0.0,12964.844602709996,12035.236061655001,-929.6085410549949,-0.07170225093640403,Supertrend down,-7.17%
5,5,NVDA,2016-03-03,2016-03-22,32.91645,33.7831,365.0,0.0,12026.518754249999,12318.500668499999,291.98191425000005,0.02427817394346299,Leader rotation,+2.43%
6,6,CTRP,2016-03-23,2016-05-03,44.89243499999999,44.207885,274.0,0.0,12312.827717189995,12100.84752951,-211.98018767999565,-0.017216206751926588,Supertrend down,-1.72%
7,7,NVDA,2016-05-27,2017-01-05,45.72285,104.47773500000001,265.0,67.628,12128.671805249998,27658.913175225003,15597.869369975006,1.2860327676789254,Supertrend down,+128.60%
8,8,STX,2017-01-06,2017-02-03,39.07953,45.287345,708.0,0.0,27695.975547239996,32031.376819740002,4335.401272500007,0.15653542389598352,Leader rotation,+15.65%
9,9,NVDA,2017-02-06,2017-02-15,114.05699999999999,108.84555000000002,280.0,0.0,31967.89595999999,30446.277246000005,-1521.6187139999856,-0.04759833790450019,Supertrend down,-4.76%
10,10,STX,2017-02-16,2017-03-03,48.324149999999996,48.995490000000004,631.0,0.0,30523.031188649995,30885.23803581,362.2068471600069,0.011866673559429941,Leader rotation,+1.19%
11,11,CSX,2017-03-06,2017-03-08,49.14455999999999,48.285845,628.0,0.0,30893.64646367999,30293.18714934,-600.4593143399907,-0.01943633669291578,Leader rotation,-1.94%
12,12,MU,2017-03-10,2017-03-22,25.29264,25.717135000000003,1197.0,0.0,30305.565370079996,30752.627184405006,447.06181432501035,0.014751805777772464,Leader rotation,+1.48%
13,13,INCY,2017-03-23,2017-04-04,141.20056499999998,137.940995,217.0,0.0,30671.163127604992,29903.262719084996,-767.9004085199958,-0.02503655975892427,Supertrend down,-2.50%
14,14,WDC,2017-04-05,2017-04-24,83.411685,84.51762005,359.0,0.0,29974.739709915,30311.483772352054,336.7440624370538,0.011234261437995663,Leader rotation,+1.12%
15,15,CSX,2017-04-25,2017-05-15,50.21519505,52.084044950000006,603.0,0.0,30310.04237776515,31375.272425745155,1065.230047980007,0.03514445920938192,Leader rotation,+3.51%
