,equity
2015-10-19,10000.0
2015-10-20,9747.700517999998
2015-10-21,9660.830517999999
2015-10-22,9799.210517999998
2015-10-23,10396.250517999999
2015-10-26,10559.110518
2015-10-27,10599.910517999999
2015-10-28,10703.440518
2015-10-29,10864.090517999997
2015-10-30,10853.040517999998
2015-11-02,10894.690518
2015-11-03,10843.010517999997
2015-11-04,11108.890518
2015-11-05,11045.966411225
2015-11-06,11100.286411224999
2015-11-09,10692.886411225
2015-11-10,10968.366411224999
2015-11-11,10983.886411225
2015-11-12,10601.706411225
2015-11-13,10090.516411225
2015-11-16,10837.416411224998
2015-11-17,11395.166411224998
2015-11-18,11737.576411224998
2015-11-19,11697.806411225
2015-11-20,12048.946411224999
2015-11-23,12164.376411225
2015-11-24,11997.536411224999
2015-11-25,12079.986411225
2015-11-27,12204.146411225
2015-11-30,11999.476411225
2015-12-01,12197.356411225
2015-12-02,11996.230570360003
2015-12-03,11759.11057036
2015-12-04,12155.350570360002
2015-12-07,12092.95057036
2015-12-08,12301.990570360002
2015-12-09,12061.750570360004
2015-12-10,11996.230570360003
2015-12-11,11634.310570360001
2015-12-14,11865.190570360002
2015-12-15,12099.190570360002
2015-12-16,12255.190570360002
2015-12-17,12149.11057036
2015-12-18,12024.310570360001
2015-12-21,12108.550570360003
2015-12-22,12255.190570360002
2015-12-23,12139.750570360004
2015-12-24,12164.710570360003
2015-12-28,12199.030570360002
2015-12-29,12370.630570360001
2015-12-30,12323.830570360002
2015-12-31,12099.190570360002
2016-01-04,11759.11057036
2016-01-05,11609.350570360002
2016-01-06,11500.150570360001
2016-01-07,11337.910570360003
2016-01-08,11425.603582000002
2016-01-11,11425.603582000002
2016-01-12,11425.603582000002
2016-01-13,11425.603582000002
2016-01-14,11425.603582000002
2016-01-15,11425.603582000002
2016-01-19,11425.603582000002
2016-01-20,11425.603582000002
2016-01-21,11425.603582000002
2016-01-22,11425.603582000002
2016-01-25,11425.603582000002
2016-01-26,11425.603582000002
2016-01-27,11425.603582000002
2016-01-28,11425.603582000002
2016-01-29,11425.603582000002
2016-02-01,11425.603582000002
2016-02-02,11425.603582000002
2016-02-03,11425.603582000002
2016-02-04,11425.603582000002
2016-02-05,11425.603582000002
2016-02-08,11425.603582000002
2016-02-09,11425.603582000002
2016-02-10,11425.603582000002
2016-02-11,11425.603582000002
2016-02-12,11425.603582000002
2016-02-16,11425.603582000002
2016-02-17,11425.603582000002
2016-02-18,11425.603582000002
2016-02-19,11425.603582000002
2016-02-22,11425.603582000002
2016-02-23,11425.603582000002
2016-02-24,11425.603582000002
2016-02-25,11425.603582000002
2016-02-26,11425.603582000002
2016-02-29,11425.603582000002
2016-03-01,11425.603582000002
2016-03-02,11480.62790302
2016-03-03,11379.70790302
2016-03-04,11344.907903020001
2016-03-07,11271.827903020003
2016-03-08,11066.507903020001
2016-03-09,11059.547903020002
2016-03-10,11042.14790302
2016-03-11,11230.06790302
2016-03-14,11257.907903020001
2016-03-15,11202.22790302
2016-03-16,11536.307903020002
2016-03-17,11438.867903020002
2016-03-18,11783.387903020002
2016-03-21,12152.363299379998
2016-03-22,12074.353299379998
2016-03-23,11939.853299379998
2016-03-24,11883.363299379998
2016-03-28,11665.473299379999
2016-03-29,11977.513299379998
2016-03-30,12114.70329938
2016-03-31,11910.263299379998
2016-04-01,12066.28329938
2016-04-04,11945.23329938
2016-04-05,11762.313299379999
2016-04-06,11765.00329938
2016-04-07,11668.16329938
2016-04-08,11955.99329938
2016-04-11,12292.24329938
2016-04-12,12612.353299379998
2016-04-13,13107.313299379999
2016-04-14,13110.00329938
2016-04-15,12932.46329938
2016-04-18,13083.103299379998
2016-04-19,12854.45329938
2016-04-20,13021.23329938
2016-04-21,12703.813299379999
2016-04-22,12679.603299379998
2016-04-25,12383.70329938
2016-04-26,12222.303299379999
2016-04-27,12133.53329938
2016-04-28,12128.15329938
2016-04-29,11735.41329938
2016-05-02,11645.8630864
2016-05-03,11645.8630864
2016-05-04,11645.8630864
2016-05-05,11645.8630864
2016-05-06,11645.8630864
2016-05-09,11645.8630864
2016-05-10,11645.8630864
2016-05-11,11645.8630864
2016-05-12,11645.8630864
2016-05-13,11645.8630864
2016-05-16,11645.8630864
2016-05-17,11645.8630864
2016-05-18,11645.8630864
2016-05-19,11645.8630864
2016-05-20,11645.8630864
2016-05-23,11645.8630864
2016-05-24,11645.8630864
2016-05-25,11645.8630864
2016-05-26,11672.797748275
2016-05-27,11736.547748275
2016-05-31,11945.647748275
2016-06-01,11968.597748275
2016-06-02,12052.747748275
2016-06-03,11884.447748274999
2016-06-06,11823.247748275
2016-06-07,11846.197748274999
2016-06-08,11807.947748274999
2016-06-09,12113.947748275
2016-06-10,11813.047748275
2016-06-13,11963.497748274998
2016-06-14,11986.447748275
2016-06-15,12108.847748274999
2016-06-16,12157.297748275
2016-06-17,11945.647748275
2016-06-20,12159.847748275
2016-06-21,12085.897748275
2016-06-22,12075.697748274999
2016-06-23,12396.997748275
2016-06-24,11693.197748274999
2016-06-27,11568.247748275
2016-06-28,11736.547748275
2016-06-29,11927.797748275
2016-06-30,12019.597748274999
2016-07-01,11930.347748274999
2016-07-05,12106.297748275
2016-07-06,12182.797748275
2016-07-07,12498.997748275
2016-07-08,12998.797748275
2016-07-11,13297.147748275
2016-07-12,13496.047748275
2016-07-13,13490.947748274999
2016-07-14,13628.647748275
2016-07-15,13470.547748275
2016-07-18,13539.397748275
2016-07-19,13679.647748275
2016-07-20,13858.147748275
2016-07-21,13603.147748275
2016-07-22,13972.897748275
2016-07-25,14230.447748274999
2016-07-26,14472.697748275
2016-07-27,14327.347748275
2016-07-28,14357.947748274999
2016-07-29,14592.547748275
2016-08-01,14498.197748274999
2016-08-02,14322.247748274998
2016-08-03,14360.497748274998
2016-08-04,14625.697748274999
2016-08-05,14873.047748275
2016-08-08,15010.747748275
2016-08-09,15048.997748275
2016-08-10,14952.097748274999
2016-08-11,15255.547748275
2016-08-12,16107.247748274998
2016-08-15,16091.947748274999
2016-08-16,15995.047748275
2016-08-17,15625.297748275
2016-08-18,15867.547748275
2016-08-19,15908.347748274999
2016-08-22,15974.647748275
2016-08-23,16103.473748274999
2016-08-24,15856.123748274998
2016-08-25,15751.573748275
2016-08-26,15879.073748275
2016-08-29,15868.873748275
2016-08-30,15777.073748275001
2016-08-31,15703.123748275
2016-09-01,16164.673748275
2016-09-02,16006.573748275
2016-09-06,16157.023748274998
2016-09-07,15919.873748274998
2016-09-08,16034.623748275
2016-09-09,15239.023748275
2016-09-12,15552.673748275
2016-09-13,15328.273748274998
2016-09-14,15463.423748275
2016-09-15,16047.373748274998
2016-09-16,16085.623748275
2016-09-19,16297.273748275
2016-09-20,16149.373748275
2016-09-21,16600.723748275
2016-09-22,16641.523748274998
2016-09-23,16623.673748275
2016-09-26,16468.123748275
2016-09-27,17029.123748275
2016-09-28,17090.323748275
2016-09-29,17248.423748275
2016-09-30,17534.023748274998
2016-10-03,17516.173748275
2016-10-04,17477.923748275
2016-10-05,17460.073748275
2016-10-06,17233.123748275
2016-10-07,17108.173748275
2016-10-10,17171.923748275
2016-10-11,16924.573748274997
2016-10-12,17001.073748275
2016-10-13,16725.673748275
2016-10-14,16888.873748274997
2016-10-17,16791.973748275
2016-10-18,17046.973748275
2016-10-19,17011.273748274998
2016-10-20,17332.573748275
2016-10-21,17284.123748275
2016-10-24,18092.473748275
2016-10-25,18388.273748275
2016-10-26,18462.223748275
2016-10-27,18084.823748275
2016-10-28,18054.223748275
2016-10-31,18207.223748275
2016-11-01,17669.173748275
2016-11-02,17595.223748275002
2016-11-03,17391.223748275
2016-11-04,17291.773748274998
2016-11-07,18235.273748274998
2016-11-08,18207.223748275
2016-11-09,17901.223748275
2016-11-10,17342.773748274998
2016-11-11,22493.773748274998
2016-11-14,21389.623748275
2016-11-15,22039.873748275
2016-11-16,23427.073748274997
2016-11-17,23620.873748275
2016-11-18,23868.223748275
2016-11-21,23771.323748275
2016-11-22,23942.173748275
2016-11-23,24059.473748275
2016-11-25,24107.923748275
2016-11-28,24095.173748275
2016-11-29,23875.873748275
2016-11-30,23608.123748275
2016-12-01,22445.323748275
2016-12-02,22651.873748275
2016-12-05,23526.523748274998
2016-12-06,23911.573748275
2016-12-07,24339.973748275
2016-12-08,23934.523748275
2016-12-09,23511.223748275
2016-12-12,22942.573748275
2016-12-13,23345.473748275002
2016-12-14,24691.873748275
2016-12-15,25268.173748275
2016-12-16,25701.673748275
2016-12-19,26012.773748274998
2016-12-20,26915.473748275002
2016-12-21,27083.773748274998
2016-12-22,27410.173748275
2016-12-23,28091.023748275
2016-12-27,30013.723748275
2016-12-28,27955.873748275
2016-12-29,28511.773748275
2016-12-30,27315.823748274997
2017-01-03,26109.673748275003
2017-01-04,25722.302737420003
2017-01-05,25676.312737420005
2017-01-06,25308.392737420007
2017-01-09,25019.312737420005
2017-01-10,24743.37273742001
2017-01-11,24244.052737420003
2017-01-12,24165.212737420006
2017-01-13,24263.762737420006
2017-01-17,24342.60273742001
2017-01-18,24487.142737420007
2017-01-19,23895.842737420007
2017-01-20,23981.252737420007
2017-01-23,23915.552737420003
2017-01-24,24618.542737420004
2017-01-25,28054.65273742001
2017-01-26,28862.762737420006
2017-01-27,29256.962737420006
2017-01-30,29519.762737420006
2017-01-31,29684.012737420006
2017-02-01,29440.922737420005
2017-02-02,29272.30282738501
2017-02-03,29016.772827385008
2017-02-06,29758.06282738501
2017-02-07,30218.522827385008
2017-02-08,30086.962827385007
2017-02-09,29522.772827385008
2017-02-10,28824.49282738501
2017-02-13,27498.772827385008
2017-02-14,27160.300868945014
2017-02-15,27330.400868945013
2017-02-16,27001.540868945012
2017-02-17,26757.730868945015
2017-02-21,26922.160868945015
2017-02-22,26876.800868945014
2017-02-23,26899.480868945015
2017-02-24,27103.600868945014
2017-02-27,27069.580868945013
2017-02-28,27353.080868945013
2017-03-01,28084.510868945013
2017-03-02,27367.49921093001
2017-03-03,27885.34661093001
2017-03-06,28059.989210930013
2017-03-07,27299.93921093001
2017-03-08,26855.000310930012
2017-03-09,26815.64661093001
2017-03-10,26939.450310930013
2017-03-13,27097.25921093001
2017-03-14,26956.340310930012
2017-03-15,27023.90031093001
2017-03-16,26826.96291093001
2017-03-17,26421.60291093001
2017-03-20,26421.60291093001
2017-03-21,25712.222910930013
2017-03-22,25307.29674295536
2017-03-23,24893.806742955363
2017-03-24,25013.73674295536
2017-03-27,25058.48674295536
2017-03-28,24985.09674295536
2017-03-29,24949.29674295536
2017-03-30,24679.006742955364
2017-03-31,23945.10674295536
2017-04-03,23738.99911205536
2017-04-04,23983.770312055363
2017-04-05,23900.25031205536
2017-04-06,24300.599112055363
2017-04-07,24611.63911205536
2017-04-10,24499.31911205536
2017-04-11,24865.07911205536
2017-04-12,24335.15911205536
2017-04-13,24130.67911205536
2017-04-17,24320.75911205536
2017-04-18,23949.210312055362
2017-04-19,23929.07911205536
2017-04-20,24392.75911205536
2017-04-21,24601.561855329164
2017-04-24,24291.850255329162
2017-04-25,24683.890255329163
2017-04-26,24611.290255329164
2017-04-27,24833.881855329164
2017-04-28,24635.538655329165
2017-05-01,24964.561855329164
2017-05-02,24950.041855329164
2017-05-03,24964.561855329164
2017-05-04,25061.410255329167
2017-05-05,25438.930255329167
2017-05-08,25104.970255329165
2017-05-09,25104.970255329165
2017-05-10,25061.410255329167
2017-05-11,25264.690255329162
2017-05-12,25152.681289861568
2017-05-15,26411.00128986157
2017-05-16,26901.00128986157
2017-05-17,25119.36128986157
2017-05-18,26167.961289861567
2017-05-19,26769.681289861568
2017-05-22,27338.08128986157
2017-05-23,26971.56128986157
2017-05-24,27273.401289861566
2017-05-25,27212.641289861567
