trade_no,trade_id,symbol,entry_time,exit_time,entry_price,exit_price,quantity,corporate_action_cash,entry_cost,exit_proceeds,pnl_cash,pnl_pct,exit_reason,pnl_pct_display
1,1,AMZN,2015-10-20,2015-11-05,575.1460000000001,643.5409500000001,17.0,0.0,9787.259482000001,10929.25595385,1141.9964718499996,0.11668194492546902,Leader rotation,+11.67%
2,2,NFLX,2015-11-05,2015-12-02,114.37562500000001,124.83958500000001,97.0,0.0,11105.530060625,12097.330305255002,991.8002446300015,0.089306880375432,Leader rotation,+8.93%
3,3,ATVI,2015-12-02,2016-01-08,38.782135000000004,36.587655,312.0,0.0,12112.12614612,11403.93301164,-708.1931344799996,-0.058469762115783586,Supertrend down,-5.85%
4,4,NVDA,2016-03-02,2016-03-21,32.749135,33.325695,348.0,0.0,11408.09567898,11585.74451814,177.64883915999962,0.01557217296900193,Leader rotation,+1.56%
5,5,CTRP,2016-03-21,2016-05-02,43.07562000000001,43.320420000000006,269.0,0.0,11598.929121780002,11641.539787020001,42.610665239999435,0.003673672353078361,Supertrend down,+0.37%
6,6,NVDA,2016-05-26,2017-01-04,45.498875000000005,102.83130000000001,255.0,65.076,11613.815338125001,26195.759518500003,14647.020180375002,1.2611721259501012,Supertrend down,+126.12%
7,7,STX,2017-01-04,2017-02-02,39.948515,44.046405,657.0,0.0,26272.420529354997,28909.549596915,2637.129067560003,0.10037632674969776,Leader rotation,+10.04%
8,8,NVDA,2017-02-02,2017-02-14,113.92315,107.396055,253.0,0.0,28851.379506949997,27144.030713085,-1707.348793864996,-0.05917737117054367,Supertrend down,-5.92%
9,9,STX,2017-02-14,2017-03-02,47.912075,49.22775,567.0,0.0,27193.312671524996,27884.22211575,690.9094442250025,0.025407329094865094,Leader rotation,+2.54%
10,10,CSX,2017-03-02,2017-03-22,49.480655000000006,45.388880549999996,563.0,0.0,27885.466373765,25528.38580990035,-2357.0805638646525,-0.084527206117744,Supertrend down,-8.45%
11,11,INCY,2017-03-22,2017-04-03,142.529625,134.2575,179.0,0.0,25538.315677874998,24008.060407499997,-1530.2552703750007,-0.05991997630841139,Supertrend down,-5.99%
12,12,WDC,2017-04-03,2017-04-21,83.0543,84.184425,288.0,0.0,23943.5580384,24220.8692856,277.311247200003,0.01158187295118207,Leader rotation,+1.16%
13,13,CSX,2017-04-21,2017-05-12,50.104165550000005,51.783813900000006,484.0,0.0,24274.6665423262,25038.302561672404,763.636019346206,0.03145814662437085,Leader rotation,+3.15%
14,14,NVDA,2017-05-12,2017-07-05,127.326465,141.11955,196.0,27.44,24980.94312714,27631.772368200003,2678.269241060003,0.10721249503787766,Supertrend down,+10.72%
15,15,NVDA,2017-07-18,2017-07-20,162.66979,165.01738500000002,170.0,0.0,27681.5181643,28024.902494550006,343.3843302500063,0.012404822893451684,Leader rotation,+1.24%
16,16,VRTX,2017-07-20,2017-10-26,160.81967,144.08316,174.0,0.0,28010.605202579995,25045.399370159997,-2965.205832419997,-0.10586011301701104,Supertrend down,-10.59%
17,17,NVDA,2017-10-26,2017-10-30,195.85129,200.74977,128.0,0.0,25094.034085119998,25670.274589440003,576.2405043200051,0.022963247055669544,Leader rotation,+2.30%
18,18,ALGN,2017-10-30,2017-12-05,235.638925,223.78239000000002,108.0,0.0,25474.452903899997,24144.329621880002,-1330.1232820199948,-0.05221400777625185,Supertrend down,-5.22%
19,19,DLTR,2017-12-19,2018-01-08,110.12236,110.15082000000001,221.0,0.0,24361.378601559998,24318.987888780004,-42.39071277999392,-0.0017400785675273367,Leader rotation,-0.17%
20,20,TTWO,2018-01-08,2018-01-22,117.14075000000001,117.122265,207.0,0.0,24272.38338525,24220.064546145,-52.318839104998915,-0.0021554883290444415,Leader rotation,-0.22%
21,21,ALGN,2018-01-22,2018-02-06,271.12302,231.43009500000002,89.0,0.0,24154.078728779998,20576.681176545004,-3577.397552234994,-0.1481073897458347,Supertrend down,-14.81%
22,22,NVDA,2018-02-16,2018-03-13,246.74970000000002,250.106805,83.0,12.45,20500.7053251,20738.105950185,249.8506250850005,0.01218741604851492,Leader rotation,+1.22%
23,23,MU,2018-03-13,2018-03-26,62.51193500000001,55.95057,334.0,0.0,20899.865276290002,18668.802889619998,-2231.0623866700043,-0.10675008461423185,Supertrend down,-10.68%
24,24,NFLX,2018-05-11,2018-07-18,331.463075,379.14318000000003,56.0,0.0,18580.494132199998,21210.78606192,2630.2919297200024,0.14156200104289507,Supertrend down,+14.16%
25,25,AMZN,2018-07-18,2018-09-04,1858.1640000000002,2015.35425,11.0,0.0,20460.243804,22146.72785325,1686.484049249997,0.0824273681880705,Leader rotation,+8.24%
26,26,ILMN,2018-09-04,2018-10-05,356.12799,332.163,64.0,0.0,22814.983551359997,21237.173568000002,-1577.8099833599954,-0.0691567442864075,Supertrend down,-6.92%
27,27,XLNX,2018-12-04,2018-12-20,94.43656000000001,84.28387500000001,226.0,0.0,21364.00522256,19029.107594250003,-2334.8976283099983,-0.10929119348109828,Supertrend down,-10.93%
28,28,REGN,2019-01-10,2019-01-25,401.5967,408.59032500000006,47.0,0.0,18893.919944899997,19184.541529725004,290.6215848250067,0.015381751678452238,Leader rotation,+1.54%
29,29,XLNX,2019-01-25,2019-04-26,106.50256,114.88464,182.0,65.52,19402.849385919995,20888.09547552,1550.7660896000052,0.07992465739209131,Supertrend down,+7.99%
30,30,MELI,2019-04-26,2019-08-06,493.891545,585.293085,42.0,0.0,20764.188334889997,24557.72726043,3793.538925540004,0.18269622989142964,Supertrend down,+18.27%
31,31,QCOM,2019-09-06,2019-10-09,79.39428,73.503495,311.0,192.82,24716.312701079994,22836.727358055,-1686.7653430249957,-0.06824502357713302,Supertrend down,-6.82%
32,32,ASML,2019-10-16,2019-10-25,261.69143,261.006525,88.0,0.0,23051.87468584,22945.605625800003,-106.2690600399983,-0.004609996431451879,Leader rotation,-0.46%
33,33,LRCX,2019-10-25,2019-11-08,266.45750000000004,269.80785000000003,86.0,0.0,22938.260345000002,23180.271624900004,242.01127990000168,0.010550550750582754,Leader rotation,+1.06%
34,34,QCOM,2019-11-08,2019-11-27,90.47489000000002,84.69162,256.0,0.0,23184.733411840003,21659.37366528,-1525.3597465600033,-0.06579155858574726,Supertrend down,-6.58%
35,35,AMD,2019-11-27,2019-12-17,39.67703,42.276195,545.0,0.0,21645.605331349998,23017.485748725,1371.8804173750032,0.06337916618058559,Leader rotation,+6.34%
36,36,TSLA,2019-12-17,2020-02-06,381.074445,696.06994275,60.0,0.0,22887.331166699998,41722.432368434995,18835.101201734997,0.8229487774065678,Supertrend down,+82.29%
