,equity
2015-10-19,10000.0
2015-10-20,10000.0
2015-10-21,9799.939643155
2015-10-22,9938.319643154999
2015-10-23,10535.359643155
2015-10-26,10698.219643155
2015-10-27,10739.019643155
2015-10-28,10842.549643155
2015-10-29,11003.199643154998
2015-10-30,10992.149643154999
2015-11-02,11033.799643155
2015-11-03,10982.119643154998
2015-11-04,11247.999643155
2015-11-05,11497.899643154999
2015-11-06,11414.533385654999
2015-11-09,10990.787037655
2015-11-10,11274.787037655
2015-11-11,11290.787037655
2015-11-12,10896.787037655
2015-11-13,10369.787037655
2015-11-16,11139.787037655
2015-11-17,11714.787037655
2015-11-18,12067.787037655
2015-11-19,12026.787037655
2015-11-20,12388.787037655
2015-11-23,12507.787037655
2015-11-24,12335.787037655
2015-11-25,12420.787037655
2015-11-27,12548.787037655
2015-11-30,12337.787037655
2015-12-01,12541.787037655
2015-12-02,12897.787037655
2015-12-03,12882.605328655001
2015-12-04,13251.727491455002
2015-12-07,13183.727491455
2015-12-08,13411.527491455001
2015-12-09,13149.727491455002
2015-12-10,13078.327491455002
2015-12-11,12683.927491455
2015-12-14,12618.630486355001
2015-12-15,12548.599841755004
2015-12-16,12624.599841755004
2015-12-17,12434.599841755004
2015-12-18,12233.199841755004
2015-12-21,12520.099841755004
2015-12-22,12533.399841755003
2015-12-23,12580.899841755003
2015-12-24,12624.599841755004
2015-12-28,12613.199841755004
2015-12-29,12818.399841755003
2015-12-30,12708.199841755004
2015-12-31,12544.799841755004
2016-01-04,12320.599841755002
2016-01-05,12518.199841755004
2016-01-06,12001.399841755003
2016-01-07,11526.399841755003
2016-01-08,11598.909042055004
2016-01-11,11598.909042055004
2016-01-12,11598.909042055004
2016-01-13,11598.909042055004
2016-01-14,11598.909042055004
2016-01-15,11598.909042055004
2016-01-19,11598.909042055004
2016-01-20,11598.909042055004
2016-01-21,11598.909042055004
2016-01-22,11598.909042055004
2016-01-25,11598.909042055004
2016-01-26,11598.909042055004
2016-01-27,11598.909042055004
2016-01-28,11598.909042055004
2016-01-29,11598.909042055004
2016-02-01,11598.909042055004
2016-02-02,11598.909042055004
2016-02-03,11598.909042055004
2016-02-04,11598.909042055004
2016-02-05,11598.909042055004
2016-02-08,11598.909042055004
2016-02-09,11598.909042055004
2016-02-10,11598.909042055004
2016-02-11,11598.909042055004
2016-02-12,11598.909042055004
2016-02-16,11598.909042055004
2016-02-17,11598.909042055004
2016-02-18,11598.909042055004
2016-02-19,11598.909042055004
2016-02-22,11598.909042055004
2016-02-23,11598.909042055004
2016-02-24,11598.909042055004
2016-02-25,11598.909042055004
2016-02-26,11598.909042055004
2016-02-29,11598.909042055004
2016-03-01,11598.909042055004
2016-03-02,11598.909042055004
2016-03-03,11436.498209555004
2016-03-04,11401.498209555002
2016-03-07,11327.998209555006
2016-03-08,11121.498209555004
2016-03-09,11114.498209555004
2016-03-10,11096.998209555004
2016-03-11,11285.998209555004
2016-03-14,11313.998209555002
2016-03-15,11257.998209555004
2016-03-16,11593.998209555004
2016-03-17,11495.998209555004
2016-03-18,11842.498209555004
2016-03-21,11877.498209555002
2016-03-22,11762.168274555004
2016-03-23,11556.273810455004
2016-03-24,11501.673810455004
2016-03-28,11291.073810455006
2016-03-29,11592.673810455006
2016-03-30,11725.273810455006
2016-03-31,11527.673810455006
2016-04-01,11678.473810455007
2016-04-04,11561.473810455005
2016-04-05,11384.673810455006
2016-04-06,11387.273810455004
2016-04-07,11293.673810455006
2016-04-08,11571.873810455005
2016-04-11,11896.873810455005
2016-04-12,12206.273810455004
2016-04-13,12684.673810455006
2016-04-14,12687.273810455004
2016-04-15,12515.673810455006
2016-04-18,12661.273810455004
2016-04-19,12440.273810455006
2016-04-20,12601.473810455005
2016-04-21,12294.673810455006
2016-04-22,12271.273810455004
2016-04-25,11985.273810455006
2016-04-26,11829.273810455006
2016-04-27,11743.473810455007
2016-04-28,11738.273810455006
2016-04-29,11358.673810455006
2016-05-02,11600.473810455005
2016-05-03,11445.188359355005
2016-05-04,11445.188359355005
2016-05-05,11445.188359355005
2016-05-06,11445.188359355005
2016-05-09,11445.188359355005
2016-05-10,11445.188359355005
2016-05-11,11445.188359355005
2016-05-12,11445.188359355005
2016-05-13,11445.188359355005
2016-05-16,11445.188359355005
2016-05-17,11445.188359355005
2016-05-18,11445.188359355005
2016-05-19,11445.188359355005
2016-05-20,11445.188359355005
2016-05-23,11445.188359355005
2016-05-24,11445.188359355005
2016-05-25,11445.188359355005
2016-05-26,11445.188359355005
2016-05-27,11421.057624555004
2016-05-31,11624.417624555004
2016-06-01,11646.737624555006
2016-06-02,11728.577624555004
2016-06-03,11564.897624555004
2016-06-06,11505.377624555005
2016-06-07,11527.697624555005
2016-06-08,11490.497624555004
2016-06-09,11788.097624555005
2016-06-10,11495.457624555005
2016-06-13,11641.777624555005
2016-06-14,11664.097624555005
2016-06-15,11783.137624555005
2016-06-16,11830.257624555004
2016-06-17,11624.417624555004
2016-06-20,11832.737624555006
2016-06-21,11760.817624555006
2016-06-22,11750.897624555004
2016-06-23,12063.377624555005
2016-06-24,11378.897624555004
2016-06-27,11257.377624555005
2016-06-28,11421.057624555004
2016-06-29,11607.057624555004
2016-06-30,11696.337624555004
2016-07-01,11609.537624555003
2016-07-05,11780.657624555006
2016-07-06,11855.057624555004
2016-07-07,12162.577624555004
2016-07-08,12648.657624555006
2016-07-11,12938.817624555006
2016-07-12,13132.257624555004
2016-07-13,13127.297624555005
2016-07-14,13261.217624555005
2016-07-15,13107.457624555005
2016-07-18,13174.417624555004
2016-07-19,13310.817624555006
2016-07-20,13484.417624555004
2016-07-21,13236.417624555004
2016-07-22,13596.017624555005
2016-07-25,13846.497624555004
2016-07-26,14082.097624555005
2016-07-27,13940.737624555006
2016-07-28,13970.497624555004
2016-07-29,14198.657624555006
2016-08-01,14106.897624555004
2016-08-02,13935.777624555005
2016-08-03,13972.977624555004
2016-08-04,14230.897624555004
2016-08-05,14471.457624555005
2016-08-08,14605.377624555005
2016-08-09,14642.577624555004
2016-08-10,14548.337624555004
2016-08-11,14843.457624555005
2016-08-12,15671.777624555005
2016-08-15,15656.897624555004
2016-08-16,15562.657624555006
2016-08-17,15203.057624555004
2016-08-18,15438.657624555006
2016-08-19,15478.337624555004
2016-08-22,15542.817624555006
2016-08-23,15668.107224555004
2016-08-24,15427.547224555005
2016-08-25,15325.867224555006
2016-08-26,15449.867224555006
2016-08-29,15439.947224555006
2016-08-30,15350.667224555005
2016-08-31,15278.747224555007
2016-09-01,15727.627224555004
2016-09-02,15573.867224555006
2016-09-06,15720.187224555006
2016-09-07,15489.547224555005
2016-09-08,15601.147224555005
2016-09-09,14827.387224555006
2016-09-12,15132.427224555006
2016-09-13,14914.187224555006
2016-09-14,15045.627224555004
2016-09-15,15613.547224555005
2016-09-16,15650.747224555007
2016-09-19,15856.587224555005
2016-09-20,15712.747224555007
2016-09-21,16151.707224555006
2016-09-22,16191.387224555005
2016-09-23,16174.027224555006
2016-09-26,16022.747224555007
2016-09-27,16568.347224555007
2016-09-28,16627.867224555004
2016-09-29,16781.627224555006
2016-09-30,17059.387224555005
2016-10-03,17042.027224555008
2016-10-04,17004.827224555003
2016-10-05,16987.467224555006
2016-10-06,16766.747224555005
2016-10-07,16645.227224555005
2016-10-10,16707.227224555005
2016-10-11,16466.667224555003
2016-10-12,16541.06722455501
2016-10-13,16273.227224555005
2016-10-14,16431.947224555002
2016-10-17,16337.707224555006
2016-10-18,16585.707224555004
2016-10-19,16550.987224555007
2016-10-20,16863.467224555006
2016-10-21,16816.347224555007
2016-10-24,17602.507224555004
2016-10-25,17890.187224555008
2016-10-26,17962.107224555006
2016-10-27,17595.06722455501
2016-10-28,17565.307224555007
2016-10-31,17714.107224555006
2016-11-01,17190.827224555003
2016-11-02,17118.907224555005
2016-11-03,16920.507224555004
2016-11-04,16823.787224555002
2016-11-07,17741.387224555005
2016-11-08,17714.107224555006
2016-11-09,17416.507224555004
2016-11-10,16873.387224555005
2016-11-11,21882.987224555007
2016-11-14,20809.147224555007
2016-11-15,21441.547224555005
2016-11-16,22790.667224555003
2016-11-17,22979.147224555007
2016-11-18,23219.707224555004
2016-11-21,23125.467224555006
2016-11-22,23291.627224555006
2016-11-23,23405.707224555008
2016-11-25,23452.827224555007
2016-11-28,23440.427224555006
2016-11-29,23227.147224555007
2016-11-30,22966.74722455501
2016-12-01,21835.867224555008
2016-12-02,22036.74722455501
2016-12-05,22887.387224555005
2016-12-06,23261.867224555008
2016-12-07,23678.507224555004
2016-12-08,23284.187224555008
2016-12-09,22872.507224555004
2016-12-12,22319.467224555006
2016-12-13,22711.307224555007
2016-12-14,24020.74722455501
2016-12-15,24581.227224555005
2016-12-16,25002.827224555007
2016-12-19,25305.387224555
2016-12-20,26183.307224555003
2016-12-21,26346.987224555003
2016-12-22,26664.427224555002
2016-12-23,27326.587224555
2016-12-27,29196.507224555
2016-12-28,27195.147224555003
2016-12-29,27735.787224555006
2016-12-30,26572.667224555003
2017-01-03,25399.627224555003
2017-01-04,25989.867224555004
2017-01-05,25856.227443475007
2017-01-06,25314.79057016501
2017-01-09,25025.710570165007
2017-01-10,24749.770570165012
2017-01-11,24250.450570165005
2017-01-12,24171.61057016501
2017-01-13,24270.160570165008
2017-01-17,24349.00057016501
2017-01-18,24493.54057016501
2017-01-19,23902.24057016501
2017-01-20,23987.65057016501
2017-01-23,23921.950570165005
2017-01-24,24624.940570165007
2017-01-25,28061.05057016501
2017-01-26,28869.160570165008
2017-01-27,29263.36057016501
2017-01-30,29526.160570165008
2017-01-31,29690.410570165008
2017-02-01,29447.320570165008
2017-02-02,29769.25057016501
2017-02-03,29602.197942850013
2017-02-06,30262.269803850017
2017-02-07,30730.009803850015
2017-02-08,30596.369803850015
2017-02-09,30023.259803850015
2017-02-10,29313.939803850015
2017-02-13,27967.259803850015
2017-02-14,28070.059803850014
2017-02-15,27919.13628400002
2017-02-16,27319.756500900025
2017-02-17,27072.936500900025
2017-02-21,27239.396500900024
2017-02-22,27193.476500900026
2017-02-23,27216.436500900025
2017-02-24,27423.076500900024
2017-02-27,27388.636500900022
2017-02-28,27675.636500900022
2017-03-01,28416.09650090002
2017-03-02,28094.656500900026
2017-03-03,27969.317637040025
2017-03-06,28167.434796640027
2017-03-07,27404.59851606003
2017-03-08,27153.507164385035
2017-03-09,27153.277164385036
2017-03-10,27153.307164385034
2017-03-13,27153.827164385035
2017-03-14,27153.707164385036
2017-03-15,27154.247164385033
2017-03-16,27154.167164385035
2017-03-17,27153.927164385033
2017-03-20,27154.337164385033
2017-03-21,27153.647164385035
2017-03-22,27153.690060900033
2017-03-23,26565.768908835038
2017-03-24,26693.738908835036
2017-03-27,26741.488908835036
2017-03-28,26663.178908835034
2017-03-29,26624.978908835037
2017-03-30,26336.56890883504
2017-03-31,25553.468908835035
2017-04-03,26479.81890883504
2017-04-04,26211.21447334004
2017-04-05,25832.925850420033
2017-04-06,26266.637050420035
2017-04-07,26603.597050420034
2017-04-10,26481.917050420034
2017-04-11,26878.15705042003
2017-04-12,26304.07705042003
2017-04-13,26082.557050420033
2017-04-17,26288.47705042003
2017-04-18,25885.965850420034
2017-04-19,25864.15705042003
2017-04-20,26366.47705042003
2017-04-21,25960.908250420034
2017-04-24,26790.79705042003
2017-04-25,27137.11705042003
2017-04-26,26223.336052420036
2017-04-27,26289.632374698438
2017-04-28,26079.81477469844
2017-05-01,26427.87237469844
2017-05-02,26412.51237469844
2017-05-03,26427.87237469844
2017-05-04,26530.32357469844
2017-05-05,26929.68357469844
2017-05-08,26576.403574698437
2017-05-09,26576.403574698437
2017-05-10,26530.32357469844
2017-05-11,26745.363574698436
2017-05-12,26745.363574698436
2017-05-15,26556.727903940042
2017-05-16,26468.48442657005
2017-05-17,24714.114426570046
2017-05-18,25746.664426570045
2017-05-19,26339.174426570047
2017-05-22,26898.874426570048
2017-05-23,26537.964426570048
2017-05-24,26835.184426570046
2017-05-25,26775.354426570044
2017-05-26,27466.294426570046
2017-05-30,28051.084426570047
2017-05-31,27950.724426570046
2017-06-01,27952.65442657005
2017-06-02,27813.694426570044
2017-06-05,28657.104426570044
2017-06-06,28527.794426570046
2017-06-07,28871.334426570047
2017-06-08,30959.594426570045
2017-06-09,28963.974426570046
2017-06-12,29035.384426570046
2017-06-13,29311.374426570048
2017-06-14,29373.134426570046
2017-06-15,29498.584426570047
2017-06-16,29353.834426570047
2017-06-19,30453.934426570046
2017-06-20,30409.544426570046
2017-06-21,30868.884426570046
2017-06-22,30656.584426570047
2017-06-23,29780.36442657005
2017-06-26,29456.124426570048
2017-06-27,28381.11442657005
2017-06-28,29378.924426570047
2017-06-29,28400.41442657005
2017-06-30,27991.25442657005
2017-07-03,26981.86442657005
2017-07-05,27699.82442657005
2017-07-06,27294.25910657505
2017-07-07,27294.25910657505
2017-07-10,27294.25910657505
2017-07-11,27294.25910657505
2017-07-12,27294.25910657505
2017-07-13,27294.25910657505
2017-07-14,27294.25910657505
2017-07-17,27294.25910657505
2017-07-18,27294.25910657505
2017-07-19,26917.39335673005
2017-07-20,27308.59335673005
2017-07-21,27406.39335673005
2017-07-24,27088.54335673005
2017-07-25,26958.14335673005
2017-07-26,27269.473356730046
2017-07-27,26369.71335673005
2017-07-28,26801.663356730045
2017-07-31,26495.223356730046
2017-08-01,26817.96335673005
2017-08-02,26801.663356730045
2017-08-03,27142.333356730047
2017-08-04,27261.32335673005
2017-08-07,28099.14335673005
2017-08-08,27764.99335673005
2017-08-09,27281.88276922505
2017-08-10,26488.19838143505
2017-08-11,27420.91838143505
2017-08-14,27547.298381435052
2017-08-15,27232.23838143505
2017-08-16,26991.93838143505
2017-08-17,26488.19838143505
2017-08-18,26415.21838143505
2017-08-21,26571.85838143505
2017-08-22,27723.51838143505
2017-08-23,27326.57838143505
2017-08-24,27830.318381435052
2017-08-25,27330.138381435052
2017-08-28,27353.27838143505
2017-08-29,27262.49838143505
2017-08-30,27867.69838143505
2017-08-31,28624.19838143505
2017-09-01,28926.798381435052
2017-09-05,28362.53838143505
2017-09-06,28008.318381435052
2017-09-07,28423.05838143505
2017-09-08,28319.818381435052
2017-09-11,28138.25838143505
2017-09-12,27962.03838143505
2017-09-13,27958.478381435052
2017-09-14,27349.71838143505
2017-09-15,27390.658381435052
2017-09-18,27317.67838143505
2017-09-19,27282.07838143505
2017-09-20,27232.23838143505
