,equity
2015-10-19,10000.0
2015-10-20,9796.369138000002
2015-10-21,9709.499138000003
2015-10-22,9847.879138000002
2015-10-23,10444.919138000003
2015-10-26,10607.779138000004
2015-10-27,10648.579138000003
2015-10-28,10752.109138000003
2015-10-29,10912.759138000001
2015-10-30,10901.709138000002
2015-11-02,10943.359138000003
2015-11-03,10891.679138000001
2015-11-04,11157.559138000004
2015-11-05,11407.459138000002
2015-11-06,11379.712205500004
2015-11-09,11012.702537500005
2015-11-10,11296.702537500005
2015-11-11,11312.702537500005
2015-11-12,10918.702537500005
2015-11-13,10391.702537500005
2015-11-16,11161.702537500005
2015-11-17,11736.702537500005
2015-11-18,12089.702537500005
2015-11-19,12048.702537500005
2015-11-20,12410.702537500005
2015-11-23,12529.702537500005
2015-11-24,12357.702537500005
2015-11-25,12442.702537500005
2015-11-27,12570.702537500005
2015-11-30,12359.702537500005
2015-12-01,12563.702537500005
2015-12-02,12919.702537500005
2015-12-03,12969.266018500006
2015-12-04,13407.398598180005
2015-12-07,13338.598598180004
2015-12-08,13569.078598180005
2015-12-09,13304.198598180006
2015-12-10,13231.958598180006
2015-12-11,12832.918598180006
2015-12-14,12830.893688620008
2015-12-15,12823.356218260009
2015-12-16,12900.956218260011
2015-12-17,12706.956218260011
2015-12-18,12501.31621826001
2015-12-21,12794.256218260012
2015-12-22,12807.83621826001
2015-12-23,12856.33621826001
2015-12-24,12900.956218260011
2015-12-28,12889.31621826001
2015-12-29,13098.83621826001
2015-12-30,12986.31621826001
2015-12-31,12819.47621826001
2016-01-04,12590.55621826001
2016-01-05,12792.31621826001
2016-01-06,12264.636218260011
2016-01-07,11779.636218260011
2016-01-08,11913.112228240012
2016-01-11,11913.112228240012
2016-01-12,11913.112228240012
2016-01-13,11913.112228240012
2016-01-14,11913.112228240012
2016-01-15,11913.112228240012
2016-01-19,11913.112228240012
2016-01-20,11913.112228240012
2016-01-21,11913.112228240012
2016-01-22,11913.112228240012
2016-01-25,11913.112228240012
2016-01-26,11913.112228240012
2016-01-27,11913.112228240012
2016-01-28,11913.112228240012
2016-01-29,11913.112228240012
2016-02-01,11913.112228240012
2016-02-02,11913.112228240012
2016-02-03,11913.112228240012
2016-02-04,11913.112228240012
2016-02-05,11913.112228240012
2016-02-08,11913.112228240012
2016-02-09,11913.112228240012
2016-02-10,11913.112228240012
2016-02-11,11913.112228240012
2016-02-12,11913.112228240012
2016-02-16,11913.112228240012
2016-02-17,11913.112228240012
2016-02-18,11913.112228240012
2016-02-19,11913.112228240012
2016-02-22,11913.112228240012
2016-02-23,11913.112228240012
2016-02-24,11913.112228240012
2016-02-25,11913.112228240012
2016-02-26,11913.112228240012
2016-02-29,11913.112228240012
2016-03-01,11913.112228240012
2016-03-02,12030.324209215014
2016-03-03,11924.474209215015
2016-03-04,11887.974209215014
2016-03-07,11811.324209215016
2016-03-08,11595.974209215015
2016-03-09,11588.674209215016
2016-03-10,11570.424209215016
2016-03-11,11767.524209215015
2016-03-14,11796.724209215014
2016-03-15,11738.324209215016
2016-03-16,12088.724209215015
2016-03-17,11986.524209215015
2016-03-18,12347.874209215017
2016-03-21,12220.033599790015
2016-03-22,12137.839550470017
2016-03-23,12231.839550470017
2016-03-24,12186.719550470018
2016-03-28,12197.999550470018
2016-03-29,12348.399550470018
2016-03-30,12652.95955047002
2016-03-31,12603.986210350016
2016-04-01,12847.824100075019
2016-04-04,12723.574100075017
2016-04-05,12591.087297775019
2016-04-06,12535.08937722502
2016-04-07,12432.12937722502
2016-04-08,12738.14937722502
2016-04-11,13095.64937722502
2016-04-12,13435.98937722502
2016-04-13,13962.22937722502
2016-04-14,13965.08937722502
2016-04-15,13776.32937722502
2016-04-18,13936.48937722502
2016-04-19,13693.389377225021
2016-04-20,13870.709377225021
2016-04-21,13533.22937722502
2016-04-22,13507.48937722502
2016-04-25,13192.889377225021
2016-04-26,13021.28937722502
2016-04-27,12926.909377225022
2016-04-28,12921.18937722502
2016-04-29,12503.62937722502
2016-05-02,12769.60937722502
2016-05-03,12661.98103211502
2016-05-04,12661.98103211502
2016-05-05,12661.98103211502
2016-05-06,12661.98103211502
2016-05-09,12661.98103211502
2016-05-10,12661.98103211502
2016-05-11,12661.98103211502
2016-05-12,12661.98103211502
2016-05-13,12661.98103211502
2016-05-16,12661.98103211502
2016-05-17,12661.98103211502
2016-05-18,12661.98103211502
2016-05-19,12661.98103211502
2016-05-20,12661.98103211502
2016-05-23,12661.98103211502
2016-05-24,12661.98103211502
2016-05-25,12661.98103211502
2016-05-26,12754.637594740023
2016-05-27,12824.387594740023
2016-05-31,13053.167594740022
2016-06-01,13078.277594740022
2016-06-02,13170.347594740022
2016-06-03,12986.20759474002
2016-06-06,12919.247594740023
2016-06-07,12944.357594740022
2016-06-08,12902.507594740022
2016-06-09,13237.307594740023
2016-06-10,12908.087594740024
2016-06-13,13072.697594740022
2016-06-14,13097.807594740023
