trade_no,symbol,entry_time,exit_time,entry_price,exit_price,quantity,entry_value,exit_value,pnl_value,pnl_pct,exit_reason,pnl_pct_display
1,BIDU,2010-10-20,2010-12-09,101.91093061065673,108.34580152511597,98,9997.258471044202,10607.270660911905,610.0121898677025,0.0610179472336867,Leader rotation,+6.10%
2,BKNG,2010-12-09,2011-02-17,16.806800079345702,18.302443931579592,630,10598.87233403778,11519.009137218249,920.1368031804686,0.08681459443807937,Leader rotation,+8.68%
3,NVDA,2011-02-17,2011-03-02,0.5682840186059475,0.5402297352254392,19707,11210.372327822073,10635.661084695641,-574.7112431264322,-0.051266026347769444,Supertrend down,-5.13%
4,NFLX,2011-04-21,2011-06-23,3.4894579092264175,3.500249093413353,3132,10939.911153868836,10951.817380410052,11.906226541215801,0.0010883293633519031,Supertrend down,+0.11%
5,BIIB,2011-06-30,2011-08-09,109.21458366394042,86.86654866027833,100,10932.379824760434,8677.968211161806,-2254.411613598628,-0.20621416834536577,Supertrend down,-20.62%
6,DLTR,2011-09-16,2011-10-24,37.77887832069397,40.09494417762757,230,8697.83115577337,9212.615323693486,514.7841679201156,0.05918534847373036,Leader rotation,+5.92%
7,BIIB,2011-10-24,2011-12-02,108.68431225204468,117.00146755981446,84,9138.611711400925,9818.29515174939,679.6834403484645,0.0743749118370487,Leader rotation,+7.44%
8,DLTR,2011-12-02,2012-01-18,41.350666831970216,41.864055822372436,239,9892.692182213721,9995.503832205466,102.81164999174507,0.010392686651727878,Leader rotation,+1.04%
9,FAST,2012-01-18,2012-01-26,11.355675381660461,11.774109733104707,856,9730.178584828054,10068.559293606091,338.38070877803693,0.03477641297413214,Leader rotation,+3.48%
10,MNST,2012-01-26,2012-02-15,9.032013902664184,9.186237675189972,1133,10243.505023470238,10397.599278704247,154.09425523400932,0.015043118042207704,Leader rotation,+1.50%
11,STX,2012-02-15,2012-04-17,26.623305610656736,28.88554961872101,394,10500.071993009351,11369.525643226303,869.4536502169522,0.08280454179702867,Supertrend down,+8.28%
12,MNST,2012-06-20,2012-07-05,12.714687181949614,12.450438612937928,893,11365.569869134486,11107.123439672216,-258.4464294622703,-0.02273941671540236,Supertrend down,-2.27%
13,AAPL,2012-07-05,2012-07-20,21.459294536590576,21.882981563568116,517,11105.549730692743,11302.18796689635,196.63823620360745,0.01770630369248205,Leader rotation,+1.77%
14,STX,2012-07-20,2012-08-10,27.093539923667905,32.61368606758118,416,11282.183520854092,13553.726110709656,2271.542589855564,0.20133891508295565,Leader rotation,+20.13%
15,EXPE,2012-08-10,2012-08-23,55.947958168029785,51.474250000000005,242,13552.94528253987,12444.311731500002,-1108.6335510398676,-0.08180019382710191,Supertrend down,-8.18%
16,STX,2012-08-23,2012-09-13,34.767375,30.094945610046388,355,12354.760543125,10673.0219858749,-1681.738557250099,-0.13612069221251955,Supertrend down,-13.61%
17,VRTX,2012-09-13,2012-09-21,56.007989542007444,58.16090362739563,192,10764.287526057495,11155.726602963501,391.43907690600645,0.036364606199754235,Leader rotation,+3.64%
18,EXPE,2012-09-21,2012-10-18,59.009489542007444,54.17290076255799,189,11163.946316962845,10228.439565879336,-935.5067510835088,-0.08379713808387546,Supertrend down,-8.38%
19,BBBY,2012-11-26,2013-02-05,14.647320343494414,13.373310114383699,698,10234.053429358859,9325.235889379983,-908.8175399788761,-0.08880328271217663,Supertrend down,-8.88%
20,SIRI,2013-02-05,2013-02-14,31.315649236679075,31.784099237442017,292,9153.3137466874,9271.676020355737,118.36227366833737,0.01293108451692393,Leader rotation,+1.29%
21,GILD,2013-02-14,2013-05-01,41.20059030532837,50.424775762557985,229,9444.370115100115,11535.726375976154,2091.3562608760385,0.22143946450513163,Leader rotation,+22.14%
22,BBBY,2013-05-01,2013-07-10,20.810399236679075,27.466259542465213,554,11540.490138297326,15201.091478739201,3660.6013404418754,0.3171963492515888,Leader rotation,+31.72%
23,NFLX,2013-07-10,2013-09-04,3.509611012816429,4.124222886800767,4275,15018.590666870023,17613.421788232205,2594.831121362182,0.17277460841157355,Leader rotation,+17.28%
24,MU,2013-09-04,2013-10-02,14.977485267162322,17.64117461872101,1187,17796.053287133796,20919.13419814942,3123.0809110156224,0.1754928950046215,Leader rotation,+17.55%
25,TSLA,2013-10-02,2013-10-16,12.57895345544815,12.320503498554231,1620,20398.282502423826,19939.256451990197,-459.0260504336293,-0.022503171547853862,Supertrend down,-2.25%
26,META,2013-10-16,2013-11-11,50.0650209159851,47.016480915069586,408,20446.95506225564,19163.541489135045,-1283.413573120597,-0.06276795587474704,Supertrend down,-6.28%
