,equity
2010-10-19,10000.0
2010-10-20,9790.889126992523
2010-10-21,10030.479245400726
2010-10-22,10496.078801369964
2010-10-25,10735.668919778167
2010-10-26,11014.059186196624
2010-10-27,11038.309186196624
2010-10-28,10970.408742165862
2010-10-29,10760.889126992523
2010-11-01,10483.469067788421
2010-11-02,10716.269215798675
2010-11-03,10822.969067788421
2010-11-04,10765.73868296176
2010-11-05,10643.519215798675
2010-11-08,10798.719067788421
2010-11-09,10681.349156594573
2010-11-10,10923.849156594573
2010-11-11,11157.618771767913
2010-11-12,10821.998860574065
2010-11-15,10643.519215798675
2010-11-16,10139.118771767913
2010-11-17,10461.158742165862
2010-11-18,10579.498860574065
2010-11-19,10623.148564553558
2010-11-22,10650.309186196624
2010-11-23,10401.98868296176
2010-11-24,10662.918919778167
2010-11-26,10698.809186196624
2010-11-29,10505.77865335971
2010-11-30,10279.769215798675
2010-12-01,10450.48868296176
2010-12-02,10407.809186196624
2010-12-03,10685.229245400726
2010-12-06,10782.229245400726
2010-12-07,10728.878949380218
2010-12-08,10572.708890176116
2010-12-09,10420.942053090926
2010-12-10,10541.826784383651
2010-12-13,10341.93920160472
2010-12-14,10046.998491536971
2010-12-15,10012.89001108348
2010-12-16,10048.001858007308
2010-12-17,10057.030960332748
2010-12-20,10174.655647527572
2010-12-21,10216.539919149276
2010-12-22,10446.52251650035
2010-12-23,10371.784271489974
2010-12-27,10247.638300191757
2010-12-28,10161.363134633895
2010-12-29,10183.935890447494
2010-12-30,10148.070621740218
2010-12-31,10029.69370866954
2011-01-03,10442.009161245223
2011-01-04,10276.230058919784
2011-01-05,10883.667402517196
2011-01-06,10976.964937459823
2011-01-07,11058.976692449447
2011-01-10,11058.224466573593
2011-01-11,10823.726122152206
2011-01-12,10899.718874227401
2011-01-13,11031.890581380721
2011-01-14,10993.768635045883
2011-01-18,11067.00242830455
2011-01-19,10844.29214502513
2011-01-20,10648.416832219955
2011-01-21,10683.02759386241
2011-01-24,10637.883278142806
2011-01-25,10764.788208257552
2011-01-26,10610.296081792709
2011-01-27,10972.450386297103
2011-01-28,10675.754083883163
2011-01-31,10756.261387121078
2011-02-01,10992.264183294174
2011-02-02,10973.704893361923
2011-02-03,10943.608682882186
2011-02-04,10879.403991948959
2011-02-07,10973.956033956405
2011-02-08,11113.148914586898
2011-02-09,11322.817825567123
2011-02-10,11431.163465749618
2011-02-11,11430.160099279281
2011-02-14,11470.789863836166
2011-02-15,11475.555555593368
2011-02-16,11496.622663747665
2011-02-17,12869.368267507782
2011-02-18,12844.928958149185
2011-02-22,11662.094120056858
2011-02-23,11124.440967471828
2011-02-24,11388.380148024788
2011-02-25,11618.10406240963
2011-02-28,11393.267543764343
2011-03-01,10899.604448826542
2011-03-02,10853.260285274891
2011-03-03,10853.260285274891
2011-03-04,10853.260285274891
2011-03-07,10853.260285274891
2011-03-08,10853.260285274891
2011-03-09,10853.260285274891
2011-03-10,10853.260285274891
2011-03-11,10853.260285274891
2011-03-14,10853.260285274891
2011-03-15,10853.260285274891
2011-03-16,10853.260285274891
2011-03-17,10853.260285274891
2011-03-18,10853.260285274891
2011-03-21,10853.260285274891
2011-03-22,10853.260285274891
2011-03-23,10853.260285274891
2011-03-24,10853.260285274891
2011-03-25,10853.260285274891
2011-03-28,10853.260285274891
2011-03-29,10853.260285274891
2011-03-30,10853.260285274891
2011-03-31,10853.260285274891
2011-04-01,10853.260285274891
2011-04-04,10853.260285274891
2011-04-05,10853.260285274891
2011-04-06,10853.260285274891
2011-04-07,10853.260285274891
2011-04-08,10853.260285274891
2011-04-11,10853.260285274891
2011-04-12,10853.260285274891
2011-04-13,10853.260285274891
2011-04-14,10853.260285274891
2011-04-15,10853.260285274891
2011-04-18,10853.260285274891
2011-04-19,10853.260285274891
2011-04-20,10853.260285274891
2011-04-21,11178.42266928605
2011-04-25,11154.081422204294
2011-04-26,10146.788840646066
2011-04-27,10458.800714368143
2011-04-28,10388.433053368844
2011-04-29,10313.19492709092
2011-05-02,10513.238541478433
2011-05-03,10249.908423299112
2011-05-04,10159.180681103982
2011-05-05,10208.748781556405
2011-05-06,10171.572521561899
2011-05-09,10478.71762310914
2011-05-10,10532.710061902322
2011-05-11,10667.252787465372
2011-05-12,10892.963473195352
2011-05-13,10926.155612820901
2011-05-16,10508.8119872754
2011-05-17,10502.172525281228
2011-05-18,10750.013027543344
2011-05-19,10758.420747632303
2011-05-20,10898.716590279855
2011-05-23,10984.135126466073
2011-05-24,10973.954716557779
2011-05-25,11499.28543555192
2011-05-26,11688.706944817819
2011-05-27,11722.341518277444
2011-05-31,12000.718818539895
2011-06-01,11844.049969548501
2011-06-02,12040.55263602189
2011-06-03,12129.065993184366
2011-06-06,11637.36984764985
2011-06-07,11686.051603192605
2011-06-08,11622.762883538522
2011-06-09,11636.483502740182
2011-06-10,11461.666741723337
2011-06-13,11399.706800812997
2011-06-14,11572.754565114297
2011-06-15,11395.282462472238
2011-06-16,11049.192842835702
2011-06-17,10888.536918992319
2011-06-20,10886.767922276773
2011-06-21,11241.708434457101
2011-06-22,11020.867475384988
2011-06-23,10832.556126344192
2011-06-24,10832.556126344192
2011-06-27,10832.556126344192
2011-06-28,10832.556126344192
2011-06-29,10832.556126344192
2011-06-30,10580.921151576737
2011-07-01,10735.761331020096
2011-07-05,10677.941689906815
2011-07-06,10675.981271205643
2011-07-07,10541.721002040604
2011-07-08,10626.981271205643
2011-07-11,10434.901360927322
2011-07-12,10299.661630092362
2011-07-13,10423.141091762283
