,equity
2010-10-19,10000.0
2010-10-20,10000.0
2010-10-21,9966.311617108002
2010-10-22,10431.91117307724
2010-10-25,10671.501291485443
2010-10-26,10949.8915579039
2010-10-27,10974.1415579039
2010-10-28,10906.241113873139
2010-10-29,10696.721498699799
2010-11-01,10419.301439495697
2010-11-02,10652.101587505951
2010-11-03,10758.801439495697
2010-11-04,10701.571054669037
2010-11-05,10579.351587505951
2010-11-08,10734.551439495697
2010-11-09,10617.18152830185
2010-11-10,10859.68152830185
2010-11-11,11093.45114347519
2010-11-12,10757.831232281342
2010-11-15,10579.351587505951
2010-11-16,10074.95114347519
2010-11-17,10396.991113873139
2010-11-18,10515.331232281342
2010-11-19,10558.980936260834
2010-11-22,10586.1415579039
2010-11-23,10337.821054669037
2010-11-24,10598.751291485443
2010-11-26,10634.6415579039
2010-11-29,10441.611025066986
2010-11-30,10215.601587505951
2010-12-01,10386.321054669037
2010-12-02,10343.6415579039
2010-12-03,10621.061617108002
2010-12-06,10718.061617108002
2010-12-07,10664.711321087494
2010-12-08,10508.541261883393
2010-12-09,10508.541261883393
2010-12-10,10451.743523516174
2010-12-13,10253.449940599914
2010-12-14,9960.861229815002
2010-12-15,9927.024746813293
2010-12-16,9961.856594957824
2010-12-17,9970.813694872375
2010-12-20,10087.500386156555
2010-12-21,10129.050652422424
2010-12-22,10357.199257769103
2010-12-23,10283.057011522766
2010-12-27,10159.901039995666
2010-12-28,10074.313874163146
2010-12-29,10096.706623949523
2010-12-30,10061.127362169738
2010-12-31,9943.694443621154
2011-01-03,10352.721894182678
2011-01-04,10188.264794268127
2011-01-05,10790.858139910217
2011-01-06,10883.411675371643
2011-01-07,10964.769429125305
2011-01-10,10964.0232018609
2011-01-11,10731.394860186096
2011-01-12,10806.781609453674
2011-01-13,10937.899315752502
2011-01-14,10900.081372179504
2011-01-18,10972.731163897033
2011-01-19,10751.796879686828
2011-01-20,10557.483570971008
2011-01-21,10591.818329729553
2011-01-24,10547.034016527648
2011-01-25,10672.926945604797
2011-01-26,10519.66681376886
2011-01-27,10878.933125414367
2011-01-28,10584.602822222228
2011-01-31,10664.468121447082
2011-02-01,10898.588917650695
2011-02-02,10880.177628435607
2011-02-03,10850.321419634338
2011-02-04,10786.62872783136
2011-02-07,10880.426766314025
2011-02-08,11018.50965587091
2011-02-09,11226.506565966125
2011-02-10,11333.988205828186
2011-02-11,11332.992840685363
2011-02-14,11373.298603929992
2011-02-15,11378.026291765686
2011-02-16,11398.925400652404
2011-02-17,11330.007931627746
2011-02-18,11195.13737331298
2011-02-22,10138.142464801342
2011-02-23,9657.689381643802
2011-02-24,9893.548489793808
2011-02-25,10098.832439884216
2011-02-28,9897.915923222572
2011-03-01,9456.772864982158
2011-03-02,9063.675739869148
2011-03-03,9199.256533448106
2011-03-04,9199.256533448106
2011-03-07,9199.256533448106
2011-03-08,9199.256533448106
2011-03-09,9199.256533448106
2011-03-10,9199.256533448106
2011-03-11,9199.256533448106
2011-03-14,9199.256533448106
2011-03-15,9199.256533448106
2011-03-16,9199.256533448106
2011-03-17,9199.256533448106
2011-03-18,9199.256533448106
2011-03-21,9199.256533448106
2011-03-22,9199.256533448106
2011-03-23,9199.256533448106
2011-03-24,9199.256533448106
2011-03-25,9199.256533448106
2011-03-28,9199.256533448106
2011-03-29,9199.256533448106
2011-03-30,9199.256533448106
2011-03-31,9199.256533448106
2011-04-01,9199.256533448106
2011-04-04,9199.256533448106
2011-04-05,9199.256533448106
2011-04-06,9199.256533448106
2011-04-07,9199.256533448106
2011-04-08,9199.256533448106
2011-04-11,9199.256533448106
2011-04-12,9199.256533448106
2011-04-13,9199.256533448106
2011-04-14,9199.256533448106
2011-04-15,9199.256533448106
2011-04-18,9199.256533448106
2011-04-19,9199.256533448106
2011-04-20,9199.256533448106
2011-04-21,9199.256533448106
2011-04-25,9017.22198154109
2011-04-26,8201.763687626295
2011-04-27,8454.354320064955
2011-04-28,8397.387859836988
2011-04-29,8336.478492275648
2011-05-02,8498.424710766249
2011-05-03,8285.244615093641
2011-05-04,8211.795558468275
2011-05-05,8251.923639789991
2011-05-06,8221.827429310255
2011-05-09,8470.478144184523
2011-05-10,8514.187968746595
2011-05-11,8623.107644573622
2011-05-12,8805.83275748866
2011-05-13,8832.703605190687
2011-05-16,8494.841173664503
2011-05-17,8489.466166988783
2011-05-18,8690.106573597364
2011-05-19,8696.913081661634
2011-05-20,8810.490219608717
2011-05-23,8879.641184345655
2011-05-24,8871.399587170057
2011-05-25,9296.683461681776
2011-05-26,9450.03050662654
2011-05-27,9477.259528652601
2011-05-31,9702.621139065199
2011-06-01,9575.789159313612
2011-06-02,9734.868787304335
2011-06-03,9806.525178448133
2011-06-06,9408.470325962477
2011-06-07,9447.880862728529
2011-06-08,9396.645191685133
2011-06-09,9407.752781406813
2011-06-10,9266.229076878004
2011-06-13,9216.069124714308
2011-06-14,9356.16072990077
2011-06-15,9212.487381473951
2011-06-16,8932.308954731398
2011-06-17,8802.249220386915
2011-06-20,8800.817121044569
2011-06-21,9088.160828129225
2011-06-22,8909.378024593763
2011-06-23,9162.327429310255
2011-06-24,9134.635637128891
2011-06-27,9134.635637128891
2011-06-28,9134.635637128891
2011-06-29,9134.635637128891
2011-06-30,9134.635637128891
2011-07-01,9158.698444191543
2011-07-05,9109.728748146621
2011-07-06,9108.068393532363
2011-07-07,8994.358165566055
2011-07-08,9066.568393532363
2011-07-11,8903.888469521133
2011-07-12,8789.348697487441
2011-07-13,8893.928241554824
2011-07-14,8717.968646828262
2011-07-15,8785.198444191543
2011-07-18,8764.448444191543
2011-07-19,9051.628368202773
2011-07-20,8815.908672157851
2011-07-21,8919.658672157851
2011-07-22,8914.678241554824
2011-07-25,8784.368266884414
2011-07-26,8868.198444191543
2011-07-27,8603.428241554824
2011-07-28,8631.648570839492
2011-07-29,8608.408672157851
2011-08-01,8693.898570839492
2011-08-02,8425.808292214004
2011-08-03,8351.938342873184
2011-08-04,7834.848697487441
2011-08-05,7887.138469521133
2011-08-08,7457.198444191543
2011-08-09,7575.888469521133
2011-08-10,7275.348598191543
2011-08-11,7275.348598191543
2011-08-12,7275.348598191543
2011-08-15,7275.348598191543
2011-08-16,7275.348598191543
2011-08-17,7275.348598191543
2011-08-18,7275.348598191543
2011-08-19,7275.348598191543
2011-08-22,7275.348598191543
2011-08-23,7275.348598191543
2011-08-24,7275.348598191543
2011-08-25,7275.348598191543
2011-08-26,7275.348598191543
2011-08-29,7275.348598191543
2011-08-30,7275.348598191543
2011-08-31,7275.348598191543
2011-09-01,7275.348598191543
2011-09-02,7275.348598191543
2011-09-06,7275.348598191543
2011-09-07,7275.348598191543
2011-09-08,7275.348598191543
2011-09-09,7275.348598191543
2011-09-12,7275.348598191543
2011-09-13,7275.348598191543
2011-09-14,7275.348598191543
2011-09-15,7275.348598191543
2011-09-16,7275.348598191543
2011-09-19,7337.6314314073625
