trade_no,symbol,entry_time,exit_time,entry_price,exit_price,quantity,entry_value,exit_value,pnl_value,pnl_pct,exit_reason,entry_delay_bars,exit_delay_bars,entry_price_penalty,exit_price_penalty,pnl_pct_display
1,BIDU,2010-10-21,2010-12-10,102.67306715011595,107.049625,97,9989.165376101932,10352.662184125,363.4968080230683,0.036389107031173706,Leader rotation,1,1,0.005,0.005,+3.64%
2,BKNG,2010-12-10,2011-02-18,16.68092602729797,18.101569317817688,619,10356.469690530135,11171.256793505961,814.7871029758262,0.07867421305938449,Leader rotation,1,1,0.005,0.005,+7.87%
3,NVDA,2011-02-18,2011-03-03,0.6426502250432968,0.5273001017868519,17342,11178.274723308956,9117.005050092024,-2061.2696732169316,-0.18439962554496614,Supertrend down,1,1,0.005,0.005,-18.44%
4,NFLX,2011-04-25,2011-06-24,3.662365716576576,3.647564630866051,2481,9113.588330854964,9022.459025631137,-91.12930522382703,-0.009999278211338503,Supertrend down,1,1,0.005,0.005,-1.00%
5,BIIB,2011-07-01,2011-08-10,108.04777346420288,85.93775000000001,82,8886.497176336828,7025.754813500001,-1860.7423628368279,-0.20938985585812775,Supertrend down,1,1,0.005,0.005,-20.94%
6,DLTR,2011-09-19,2011-10-25,37.76388046073913,40.46525454521179,189,7158.785527300934,7624.989309717894,466.20378241696017,0.06512330627018126,Leader rotation,1,1,0.005,0.005,+6.51%
7,BIIB,2011-10-25,2011-12-05,110.17148907852172,114.11341060638428,68,7514.136241111494,7736.432785470429,222.29654435893463,0.029583778790528426,Leader rotation,1,1,0.005,0.005,+2.96%
8,DLTR,2011-12-05,2012-01-20,42.08679611778259,42.70559810638428,186,7851.628510141284,7919.411524044113,67.78301390282923,0.008632987897387201,Leader rotation,1,1,0.005,0.005,+0.86%
9,FAST,2012-01-20,2012-01-27,11.476616403579712,11.589177462100983,688,7919.599821919829,7949.4340316437,29.834209723871027,0.0037671360163042955,Leader rotation,1,1,0.005,0.005,+0.38%
10,MNST,2012-01-27,2012-02-15,8.94610748720169,9.131092676639557,881,7905.165258313363,8020.359170175091,115.19391186172834,0.014571980230341897,Leader rotation,1,1,0.005,0.005,+1.46%
11,STX,2012-02-15,2012-04-18,26.782965614318847,28.414100378990174,300,8058.99435334854,8498.657423355962,439.663070007422,0.054555574893130565,Supertrend down,1,1,0.005,0.005,+5.46%
12,MNST,2012-06-21,2012-07-06,12.710417256832121,12.162095959663391,667,8503.281855237945,8087.781651080195,-415.50020415775,-0.04886351072813211,Supertrend down,1,1,0.005,0.005,-4.89%
13,AAPL,2012-07-06,2012-08-02,21.82271718978882,21.390055682182314,369,8076.740390961169,7869.251755085099,-207.48863587607048,-0.025689650258942986,Supertrend down,1,1,0.005,0.005,-2.57%
14,EXPE,2012-08-02,2012-08-24,56.414324232101436,51.68187045478821,139,7865.115841466885,7162.228653235915,-702.8871882309704,-0.08936768413825147,Supertrend down,1,1,0.005,0.005,-8.94%
15,STX,2012-08-24,2012-09-14,33.79827184295654,30.510384090423585,203,6881.6323316725375,6175.02714644492,-706.6051852276178,-0.10267988046607568,Supertrend down,1,1,0.005,0.005,-10.27%
16,VRTX,2012-09-14,2012-09-24,56.68607969284057,58.6165,113,6424.743586306857,6603.7935065,179.0499201931434,0.027868804067878283,Leader rotation,1,1,0.005,0.005,+2.79%
17,EXPE,2012-09-24,2012-10-19,59.14193831062317,53.79802651596069,112,6643.768782062163,6007.302832878235,-636.4659491839284,-0.09579893130874062,Supertrend down,1,1,0.005,0.005,-9.58%
18,BBBY,2012-11-27,2013-02-06,14.845875,13.293030113697053,404,6015.7267004999985,5354.273013435809,-661.4536870641896,-0.10995407869995366,Supertrend down,1,1,0.005,0.005,-11.00%
19,SIRI,2013-02-06,2013-03-05,32.208,31.792,165,5330.262959999999,5229.94296,-100.3199999999988,-0.01882083506064003,Supertrend down,1,1,0.005,0.005,-1.88%
20,GILD,2013-03-05,2013-05-02,44.638273464202875,52.407125,117,5238.3460292976715,6113.238724125001,874.8926948273293,0.16701697252035674,Leader rotation,1,1,0.005,0.005,+16.70%
21,BBBY,2013-05-02,2013-07-11,21.841050767898558,27.857740909576417,279,6111.934123736428,7748.992784630505,1637.0586608940775,0.26784625418922037,Leader rotation,1,1,0.005,0.005,+26.78%
22,NFLX,2013-07-11,2013-09-05,3.565885501742363,4.212439772605896,2143,7664.617708124584,9000.176657396352,1335.5589492717681,0.17424991044968352,Leader rotation,1,1,0.005,0.005,+17.42%
23,MU,2013-09-05,2013-10-03,15.047174808025359,17.823390530586245,603,9100.666748467009,10715.261976473676,1614.5952280066667,0.17741504799949337,Leader rotation,1,1,0.005,0.005,+17.74%
24,TSLA,2013-10-03,2013-10-17,11.745855076789855,12.156466060638428,818,9636.933781172544,9914.157269889427,277.22348871688337,0.028766773230141762,Supertrend down,1,1,0.005,0.005,+2.88%
25,META,2013-10-17,2013-11-12,51.452278924942014,45.701,213,10992.213417245686,9705.110061,-1287.1033562456869,-0.11709228227195356,Supertrend down,1,1,0.005,0.005,-11.71%
26,NFLX,2013-11-12,2013-11-18,4.833787530183792,4.9675,2002,9706.274363334234,9915.100195,208.8258316657666,0.021514519768224716,Leader rotation,1,1,0.005,0.005,+2.15%
27,MU,2013-11-18,2013-12-20,19.70726992321014,21.658299242019655,501,9902.962258222864,10818.255496491092,915.2932382682284,0.09242620686635661,Leader rotation,1,1,0.005,0.005,+9.24%
28,META,2013-12-20,2014-03-04,55.287045307159424,68.21371363830566,195,10813.316756400774,13261.769136991195,2448.452380590421,0.22642935888667992,Leader rotation,1,1,0.005,0.005,+22.64%
29,ILMN,2014-03-04,2014-03-21,171.76098502349853,153.55760119628906,77,13265.272634349814,11788.463486237915,-1476.809148111899,-0.11132897067548919,Supertrend down,1,1,0.005,0.005,-11.13%
30,META,2014-03-21,2014-04-01,67.9689437713623,60.06700909042359,173,11793.903154263015,10360.417794925352,-1433.4853593376629,-0.12154461000635874,Supertrend down,1,1,0.005,0.005,-12.15%
31,ILMN,2014-05-28,2014-06-27,155.8704301071167,165.6864237136841,66,10318.31073223091,10902.49805320784,584.187320976931,0.05661656603848231,Leader rotation,1,1,0.005,0.005,+5.66%
32,TSLA,2014-06-27,2014-07-16,15.747698907852172,14.69187810611725,691,10914.304925161829,10121.631508013037,-792.6734171487915,-0.07262701771519708,Supertrend down,1,1,0.005,0.005,-7.26%
33,ILMN,2014-07-16,2014-07-25,169.28389785003662,165.65742338562012,59,10017.713223071616,9744.466615812333,-273.24660725928334,-0.027276345526639156,Supertrend down,1,1,0.005,0.005,-2.73%
34,VRTX,2014-07-25,2014-08-08,96.63406715011597,84.64619696807861,102,9886.244873859763,8608.010354471788,-1278.2345193879755,-0.12929424019910307,Supertrend down,1,1,0.005,0.005,-12.93%
35,TSLA,2014-08-20,2014-09-09,17.08835764503479,18.743370226860048,494,8466.973622677127,9231.447217392657,764.4735947155295,0.09028888346457542,Leader rotation,1,1,0.005,0.005,+9.03%
36,AVGO,2014-09-09,2014-10-10,8.895447299480438,7.724462594747544,1046,9332.551788882307,8055.5485104836125,-1277.0032783986944,-0.13683323782033163,Supertrend down,1,1,0.005,0.005,-13.68%
37,MNST,2014-10-23,2014-11-04,16.602218344688414,16.80670959663391,486,8092.884149865124,8143.556681372189,50.67253150706529,0.006261368699798986,Leader rotation,1,1,0.005,0.005,+0.63%
38,GILD,2014-11-04,2014-11-25,110.3325327644348,100.29382196807862,72,7967.774186116422,7199.491716156555,-768.2824699598668,-0.09642372537346411,Supertrend down,1,1,0.005,0.005,-9.64%
39,VRTX,2014-11-25,2015-02-09,114.91210315704345,107.58611590957642,64,7376.437725856932,6864.854883958253,-511.58284189867936,-0.06935364479597073,Supertrend down,1,1,0.005,0.005,-6.94%
40,MNST,2015-02-17,2015-04-24,19.633459513664246,23.307509090423586,343,6754.479443026396,7970.492191161244,1216.0127481348472,0.18003056466332268,Leader rotation,1,1,0.005,0.005,+18.00%
41,EA,2015-04-24,2015-07-20,60.28935153579712,73.99588333511353,133,8042.539205523799,9811.92812611939,1769.3889205955911,0.2200037668924677,Leader rotation,1,1,0.005,0.005,+22.00%
42,NFLX,2015-07-20,2015-08-31,11.544555268764496,11.449094166755676,834,9657.043571432036,9519.89890146901,-137.14466996302508,-0.014201517156734567,Supertrend down,1,1,0.005,0.005,-1.42%
43,AMZN,2015-08-31,2015-10-07,25.98984350681305,26.913418674468996,372,9697.226449888058,9981.756371661759,284.52992177370106,0.029341371292508578,Supertrend down,1,1,0.005,0.005,+2.93%
