,equity
2010-10-19,10000.0
2010-10-20,10000.0
2010-10-21,10030.74271561228
2010-10-22,10496.342271581518
2010-10-25,10735.93238998972
2010-10-26,11014.322656408178
2010-10-27,11038.572656408178
2010-10-28,10970.672212377416
2010-10-29,10761.152597204076
2010-11-01,10483.732537999975
2010-11-02,10716.532686010229
2010-11-03,10823.232537999975
2010-11-04,10766.002153173315
2010-11-05,10643.782686010229
2010-11-08,10798.982537999975
2010-11-09,10681.612626806127
2010-11-10,10924.112626806127
2010-11-11,11157.882241979467
2010-11-12,10822.26233078562
2010-11-15,10643.782686010229
2010-11-16,10139.382241979467
2010-11-17,10461.422212377416
2010-11-18,10579.76233078562
2010-11-19,10623.412034765111
2010-11-22,10650.572656408178
2010-11-23,10402.252153173315
2010-11-24,10663.18238998972
2010-11-26,10699.072656408178
2010-11-29,10506.042123571264
2010-11-30,10280.032686010229
2010-12-01,10450.752153173315
2010-12-02,10408.072656408178
2010-12-03,10685.49271561228
2010-12-06,10782.49271561228
2010-12-07,10729.142419591772
2010-12-08,10572.97236038767
2010-12-09,10589.215595178035
2010-12-10,10716.278446045031
2010-12-13,10514.478063430895
2010-12-14,10216.714954223742
2010-12-15,10182.280076828112
2010-12-16,10217.727922287097
2010-12-17,10226.843427505602
2010-12-20,10345.5937097932
2010-12-21,10387.878787841906
2010-12-22,10620.062175598254
2010-12-23,10544.608732071032
2010-12-27,10419.274761047473
2010-12-28,10332.173995819201
2010-12-29,10354.962758865466
2010-12-30,10318.754281845202
2010-12-31,10199.24457534801
2011-01-03,10615.505630340685
2011-01-04,10448.14012512218
2011-01-05,11061.390266265978
2011-01-06,11155.580600586047
2011-01-07,11238.377157058825
2011-01-10,11237.61773284923
2011-01-11,11000.875385131945
2011-01-12,11077.595340576281
2011-01-13,11211.031848754992
2011-01-14,11172.545099105944
2011-01-18,11246.479694213976
2011-01-19,11021.6382120515
2011-01-20,10823.888494339099
2011-01-21,10858.830459442248
2011-01-24,10813.254140701403
2011-01-25,10941.373472061267
2011-01-26,10785.402952041735
2011-01-27,11151.022847976794
2011-01-28,10851.487346496691
2011-01-31,10932.76505455028
2011-02-01,11171.026250686755
2011-02-02,11152.289359893908
2011-02-03,11121.905147400012
2011-02-04,11057.086057510485
2011-02-07,11152.542903747668
2011-02-08,11293.067773666491
2011-02-09,11504.743085708727
2011-02-10,11614.125526275744
2011-02-11,11613.11255821239
2011-02-14,11654.131124343981
2011-02-15,11658.942420806994
2011-02-16,11680.211128082385
2011-02-17,11656.499914876491
2011-02-18,11680.049516094672
2011-02-22,10577.2561332116
2011-02-23,10075.98552478646
2011-02-24,10322.064159286963
2011-02-25,10536.242846382605
2011-02-28,10326.62082899903
2011-03-01,9866.363507402884
2011-03-02,9837.918987314255
2011-03-03,9837.918987314255
2011-03-04,9837.918987314255
2011-03-07,9837.918987314255
2011-03-08,9837.918987314255
2011-03-09,9837.918987314255
2011-03-10,9837.918987314255
2011-03-11,9837.918987314255
2011-03-14,9837.918987314255
2011-03-15,9837.918987314255
2011-03-16,9837.918987314255
2011-03-17,9837.918987314255
2011-03-18,9837.918987314255
2011-03-21,9837.918987314255
2011-03-22,9837.918987314255
2011-03-23,9837.918987314255
2011-03-24,9837.918987314255
2011-03-25,9837.918987314255
2011-03-28,9837.918987314255
2011-03-29,9837.918987314255
2011-03-30,9837.918987314255
2011-03-31,9837.918987314255
2011-04-01,9837.918987314255
2011-04-04,9837.918987314255
2011-04-05,9837.918987314255
2011-04-06,9837.918987314255
2011-04-07,9837.918987314255
2011-04-08,9837.918987314255
2011-04-11,9837.918987314255
2011-04-12,9837.918987314255
2011-04-13,9837.918987314255
2011-04-14,9837.918987314255
2011-04-15,9837.918987314255
2011-04-18,9837.918987314255
2011-04-19,9837.918987314255
2011-04-20,9837.918987314255
2011-04-21,9837.918987314255
2011-04-25,9705.97007809401
2011-04-26,8828.409497840408
2011-04-27,9100.23649821997
2011-04-28,9038.93168316603
2011-04-29,8973.383683545593
2011-05-02,9147.6631268096
2011-05-03,8918.248023850922
2011-05-04,8839.205358846191
2011-05-05,8882.389446361069
2011-05-06,8850.001219851974
2011-05-09,9117.588253123764
2011-05-10,9164.626856191162
2011-05-11,9281.841451509003
2011-05-12,9478.48223291159
2011-05-13,9507.399464948181
2011-05-16,9143.806680781845
2011-05-17,9138.022333486084
2011-05-18,9353.94277106047
2011-05-19,9361.26763759375
2011-05-20,9483.494390113357
2011-05-23,9557.911636455063
2011-05-24,9549.042389733795
2011-05-25,10006.714310510162
2011-05-26,10171.739698989395
2011-05-27,10201.042382581238
2011-05-31,10443.566699368957
2011-06-01,10307.075665338043
2011-06-02,10478.270209176544
2011-06-03,10555.383685929779
2011-06-06,10127.014448745254
2011-06-07,10169.426346166138
2011-06-08,10114.288755996231
2011-06-09,10126.24225865126
2011-06-10,9973.940632445816
2011-06-13,9919.960683925156
2011-06-14,10070.721147401337
2011-06-15,9916.106168372635
2011-06-16,9614.590389354233
2011-06-17,9474.625786883835
2011-06-20,9473.084624154571
2011-06-21,9782.31136475325
2011-06-22,9589.913124425415
2011-06-23,9440.01858509227
2011-06-24,9440.01858509227
2011-06-27,9440.01858509227
2011-06-28,9440.01858509227
2011-06-29,9440.01858509227
2011-06-30,9440.01858509227
2011-07-01,9525.065950464761
2011-07-05,9474.326265406167
2011-07-06,9472.605897974527
2011-07-07,9354.785661768472
2011-07-08,9429.605897974527
2011-07-11,9261.045976709878
2011-07-12,9142.366212915933
2011-07-13,9250.725740503824
2011-07-14,9068.406160425699
2011-07-15,9138.065950464761
2011-07-18,9116.565950464761
2011-07-19,9414.12587172941
2011-07-20,9169.886186670816
2011-07-21,9277.386186670816
2011-07-22,9272.225740503824
2011-07-25,9137.20576674894
2011-07-26,9224.065950464761
2011-07-27,8949.725740503824
2011-07-28,8978.966081690347
2011-07-29,8954.886186670816
2011-08-01,9043.466081690347
2011-08-02,8765.685792994058
2011-08-03,8689.145845484292
2011-08-04,8153.366212915933
2011-08-05,8207.545976709878
2011-08-08,7762.065950464761
2011-08-09,7657.118612063913
2011-08-10,7657.118612063913
2011-08-11,7657.118612063913
2011-08-12,7657.118612063913
2011-08-15,7657.118612063913
2011-08-16,7657.118612063913
2011-08-17,7657.118612063913
2011-08-18,7657.118612063913
2011-08-19,7657.118612063913
2011-08-22,7657.118612063913
2011-08-23,7657.118612063913
2011-08-24,7657.118612063913
2011-08-25,7657.118612063913
2011-08-26,7657.118612063913
2011-08-29,7657.118612063913
2011-08-30,7657.118612063913
2011-08-31,7657.118612063913
2011-09-01,7657.118612063913
2011-09-02,7657.118612063913
2011-09-06,7657.118612063913
2011-09-07,7657.118612063913
2011-09-08,7657.118612063913
2011-09-09,7657.118612063913
2011-09-12,7657.118612063913
2011-09-13,7657.118612063913
2011-09-14,7657.118612063913
2011-09-15,7657.118612063913
2011-09-16,7657.118612063913
2011-09-19,7772.564963644479
