trade_no,symbol,entry_time,exit_time,entry_price,exit_price,quantity,entry_value,exit_value,pnl_value,pnl_pct,exit_reason,entry_delay_bars,exit_delay_bars,entry_price_penalty,exit_price_penalty,pnl_pct_display
1,BIDU,2010-10-21,2010-12-09,102.06100713729857,108.34580152511597,97,9909.81761001028,10499.033205188314,589.2155951780351,0.05945776384247936,Leader rotation,1,0,0.0,0.0,+5.95%
2,BKNG,2010-12-10,2011-02-17,16.581486825942992,18.302443931579592,633,10506.577241982735,11573.861561681191,1067.2843196984559,0.10158249400515951,Leader rotation,1,0,0.0,0.0,+10.16%
3,NVDA,2011-02-18,2011-03-02,0.63881922519207,0.5402297352254392,18228,11656.041233637852,9837.460306075616,-1818.580927562236,-0.15602046107335676,Supertrend down,1,0,0.0,0.0,-15.60%
4,NFLX,2011-04-25,2011-06-23,3.640533432126045,3.500249093413353,2699,9835.625533041504,9437.72513081952,-397.90040222198513,-0.040455017414529504,Supertrend down,1,0,0.0,0.0,-4.05%
5,BIIB,2011-07-01,2011-08-09,107.40367347335815,86.86654866027833,86,9245.952634627509,7463.052661599152,-1782.8999730283567,-0.1928303165161287,Supertrend down,1,0,0.0,0.0,-19.28%
6,DLTR,2011-09-19,2011-10-24,37.53876045799255,40.09494417762757,203,7627.98874134546,8131.1343943903385,503.1456530448786,0.06596046089026242,Leader rotation,1,0,0.0,0.0,+6.60%
7,BIIB,2011-10-25,2011-12-02,109.51472908401489,117.00146755981446,74,8112.194042169318,8649.450490826845,537.2564486575266,0.06622825413996836,Leader rotation,1,0,0.0,0.0,+6.62%
8,DLTR,2011-12-05,2012-01-19,41.83590612602234,42.80358826255799,207,8668.692600654711,8851.482427579154,182.78982692444333,0.021086204730646152,Leader rotation,1,0,0.0,0.0,+2.11%
9,FAST,2012-01-20,2012-01-26,11.408201402664185,11.774109733104707,777,8873.036662359942,9139.334779359735,266.2981169997929,0.0300120609361898,Leader rotation,1,0,0.0,0.0,+3.00%
10,MNST,2012-01-27,2012-02-10,8.892777487277984,8.891385098934174,1002,8919.47360529479,8900.25870126291,-19.214904031879996,-0.0021542643526041294,Leader rotation,1,0,0.0,0.0,-0.22%
11,STX,2012-02-13,2012-04-17,26.493239542007444,28.88554961872101,344,9122.78807685301,9926.692439771188,803.9043629181779,0.0881204688901962,Supertrend down,1,0,0.0,0.0,+8.81%
12,MNST,2012-06-21,2012-07-05,12.634647258281706,12.450438612937928,781,9877.527168226728,9714.068764147818,-163.45840407891046,-0.016548514754250565,Supertrend down,1,0,0.0,0.0,-1.65%
13,AAPL,2012-07-06,2012-07-20,21.692626476287842,21.882981563568116,449,9749.729277141094,9815.633263320042,65.90398617894789,0.006759570887107991,Leader rotation,1,0,0.0,0.0,+0.68%
14,STX,2012-07-23,2012-08-10,26.23310931301117,32.61368606758118,362,9505.881956881352,11794.348202107923,2288.466245226571,0.24074212741195877,Leader rotation,1,0,0.0,0.0,+24.07%
15,EXPE,2012-08-13,2012-08-23,55.04751045799255,51.474250000000005,219,12067.460195090667,11261.587889250002,-805.8723058406649,-0.06678060609377545,Supertrend down,1,0,0.0,0.0,-6.68%
16,STX,2012-08-24,2012-09-13,33.596791831970215,30.094945610046388,322,10828.985136864303,9680.881913948502,-1148.1032229158009,-0.10602131302289808,Supertrend down,1,0,0.0,0.0,-10.60%
17,VRTX,2012-09-14,2012-09-21,56.34815969467163,58.16090362739563,180,10152.811413785934,10458.493690278283,305.68227649234905,0.030108140891623503,Leader rotation,1,0,0.0,0.0,+3.01%
18,EXPE,2012-09-24,2012-10-18,58.78937832069396,54.17290076255799,177,10416.125682725593,9579.01483153779,-837.1108511878028,-0.08036681552106195,Supertrend down,1,0,0.0,0.0,-8.04%
19,BBBY,2012-11-27,2013-02-05,14.757375,13.373310114383699,652,9631.430308499997,8710.678796383594,-920.7515121164033,-0.09559862685231868,Supertrend down,1,0,0.0,0.0,-9.56%
20,SIRI,2013-02-06,2013-03-04,32.016,31.28434923744202,271,8685.012335999998,8469.58058470344,-215.4317512965572,-0.02480500233759908,Supertrend down,1,0,0.0,0.0,-2.48%
21,GILD,2013-03-05,2013-05-01,44.37217347335815,50.424775762557985,191,8483.560218544817,9621.501038477927,1137.94081993311,0.13413481965338137,Leader rotation,1,0,0.0,0.0,+13.41%
22,BBBY,2013-05-02,2013-07-10,21.71085076332092,27.466259542465213,443,9627.524795039319,12155.385424334776,2527.8606292954573,0.2625659952179986,Leader rotation,1,0,0.0,0.0,+26.26%
23,NFLX,2013-07-11,2013-09-04,3.5446283601522444,4.124222886800767,3420,12134.751620712395,14090.737430585763,1955.9858098733675,0.1611887800434879,Leader rotation,1,0,0.0,0.0,+16.12%
