,equity
2010-10-19,10000.0
2010-10-20,10000.0
2010-10-21,10030.74271561228
2010-10-22,10496.342271581518
2010-10-25,10735.93238998972
2010-10-26,11014.322656408178
2010-10-27,11038.572656408178
2010-10-28,10970.672212377416
2010-10-29,10761.152597204076
2010-11-01,10483.732537999975
2010-11-02,10716.532686010229
2010-11-03,10823.232537999975
2010-11-04,10766.002153173315
2010-11-05,10643.782686010229
2010-11-08,10798.982537999975
2010-11-09,10681.612626806127
2010-11-10,10924.112626806127
2010-11-11,11157.882241979467
2010-11-12,10822.26233078562
2010-11-15,10643.782686010229
2010-11-16,10139.382241979467
2010-11-17,10461.422212377416
2010-11-18,10579.76233078562
2010-11-19,10623.412034765111
2010-11-22,10650.572656408178
2010-11-23,10402.252153173315
2010-11-24,10663.18238998972
2010-11-26,10699.072656408178
2010-11-29,10506.042123571264
2010-11-30,10280.032686010229
2010-12-01,10450.752153173315
2010-12-02,10408.072656408178
2010-12-03,10685.49271561228
2010-12-06,10782.49271561228
2010-12-07,10729.142419591772
2010-12-08,10572.97236038767
2010-12-09,10572.97236038767
2010-12-10,10653.322841731719
2010-12-13,10451.522459117583
2010-12-14,10153.75934991043
2010-12-15,10119.3244725148
2010-12-16,10154.772317973784
2010-12-17,10163.88782319229
2010-12-20,10282.638105479888
2010-12-21,10324.923183528594
2010-12-22,10557.106571284941
2010-12-23,10481.65312775772
2010-12-27,10356.31915673416
2010-12-28,10269.218391505889
2010-12-29,10292.007154552153
2010-12-30,10255.79867753189
2010-12-31,10136.288971034697
2011-01-03,10552.550026027373
2011-01-04,10385.184520808867
2011-01-05,10998.434661952666
2011-01-06,11092.624996272734
2011-01-07,11175.421552745513
2011-01-10,11174.662128535918
2011-01-11,10937.919780818633
2011-01-12,11014.639736262969
2011-01-13,11148.07624444168
2011-01-14,11109.589494792632
2011-01-18,11183.524089900664
2011-01-19,10958.682607738188
2011-01-20,10760.932890025786
2011-01-21,10795.874855128935
2011-01-24,10750.29853638809
2011-01-25,10878.417867747954
2011-01-26,10722.447347728423
2011-01-27,11088.067243663481
2011-01-28,10788.531742183379
2011-01-31,10869.809450236968
2011-02-01,11108.070646373442
2011-02-02,11089.333755580596
2011-02-03,11058.9495430867
2011-02-04,10994.130453197173
2011-02-07,11089.587299434355
2011-02-08,11230.112169353179
2011-02-09,11441.787481395415
2011-02-10,11551.169921962432
2011-02-11,11550.156953899077
2011-02-14,11591.175520030669
2011-02-15,11595.986816493682
2011-02-16,11617.255523769072
2011-02-17,11547.119257060698
2011-02-18,11558.9536148425
2011-02-22,10467.59472556075
2011-02-23,9971.521623444165
2011-02-24,10215.048751365746
2011-02-25,10427.006691705788
2011-02-28,10219.558174502457
2011-03-01,9764.073106240834
2011-03-02,9358.195993315781
2011-03-03,9560.306845649171
2011-03-04,9560.306845649171
2011-03-07,9560.306845649171
2011-03-08,9560.306845649171
2011-03-09,9560.306845649171
2011-03-10,9560.306845649171
2011-03-11,9560.306845649171
2011-03-14,9560.306845649171
2011-03-15,9560.306845649171
2011-03-16,9560.306845649171
2011-03-17,9560.306845649171
2011-03-18,9560.306845649171
2011-03-21,9560.306845649171
2011-03-22,9560.306845649171
2011-03-23,9560.306845649171
2011-03-24,9560.306845649171
2011-03-25,9560.306845649171
2011-03-28,9560.306845649171
2011-03-29,9560.306845649171
2011-03-30,9560.306845649171
2011-03-31,9560.306845649171
2011-04-01,9560.306845649171
2011-04-04,9560.306845649171
2011-04-05,9560.306845649171
2011-04-06,9560.306845649171
2011-04-07,9560.306845649171
2011-04-08,9560.306845649171
2011-04-11,9560.306845649171
2011-04-12,9560.306845649171
2011-04-13,9560.306845649171
2011-04-14,9560.306845649171
2011-04-15,9560.306845649171
2011-04-18,9560.306845649171
2011-04-19,9560.306845649171
2011-04-20,9560.306845649171
2011-04-21,9560.306845649171
2011-04-25,9432.073429982369
2011-04-26,8579.223707120125
2011-04-27,8843.396445910637
2011-04-28,8783.817887227242
2011-04-29,8720.115626017754
2011-05-02,8889.48760811538
2011-05-03,8666.53250805587
2011-05-04,8589.715572039788
2011-05-05,8631.68365709037
2011-05-06,8600.20743695945
2011-05-09,8860.259600083535
2011-05-10,8905.973663012688
2011-05-11,9019.887662093346
2011-05-12,9210.991318862145
2011-05-13,9239.094282786553
2011-05-16,8885.73975412101
2011-05-17,8880.118285815422
2011-05-18,9089.958711068337
2011-05-19,9097.077319781487
2011-05-20,9215.862340848153
2011-05-23,9288.18410340995
2011-05-24,9279.56460205764
2011-05-25,9724.349132697289
2011-05-26,9884.72764102668
2011-05-27,9913.205202738945
2011-05-31,10148.900379817193
2011-06-01,10016.252739112084
2011-06-02,10182.626688162987
2011-06-03,10257.568759123986
2011-06-06,9841.261790196602
2011-06-07,9882.479428927605
2011-06-08,9828.894434849923
2011-06-09,9840.511343877022
2011-06-10,9692.498314778511
2011-06-13,9640.038364808266
2011-06-14,9786.553628127282
2011-06-15,9636.292386929696
2011-06-16,9343.266863267128
2011-06-17,9207.243464867775
2011-06-20,9205.74569908828
2011-06-21,9506.265054623787
2011-06-22,9319.284475009148
2011-06-23,9583.83243695945
2011-06-24,9617.356166101335
2011-06-27,9617.356166101335
2011-06-28,9617.356166101335
2011-06-29,9617.356166101335
2011-06-30,9617.356166101335
2011-07-01,9704.381377180163
2011-07-05,9652.461699445788
2011-07-06,9650.701323469226
2011-07-07,9530.141081770007
2011-07-08,9606.701323469226
2011-07-11,9434.221404035632
2011-07-12,9312.78164573485
2011-07-13,9423.661162336413
2011-07-14,9237.101592023913
2011-07-15,9308.381377180163
2011-07-18,9286.381377180163
2011-07-19,9590.861296613757
2011-07-20,9340.941618879382
2011-07-21,9450.941618879382
2011-07-22,9445.661162336413
2011-07-25,9307.501189191882
2011-07-26,9396.381377180163
2011-07-27,9115.661162336413
2011-07-28,9145.581511457507
2011-07-29,9120.941618879382
2011-08-01,9211.581511457507
2011-08-02,8927.34121604735
2011-08-03,8849.021269758288
2011-08-04,8300.78164573485
2011-08-05,8356.221404035632
2011-08-08,7900.381377180163
2011-08-09,8026.221404035632
2011-08-10,7756.9671831801625
2011-08-11,7756.9671831801625
2011-08-12,7756.9671831801625
2011-08-15,7756.9671831801625
2011-08-16,7756.9671831801625
2011-08-17,7756.9671831801625
2011-08-18,7756.9671831801625
2011-08-19,7756.9671831801625
2011-08-22,7756.9671831801625
2011-08-23,7756.9671831801625
2011-08-24,7756.9671831801625
2011-08-25,7756.9671831801625
2011-08-26,7756.9671831801625
2011-08-29,7756.9671831801625
2011-08-30,7756.9671831801625
2011-08-31,7756.9671831801625
2011-09-01,7756.9671831801625
2011-09-02,7756.9671831801625
2011-09-06,7756.9671831801625
2011-09-07,7756.9671831801625
2011-09-08,7756.9671831801625
2011-09-09,7756.9671831801625
2011-09-12,7756.9671831801625
2011-09-13,7756.9671831801625
2011-09-14,7756.9671831801625
2011-09-15,7756.9671831801625
2011-09-16,7756.9671831801625
