,equity
2010-10-19,10000.0
2010-10-20,9756.273075315103
2010-10-21,9995.863193723306
2010-10-22,10461.462749692544
2010-10-25,10701.052868100747
2010-10-26,10979.443134519204
2010-10-27,11003.693134519204
2010-10-28,10935.792690488443
2010-10-29,10726.273075315103
2010-11-01,10448.853016111001
2010-11-02,10681.653164121255
2010-11-03,10788.353016111001
2010-11-04,10731.122631284341
2010-11-05,10608.903164121255
2010-11-08,10764.103016111001
2010-11-09,10646.733104917153
2010-11-10,10889.233104917153
2010-11-11,11123.002720090493
2010-11-12,10787.382808896646
2010-11-15,10608.903164121255
2010-11-16,10104.502720090493
2010-11-17,10426.542690488443
2010-11-18,10544.882808896646
2010-11-19,10588.532512876138
2010-11-22,10615.693134519204
2010-11-23,10367.372631284341
2010-11-24,10628.302868100747
2010-11-26,10664.193134519204
2010-11-29,10471.16260168229
2010-11-30,10245.153164121255
2010-12-01,10415.872631284341
2010-12-02,10373.193134519204
2010-12-03,10650.613193723306
2010-12-06,10747.613193723306
2010-12-07,10694.262897702798
2010-12-08,10538.092838498696
2010-12-09,10314.470139729834
2010-12-10,10434.198079335547
2010-12-13,10236.223296391821
2010-12-14,9944.104985463477
2010-12-15,9910.322901952124
2010-12-16,9945.098750340796
2010-12-17,9954.041449773169
2010-12-20,10070.54054187522
2010-12-21,10112.024007069922
2010-12-22,10339.805814015723
2010-12-23,10265.782767522192
2010-12-27,10142.824795949316
2010-12-28,10057.375230061865
2010-12-29,10079.731978642798
2010-12-30,10044.20991824851
2010-12-31,9926.965798604346
2011-01-03,10335.335648763037
2011-01-04,10171.142949330664
2011-01-05,10772.76749538169
2011-01-06,10865.172230946875
2011-01-07,10946.399184453345
2011-01-10,10945.65415691123
2011-01-11,10713.399815785742
2011-01-12,10788.665364491797
2011-01-13,10919.572270619727
2011-01-14,10881.815127599097
2011-01-18,10954.348119008398
2011-01-19,10733.769034612036
2011-01-20,10539.768126714087
2011-01-21,10574.04768489585
2011-01-24,10529.335372197485
2011-01-25,10655.025901067114
2011-01-26,10502.012168156958
2011-01-27,10860.700881230689
2011-01-28,10566.84377788291
2011-01-31,10646.580676305151
2011-02-01,10880.325072514868
2011-02-02,10861.943383443213
2011-02-03,10832.135174977637
2011-02-04,10768.544883000708
2011-02-07,10862.192120778418
2011-02-08,11000.053012120581
2011-02-09,11207.715522038794
2011-02-10,11315.024361836768
2011-02-11,11314.030596959448
2011-02-14,11354.271559941626
2011-02-15,11358.991646993018
2011-02-16,11379.85715602622
2011-02-17,12664.482749042925
2011-02-18,12640.21844368976
2011-02-22,11465.853600857672
2011-02-23,10932.050452945647
2011-02-24,11194.09962862533
2011-02-25,11422.178545413431
2011-02-28,11198.95202690166
