trade_no,symbol,entry_time,exit_time,entry_price,exit_price,quantity,entry_value,exit_value,pnl_value,pnl_pct,exit_reason,entry_delay_bars,exit_delay_bars,entry_price_penalty,exit_price_penalty,pnl_pct_display
1,BIDU,2010-10-20,2010-12-09,102.4202306137085,107.80380151748658,97,9944.697131899253,10446.511778449001,501.81464654974843,0.050460525835432035,Leader rotation,0,0,0.005,0.005,+5.05%
2,BKNG,2010-12-09,2011-02-17,16.890792083740234,18.210885932922363,621,10499.671065886687,11297.651204180444,797.9801382937567,0.07600048928069625,Leader rotation,0,0,0.005,0.005,+7.60%
3,NVDA,2011-02-17,2011-03-02,0.5711240186989308,0.5375272352993489,19411,11097.17441529191,10423.507223231265,-673.6671920606441,-0.06070619122038223,Supertrend down,0,0,0.005,0.005,-6.07%
4,NFLX,2011-04-21,2011-06-23,3.5068964794874193,3.4827390929460527,3027,10625.991019051826,10531.708983113353,-94.2820359384732,-0.008872775797516774,Supertrend down,0,0,0.005,0.005,-0.89%
5,BIIB,2011-06-30,2011-08-09,109.76038368225099,86.43199864196778,95,10437.663686263655,8202.828831115952,-2234.834855147703,-0.21411255644199634,Supertrend down,0,0,0.005,0.005,-21.41%
6,DLTR,2011-09-16,2011-10-24,37.967678312301636,39.89436916923523,218,8285.230825953837,8688.275506414386,403.044680460549,0.04864616193890381,Leader rotation,0,0,0.005,0.005,+4.86%
7,BIIB,2011-10-24,2011-12-02,109.22746223831177,116.4161675720215,79,8637.598486343455,9187.680360951508,550.0818746080531,0.06368458495469143,Leader rotation,0,0,0.005,0.005,+6.37%
8,DLTR,2011-12-02,2012-01-18,41.55731684112549,41.65463083076477,222,9234.950063068587,9238.08071638535,3.1306533167626185,0.0003390005679924091,Leader rotation,0,0,0.005,0.005,+0.03%
9,FAST,2012-01-18,2012-01-26,11.412425383567811,11.715209734439851,795,9081.951058116345,9304.278147140802,222.32708902445665,0.024480102083986433,Leader rotation,0,0,0.005,0.005,+2.45%
10,MNST,2012-01-26,2012-02-15,9.077151403427125,9.140283509731294,1042,9467.850154133434,9514.651241722868,46.801087589434246,0.004943158882695364,Leader rotation,0,0,0.005,0.005,+0.49%
11,STX,2012-02-15,2012-04-17,26.756355613708497,28.74104962062836,355,9508.004749109383,10192.869542707745,684.8647935983627,0.07203033777013146,Supertrend down,0,0,0.005,0.005,+7.20%
12,MNST,2012-06-20,2012-07-05,12.778228847026826,12.388155278205872,798,10207.223646547332,9875.862164096277,-331.36148245105505,-0.03246342922672618,Supertrend down,0,0,0.005,0.005,-3.25%
13,AAPL,2012-07-05,2012-07-20,21.5665373878479,21.773511920928957,457,9865.763493832736,9940.544452916669,74.78095908393334,0.007579845100754712,Leader rotation,0,0,0.005,0.005,+0.76%
14,STX,2012-07-20,2012-08-10,27.22893992328644,32.4505360622406,365,9948.501635071549,11832.6012170551,1884.0995819835516,0.18938526132835087,Leader rotation,0,0,0.005,0.005,+18.94%
