,equity
2010-10-19,10000.0
2010-10-20,9756.273075315103
2010-10-21,9995.863193723306
2010-10-22,10461.462749692544
2010-10-25,10701.052868100747
2010-10-26,10979.443134519204
2010-10-27,11003.693134519204
2010-10-28,10935.792690488443
2010-10-29,10726.273075315103
2010-11-01,10448.853016111001
2010-11-02,10681.653164121255
2010-11-03,10788.353016111001
2010-11-04,10731.122631284341
2010-11-05,10608.903164121255
2010-11-08,10764.103016111001
2010-11-09,10646.733104917153
2010-11-10,10889.233104917153
2010-11-11,11123.002720090493
2010-11-12,10787.382808896646
2010-11-15,10608.903164121255
2010-11-16,10104.502720090493
2010-11-17,10426.542690488443
2010-11-18,10544.882808896646
2010-11-19,10588.532512876138
2010-11-22,10615.693134519204
2010-11-23,10367.372631284341
2010-11-24,10628.302868100747
2010-11-26,10664.193134519204
2010-11-29,10471.16260168229
2010-11-30,10245.153164121255
2010-12-01,10415.872631284341
2010-12-02,10373.193134519204
2010-12-03,10650.613193723306
2010-12-06,10747.613193723306
2010-12-07,10694.262897702798
2010-12-08,10538.092838498696
2010-12-09,10366.086520542482
2010-12-10,10486.3928559917
2010-12-13,10287.461673130372
2010-12-14,9993.932162632325
2010-12-15,9959.986880649903
2010-12-16,9994.930728306153
2010-12-17,10003.91662918506
2010-12-20,10120.978518833497
2010-12-21,10162.6623872417
2010-12-22,10391.544589390138
2010-12-23,10317.163943638185
2010-12-27,10193.611972202638
2010-12-28,10107.749606479982
2010-12-29,10130.214358677247
2010-12-30,10094.520694126466
2010-12-31,9976.710177769044
2011-01-03,10387.052829136232
2011-01-04,10222.066928257325
2011-01-05,10826.597873081544
2011-01-06,10919.44900833545
2011-01-07,11001.068362583497
2011-01-10,11000.319735874513
2011-01-11,10766.943393101075
2011-01-12,10842.5725434917
2011-01-13,10974.111850132325
2011-01-14,10936.172305454591
2011-01-18,11009.055697788575
2011-01-19,10787.411013950685
2011-01-20,10592.472903599122
2011-01-21,10626.918063511232
2011-01-24,10581.989749302247
2011-01-25,10708.287478794435
2011-01-26,10554.534549106935
2011-01-27,10914.956057895997
2011-01-28,10619.679355015138
2011-01-31,10699.801455845216
2011-02-01,10934.675052036622
2011-02-02,10916.20456253467
2011-02-03,10886.252353062013
2011-02-04,10822.354861606935
2011-02-07,10916.454501499513
2011-02-08,11054.981387485841
2011-02-09,11263.64709793506
2011-02-10,11371.474337925294
2011-02-11,11370.475772251466
2011-02-14,11410.911136020997
2011-02-15,11415.654025425294
2011-02-16,11436.620334019044
2011-02-17,12784.683479442623
2011-02-18,12760.299171342876
2011-02-22,11580.12633176091
2011-02-23,11043.683180644539
2011-02-24,11307.028359665897
2011-02-25,11536.23527480605
2011-02-28,11311.904756202724
