trade_no,symbol,entry_time,exit_time,entry_price,exit_price,quantity,entry_value,exit_value,pnl_value,pnl_pct,exit_reason,entry_delay_bars,exit_delay_bars,entry_price_penalty,exit_price_penalty,pnl_pct_display
1,BIDU,2010-10-20,2010-12-09,102.4202306137085,108.34580152511597,97,9944.697131899253,10499.033205188314,554.3360732890615,0.055741875889908865,Leader rotation,0,0,0.005,0.0,+5.57%
2,BKNG,2010-12-09,2011-02-17,16.890792083740234,18.302443931579592,624,10550.394114514158,11409.30428829236,858.9101737782021,0.0814102453856771,Leader rotation,0,0,0.005,0.0,+8.14%
3,NVDA,2011-02-17,2011-03-02,0.5711240186989308,0.5402297352254392,19507,11152.0571489928,10527.723183597598,-624.3339653952025,-0.05598374874285772,Supertrend down,0,0,0.005,0.0,-5.60%
4,NFLX,2011-04-21,2011-06-23,3.5068964794874193,3.500249093413353,3073,10787.469574346303,10745.509198595175,-41.960375751128595,-0.003889732940792201,Supertrend down,0,0,0.005,0.0,-0.39%
5,BIIB,2011-06-30,2011-08-09,109.76038368225099,86.86654866027833,97,10657.403974395524,8417.62916482695,-2239.774809568573,-0.21016138779665716,Supertrend down,0,0,0.005,0.0,-21.02%
6,DLTR,2011-09-16,2011-10-24,37.967678312301636,40.09494417762757,223,8475.259055906907,8932.231379059336,456.97232315242945,0.053918390002950733,Leader rotation,0,0,0.005,0.0,+5.39%
7,BIIB,2011-10-24,2011-12-02,109.22746223831177,117.00146755981446,81,8856.271865744557,9467.641753472626,611.3698877280694,0.06903242097759055,Leader rotation,0,0,0.005,0.0,+6.90%
8,DLTR,2011-12-02,2012-01-18,41.55731684112549,41.864055822372436,230,9567.741056332321,9619.104106306513,51.36304997419211,0.005368357031380722,Leader rotation,0,0,0.005,0.0,+0.54%
9,FAST,2012-01-18,2012-01-26,11.412425383567811,11.774109733104707,823,9401.818516766984,9680.402218034827,278.58370126784394,0.029630831606781705,Leader rotation,0,0,0.005,0.0,+2.96%
10,MNST,2012-01-26,2012-02-15,9.077151403427125,9.186237675189972,1085,9858.557981991149,9957.100809703537,98.54282771238832,0.009995663452241121,Leader rotation,0,0,0.005,0.0,+1.00%
11,STX,2012-02-15,2012-04-17,26.756355613708497,28.88554961872101,373,9990.10076455718,10763.535697775154,773.4349332179736,0.07742013333458675,Supertrend down,0,0,0.005,0.0,+7.74%
12,MNST,2012-06-20,2012-07-05,12.778228847026826,12.450438612937928,842,10770.027957885783,10472.786042781641,-297.2419151041413,-0.02759899196793647,Supertrend down,0,0,0.005,0.0,-2.76%
13,AAPL,2012-07-05,2012-07-20,21.5665373878479,21.882981563568116,485,10470.230403739337,10602.632812272206,132.40240853286923,0.012645606011266297,Leader rotation,0,0,0.005,0.0,+1.26%
14,STX,2012-07-20,2012-08-10,27.22893992328644,32.61368606758118,389,10602.649687788582,12674.037156408789,2071.387468620207,0.19536507661909197,Leader rotation,0,0,0.005,0.0,+19.54%
15,EXPE,2012-08-10,2012-08-23,56.227558158874515,51.474250000000005,225,12663.851786332512,11570.124543750002,-1093.7272425825104,-0.08636608048136807,Supertrend down,0,0,0.005,0.0,-8.64%
16,STX,2012-08-23,2012-09-13,34.941125,30.094945610046388,330,11542.101821249998,9921.400719263993,-1620.7011019860056,-0.14041646201752922,Supertrend down,0,0,0.005,0.0,-14.04%
17,VRTX,2012-09-13,2012-09-21,56.287889539718634,58.16090362739563,176,9916.575227549469,10226.08271938321,309.50749183374137,0.03121112730268938,Leader rotation,0,0,0.005,0.0,+3.12%
