trade_no,symbol,entry_time,exit_time,entry_price,exit_price,quantity,entry_value,exit_value,pnl_value,pnl_pct,exit_reason,entry_delay_bars,exit_delay_bars,entry_price_penalty,exit_price_penalty,pnl_pct_display
1,BIDU,2010-10-21,2010-12-10,102.57105714797974,107.157375,97,9959.341935897388,10383.871109625,424.52917372761294,0.04262622736121169,Leader rotation,1,1,0.005,0.005,+4.26%
2,BKNG,2010-12-10,2011-02-18,16.664352827072143,18.119789317131044,624,10408.954720257108,11295.44178535588,886.4870650987723,0.0851658104894586,Leader rotation,1,1,0.005,0.005,+8.52%
3,NVDA,2011-02-18,2011-03-03,0.6420117250680923,0.5278308517634869,17600,11310.705767559622,9280.533168046331,-2030.172599513291,-0.17949123964802038,Supertrend down,1,1,0.005,0.005,-17.95%
4,NFLX,2011-04-25,2011-06-24,3.6587270025014877,3.6512360597848894,2534,9280.485438563108,9242.979943319415,-37.505495243693076,-0.004041329033053209,Supertrend down,1,1,0.005,0.005,-0.40%
5,BIIB,2011-07-01,2011-08-10,107.94042346572877,86.02425000000001,84,9076.062566692337,7218.810963000001,-1857.2516036923362,-0.20463186431836045,Supertrend down,1,1,0.005,0.005,-20.46%
6,DLTR,2011-09-19,2011-10-25,37.72636046028138,40.50598454475403,195,7363.996930044623,7890.7683192408085,526.7713891961857,0.07153335263449034,Leader rotation,1,1,0.005,0.005,+7.15%
7,BIIB,2011-10-25,2011-12-05,110.06202907943727,114.22827060699464,71,7822.218468704686,8102.097005883523,279.8785371788372,0.03577994379709315,Leader rotation,1,1,0.005,0.005,+3.58%
8,DLTR,2011-12-05,2012-01-20,42.044981119155885,42.74858310699463,194,8164.883063453357,8284.9318976342,120.04883418084319,0.014703068402558195,Leader rotation,1,1,0.005,0.005,+1.47%
9,FAST,2012-01-20,2012-01-27,11.465213903427125,11.600842462062836,724,8309.11568094732,8390.61093259096,81.49525164364059,0.009807933211293252,Leader rotation,1,1,0.005,0.005,+0.98%
10,MNST,2012-01-27,2012-02-15,8.937219153881074,9.140283509731294,933,8346.763896041613,8519.356630064718,172.59273402310464,0.020677802340252516,Leader rotation,1,1,0.005,0.005,+2.07%
11,STX,2012-02-15,2012-04-18,26.756355613708497,28.442700379371644,319,8543.812718213783,9064.148199598534,520.3354813847509,0.060902023317469745,Supertrend down,1,1,0.005,0.005,+6.09%
12,MNST,2012-06-21,2012-07-06,12.697788923740388,12.174337626457215,714,9075.287512842187,8683.78458822516,-391.502924617027,-0.04313945140173492,Supertrend down,1,1,0.005,0.005,-4.31%
13,AAPL,2012-07-06,2012-08-02,21.801035404205322,21.41158568286896,398,8685.488902964591,8513.289290680064,-172.19961228452667,-0.019826127718124198,Supertrend down,1,1,0.005,0.005,-1.98%
14,EXPE,2012-08-02,2012-08-24,56.35827423286438,51.73389045524598,151,8518.609508571682,7804.0056412834,-714.6038672882823,-0.0838873840348271,Supertrend down,1,1,0.005,0.005,-8.39%
15,STX,2012-08-24,2012-09-14,33.76469184112549,30.541094089508057,221,7469.4588937856215,6742.832211987499,-726.6266817981223,-0.09727969483875931,Supertrend down,1,1,0.005,0.005,-9.73%
16,VRTX,2012-09-14,2012-09-24,56.62975969314576,58.6755,124,7029.112292152023,7268.4862379999995,239.37394584797676,0.03405464814031167,Leader rotation,1,1,0.005,0.005,+3.41%
17,EXPE,2012-09-24,2012-10-19,59.08317831230164,53.852176517486576,123,7274.4981633455145,6617.193893939198,-657.304269406317,-0.09035733526173928,Supertrend down,1,1,0.005,0.005,-9.04%
18,BBBY,2012-11-27,2013-02-06,14.831125,13.306410113811493,448,6650.988343999999,5955.310459256561,-695.677884743438,-0.10459767011485199,Supertrend down,1,1,0.005,0.005,-10.46%
19,SIRI,2013-02-06,2013-03-05,32.176,31.824,185,5958.51256,5881.55256,-76.96000000000004,-0.012915975123831913,Supertrend down,1,1,0.005,0.005,-1.29%
20,GILD,2013-03-05,2013-05-02,44.593923465728764,52.459875000000004,131,5847.645777984478,6865.371381375,1017.7256033905223,0.17404022781648454,Leader rotation,1,1,0.005,0.005,+17.40%
21,BBBY,2013-05-02,2013-07-11,21.81935076713562,27.885780910491945,316,6901.809757257271,8803.094860947738,1901.2851036904676,0.2754763128165423,Leader rotation,1,1,0.005,0.005,+27.55%
22,NFLX,2013-07-11,2013-09-05,3.562342644810677,4.216679772377014,2439,8697.242264403932,10274.19748286271,1576.9552184587774,0.18131669447831045,Leader rotation,1,1,0.005,0.005,+18.13%
23,MU,2013-09-05,2013-10-03,15.032224808216096,17.841330531120303,690,10382.607352786774,12298.207548406535,1915.6001956197615,0.18450088022500433,Leader rotation,1,1,0.005,0.005,+18.45%
24,TSLA,2013-10-03,2013-10-17,11.734185076713564,12.168702060699463,941,11052.91002534465,11439.297890479076,386.38786513442574,0.03495802139422355,Supertrend down,1,1,0.005,0.005,+3.50%
25,META,2013-10-17,2013-11-12,51.40115892601013,45.747,246,12657.32978089429,11242.508238,-1414.8215428942895,-0.11177883229604269,Supertrend down,1,1,0.005,0.005,-11.18%
26,NFLX,2013-11-12,2013-11-18,4.828984959363938,4.9725,2332,11272.454118161939,11584.274130000002,311.8200118380628,0.027662122956496615,Leader rotation,1,1,0.005,0.005,+2.77%
27,MU,2013-11-18,2013-12-20,19.687689923286438,21.680099241256716,587,11568.230658954106,12713.492036363074,1145.2613774089677,0.09900056552922432,Leader rotation,1,1,0.005,0.005,+9.90%
28,META,2013-12-20,2014-03-04,55.232115306854254,68.28237364196778,230,12716.089907097054,15689.240991714938,2973.1510846178844,0.23381016541559063,Leader rotation,1,1,0.005,0.005,+23.38%
29,ILMN,2014-03-04,2014-03-21,171.59033327484133,153.71216345214845,91,15630.33504833857,13973.819067271363,-1656.5159810672067,-0.10598083636366362,Supertrend down,1,1,0.005,0.005,-10.60%
30,META,2014-03-21,2014-04-01,67.90141377258301,60.12746908950806,206,14001.678928389252,12373.872373806222,-1627.8065545830304,-0.11625795470017197,Supertrend down,1,1,0.005,0.005,-11.63%
