,equity
2010-10-19,10000.0
2010-10-20,9803.721738306383
2010-10-21,10045.78185793529
2010-10-22,10516.181409326891
2010-10-25,10758.241528955798
2010-10-26,11039.501798120837
2010-10-27,11064.001798120837
2010-10-28,10995.401349512438
2010-10-29,10783.721738306383
2010-11-01,10503.44167849193
2010-11-02,10738.641828028063
2010-11-03,10846.44167849193
2010-11-04,10788.621289697985
2010-11-05,10665.141828028063
2010-11-08,10821.94167849193
2010-11-09,10703.36176821361
2010-11-10,10948.36176821361
2010-11-11,11184.541379419665
2010-11-12,10845.461469141344
2010-11-15,10665.141828028063
2010-11-16,10155.541379419665
2010-11-17,10480.901349512438
2010-11-18,10600.461469141344
2010-11-19,10644.561170069079
2010-11-22,10672.001798120837
2010-11-23,10421.121289697985
2010-11-24,10684.741528955798
2010-11-26,10721.001798120837
2010-11-29,10525.981259790758
2010-11-30,10297.641828028063
2010-12-01,10470.121289697985
2010-12-02,10427.001798120837
2010-12-03,10707.28185793529
2010-12-06,10805.28185793529
2010-12-07,10751.381558863024
2010-12-08,10593.601499048571
2010-12-09,10593.601499048571
2010-12-10,10673.871871976799
2010-12-13,10471.433889417594
2010-12-14,10172.729980497306
2010-12-15,10138.186304120964
2010-12-16,10173.746149091667
2010-12-17,10182.890455274528
2010-12-20,10302.015935926383
2010-12-21,10344.434616117424
2010-12-22,10577.351600675529
2010-12-23,10501.659757642692
2010-12-27,10375.929786710685
2010-12-28,10288.553821592277
2010-12-29,10311.41458704943
2010-12-30,10275.09170725817
2010-12-31,10155.20440295214
2011-01-03,10572.78065875048
2011-01-04,10404.886352567619
2011-01-05,11020.074092893547
2011-01-06,11114.562027006095
2011-01-07,11197.620183973258
2011-01-10,11196.858360319084
2011-01-11,10959.368011503166
2011-01-12,11036.330368070549
2011-01-13,11170.188476591056
2011-01-14,11131.580125837272
2011-01-18,11205.74832156176
2011-01-19,10980.196439771598
2011-01-20,10781.821920423454
2011-01-21,10816.874286680168
2011-01-24,10771.153966932243
2011-01-25,10899.678098707145
