trade_no,symbol,entry_time,exit_time,entry_price,exit_price,quantity,entry_value,exit_value,pnl_value,pnl_pct,exit_reason,entry_delay_bars,exit_delay_bars,entry_price_penalty,exit_price_penalty,pnl_pct_display
1,BIDU,2010-10-20,2010-12-10,101.91093061065673,107.69612500000001,98,9997.258471044202,10543.66602975,546.4075587057978,0.05465573989993344,Leader rotation,0,1,0.0,0.0,+5.47%
2,BKNG,2010-12-10,2011-02-18,16.581486825942992,18.210889313697816,635,10539.773378608272,11552.350799483916,1012.5774208756447,0.09607202968242112,Leader rotation,0,1,0.0,0.0,+9.61%
3,NVDA,2011-02-17,2011-03-03,0.5682840186059475,0.5304846016466618,11,6.257375328870087,5.829495287495166,-0.4278800413749213,-0.06838011448678516,Supertrend down,0,1,0.0,0.0,-6.84%
4,NFLX,2011-04-21,2011-06-24,3.4894579092264175,3.669593204379082,3305,11544.191048383302,12115.877534932393,571.6864865490916,0.04952157185835504,Supertrend down,0,1,0.0,0.0,+4.95%
5,BIIB,2011-06-30,2011-08-10,109.21458366394042,86.45675,110,12025.617807236478,9500.7322575,-2524.8855497364784,-0.20995890524785477,Supertrend down,0,1,0.0,0.0,-21.00%
6,DLTR,2011-09-16,2011-10-25,37.77887832069397,40.70963454246521,253,9567.61427135071,10289.238001704454,721.6237303537437,0.07542358103990199,Leader rotation,0,1,0.0,0.0,+7.54%
7,BIIB,2011-10-26,2012-01-20,115.98796530532836,116.9415,88,10217.147887815763,10280.561148,63.413260184237515,0.006206552051562175,Leader rotation,0,1,0.0,0.0,+0.62%
8,FAST,2012-01-19,2012-01-27,11.45572480916977,11.659167461872102,9,103.20462480581044,104.82757464969207,1.6229498438816279,0.015725553452041297,Leader rotation,0,1,0.0,0.0,+1.57%
9,MNST,2012-01-26,2012-02-16,9.032013902664184,8.943858620166779,1137,10279.669207136505,10158.998083878498,-120.67112325800736,-0.011738813849596741,Leader rotation,0,1,0.0,0.0,-1.17%
10,STX,2012-02-15,2012-04-18,26.623305610656736,28.585700381278993,4,106.59971566506955,114.22845872359086,7.628743058521309,0.07156438467894599,Supertrend down,0,1,0.0,0.0,+7.16%
11,MNST,2012-06-20,2012-07-06,12.714687181949614,12.23554596042633,807,10271.01330838917,9864.211504473986,-406.8018039151848,-0.03960678383922611,Supertrend down,0,1,0.0,0.0,-3.96%
12,AAPL,2012-07-06,2012-07-23,21.692626476287842,21.2179566526413,454,9858.300872654914,9623.319367978851,-234.9815046760632,-0.023835903134977188,Leader rotation,0,1,0.0,0.0,-2.38%
13,AAPL,2012-07-24,2012-08-02,21.70298855781555,21.519235686302185,443,9624.0383550434,9523.488387622836,-100.54996742056392,-0.01044779371311122,Supertrend down,0,1,0.0,0.0,-1.04%
14,STX,2012-08-02,2012-08-13,29.964975763320922,33.983000000000004,317,9508.396214289703,10761.838389,1253.442174710297,0.13182477322795605,Leader rotation,0,1,0.0,0.0,+13.18%
15,EXPE,2012-08-14,2012-08-24,53.316645915985106,51.99399045753479,200,10673.992512380217,10388.399293415452,-285.5932189647647,-0.026755988317728296,Supertrend down,0,1,0.0,0.0,-2.68%
16,STX,2012-08-23,2012-09-14,34.767375,30.69464408493042,3,104.406427125,91.99184832253647,-12.414578802463524,-0.11890626989467079,Supertrend down,0,1,0.0,0.0,-11.89%
17,VRTX,2012-09-13,2012-09-24,56.007989542007444,58.9705,185,10371.839543336646,10898.6329575,526.7934141633541,0.050790740828784875,Leader rotation,0,1,0.0,0.0,+5.08%
18,EXPE,2012-09-21,2012-10-19,59.009489542007444,54.12292652511597,2,118.13699806309889,108.13760719718171,-9.999390865917178,-0.08464233076733796,Supertrend down,0,1,0.0,0.0,-8.46%
19,BBBY,2012-11-26,2013-02-06,14.647320343494414,13.373310114383699,750,10996.475747878429,10019.952603201988,-976.523144676441,-0.08880328271217652,Supertrend down,0,1,0.0,0.0,-8.88%
20,SIRI,2013-02-06,2013-03-05,32.016,31.984,313,10031.029008,10000.981008,-30.047999999998865,-0.0029955052443807473,Supertrend down,0,1,0.0,0.0,-0.30%
21,GILD,2013-03-05,2013-05-02,44.37217347335815,52.723625000000006,225,9993.722770537088,11850.952809375001,1857.2300388379135,0.1858396597025176,Leader rotation,0,1,0.0,0.0,+18.58%
22,BBBY,2013-05-02,2013-07-11,21.71085076332092,28.02598091506958,518,11257.466916095635,14502.940655892038,3245.4737397964036,0.2882952056608854,Leader rotation,0,1,0.0,0.0,+28.83%
23,NFLX,2013-07-10,2013-09-05,3.509611012816429,4.237879771232605,171,600.7436266748009,723.9527634398947,123.20913676509383,0.20509437186553847,Leader rotation,0,1,0.0,0.0,+20.51%
24,MU,2013-09-04,2013-10-03,14.977485267162322,17.93103053379059,967,14497.71148159931,17321.967219649323,2824.255738050013,0.194807003962977,Leader rotation,0,1,0.0,0.0,+19.48%
25,TSLA,2013-10-02,2013-10-17,12.57895345544815,12.22988206100464,58,730.3088797164087,708.6238263787309,-21.6850533376778,-0.029692988733888148,Supertrend down,0,1,0.0,0.0,-2.97%
26,META,2013-10-16,2013-11-12,50.0650209159851,45.977000000000004,345,17289.704648230872,15846.202935000001,-1443.5017132308712,-0.08348909033437846,Supertrend down,0,1,0.0,0.0,-8.35%
27,NFLX,2013-11-11,2013-11-18,4.755947818994522,4.9975000000000005,155,737.909083856095,773.8378875000001,35.9288036439051,0.048690014027408024,Leader rotation,0,1,0.0,0.0,+4.87%
28,MU,2013-11-15,2013-12-20,19.389689160346983,21.789099237442016,816,15837.80834119798,17762.125072774932,1924.3167315769515,0.12150145336532048,Leader rotation,0,1,0.0,0.0,+12.15%
29,META,2013-12-19,2014-03-04,54.35716683197021,68.62567366027832,14,761.7613359832304,959.7986718126526,198.0373358294222,0.25997294227831724,Leader rotation,0,1,0.0,0.0,+26.00%
30,ILMN,2014-03-03,2014-03-21,166.90247080993652,154.48497473144533,106,17709.35356775912,16359.031914211671,-1350.3216535474494,-0.0762490651271307,Supertrend down,0,1,0.0,0.0,-7.62%
31,META,2014-03-20,2014-04-01,68.04400713729858,60.42976908493042,15,1021.6807671665381,905.5400897376824,-116.14067742885572,-0.11367609253421951,Supertrend down,0,1,0.0,0.0,-11.37%
32,ILMN,2014-05-27,2014-06-27,156.55683121490478,166.6870463027954,110,17238.472685073164,18317.239518214188,1078.766833141024,0.06257902616135658,Leader rotation,0,1,0.0,0.0,+6.26%
33,TSLA,2014-06-26,2014-07-16,15.819238368988037,14.78060610675812,2,31.670115214714045,29.531651001302723,-2.1384642134113214,-0.06752309547701874,Supertrend down,0,1,0.0,0.0,-6.75%
34,ILMN,2014-07-15,2014-07-25,172.4694618988037,166.6578708343506,105,18127.40279287376,17481.57736116921,-645.8254317045503,-0.035627024956848,Supertrend down,0,1,0.0,0.0,-3.56%
35,VRTX,2014-07-24,2014-08-08,97.91893774795531,85.15739694976807,2,196.03371337140652,170.1444791056366,-25.889234265769915,-0.13206521378656966,Supertrend down,0,1,0.0,0.0,-13.21%
36,TSLA,2014-08-19,2014-09-09,17.2666284198761,18.856566222190857,1018,17595.0051591653,19176.7884297761,1581.783270610802,0.08989956276238131,Leader rotation,0,1,0.0,0.0,+8.99%
37,AVGO,2014-09-08,2014-10-10,8.811403660297394,7.771112595319749,10,88.2021506395769,77.63341482724428,-10.56873581233262,-0.11982401489868388,Supertrend down,0,1,0.0,0.0,-11.98%
38,MNST,2014-10-22,2014-11-04,16.45322219467163,16.908209604263305,1169,19253.0505623167,19745.93133035642,492.88076803971853,0.025600138868612232,Leader rotation,0,1,0.0,0.0,+2.56%
39,BIDU,2014-11-05,2014-11-12,244.12199999999999,248.45571183013917,80,19549.289759999996,19856.580489464723,307.2907294647266,0.01571876693410501,Leader rotation,0,1,0.0,0.0,+1.57%
40,VRTX,2014-11-11,2015-02-09,116.99847244262695,108.23585591506959,1,117.11547091506957,108.12762005915452,-8.987850855915042,-0.07674349755578325,Supertrend down,0,1,0.0,0.0,-7.67%
41,MNST,2015-02-13,2015-04-24,19.944966965675352,23.44826908493042,1004,20044.77158037159,23518.52009910887,3473.7485187372804,0.17329948135397433,Leader rotation,0,1,0.0,0.0,+17.33%
42,EA,2015-04-24,2015-07-20,59.929951526641844,74.44276335525512,391,23456.043657963877,29078.013351432848,5621.969693468971,0.239681072198217,Leader rotation,0,1,0.0,0.0,+23.97%
43,NFLX,2015-07-17,2015-08-31,11.73986720609665,11.518238167762757,5,58.758035366513724,57.533599647974974,-1.22443571853875,-0.020838608896657562,Supertrend down,0,1,0.0,0.0,-2.08%
44,AMZN,2015-08-28,2015-10-07,25.8879375,27.07595567703247,1122,29075.312140874998,30348.843047360802,1273.5309064858047,0.04380110866274878,Supertrend down,0,1,0.0,0.0,+4.38%
45,AMZN,2015-10-16,2015-11-06,28.277631963729856,32.733625,1074,30400.54690577491,35120.75733675001,4720.210430975098,0.15526728665787393,Leader rotation,0,1,0.0,0.0,+15.53%
46,NFLX,2015-11-05,2015-12-14,11.380687499999999,11.971011736392976,1,11.392068187499998,11.959040724656584,0.5669725371565857,0.049769061054137476,Leader rotation,0,1,0.0,0.0,+4.98%
47,NVDA,2015-12-11,2016-01-14,0.8166581512391566,0.7161417342722416,42550,34783.553139561336,30441.358962490594,-4342.194177070742,-0.12483469298402738,Supertrend down,0,1,0.0,0.0,-12.48%
48,NVDA,2016-03-02,2017-01-11,0.8146571173667907,2.648675095319748,37553,30623.411547203563,99366.23015868796,68742.8186114844,2.244779896763716,Supertrend down,0,1,0.0,0.0,+224.48%
49,MU,2017-01-10,2017-01-31,22.371180610656737,23.938025762557984,7,156.75486253887175,167.398614157568,10.643751618696257,0.06790061530663416,Leader rotation,0,1,0.0,0.0,+6.79%
50,STX,2017-01-30,2017-02-06,44.42220152664184,46.01698091506958,2233,99293.97078500022,102653.16246496703,3359.1916799668106,0.033830771933176296,Leader rotation,0,1,0.0,0.0,+3.38%
51,NVDA,2017-02-03,2017-02-22,2.887693144083023,2.7841072995662692,87,251.48053283875817,241.97511772720316,-9.50541511155501,-0.03779781681013694,Supertrend down,0,1,0.0,0.0,-3.78%
52,MU,2017-02-21,2017-03-22,23.631810839653014,25.71713454246521,4339,102640.96566048767,111475.06013297678,8834.094472489116,0.08606792049979584,Leader rotation,0,1,0.0,0.0,+8.61%
53,INCY,2017-03-21,2017-04-10,148.43418061065674,140.10990267944337,1,148.5826147912674,139.9697927767639,-8.612822014503479,-0.05796655299546982,Supertrend down,0,1,0.0,0.0,-5.80%
54,WDC,2017-04-07,2017-04-26,63.56918325805664,63.83805630683899,1753,111548.21502962465,111796.20459318286,247.989563558207,0.002223160303303384,Leader rotation,0,1,0.0,0.0,+0.22%
55,CSX,2017-04-25,2017-05-15,16.738364542007446,17.361315838813784,10,167.5510290654945,173.43954522974968,5.888516164255179,0.03514461353712961,Leader rotation,0,1,0.0,0.0,+3.51%
56,NVDA,2017-05-12,2017-07-12,3.167332901716232,3.955521230936051,35263,111801.3497733327,139344.06162133146,27542.71184799877,0.2463540190153264,Supertrend down,0,1,0.0,0.0,+24.64%
57,NVDA,2017-07-18,2017-07-21,4.046522124052047,4.164666579246521,33926,137419.59189017033,141149.18788915,3729.5959989796684,0.027140205757272717,Leader rotation,0,1,0.0,0.0,+2.71%
