,equity
2010-10-19,10000.0
2010-10-20,9803.721738306383
2010-10-21,10045.78185793529
2010-10-22,10516.181409326891
2010-10-25,10758.241528955798
2010-10-26,11039.501798120837
2010-10-27,11064.001798120837
2010-10-28,10995.401349512438
2010-10-29,10783.721738306383
2010-11-01,10503.44167849193
2010-11-02,10738.641828028063
2010-11-03,10846.44167849193
2010-11-04,10788.621289697985
2010-11-05,10665.141828028063
2010-11-08,10821.94167849193
2010-11-09,10703.36176821361
2010-11-10,10948.36176821361
2010-11-11,11184.541379419665
2010-11-12,10845.461469141344
2010-11-15,10665.141828028063
2010-11-16,10155.541379419665
2010-11-17,10480.901349512438
2010-11-18,10600.461469141344
2010-11-19,10644.561170069079
2010-11-22,10672.001798120837
2010-11-23,10421.121289697985
2010-11-24,10684.741528955798
2010-11-26,10721.001798120837
2010-11-29,10525.981259790758
2010-11-30,10297.641828028063
2010-12-01,10470.121289697985
2010-12-02,10427.001798120837
2010-12-03,10707.28185793529
2010-12-06,10805.28185793529
2010-12-07,10751.381558863024
2010-12-08,10593.601499048571
2010-12-09,10420.510356189649
2010-12-10,10541.395087482373
2010-12-13,10341.507504703442
2010-12-14,10046.566794635693
2010-12-15,10012.458314182202
2010-12-16,10047.57016110603
2010-12-17,10056.59926343147
2010-12-20,10174.223950626294
2010-12-21,10216.108222247998
2010-12-22,10446.090819599072
2010-12-23,10371.352574588696
2010-12-27,10247.206603290479
2010-12-28,10160.931437732617
2010-12-29,10183.504193546216
2010-12-30,10147.63892483894
2010-12-31,10029.262011768262
2011-01-03,10441.577464343945
2011-01-04,10275.798362018506
2011-01-05,10883.235705615918
2011-01-06,10976.533240558545
2011-01-07,11058.544995548169
2011-01-10,11057.792769672315
2011-01-11,10823.294425250928
2011-01-12,10899.287177326123
2011-01-13,11031.458884479443
2011-01-14,10993.336938144605
2011-01-18,11066.570731403272
2011-01-19,10843.860448123853
2011-01-20,10647.985135318677
2011-01-21,10682.595896961133
2011-01-24,10637.451581241528
2011-01-25,10764.356511356274
