trade_no,symbol,entry_time,exit_time,entry_price,exit_price,quantity,entry_value,exit_value,pnl_value,pnl_pct,exit_reason,entry_delay_bars,exit_delay_bars,entry_price_penalty,exit_price_penalty,pnl_pct_display
1,BIDU,2010-10-20,2010-12-09,101.91093061065673,107.80380151748658,98,9997.258471044202,10554.20777616497,556.9493051207683,0.055710203625714216,Leader rotation,0,0,0.0,0.005,+5.57%
2,BKNG,2010-12-09,2011-02-17,16.806800079345702,18.210885932922363,627,10548.401513399504,11406.80725446238,858.4057410628757,0.08137780307020481,Leader rotation,0,0,0.0,0.005,+8.14%
3,NVDA,2011-02-17,2011-03-02,0.5682840186059475,0.5375272352993489,19609,11154.624802164868,10529.831185427947,-624.7936167369207,-0.05601206923747559,Supertrend down,0,0,0.0,0.005,-5.60%
4,NFLX,2011-04-21,2011-06-23,3.4894579092264175,3.4827390929460527,3085,10775.74262761346,10733.505851636834,-42.23677597662572,-0.003919616256274683,Supertrend down,0,0,0.0,0.005,-0.39%
5,BIIB,2011-06-30,2011-08-09,109.21458366394042,86.43199864196778,98,10713.732228265226,8461.86553104593,-2251.866697219295,-0.21018508296094673,Supertrend down,0,0,0.0,0.005,-21.02%
6,DLTR,2011-09-16,2011-10-24,37.77887832069397,39.89436916923523,224,8470.931212579284,8927.402355214783,456.47114263549884,0.053886772443346276,Leader rotation,0,0,0.0,0.005,+5.39%
7,BIIB,2011-10-24,2011-12-02,108.68431225204468,116.4161675720215,82,8921.02571827233,9536.579615164856,615.5538968925248,0.06900034999694338,Leader rotation,0,0,0.0,0.005,+6.90%
8,DLTR,2011-12-02,2012-01-18,41.350666831970216,41.65463083076477,231,9561.556042223303,9612.597502184755,51.04145996145235,0.005338195973130011,Leader rotation,0,0,0.0,0.005,+0.53%
9,FAST,2012-01-18,2012-01-26,11.355675381660461,11.715209734439851,827,9400.534684173834,9678.789971931375,278.25528775754174,0.029599942674111368,Leader rotation,0,0,0.0,0.005,+2.96%
10,MNST,2012-01-26,2012-02-15,9.032013902664184,9.140283509731294,1089,9845.699003141297,9943.814973355282,98.11597021398484,0.009965363574762964,Leader rotation,0,0,0.0,0.005,+1.00%
11,STX,2012-02-15,2012-04-17,26.623305610656736,28.74104962062836,375,9993.723343600272,10767.1157141279,773.3923705276284,0.07738781072250611,Supertrend down,0,0,0.0,0.005,+7.74%
12,MNST,2012-06-20,2012-07-05,12.714687181949614,12.388155278205872,846,10767.381981285302,10469.898985996804,-297.4829952884975,-0.027628164005470413,Supertrend down,0,0,0.0,0.005,-2.76%
13,AAPL,2012-07-05,2012-07-20,21.459294536590576,21.773511920928957,487,10461.127115758929,10593.09660518691,131.9694894279819,0.012615226635491306,Leader rotation,0,0,0.0,0.005,+1.26%
14,STX,2012-07-20,2012-08-10,27.093539923667905,32.4505360622406,390,10577.047050800711,12643.05335520956,2066.0063044088492,0.19532921565782835,Leader rotation,0,0,0.0,0.005,+19.53%
15,EXPE,2012-08-10,2012-08-23,55.947958168029785,51.216750000000005,226,12656.882784520705,11563.410514500001,-1093.472270020704,-0.08639348950580583,Supertrend down,0,0,0.0,0.005,-8.64%
16,STX,2012-08-23,2012-09-13,34.767375,29.94439560699463,331,11519.509126125,9901.683350969306,-1617.825775155694,-0.14044224953011586,Supertrend down,0,0,0.0,0.005,-14.04%
17,VRTX,2012-09-13,2012-09-21,56.007989542007444,57.86995363426209,177,9923.32756308425,10232.738811471125,309.4112483868739,0.031180190961136223,Leader rotation,0,0,0.0,0.005,+3.12%
18,EXPE,2012-09-21,2012-10-18,59.009489542007444,53.90190075874329,173,10218.850332458054,9315.703802431326,-903.1465300267282,-0.08838044404643752,Supertrend down,0,0,0.0,0.005,-8.84%
